record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error
1,35619620,How Impulsiveness Influences Obesity: The Mediating Effect of Resting-State Brain Activity in the dlPFC.,2022,Frontiers in psychiatry,Barratt Impulsiveness Scale resting-state fMRI,dlPFC,BOLD variability,nonplanning impulsivity,obesity,correlates_with,higher,downregulates spontaneous activity,direct,0.8,"In addition, non-planning impulsiveness was positively correlated with BMI.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,yes,no,no,nonplanning impulsivity,BMI,higher,"The sentence does not mention BOLD variability, so feature_supported is false. directness_supported is false because the sentence does not name both phenotype and feature. The corrected fields are based on the extracted claim.",
2,34427375,Changes in ALFF and ReHo values in methamphetamine abstinent individuals based on the Harvard-Oxford atlas: A longitudinal resting-state fMRI study.,2022,Addiction biology,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),methamphetamine abstinent individuals,associated_with,higher,,direct,0.85,"The changes in ALFF and ReHo in the right middle frontal gyrus were significantly associated with BIS total scores, BIS attention scores, and BIS nonplanning scores.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,higher,"The sentence directly supports the association between impulsivity (general) and BOLD variability, with a higher direction, in methamphetamine abstinent individuals.",
3,39315326,Resting-state brain networks alterations in adolescents with Internet Gaming Disorder associate with cognitive control impairments.,2024,Frontiers in psychiatry,Barratt Impulsiveness Scale resting-state fMRI,"Salience Network, Executive Control Network, Dorsal Attention Network",functional connectivity,impulsivity (general),Internet Gaming Disorder,correlates_with,higher,alterations in resting-state brain networks,direct,0.8,"impulsivity in adolescent IGD subjects showed a positive correlation with the severity of IGD (r=0.6350, p < 0.001), linked to impairments in the Executive Control Network (ECN) and a decrease in functional connectivity between the Salience Network (SN) and ECN (r=0.4307, p=0.0021; r=-0.5147, p=0.0034).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning impulsivity as the phenotype, functional connectivity as the feature type, a correlation as the relationship, higher as the direction, and direct as the directness. The brain systems mentioned (Salience Network, Executive Control Network, Dorsal Attention Network) match the extracted brain system, and the diagnostic context (Internet Gaming Disorder) matches the extracted diagnostic context.",
4,38991286,Neural correlates of impulsivity in amphetamine use disorder.,2024,Psychiatry research. Neuroimaging,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),amphetamine use disorder,correlates_with,higher,,direct,0.85,These findings highlight the importance of aberrant prefrontal function in severe addiction.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,unclear,unclear,unclear,,,,"The sentence does not mention impulsivity, functional connectivity, or any relationship between them.",
5,29454934,Time scale properties of task and resting-state functional connectivity: Detrended partial cross-correlation analysis.,2018,NeuroImage,Barratt Impulsiveness Scale resting-state fMRI,default mode network,functional connectivity,impulsivity (general),unknown,correlates_with,higher,,direct,0.8,the within-network connectivity time scale of the pre-supplementary motor area - a medial prefrontal cortical structure of the task network and critical to proactive inhibitory control - correlated inversely with Barratt impulsivity and stop signal reaction time.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence directly supports the claim by stating a correlation between the within-network connectivity time scale and Barratt impulsivity, which is a measure of impulsivity. The direction of the correlation is inverse, which means that higher within-network connectivity time scale is associated with lower impulsivity, supporting the direction of the claim. The feature type is also supported as it is mentioned as functional connectivity. The directness of the claim is supported as both phenotype and feature are named in the sentence.",
6,38002468,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,2023,Brain sciences,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),heroin use disorder,predicts,higher,,direct,0.9,"Changes in FC between the right insula and the lateral occipital cortex and the right angular gyrus were significantly positively correlated with total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct relationship between the phenotype (impulsivity) and the feature (functional connectivity), with a specific direction (higher) and a clear association with a brain region (right insula).",
7,39469891,Functional Brain Network of Trait Impulsivity: Whole-Brain Functional Connectivity Predicts Self-Reported Impulsivity.,2024,Human brain mapping,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,predicts,unclear,,direct,0.7,Our findings revealed a widespread neural network associated with trait impulsivity and a notable correlation between predicted and observed scores.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,yes,no,impulsivity (general),functional connectivity,,"The sentence partially supports the claim, but the feature type is not explicitly mentioned as 'functional connectivity' in the sentence. The direction is also unclear.",
8,37579016,"Resting-State Functional Connectivity of the Dorsal and Ventral Striatum, Impulsivity, and Severity of Use in Recently Abstinent Cocaine-Dependent Individuals.",2023,The international journal of neuropsychopharmacology,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),cocaine-dependent individuals,correlates_with,higher,,direct,0.85,"In CDs, VS-left IFC and VS-hippocampus connectivity was positively and negatively correlated with average monthly cocaine use in the prior year, respectively.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct relationship between impulsivity and functional connectivity in the brain, specifically in cocaine-dependent individuals.",
9,39313561,Motor impulsivity and spicy food craving: A mediation analysis of insula-based resting state functional connectivity.,2024,Brain imaging and behavior,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,motor impulsivity,unknown,mediated_by,higher,insula-middle occipital gyrus rsFC strength,direct,0.85,"Specifically, the insula-middle occipital gyrus rsFC strength mediated the relationship between the motor impulsivity and spicy food craving.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,motor impulsivity,functional connectivity,higher,,
10,32670033,Trait Impulsivity Associated With Altered Resting-State Functional Connectivity Within the Somatomotor Network.,2020,Frontiers in behavioral neuroscience,Barratt Impulsiveness Scale resting-state fMRI,somatomotor network,functional connectivity,impulsivity (general),unknown,associated_with,lower,,direct,0.85,"greater self-reported impulsivity was associated with decreased connectivity of the right lateral occipital cortex (peak mm 46/-70/16, FWE 1-p = 0.981) with the somatomotor network.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity and altered functional connectivity within the somatomotor network, with a specific direction (lower) and feature type (functional connectivity).",
