pmid,title,response,mentions_pmid,has_anchored_sentence,unparseable_as_schema,error
27942448,Brain connectivity aberrations in anabolic-androgenic steroid users.,"This study (PMID: 27942448) investigated the effects of anabolic-androgenic steroid (AAS) use on brain connectivity in 151 males, including 50 current users, 16 previous users, and 59 controls. The results showed that current AAS users exhibited reduced functional connectivity between key nodes involved in emotional and cognitive regulation, including the amygdala and default-mode network (DMN), and between the dorsal attention network (DAN) and a frontal node encompassing the superior and inferior frontal gyri (SFG/IFG) and the anterior cingulate cortex (ACC). These connectivity aberrations were associated with impulsivity and other behavioral consequences of AAS use, and were further reduced as a function of dependency, lifetime exposure, and cycle state (on/off). 

The findings suggest that AAS use may disrupt brain networks involved in emotional and cognitive regulation, leading to impulsivity and other behavioral problems. The study's results provide evidence for the neurobiological basis of impulsivity in AAS users, and highlight the importance of further research into the neural mechanisms underlying AAS-related behavioral consequences.",True,False,True,
35040662,Role of White Matter Microstructure in Impulsive Behavior.,"A recent study published in The Journal of Neuropsychiatry and Clinical Neurosciences (2022) investigated the relationship between impulsivity and white matter microstructure in healthy individuals. The study found that impulsivity, particularly motor and nonplanning impulsiveness, was inversely correlated with whole-brain white matter fractional anisotropy (FA) values (PMID: 35040662). 

In other words, individuals with higher motor impulsiveness and nonplanning impulsiveness tended to have lower FA values, indicating reduced white matter microstructural integrity. Conversely, higher FA values were associated with nonplanning impulsiveness. These correlations were observed in specific white matter tracts, including the corticospinal tract and the superior fronto-occipital fasciculus.

These findings suggest that impulsivity may be linked to specific white matter microstructural connectivity, supporting the notion that impulsivity is a network-based construct. This study provides initial evidence that altered white matter microstructure may underlie normal individual variability in impulsive behaviors, which could have implications for understanding the neural mechanisms underlying impulsivity and potentially informing the development of novel interventions.",True,False,True,
22749228,Behavioral and cognitive impulsivity in obsessive-compulsive disorder and eating disorders.,"Here's a short free-form evidence summary about impulsivity and neuroimaging based on the provided PubMed abstract (PMID: 22749228):

Individuals with obsessive-compulsive disorder (OCD) and eating disorders (ED) exhibit heightened levels of self-reported impulsivity compared to healthy controls. This is evident from their higher scores on the Barratt Impulsiveness Scale (BIS-11). However, neurocognitive assessments reveal a more nuanced picture, with OCD patients demonstrating impaired inhibitory control, as indicated by increased stop-signal reaction times. In contrast, ED patients do not show significant deficits in inhibitory control. These findings suggest that impulsivity in OCD may be related to a specific behavioral deficit, whereas in ED, it may be more closely tied to anxiety. This study highlights the importance of considering the distinct neurocognitive profiles of different psychiatric conditions when assessing impulsivity.",True,False,True,
26745144,Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD.,"A recent study (PMID: 26745144) investigated the relationship between head motion (HM) and impulsivity/hyperactivity in individuals with Attention Deficit Hyperactivity Disorder (ADHD). The researchers used neuroimaging data from resting-state functional MRI (fMRI) and maternal and self-report measures of Inattention and Hyperactivity-Impulsivity from the Strengths and Weaknesses of ADHD Symptoms and Normal Behaviour (SWAN) scales. 

The study found that HM was moderately correlated with maternal reports of Inattention and Hyperactivity-Impulsivity, suggesting a shared genetic influence between HM and impulsivity/hyperactivity. The correlations were mainly due to pleiotropic genetic factors, which means that the same genetic factors contribute to both HM and impulsivity/hyperactivity. 

This finding has significant implications for fMRI studies of ADHD, as treating HM as a nuisance covariate may reduce power to detect between-group effects and increase the likelihood of false positives. The researchers suggest two possible solutions to this problem: censoring motion-contaminated frames of the RS-fMRI scan or explicitly modeling the relationship between HM and impulsivity/hyperactivity. 

Overall, this study highlights the importance of considering the relationship between HM and impulsivity/hyperactivity in neuroimaging studies of ADHD",True,False,True,
32464339,Investigation of structure-function correlation among the young offspring of patients with bipolar disorder.,"This study investigated the relationship between neurocognition and neuroimaging findings in young offspring of patients with bipolar disorder (BDoff). The results suggest that impaired executive functioning, as measured by neuropsychological tests, is associated with altered white matter integrity in the superior longitudinal fasciculus (SLF) and cingulum. Specifically, lower fractional anisotropy (FA) values in the SLF were correlated with poorer performance on tasks requiring executive control, such as the Stroop interference test and the Wisconsin Card Sorting Test. 

In contrast, higher mean diffusivity (MD) values in the cingulum were associated with increased impulsivity, as measured by the Barratt Impulsiveness Scale-Attentional. These findings provide evidence that impulsivity may be linked to altered brain structure in individuals at high risk for bipolar disorder. The study's results suggest that neuroimaging markers, such as FA and MD values in specific white matter tracts, may have potential as biomarkers for early recognition of bipolar disorder.",False,False,True,
38002468,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,"A recent study (PMID: 38002468) investigated the neural correlates of impulsivity in individuals with chronic heroin use disorder (HUD). The research used resting-state functional magnetic resonance imaging (rs-fMRI) to examine the association between trait impulsivity and functional connectivity (FC) between the insula and the whole brain. 

The study found that individuals with HUD exhibited higher levels of total trait impulsivity, motor impulsivity, and nonplanning impulsivity compared to healthy controls. Notably, changes in functional connectivity between the right insula and specific brain regions, including the lateral occipital cortex and the right angular gyrus, were positively correlated with impulsivity scores. Conversely, changes in FC between the left insula and the left superior frontal gyrus and left frontopolar brain region were negatively correlated with impulsivity.

These findings suggest that the insula may serve as a potential biomarker for identifying trait impulsivity and its underlying neural mechanisms in individuals with HUD. The study's results provide new insights into the neural correlates of impulsivity in addiction and highlight the importance of further research into the role of the insula in impulsivity and addiction.",True,False,True,
31401546,Functional connectivity of emotional well-being: Overconnectivity between default and attentional networks is associated with attitudes of anger and aggression.,"A recent neuroimaging study (PMID: 31401546) investigated the relationship between brain connectivity and emotional well-being. The study found that individuals with higher levels of anger and aggression tend to have overconnectivity between the default mode network and the attentional network. This overconnectivity is thought to be associated with impaired effortful control and decreased response inhibition, which are key components of impulsivity.

The study used two approaches to examine functional connectivity in the brain. The first approach involved analyzing resting-state functional magnetic resonance imaging (fMRI) data from a large cohort of individuals, and the second approach involved calculating functional connectivity between different brain networks. The results of the study suggest that individuals with higher levels of anger and aggression tend to have a unique pattern of brain connectivity that is characterized by overconnectivity between the default mode network and the attentional network.

These findings have implications for our understanding of the neural mechanisms underlying impulsivity and aggression. The study's results suggest that impulsivity may be related to impaired effortful control and decreased response inhibition, which are thought to be mediated by the default mode and attentional networks. Further research is needed to confirm these findings and to explore the potential therapeutic applications of this knowledge.",True,False,True,
33304251,Neural Basis of Increased Cognitive Control of Impulsivity During the Mid-Luteal Phase Relative to the Late Follicular Phase of the Menstrual Cycle.,"This evidence summary focuses on the relationship between impulsivity, neuroimaging, and the menstrual cycle.

A study published in 2020 (PMID: 33304251) investigated the neural basis of cognitive control of impulsivity across the menstrual cycle. The researchers used functional magnetic resonance imaging (fMRI) to examine brain activity in women during the mid-luteal and late follicular phases. 

Key findings include:

- Women in the late follicular phase showed greater activity in the dorsal striatum (DS) and were more responsive to short-term rewards, indicating higher impulsivity.
- The dorsal striatum and dorsal lateral prefrontal cortex (dlPFC) circuitry was found to regulate impulsivity, with functional connectivity between these regions correlating with discount rate and psychometric impulsivity scores.
- Women in the mid-luteal phase showed increased activity in the right dlPFC, which was sensitive to estradiol levels, suggesting that estradiol may play a role in augmenting cognitive control.
- The study's results suggest that cyclical gonadal hormones affect cognitive control of impulsive behavior in a periodic manner, with implications for the treatment of conditions characterized by hyper-impulsivity.

Overall, this study provides new insights into the neural mechanisms underlying impulsivity and the",True,False,True,
31907881,Human Brain Imaging Links Dopaminergic Systems to Impulsivity.,"A recent study (PMID: 31907881) has provided strong evidence linking striatal dopaminergic function to impulsivity. The research combined molecular imaging techniques, such as positron emission tomography (PET), with functional magnetic resonance imaging (fMRI) to investigate the role of dopamine in impulsivity. 

Key findings suggest that striatal D2-type dopamine receptors (D2 and D3) and corticostriatal connectivity play a crucial role in cognitive control. Low levels of striatal and midbrain D2-type receptor availability were associated with self-reported impulsivity, while higher striatal D2-type receptor availability was linked to improved motor response inhibition and cognitive flexibility.

Furthermore, the study found an inverted U-shaped function between striatal D2-type dopamine receptor availability and impulsive choice on reward-based decision-making tasks. This suggests that there is an optimal level of striatal dopaminergic activity that is associated with better cognitive control.

The study's findings have implications for the development of therapeutic targets to improve cognitive control in both clinical populations and healthy individuals. Specifically, D2-type receptors are identified as potential targets for improving cognitive control, highlighting the importance of striatal dopaminergic function in impulsivity.",True,False,True,
31886611,Dorsal striatal functional connectivity changes in Internet gaming disorder: A longitudinal magnetic resonance imaging study.,"This longitudinal magnetic resonance imaging (MRI) study investigated the neural correlates of internet gaming disorder (IGD) in young males. The study found that individuals with IGD exhibited altered functional connectivity (FC) in the dorsal striatum, a brain region involved in reward processing and impulsivity. Specifically, they showed decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC), suggesting a weakening of prefrontal control, and increased FC between the right dorsal putamen and right middle occipital gyrus (MOG), indicating strengthening of the sensorimotor network.

These findings suggest that IGD may be associated with changes in the neural circuits underlying impulsivity and reward processing. The dorsal striatum, which is involved in the regulation of impulsive behaviors, showed altered FC patterns in individuals with IGD. The study's results also suggest that these changes in FC may be related to the severity of gaming behavior, as there was a significant correlation between changes in dorsal putamen-MOG FC and gaming time per day.

Overall, this study provides evidence that IGD is accompanied by functional neural changes in the dorsal striatum, which may contribute to the development and maintenance of impulsive behaviors. The findings have implications for the understanding of the neural mechanisms underlying IGD and may",False,False,True,
39218589,[A review of functional electrical stimulation based on brain-computer interface].,"This abstract does not directly relate to impulsivity and neuroimaging. However, it does discuss the use of brain-computer interfaces (BCIs) in rehabilitation, which may be relevant to understanding neural function and potentially impulsivity.

A more relevant PubMed abstract would be needed to write a summary about impulsivity and neuroimaging. However, based on the abstract provided, it can be noted that BCIs have been explored as a tool for rehabilitation in neurological conditions, which may involve impulsivity as a symptom or aspect of the condition being treated.

In general, neuroimaging studies have identified brain regions and networks associated with impulsivity, including the prefrontal cortex, anterior cingulate cortex, and basal ganglia. Functional magnetic resonance imaging (fMRI), electroencephalography (EEG), and magnetoencephalography (MEG) have been used to investigate neural activity and connectivity in individuals with impulsivity disorders, such as attention-deficit/hyperactivity disorder (ADHD).

Further research is needed to fully understand the neural mechanisms underlying impulsivity and to develop effective treatments for impulsivity disorders.",False,False,True,
37086305,"Emotion dysregulation, impulsivity and anger rumination in borderline personality disorder: the role of amygdala and insula.","A recent study (PMID: 37086305) investigated the role of amygdala and insula in borderline personality disorder (BPD) patients. The study found that BPD patients had lower cortical thickness of the left insula, which correlated with anger rumination. Additionally, female BPD patients showed reduced right amygdala volumes, which correlated with difficulties in emotion regulation, depression, and rumination.

The study also found reduced functional connectivity between the amygdala and other brain regions, including the frontal pole, precuneus, and temporal pole, in BPD patients. This functional connectivity alteration correlated with anger rumination and impulsivity. These findings suggest that the amygdala and insula play a significant role in the neuropsychiatric symptoms of BPD, including emotion dysregulation, impulsivity, and anger rumination.

The study's results highlight the importance of considering the specific contributions of different limbic structures to BPD symptomatology. The findings also have implications for the development of targeted treatments for BPD, which may involve interventions aimed at improving emotion regulation and reducing impulsivity.",True,False,True,
37992501,Testing the triple network model of psychopathology in a transdiagnostic neurodevelopmental cohort.,"This study (PMID: 37992501) investigated the relationship between impulsivity and connectivity between brain networks in a transdiagnostic sample of children with neurodevelopmental difficulties. The researchers found that hyperactivity/impulsivity was associated with increased functional connectivity between the Salience Network (SN), Central Executive Network (CEN), and Default Mode Network (DMN) in children with neurodevelopmental difficulties. 

In contrast, in a comparison group of children without neurodevelopmental difficulties, hyperactivity/impulsivity was associated with decreased functional connectivity between the CEN and DMN. These findings suggest that altered connectivity between brain networks may contribute to impulsivity in children with neurodevelopmental difficulties. 

The study's results also suggest that impulsivity may arise from difficulties in sustaining Central Executive Network activity to regulate behavior, or a heightened developmental mismatch between neural systems involved in cognitive control and those involved in reward/affect processing. These findings have implications for our understanding of the neural mechanisms underlying impulsivity and may inform the development of targeted interventions for children with neurodevelopmental difficulties.",True,False,True,
40297839,"Hippocampus Functional Connectivity, Impulsivity, and Subsequent Substance Use.","This study (40297839) investigated the relationship between impulsivity, hippocampal functional connectivity, and subsequent substance use in adolescents. The researchers used resting-state functional MRI (fMRI) data from the Adolescent Brain Cognitive Development (ABCD) study to examine the functional connectivity of the hippocampus with various brain networks. 

The findings suggest that impulsivity is associated with reduced hippocampal functional connectivity with key brain networks, including the cingulo-parietal network, visual network, sensory-motor network, and default mode network. Furthermore, the study found that hippocampal functional connectivity partially mediates the relationship between impulsivity and substance use, specifically tobacco and marijuana use. 

These results imply that the hippocampus plays a critical role in the neural mechanisms underlying impulsivity and substance use behaviors in adolescents. The study's findings have implications for the development of targeted interventions aimed at reducing substance use in this vulnerable population.",True,False,True,
