id,set,extractor_model,variant,empty_evidence_rule,support_score,decision,overclaiming,rationale,parse_status,raw_response,error
HV001,s120,Llama 3.1 8B,native_instr,no,0,drop,yes,The sentence mentions a group difference but not a phenotype-feature association.,ok,"{
  ""support_score"": 0,
  ""decision"": ""drop"",
  ""phenotype_supported"": false,
  ""feature_supported"": false,
  ""relationship_supported"": false,
  ""direction_supported"": null,
  ""directness_supported"": null,
  ""overclaiming"": true,
  ""corrected_phenotype"": null,
  ""corrected_feature_type"": null,
  ""corrected_direction"": null,
  ""rationale"": ""The sentence mentions a group difference but not a phenotype-feature association.""
}",
HV001,s120,Llama 3.1 8B,minimal,no,1,revise,unclear,"The claim is partially supported because it mentions a general association between impulsivity and a neural feature in bipolar disorder, but the provided evidence only shows differences in impulsivity, neuroticism, conscientiousness, facial perception accuracy, and rs-fMRI connectivity between moderate and severe groups. The claim does not directly link these differences to a specific neural feature, which is necessary to fully support the claim.",ok,"{""support_score"": 1, ""decision"": ""REVISE"", ""rationale"": ""The claim is partially supported because it mentions a general association between impulsivity and a neural feature in bipolar disorder, but the provided evidence only shows differences in impulsivity, neuroticism, conscientiousness, facial perception accuracy, and rs-fMRI connectivity between moderate and severe groups. The claim does not directly link these differences to a specific neural feature, which is necessary to fully support the claim.""}",
HV002,s120,Mistral 7B,native_instr,no,0,drop,yes,"The sentence mentions a group difference (binge drinking) but not a phenotype-feature association, and it does not support the extracted claim about attentional impulsivity and functional connectivity.",ok,"{
  ""support_score"": 0,
  ""decision"": ""drop"",
  ""phenotype_supported"": false,
  ""feature_supported"": false,
  ""relationship_supported"": false,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": null,
  ""corrected_feature_type"": null,
  ""corrected_direction"": null,
  ""rationale"": ""The sentence mentions a group difference (binge drinking) but not a phenotype-feature association, and it does not support the extracted claim about attentional impulsivity and functional connectivity.""
}",
HV002,s120,Mistral 7B,minimal,no,1,revise,unclear,"The claim mentions attentional impulsivity being associated with lower functional connectivity, but the provided evidence only shows attenuated frontal and parietal activation during successful response inhibition, which is related to impulsivity but not directly to functional connectivity. Therefore, the claim is partially supported and requires correction to accurately reflect the evidence.",ok,"{""support_score"": 1, ""decision"": ""REVISE"", ""rationale"": ""The claim mentions attentional impulsivity being associated with lower functional connectivity, but the provided evidence only shows attenuated frontal and parietal activation during successful response inhibition, which is related to impulsivity but not directly to functional connectivity. Therefore, the claim is partially supported and requires correction to accurately reflect the evidence.""}",
HV003,s120,Llama 3.1 8B,native_instr,no,2,keep,no,"The sentence clearly supports the claim by stating a direct relationship between borderline personality traits and neural feature, with a positive direction.",ok,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": true,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""borderline personality traits"",
  ""corrected_feature_type"": ""neural feature"",
  ""corrected_direction"": ""positive"",
  ""rationale"": ""The sentence clearly supports the claim by stating a direct relationship between borderline personality traits and neural feature, with a positive direction.""
}",
HV003,s120,Llama 3.1 8B,minimal,no,2,keep,unclear,"The claim is supported by the evidence, which suggests a specific relationship between impulsivity in borderline personality traits (BPT) and neural features in the subgenual cingulate cortex (SN) and a network including the default mode network (DMN) and mentalization regions. The evidence indicates that higher BPT is associated with higher temporal variability in the SN and lower temporal variability in the mentioned network, providing a clear and direct link between impulsivity and the neural feature.",ok,"{""support_score"": 2, ""decision"": ""KEEP"", ""rationale"": ""The claim is supported by the evidence, which suggests a specific relationship between impulsivity in borderline personality traits (BPT) and neural features in the subgenual cingulate cortex (SN) and a network including the default mode network (DMN) and mentalization regions. The evidence indicates that higher BPT is associated with higher temporal variability in the SN and lower temporal variability in the mentioned network, providing a clear and direct link between impulsivity and the neural feature.""}",
HV004,s120,Llama 3.1 8B,native_instr,no,0,drop,unclear,"The sentence does not mention impulsivity or functional connectivity, which are the key components of the extracted claim.",ok,"{""support_score"": 0, ""decision"": ""drop"", ""phenotype_supported"": false, ""feature_supported"": false, ""relationship_supported"": false, ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence does not mention impulsivity or functional connectivity, which are the key components of the extracted claim.""}",
HV004,s120,Llama 3.1 8B,minimal,no,2,keep,unclear,"The AUC values of 0.738, 0.850, and 0.864 for distinguishing IGD patients from HCs indicate a strong association between impulsivity and higher functional connectivity in internet gaming disorder, supporting the claim.",ok,"{""support_score"": 2, ""decision"": ""KEEP"", ""rationale"": ""The AUC values of 0.738, 0.850, and 0.864 for distinguishing IGD patients from HCs indicate a strong association between impulsivity and higher functional connectivity in internet gaming disorder, supporting the claim.""}",
HV005,s120,Qwen 2.5 7B,native_instr,no,0,drop,no,"The sentence does not mention a phenotype-feature association, and it does not support the claim.",ok,"{
  ""support_score"": 0,
  ""decision"": ""drop"",
  ""phenotype_supported"": false,
  ""feature_supported"": false,
  ""relationship_supported"": false,
  ""direction_supported"": null,
  ""directness_supported"": null,
  ""overclaiming"": false,
  ""corrected_phenotype"": null,
  ""corrected_feature_type"": null,
  ""corrected_direction"": null,
  ""rationale"": ""The sentence does not mention a phenotype-feature association, and it does not support the claim.""
}",
HV005,s120,Qwen 2.5 7B,minimal,no,1,revise,unclear,"The claim states that impulsivity (general) is associated with functional connectivity, but the provided evidence only mentions resting-state functional connectivity analysis for ADHD classification, which does not directly support the association between impulsivity and functional connectivity.",ok,"{""support_score"": 1, ""decision"": ""REVISE"", ""rationale"": ""The claim states that impulsivity (general) is associated with functional connectivity, but the provided evidence only mentions resting-state functional connectivity analysis for ADHD classification, which does not directly support the association between impulsivity and functional connectivity.""}",
HV006,s120,Llama 3.1 8B,native_instr,no,1,revise,no,The sentence partially supports the claim because it mentions 'inattention traits' which is not exactly the same as 'impulsivity (general)' and 'functional connectivity'.,ok,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": true,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""impulsivity (general)"",
  ""corrected_feature_type"": ""functional connectivity"",
  ""corrected_direction"": ""higher"",
  ""rationale"": ""The sentence partially supports the claim because it mentions 'inattention traits' which is not exactly the same as 'impulsivity (general)' and 'functional connectivity'.""
}",
HV006,s120,Llama 3.1 8B,minimal,no,2,keep,unclear,"The evidence directly supports the claim, indicating a positive association between impulsivity and higher functional connectivity.",ok,"{""support_score"": 2, ""decision"": ""KEEP"", ""rationale"": ""The evidence directly supports the claim, indicating a positive association between impulsivity and higher functional connectivity.""}",
HV007,s120,Llama 3.1 8B,native_instr,no,1,revise,no,"The sentence partially supports the claim but needs revision or is indirect. The phenotype and feature are not explicitly mentioned, but can be inferred. The relationship is supported, but the direction is not directly stated. The directness is not supported because the sentence does not name both phenotype and feature.",ok,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": false,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""motor impulsivity"",
  ""corrected_feature_type"": ""functional connectivity"",
  ""corrected_direction"": ""between patients and controls"",
  ""rationale"": ""The sentence partially supports the claim but needs revision or is indirect. The phenotype and feature are not explicitly mentioned, but can be inferred. The relationship is supported, but the direction is not directly stated. The directness is not supported because the sentence does not name both phenotype and feature.""
}",
HV007,s120,Llama 3.1 8B,minimal,no,1,revise,unclear,"The claim is partially supported as it mentions a difference in functional connectivity between patients and controls, but it does not directly state that motor impulsivity is associated with functional connectivity. The evidence provided only shows a difference in performance-related functional connectivity of motor networks, which is a related but distinct concept.",ok,"{""support_score"": 1, ""decision"": ""REVISE"", ""rationale"": ""The claim is partially supported as it mentions a difference in functional connectivity between patients and controls, but it does not directly state that motor impulsivity is associated with functional connectivity. The evidence provided only shows a difference in performance-related functional connectivity of motor networks, which is a related but distinct concept.""}",
HV008,s120,Mistral 7B,native_instr,no,1,revise,no,"The sentence partially supports the claim but needs revision or is indirect. The phenotype is correctly identified as bipolar disorder, but the feature type is too specific and should be 'general'. The relationship is association, but the direction is not explicitly stated and should be 'associated with'.",ok,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""bipolar disorder"",
  ""corrected_feature_type"": ""general"",
  ""corrected_direction"": ""associated with"",
  ""rationale"": ""The sentence partially supports the claim but needs revision or is indirect. The phenotype is correctly identified as bipolar disorder, but the feature type is too specific and should be 'general'. The relationship is association, but the direction is not explicitly stated and should be 'associated with'.""
}",
HV008,s120,Mistral 7B,minimal,no,1,revise,unclear,"The claim is partially supported as it mentions impulsivity is a characteristic of bipolar disorder and can contribute to the risk for suicidal behavior, but it does not directly link impulsivity to a specific neural feature, which is what the claim suggests.",ok,"{""support_score"": 1, ""decision"": ""REVISE"", ""rationale"": ""The claim is partially supported as it mentions impulsivity is a characteristic of bipolar disorder and can contribute to the risk for suicidal behavior, but it does not directly link impulsivity to a specific neural feature, which is what the claim suggests.""}",
HV009,s120,Qwen 2.5 7B,native_instr,no,1,revise,no,"The sentence partially supports the claim but needs revision or is indirect because it does not directly state the relationship between impulsivity and covariates, and the directness of the relationship is not explicitly stated.",ok,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": false,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""impulsivity (general)"",
  ""corrected_feature_type"": ""covariates"",
  ""corrected_direction"": ""higher"",
  ""rationale"": ""The sentence partially supports the claim but needs revision or is indirect because it does not directly state the relationship between impulsivity and covariates, and the directness of the relationship is not explicitly stated.""
}",
HV009,s120,Qwen 2.5 7B,minimal,no,2,keep,unclear,"The claim is supported by two studies with a large sample size (N = 245 children and N = 581 adults), demonstrating a reliable correlation between head motion and impulsivity scores in both children and adults.",ok,"{""support_score"": 2, ""decision"": ""KEEP"", ""rationale"": ""The claim is supported by two studies with a large sample size (N = 245 children and N = 581 adults), demonstrating a reliable correlation between head motion and impulsivity scores in both children and adults.""}",
HV010,s120,Mistral 7B,native_instr,no,0,drop,no,"The sentence does not mention a phenotype-feature association, it only talks about distinct patterns of connectivity in brain networks.",ok,"{
  ""support_score"": 0,
  ""decision"": ""drop"",
  ""phenotype_supported"": false,
  ""feature_supported"": false,
  ""relationship_supported"": false,
  ""direction_supported"": null,
  ""directness_supported"": null,
  ""overclaiming"": false,
  ""corrected_phenotype"": null,
  ""corrected_feature_type"": null,
  ""corrected_direction"": null,
  ""rationale"": ""The sentence does not mention a phenotype-feature association, it only talks about distinct patterns of connectivity in brain networks.""
}",
HV010,s120,Mistral 7B,minimal,no,1,revise,unclear,"The claim is partially supported as it mentions a relationship between impulsivity and functional connectivity in internet gaming disorder, but it does not directly state that impulsivity (general) is associated with functional connectivity. The evidence provided suggests a connection between distinct patterns of connectivity and IGD, but it does not explicitly link impulsivity to this connection.",ok,"{""support_score"": 1, ""decision"": ""REVISE"", ""rationale"": ""The claim is partially supported as it mentions a relationship between impulsivity and functional connectivity in internet gaming disorder, but it does not directly state that impulsivity (general) is associated with functional connectivity. The evidence provided suggests a connection between distinct patterns of connectivity and IGD, but it does not explicitly link impulsivity to this connection.""}",
HV011,s120,Llama 3.1 8B,native_instr,no,0,drop,yes,The sentence does not support the claim because it mentions a group difference (TRD population) but not a phenotype-feature association.,ok,"{
  ""support_score"": 0,
  ""decision"": ""drop"",
  ""phenotype_supported"": false,
  ""feature_supported"": false,
  ""relationship_supported"": false,
  ""direction_supported"": null,
  ""directness_supported"": null,
  ""overclaiming"": true,
  ""corrected_phenotype"": null,
  ""corrected_feature_type"": null,
  ""corrected_direction"": null,
  ""rationale"": ""The sentence does not support the claim because it mentions a group difference (TRD population) but not a phenotype-feature association.""
}",
HV011,s120,Llama 3.1 8B,minimal,no,0,drop,unclear,"The claim mentions impulsivity as a general trait associated with a neural feature in treatment-resistant depression, but the provided evidence is about the association between suicidal behavior, childhood physical neglect, and CT in a TRD population, which does not directly support the initial claim about impulsivity and neural features.",ok,"{""support_score"": 0, ""decision"": ""DROP"", ""rationale"": ""The claim mentions impulsivity as a general trait associated with a neural feature in treatment-resistant depression, but the provided evidence is about the association between suicidal behavior, childhood physical neglect, and CT in a TRD population, which does not directly support the initial claim about impulsivity and neural features.""}",
HV012,s120,Qwen 2.5 7B,native_instr,no,0,drop,yes,The sentence mentions a group difference but not a phenotype-feature association.,ok,"{
  ""support_score"": 0,
  ""decision"": ""drop"",
  ""phenotype_supported"": false,
  ""feature_supported"": false,
  ""relationship_supported"": false,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": null,
  ""corrected_feature_type"": null,
  ""corrected_direction"": null,
  ""rationale"": ""The sentence mentions a group difference but not a phenotype-feature association.""
}",
HV012,s120,Qwen 2.5 7B,minimal,no,1,revise,unclear,"The claim states that impulsivity (general) is correlated with lower BOLD variability, but the evidence provided shows a correlation between higher BIS-11 impulsivity scores and lower GMV in the bilateral superior frontal cortex. This suggests a correlation between impulsivity and GMV, but not directly between impulsivity and BOLD variability as stated in the claim. Therefore, the claim requires revision to accurately reflect the evidence.",ok,"{""support_score"": 1, ""decision"": ""REVISE"", ""rationale"": ""The claim states that impulsivity (general) is correlated with lower BOLD variability, but the evidence provided shows a correlation between higher BIS-11 impulsivity scores and lower GMV in the bilateral superior frontal cortex. This suggests a correlation between impulsivity and GMV, but not directly between impulsivity and BOLD variability as stated in the claim. Therefore, the claim requires revision to accurately reflect the evidence.""}",
HV013,s120,Qwen 2.5 7B,native_instr,no,1,revise,no,"The sentence partially supports the claim by mentioning predictive networks, but it does not directly state the relationship between nonplanning impulsivity and functional connectivity. The corrected fields are based on the extracted claim.",ok,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": false,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""nonplanning impulsivity"",
  ""corrected_feature_type"": ""functional connectivity"",
  ""corrected_direction"": ""predictive"",
  ""rationale"": ""The sentence partially supports the claim by mentioning predictive networks, but it does not directly state the relationship between nonplanning impulsivity and functional connectivity. The corrected fields are based on the extracted claim.""
}",
HV013,s120,Qwen 2.5 7B,minimal,no,2,keep,unclear,"The claim is supported by evidence that predictive networks involved several connections within and between canonical networks implicated in various cognitive processes, including visual processing, cognitive control, executive functioning, relevance, and motor response.",ok,"{""support_score"": 2, ""decision"": ""KEEP"", ""rationale"": ""The claim is supported by evidence that predictive networks involved several connections within and between canonical networks implicated in various cognitive processes, including visual processing, cognitive control, executive functioning, relevance, and motor response.""}",
