record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,model_label
2,34427375,Changes in ALFF and ReHo values in methamphetamine abstinent individuals based on the Harvard-Oxford atlas: A longitudinal resting-state fMRI study.,2022,Addiction biology,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),methamphetamine abstinent individuals,associated_with,higher,,direct,0.85,"The changes in ALFF and ReHo in the right middle frontal gyrus were significantly associated with BIS total scores, BIS attention scores, and BIS nonplanning scores.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,higher,"The sentence directly supports the association between impulsivity (general) and BOLD variability, with a higher direction, in methamphetamine abstinent individuals.",,Qwen 2.5 7B
3,39315326,Resting-state brain networks alterations in adolescents with Internet Gaming Disorder associate with cognitive control impairments.,2024,Frontiers in psychiatry,Barratt Impulsiveness Scale resting-state fMRI,"Salience Network, Executive Control Network, Dorsal Attention Network",functional connectivity,impulsivity (general),Internet Gaming Disorder,correlates_with,higher,alterations in resting-state brain networks,direct,0.8,"impulsivity in adolescent IGD subjects showed a positive correlation with the severity of IGD (r=0.6350, p < 0.001), linked to impairments in the Executive Control Network (ECN) and a decrease in functional connectivity between the Salience Network (SN) and ECN (r=0.4307, p=0.0021; r=-0.5147, p=0.0034).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning impulsivity as the phenotype, functional connectivity as the feature type, a correlation as the relationship, higher as the direction, and direct as the directness. The brain systems mentioned (Salience Network, Executive Control Network, Dorsal Attention Network) match the extracted brain system, and the diagnostic context (Internet Gaming Disorder) matches the extracted diagnostic context.",,Qwen 2.5 7B
5,29454934,Time scale properties of task and resting-state functional connectivity: Detrended partial cross-correlation analysis.,2018,NeuroImage,Barratt Impulsiveness Scale resting-state fMRI,default mode network,functional connectivity,impulsivity (general),unknown,correlates_with,higher,,direct,0.8,the within-network connectivity time scale of the pre-supplementary motor area - a medial prefrontal cortical structure of the task network and critical to proactive inhibitory control - correlated inversely with Barratt impulsivity and stop signal reaction time.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence directly supports the claim by stating a correlation between the within-network connectivity time scale and Barratt impulsivity, which is a measure of impulsivity. The direction of the correlation is inverse, which means that higher within-network connectivity time scale is associated with lower impulsivity, supporting the direction of the claim. The feature type is also supported as it is mentioned as functional connectivity. The directness of the claim is supported as both phenotype and feature are named in the sentence.",,Qwen 2.5 7B
6,38002468,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,2023,Brain sciences,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),heroin use disorder,predicts,higher,,direct,0.9,"Changes in FC between the right insula and the lateral occipital cortex and the right angular gyrus were significantly positively correlated with total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct relationship between the phenotype (impulsivity) and the feature (functional connectivity), with a specific direction (higher) and a clear association with a brain region (right insula).",,Qwen 2.5 7B
8,37579016,"Resting-State Functional Connectivity of the Dorsal and Ventral Striatum, Impulsivity, and Severity of Use in Recently Abstinent Cocaine-Dependent Individuals.",2023,The international journal of neuropsychopharmacology,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),cocaine-dependent individuals,correlates_with,higher,,direct,0.85,"In CDs, VS-left IFC and VS-hippocampus connectivity was positively and negatively correlated with average monthly cocaine use in the prior year, respectively.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct relationship between impulsivity and functional connectivity in the brain, specifically in cocaine-dependent individuals.",,Qwen 2.5 7B
9,39313561,Motor impulsivity and spicy food craving: A mediation analysis of insula-based resting state functional connectivity.,2024,Brain imaging and behavior,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,motor impulsivity,unknown,mediated_by,higher,insula-middle occipital gyrus rsFC strength,direct,0.85,"Specifically, the insula-middle occipital gyrus rsFC strength mediated the relationship between the motor impulsivity and spicy food craving.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,motor impulsivity,functional connectivity,higher,,,Qwen 2.5 7B
10,32670033,Trait Impulsivity Associated With Altered Resting-State Functional Connectivity Within the Somatomotor Network.,2020,Frontiers in behavioral neuroscience,Barratt Impulsiveness Scale resting-state fMRI,somatomotor network,functional connectivity,impulsivity (general),unknown,associated_with,lower,,direct,0.85,"greater self-reported impulsivity was associated with decreased connectivity of the right lateral occipital cortex (peak mm 46/-70/16, FWE 1-p = 0.981) with the somatomotor network.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity and altered functional connectivity within the somatomotor network, with a specific direction (lower) and feature type (functional connectivity).",,Qwen 2.5 7B
12,23555827,Altered default network resting-state functional connectivity in adolescents with Internet gaming addiction.,2013,PloS one,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Internet gaming addiction,correlates_with,unclear,,direct,0.7,"Connectivity with the PCC was positively correlated with CIAS scores in the right precuneus, posterior cingulate gyrus, thalamus, caudate, nucleus accumbens, supplementary motor area, and lingual gyrus. It was negatively correlated with the right cerebellum anterior lobe and left superior parietal lobule.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,positive,"The sentence clearly supports the claim by stating a direct association between impulsivity (general) and functional connectivity in the default network in the context of Internet gaming addiction. The corrected fields include the brain system (default network), direction (positive), and relationship (correlates_with).",,Qwen 2.5 7B
14,30178423,Sex differences in resting-state cerebral activity alterations in internet gaming disorder.,2019,Brain imaging and behavior,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,nonplanning impulsivity,Internet gaming disorder,correlates_with,lower,,direct,0.85,"The ALFF values in the orbital part of the left superior frontal gyrus (SFG) were lower in IGDm than in HCm, which were negatively correlated with BIS-11 scores.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,BOLD variability,lower,"The sentence directly supports the claim by mentioning a specific brain region (orbital part of the left superior frontal gyrus) and a correlation with BIS-11 scores, which is a measure of nonplanning impulsivity.",,Qwen 2.5 7B
18,33528803,Impulsivity in heroin-dependent individuals: structural and functional abnormalities within frontostriatal circuits.,2021,Brain imaging and behavior,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,motor impulsivity,heroin-dependent individuals,correlates_with,higher,,direct,0.85,"Higher motor impulsivity (t = 2.347, p = 0.0253) and larger right NAc volume (F (1,38) = 4.719, p = 0.036) was observed in HDI.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,motor impulsivity,functional connectivity,higher,The sentence directly states that higher motor impulsivity correlates with a specific brain feature (larger right NAc volume) in a particular group (HDI).,,Qwen 2.5 7B
