record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,verifier_raw_response
1,39315326,Resting-state brain networks alterations in adolescents with Internet Gaming Disorder associate with cognitive control impairments.,2024,Frontiers in psychiatry,Barratt Impulsiveness Scale resting-state fMRI,"Salience Network, Executive Control Network, Dorsal Attention Network",functional connectivity,impulsivity (general),Internet Gaming Disorder,correlates_with,higher,changes in the ECN and DAN correlate with heightened impulsivity and attentional deficits in adolescents with IGD,direct,0.8,"impulsivity in adolescent IGD subjects showed a positive correlation with the severity of IGD (r=0.6350, p < 0.001), linked to impairments in the Executive Control Network (ECN) and a decrease in functional connectivity between the Salience Network (SN) and ECN (r=0.4307, p=0.0021; r=-0.5147, p=0.0034).",yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,yes,no,yes,yes,no,yes,impulsivity (general),functional connectivity,higher,The sentence mentions a correlation with impulsivity and IGD severity but does not directly state the relationship with functional connectivity. It also implies a decrease in functional connectivity without explicitly stating it as a direct measure.,,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": true,
  ""feature_supported"": false,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": ""impulsivity (general)"",
  ""corrected_feature_type"": ""functional connectivity"",
  ""corrected_direction"": ""higher"",
  ""rationale"": ""The sentence mentions a correlation with impulsivity and IGD severity but does not directly state the relationship with functional connectivity. It also implies a decrease in functional connectivity without explicitly stating it as a direct measure.""
}"
2,35040662,Role of White Matter Microstructure in Impulsive Behavior.,2022,The Journal of neuropsychiatry and clinical neurosciences,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,nonplanning impulsivity,unknown,correlates_with,lower,,direct,0.85,"Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007) and positively correlated with nonplanning impulsiveness (r=0.29, p=0.02); these correlations were significant after correction for multiple comparisons.",yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,fractional anisotropy (FA),lower,"The sentence directly states that whole-brain total average FA is inversely correlated with nonplanning impulsiveness, which matches the extracted claim.",,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": true,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""nonplanning impulsivity"",
  ""corrected_feature_type"": ""fractional anisotropy (FA)"",
  ""corrected_direction"": ""lower"",
  ""rationale"": ""The sentence directly states that whole-brain total average FA is inversely correlated with nonplanning impulsiveness, which matches the extracted claim.""
}"
3,39796107,The Relationship Between Impulsivity Traits and In Vivo Cerebral Serotonin Transporter and Serotonin 2A Receptor Binding in Healthy Individuals: A Double-Tracer PET Study with C-11 DASB and C-11 MDL100907.,2024,International journal of molecular sciences,Barratt Impulsiveness Scale fMRI,unknown,unknown,nonplanning impulsivity,unknown,correlates_with,higher,,direct,0.8,"the region of interest (ROI)-based partial correlation analysis with age, sex, and temperament traits as covariates revealed a significant positive correlation between non-planning impulsiveness and [11C]MDL100907 BPND in the caudate (CAU) at Bonferroni-corrected p < 0.0045.",yes,,yes,yes,no,,,,,,,,,,qwen2.5-7b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,serotonin 2A receptor binding,higher,"The sentence directly states a significant positive correlation between non-planning impulsiveness and serotonin 2A receptor binding (as measured by [11C]MDL100907 BPND) in the caudate, supporting all aspects of the claim.",,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": true,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""nonplanning impulsivity"",
  ""corrected_feature_type"": ""serotonin 2A receptor binding"",
  ""corrected_direction"": ""higher"",
  ""rationale"": ""The sentence directly states a significant positive correlation between non-planning impulsiveness and serotonin 2A receptor binding (as measured by [11C]MDL100907 BPND) in the caudate, supporting all aspects of the claim.""
}"
4,29337234,Electrophysiological Activity Prior to Self-initiated Movements is Related to Impulsive Personality Traits.,2018,Neuroscience,Barratt Impulsiveness Scale neuroimaging,unknown,EEG connectivity,impulsivity (general),unknown,correlates_with,higher,,direct,0.85,"In particular, the RP showed an earlier negative rising phase and a greater amplitude, with the increasing of BIS-11 scores.",yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,0,drop,no,no,no,no,no,yes,,,,The sentence discusses changes in the Rolandic cortex (RP) in relation to BIS-11 scores but does not directly state a correlation between impulsivity and EEG connectivity. It also does not specify the direction of the relationship or provide direct evidence for the relationship.,,"{
  ""support_score"": 0,
  ""decision"": ""drop"",
  ""phenotype_supported"": false,
  ""feature_supported"": false,
  ""relationship_supported"": false,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": null,
  ""corrected_feature_type"": null,
  ""corrected_direction"": null,
  ""rationale"": ""The sentence discusses changes in the Rolandic cortex (RP) in relation to BIS-11 scores but does not directly state a correlation between impulsivity and EEG connectivity. It also does not specify the direction of the relationship or provide direct evidence for the relationship.""
}"
5,12860356,"Impulsivity, gender, and response to fenfluramine challenge in borderline personality disorder.",2003,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,unknown,unknown,impulsivity (general),borderline personality disorder,predicts,higher,,indirect,0.8,Impulsivity and aggression each predicted prolactin responses.,yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,yes,no,yes,yes,no,yes,impulsivity (general),prolactin responses,higher,"The sentence mentions impulsivity as a predictor of prolactin responses, which supports the relationship and direction. However, it does not specify that prolactin responses are a feature type, and it does not directly state that impulsivity predicts prolactin responses in the context of borderline personality disorder.",,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": true,
  ""feature_supported"": false,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": ""impulsivity (general)"",
  ""corrected_feature_type"": ""prolactin responses"",
  ""corrected_direction"": ""higher"",
  ""rationale"": ""The sentence mentions impulsivity as a predictor of prolactin responses, which supports the relationship and direction. However, it does not specify that prolactin responses are a feature type, and it does not directly state that impulsivity predicts prolactin responses in the context of borderline personality disorder.""
}"
6,39424632,Enhanced ADHD classification through deep learning and dynamic resting state fMRI analysis.,2024,Scientific reports,impulsivity resting-state fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),ADHD classification,associated_with,unclear,,direct,0.85,"Resting-state functional connectivity analysis has emerged as a promising approach for ADHD classification using resting-state functional magnetic resonance imaging (rs-fMRI), although with limited accuracy.",yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,0,drop,no,no,no,no,no,yes,,,,"The sentence does not specify any particular phenotype or feature type, and instead provides general information about the use of rs-fMRI for ADHD classification. It also does not clarify the relationship, direction, or directness of the association.",,"{
  ""support_score"": 0,
  ""decision"": ""drop"",
  ""phenotype_supported"": false,
  ""feature_supported"": false,
  ""relationship_supported"": false,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": null,
  ""corrected_feature_type"": null,
  ""corrected_direction"": null,
  ""rationale"": ""The sentence does not specify any particular phenotype or feature type, and instead provides general information about the use of rs-fMRI for ADHD classification. It also does not clarify the relationship, direction, or directness of the association.""
}"
7,32035425,Ventromedial prefrontal value signals and functional connectivity during decision-making in suicidal behavior and impulsivity.,2020,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),suicidal behavior,correlates_with,unclear,,direct,0.8,"In nonpsychiatric controls, vmPFC-frontoparietal connectivity was negatively moderated by impulsivity (pFWE corrected < 0.05).",yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,yes,yes,yes,no,no,yes,impulsivity (general),vmPFC-frontoparietal connectivity,negatively correlated,"The sentence mentions a group difference (nonpsychiatric controls) and a correlation between impulsivity and vmPFC-frontoparietal connectivity, but it does not directly state the direction of the relationship or that the relationship is direct. It also implies a broader context of suicidal behavior, which is not supported by the sentence.",,"{
    ""support_score"": 1,
    ""decision"": ""revise"",
    ""phenotype_supported"": true,
    ""feature_supported"": true,
    ""relationship_supported"": true,
    ""direction_supported"": false,
    ""directness_supported"": false,
    ""overclaiming"": true,
    ""corrected_phenotype"": ""impulsivity (general)"",
    ""corrected_feature_type"": ""vmPFC-frontoparietal connectivity"",
    ""corrected_direction"": ""negatively correlated"",
    ""rationale"": ""The sentence mentions a group difference (nonpsychiatric controls) and a correlation between impulsivity and vmPFC-frontoparietal connectivity, but it does not directly state the direction of the relationship or that the relationship is direct. It also implies a broader context of suicidal behavior, which is not supported by the sentence.""
}"
8,29442271,Exploring variability in basal ganglia connectivity with functional MRI in healthy aging.,2018,Brain imaging and behavior,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,unclear,unclear,,indirect,0.3,,yes,,yes,no,unclear,,,,,,,,,,qwen2.5-7b-instruct,0,drop,no,no,no,no,no,yes,,,,"The sentence does not provide any information about impulsivity or functional connectivity, and it does not mention a clear relationship, direction, or directness. It also suggests a group difference rather than a phenotype-feature association.",,"{""support_score"": 0, ""decision"": ""drop"", ""phenotype_supported"": false, ""feature_supported"": false, ""relationship_supported"": false, ""direction_supported"": false, ""directness_supported"": false, ""overclaiming"": true, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence does not provide any information about impulsivity or functional connectivity, and it does not mention a clear relationship, direction, or directness. It also suggests a group difference rather than a phenotype-feature association.""}"
9,26745144,Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD.,2016,PloS one,trait impulsivity resting-state fMRI,unknown,covariates,impulsivity (general),ADHD,correlates_with,unclear,,indirect,0.7,"HM was moderately correlated with maternal reports of Inattention (r = 0.17, p-value = 7.4E-5) and Hyperactivity-Impulsivity (r = 0.16, p-value = 2.9E-4), and these associations were mainly due to pleiotropic genetic factors with genetic correlations [95% CIs] of rg = 0.24 [0.02, 0.43] and rg = 0.23 [0.07, 0.39].",yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,keep,yes,yes,yes,no,no,yes,Hyperactivity-Impulsivity,covariates,unclear,"The sentence provides correlation data between head motion and hyperactivity-impulsivity, which supports the phenotype and feature. However, it does not specify the direction of the relationship or confirm that the relationship is direct.",,"{
  ""support_score"": 1,
  ""decision"": ""keep"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": ""Hyperactivity-Impulsivity"",
  ""corrected_feature_type"": ""covariates"",
  ""corrected_direction"": ""unclear"",
  ""rationale"": ""The sentence provides correlation data between head motion and hyperactivity-impulsivity, which supports the phenotype and feature. However, it does not specify the direction of the relationship or confirm that the relationship is direct.""
}"
10,38018143,Converging Evidence for Frontopolar Cortex as a Target for Neuromodulation in Addiction Treatment.,2024,The American journal of psychiatry,trait impulsivity functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,,indirect,0.7,"This approach is supported by converging multimodal evidence, including lesion-based maps, functional MRI-based maps, tES studies, TMS studies, and dose-response relationships.",yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,0,drop,no,no,no,no,no,yes,,,,"The evidence sentence does not specify any particular phenotype or feature type, and instead provides a general statement about various types of evidence supporting the concept of frontopolar cortex as a target for neuromodulation. It also does not indicate a clear direction or directness of the relationship.",,"{
  ""support_score"": 0,
  ""decision"": ""drop"",
  ""phenotype_supported"": false,
  ""feature_supported"": false,
  ""relationship_supported"": false,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": null,
  ""corrected_feature_type"": null,
  ""corrected_direction"": null,
  ""rationale"": ""The evidence sentence does not specify any particular phenotype or feature type, and instead provides a general statement about various types of evidence supporting the concept of frontopolar cortex as a target for neuromodulation. It also does not indicate a clear direction or directness of the relationship.""
}"
