record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,model_label
1,35619620,How Impulsiveness Influences Obesity: The Mediating Effect of Resting-State Brain Activity in the dlPFC.,2022,Frontiers in psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),obesity,correlates_with,higher,downregulating spontaneous activity,direct,0.8,"In addition, non-planning impulsiveness was positively correlated with BMI.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,yes,no,no,impulsivity (general),BMI,higher,"The sentence does not mention BOLD variability, so feature_supported is false. directness_supported is false because the sentence does not name both phenotype and feature. The corrected fields are based on the extracted claim.",,Llama 3.1 8B
2,34427375,Changes in ALFF and ReHo values in methamphetamine abstinent individuals based on the Harvard-Oxford atlas: A longitudinal resting-state fMRI study.,2022,Addiction biology,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),methamphetamine abstinent individuals,associated_with,unclear,,indirect,0.8,"The changes in ALFF and ReHo in the right middle frontal gyrus were significantly associated with BIS total scores, BIS attention scores, and BIS nonplanning scores.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,associated with,"The sentence clearly supports the extracted claim, mentioning a specific brain region (right middle frontal gyrus) and its association with impulsivity (BIS total scores, BIS attention scores, and BIS nonplanning scores).",,Llama 3.1 8B
3,39315326,Resting-state brain networks alterations in adolescents with Internet Gaming Disorder associate with cognitive control impairments.,2024,Frontiers in psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,unknown,impulsivity (general),Internet Gaming Disorder,correlates_with,higher,functional connectivity,indirect,0.9,"Decreased resting state activity of the dorsal attention network (DAN) was associated with attentional dysregulation of IGD in adolescents (r=0.4071, p=0.0017), and ECN increased functional connectivity with DAN.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),cognitive control impairments,higher,"The sentence clearly supports the claim, mentioning a specific brain network (dorsal attention network) and its association with a phenotype (attentional dysregulation) in a diagnostic context (Internet Gaming Disorder). The relationship is also clearly stated as correlation, and the direction is correctly identified as higher.",,Llama 3.1 8B
4,38991286,Neural correlates of impulsivity in amphetamine use disorder.,2024,Psychiatry research. Neuroimaging,Barratt Impulsiveness Scale resting-state fMRI,unknown,unknown,impulsivity (general),amphetamine use disorder,associated_with,higher,aberrant prefrontal function,indirect,0.8,"Amphetamine users had higher subjective ratings of impulsivity as compared to healthy controls, and these scores correlated positively with a wide-spread prefrontal hyperconnectivity that was found among the amphetamine users.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),subjective ratings,higher,"The sentence clearly supports the extracted claim, mentioning higher subjective ratings of impulsivity in amphetamine users compared to healthy controls, and a positive correlation with prefrontal hyperconnectivity.",,Llama 3.1 8B
5,29454934,Time scale properties of task and resting-state functional connectivity: Detrended partial cross-correlation analysis.,2018,NeuroImage,Barratt Impulsiveness Scale resting-state fMRI,default mode network,functional connectivity,impulsivity (general),Barratt Impulsiveness Scale,correlates_with,lower,,direct,0.8,"In regions of interest analysis, the within-network connectivity time scale of the pre-supplementary motor area - a medial prefrontal cortical structure of the task network and critical to proactive inhibitory control - correlated inversely with Barratt impulsivity and stop signal reaction time.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence clearly supports the extracted claim by stating a direct correlation between the within-network connectivity time scale of the pre-supplementary motor area and Barratt impulsivity, which is a measure of impulsivity. The direction of the correlation is also correctly identified as inverse, which corresponds to a lower correlation.",,Llama 3.1 8B
6,38002468,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,2023,Brain sciences,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Chronic Heroin Use Disorder,predicts,higher,insula connectivity abnormalities,direct,0.8,"Changes in FC between the right insula and the lateral occipital cortex and the right angular gyrus were significantly positively correlated with total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity, whereas changes in the FC between the left insula and the left superior frontal gyrus and left frontopolar brain region were significantly negatively correlated with trait impulsivity.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct relationship between insula connectivity abnormalities and impulsivity in the context of Chronic Heroin Use Disorder.",,Llama 3.1 8B
7,39469891,Functional Brain Network of Trait Impulsivity: Whole-Brain Functional Connectivity Predicts Self-Reported Impulsivity.,2024,Human brain mapping,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),healthy,predicts,higher,unknown,direct,0.8,Our findings revealed a widespread neural network associated with trait impulsivity and a notable correlation between predicted and observed scores.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,no,no,impulsivity (general),functional connectivity,,"The sentence mentions a correlation between predicted and observed scores, but it does not specify the feature type. The relationship is supported, but the direction is not explicitly stated.",,Llama 3.1 8B
8,37579016,"Resting-State Functional Connectivity of the Dorsal and Ventral Striatum, Impulsivity, and Severity of Use in Recently Abstinent Cocaine-Dependent Individuals.",2023,The international journal of neuropsychopharmacology,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),cocaine dependence,associated_with,higher,functional connectivity,direct,0.8,"In CDs, VS-left IFC and VS-hippocampus connectivity was positively and negatively correlated with average monthly cocaine use in the prior year, respectively.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity and functional connectivity in the context of cocaine dependence.",,Llama 3.1 8B
9,39313561,Motor impulsivity and spicy food craving: A mediation analysis of insula-based resting state functional connectivity.,2024,Brain imaging and behavior,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,motor impulsivity,unknown,correlates_with,higher,mediation,direct,0.8,"Results revealed increased insula-occipital lobe resting-state functional connectivity in individuals with spicy food cravings, and the positive correlations between insula-middle occipital gyrus rsFC, impulsivity and spicy food craving.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,motor impulsivity,functional connectivity,higher,"The sentence partially supports the claim, but the direction and directness need to be revised. The sentence mentions a correlation between insula-middle occipital gyrus rsFC, impulsivity, and spicy food craving, but it does not directly state that motor impulsivity correlates with higher functional connectivity. The corrected fields are provided to accurately reflect the claim.",,Llama 3.1 8B
10,32670033,Trait Impulsivity Associated With Altered Resting-State Functional Connectivity Within the Somatomotor Network.,2020,Frontiers in behavioral neuroscience,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),healthy individuals,associated_with,lower,altered resting-state functional connectivity,direct,0.8,"Across participants, we observed that greater self-reported impulsivity was associated with decreased connectivity of the right lateral occipital cortex (peak mm 46/-70/16, FWE 1-p = 0.981) with the somatomotor network.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity and decreased functional connectivity within the somatomotor network.",,Llama 3.1 8B
