record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,model_label,consensus_models,consensus_model_count
2,34427375,Changes in ALFF and ReHo values in methamphetamine abstinent individuals based on the Harvard-Oxford atlas: A longitudinal resting-state fMRI study.,2022,Addiction biology,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),methamphetamine abstinent individuals,associated_with,unclear,,indirect,0.8,"The changes in ALFF and ReHo in the right middle frontal gyrus were significantly associated with BIS total scores, BIS attention scores, and BIS nonplanning scores.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,associated with,"The sentence clearly supports the extracted claim, mentioning a specific brain region (right middle frontal gyrus) and its association with impulsivity (BIS total scores, BIS attention scores, and BIS nonplanning scores).",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
7,39469891,Functional Brain Network of Trait Impulsivity: Whole-Brain Functional Connectivity Predicts Self-Reported Impulsivity.,2024,Human brain mapping,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),healthy,predicts,higher,unknown,direct,0.8,Our findings revealed a widespread neural network associated with trait impulsivity and a notable correlation between predicted and observed scores.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,no,no,impulsivity (general),functional connectivity,,"The sentence mentions a correlation between predicted and observed scores, but it does not specify the feature type. The relationship is supported, but the direction is not explicitly stated.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
8,37579016,"Resting-State Functional Connectivity of the Dorsal and Ventral Striatum, Impulsivity, and Severity of Use in Recently Abstinent Cocaine-Dependent Individuals.",2023,The international journal of neuropsychopharmacology,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),cocaine dependence,associated_with,higher,functional connectivity,direct,0.8,"In CDs, VS-left IFC and VS-hippocampus connectivity was positively and negatively correlated with average monthly cocaine use in the prior year, respectively.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity and functional connectivity in the context of cocaine dependence.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
9,39313561,Motor impulsivity and spicy food craving: A mediation analysis of insula-based resting state functional connectivity.,2024,Brain imaging and behavior,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,motor impulsivity,unknown,correlates_with,higher,mediation,direct,0.8,"Results revealed increased insula-occipital lobe resting-state functional connectivity in individuals with spicy food cravings, and the positive correlations between insula-middle occipital gyrus rsFC, impulsivity and spicy food craving.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,motor impulsivity,functional connectivity,higher,"The sentence partially supports the claim, but the direction and directness need to be revised. The sentence mentions a correlation between insula-middle occipital gyrus rsFC, impulsivity, and spicy food craving, but it does not directly state that motor impulsivity correlates with higher functional connectivity. The corrected fields are provided to accurately reflect the claim.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
16,33519558,Impulsivity and Response Inhibition Related Brain Networks in Adolescents With Internet Gaming Disorder: A Preliminary Study Utilizing Resting-State fMRI.,2020,Frontiers in psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Internet Gaming Disorder,associated_with,higher,pre-frontal-striatal circuits,direct,0.8,"We found significant differences in impulsivity between the IGD group and RGU group, with members of the IGD group exhibiting higher impulsivity.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,no,yes,yes,yes,no,impulsivity (general),behavioral trait,higher,"The sentence directly supports the relationship between impulsivity and the IGD group, but it does not directly support the feature type (functional connectivity) or the brain system. The phenotype and direction are correctly supported.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
17,31264888,Striatal functional connectivity in chronic ketamine users: a pilot study.,2020,The American journal of drug and alcohol abuse,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,higher,,direct,0.7,"Compared to controls, ketamine users showed higher connectivity between caudate and dorsal anterior cingulate cortex and between pallidum and bilateral cerebellum.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence directly supports the association between impulsivity and functional connectivity, specifically higher connectivity in ketamine users compared to controls.",,Mistral 7B,Llama 3.1 8B;Mistral 7B,2
19,32651411,Increased large-scale inter-network connectivity in relation to impulsivity in Parkinson's disease.,2020,Scientific reports,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Parkinson's disease,associated_with,higher,increased connectivity,direct,0.9,FC between the right frontoparietal network (FPN) and medial visual network (MVN) was significantly higher in PD-HI patients than PD-LI patients (false discovery rate [FDR]-adjusted p = 0.0315).,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence directly supports the claim by stating a higher functional connectivity between two brain networks in PD-HI patients compared to PD-LI patients, which is associated with impulsivity in Parkinson's disease.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
22,38914808,Association between sleep problems and impulsivity mediated through regional homogeneity abnormalities in male methamphetamine abstainers.,2024,Brain imaging and behavior,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),methamphetamine abstainers,correlates_with,unclear,mediated,indirect,0.8,Results unveiled correlations between different dimensions of impulsivity and ReHo values in specific brain regions.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),BOLD variability,unclear,"The sentence partially supports the claim but needs revision or is indirect. The phenotype and feature are supported, but the direction is unclear and the directness is indirect. The corrected phenotype, feature type, and direction are provided.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
26,33158664,Delta resting-state functional connectivity in the cognitive control network as a prognostic factor for maintaining abstinence: An eLORETA preliminary study.,2021,Drug and alcohol dependence,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),alcohol dependence,predicts,higher,increased delta resting-state functional connectivity,direct,0.8,Regression analysis showed that the increased left frontoparietal delta connectivity in the early period of abstinence significantly predicted maintaining abstinence over the ensuing 12 months.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,,,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
30,24971323,A functional polymorphism of the MAOA gene modulates spontaneous brain activity in pons.,2014,BioMed research international,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),healthy male adolescents,correlates_with,lower,lower spontaneous brain activity in the pons,direct,0.8,"Compared with the MAOA-H group, the MAOA-L group showed significantly lower ALFFs in the pons.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,lower,"The sentence directly supports the claim by stating a correlation between the MAOA gene polymorphism and lower BOLD variability in the pons, which is associated with impulsivity.",,Llama 3.1 8B,Llama 3.1 8B;Mistral 7B,2
32,24200212,Striatal-insula circuits in cocaine addiction: implications for impulsivity and relapse risk.,2013,The American journal of drug and alcohol abuse,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),cocaine addiction,associated_with,higher,dysregulated striatal functioning and executive control deficits,indirect,0.8,"Impulsivity (BIS-11a) was higher in cocaine-addicted participants, an effect that was partially mediated by reduced putamen-posterior insula connectivity in this group.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a higher level of impulsivity in cocaine-addicted participants and a specific association with reduced putamen-posterior insula connectivity.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
33,32093319,"Random Forest Classification of Alcohol Use Disorder Using fMRI Functional Connectivity, Neuropsychological Functioning, and Impulsivity Measures.",2020,Brain sciences,Barratt Impulsiveness Scale resting-state fMRI,default mode network,functional connectivity,impulsivity (general),alcohol use disorder,associated_with,higher,,direct,0.8,Individuals with AUD also showed poorer memory performance and increased impulsivity compared to CTL individuals.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,yes,no,no,impulsivity (general),neuropsychological functioning,higher,"The sentence mentions impulsivity, but it is associated with neuropsychological functioning (poorer memory performance), not functional connectivity. The directness_supported field is false because the sentence does not name both phenotype and feature.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
34,27688124,Association between abnormal default mode network activity and suicidality in depressed adolescents.,2016,BMC psychiatry,Barratt Impulsiveness Scale resting-state fMRI,default mode network,functional connectivity,impulsivity (general),depressed adolescents,associated_with,higher,,direct,0.8,"Compared with the healthy controls, all of the evaluated depressed patients showed increased functional connectivity in select DMN regions.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,higher,"The sentence does not directly support the direction of 'higher' impulsivity, but rather increased functional connectivity in the DMN. The directness of the claim is also not fully supported as the sentence does not mention the feature of impulsivity.",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
36,20851718,Identification of hyperactive intrinsic amygdala network connectivity associated with impulsivity in abstinent heroin addicts.,2011,Behavioural brain research,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),abstinent heroin dependent,associated_with,higher,,direct,0.9,"In the HD group, higher impulsivity scores and significantly enhanced iAFC network activity were found, especially in bilateral thalamus, right insula, and inferior frontal gyrus.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,,,,The sentence clearly supports the extracted claim by stating a direct association between higher impulsivity scores and enhanced iAFC network activity in specific brain regions.,,Qwen 2.5 7B,Llama 3.1 8B;Mistral 7B;Qwen 2.5 7B,3
40,24223847,Reduced regional homogeneity in bilateral frontostriatal system relates to higher impulsivity behavior in codeine-containing cough syrups dependent individuals.,2013,PloS one,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),codeine-containing cough syrups dependent individuals,correlates_with,higher,,direct,0.8,"There were negative correlations between mean ReHo in the bilateral medial OFC, left dorsal striatum and duration of CCS use, BIS.11 total scores, and the subscale of attentional impulsivity in CCS-dependent individuals.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,higher,"The sentence clearly supports the extracted claim by mentioning a correlation between BOLD variability (ReHo) in specific brain regions and impulsivity behavior in CCS-dependent individuals. The direction of the correlation is also clearly stated as negative, which corresponds to higher impulsivity behavior. The sentence directly names both the phenotype (impulsivity) and the feature (BOLD variability), and the relationship is clearly stated as a correlation. The brain system is not explicitly mentioned, but it can be inferred from the brain regions mentioned (medial OFC and dorsal striatum).",,Llama 3.1 8B,Llama 3.1 8B;Qwen 2.5 7B,2
42,25008351,Altered intrinsic hippocmapus declarative memory network and its association with impulsivity in abstinent heroin dependent subjects.,2014,Behavioural brain research,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),abstinent heroin dependent subjects,associated_with,unclear,altered intrinsic functional link,direct,0.8,"Our results demonstrated that HD group showed enhanced coherence between hippocampus which represents declarative memory system and non-declarative reward-guided learning memory system, and also showed attenuated intrinsic functional link between hippocampus and top-down control system, compared to the CN group.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,unclear,"The sentence clearly supports the phenotype (impulsivity), feature (functional connectivity), relationship (associated_with), and direction (unclear) when stated. The direction is unclear, but the extracted direction captures the relevant part exactly.",,Mistral 7B,Llama 3.1 8B;Mistral 7B,2
