source,source_id,query,title,year,journal,brain_system,feature_type,phenotype,diagnostic_context,relationship,direction,mechanism,directness,evidence_strength,supporting_sentence,citation_id,extraction_model,extraction_confidence
pubmed,27942448,impulsivity neuroimaging functional connectivity,Brain connectivity aberrations in anabolic-androgenic steroid users.,2017,NeuroImage. Clinical,default-mode network (DMN),functional connectivity,impulsivity (general),anabolic-androgenic steroid users,reduced,unclear,disruptions of brain networks,direct,strong,"In line with the emotional and behavioral consequences of AAS, current users exhibited reduced functional connectivity between key nodes involved in emotional and cognitive regulation, in particular reduced connectivity between the amygdala and default-mode network (DMN) and between the dorsal attention network (DAN) and a frontal node encompassing the superior and inferior frontal gyri (SFG/IFG) and the anterior cingulate cortex (ACC), with further reductions as a function of dependency, lifetime exposure, and cycle state (on/off).",27942448,single_stage:llama-3.1-8b-instruct,high
pubmed,35040662,Barratt Impulsiveness Scale fMRI,Role of White Matter Microstructure in Impulsive Behavior.,2022,The Journal of neuropsychiatry and clinical neurosciences,white matter,unknown,impulsivity (general),healthy individuals,correlation,lower,altered cerebral white matter microstructure,unclear,significant,"Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007) and positively correlated with nonplanning impulsiveness (r=0.29, p=0.02); these correlations were significant after correction for multiple comparisons.",35040662,single_stage:llama-3.1-8b-instruct,high
pubmed,22749228,Barratt Impulsiveness Scale neuroimaging,Behavioral and cognitive impulsivity in obsessive-compulsive disorder and eating disorders.,2012,Psychiatry research,,unknown,unknown,clinical,increased,higher,Barratt Impulsiveness Scale (BIS-11),unclear,,"Compared to controls, both clinical groups reported higher levels of impulsivity on the BIS-11",22749228,single_stage:llama-3.1-8b-instruct,
pubmed,26745144,trait impulsivity resting-state fMRI,Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD.,2016,PloS one,,covariates,attentional impulsivity,ADHD,shared genetic influences,higher,pleiotropic genetic factors,unclear,moderate,"HM was moderately correlated with maternal reports of Inattention (r = 0.17, p-value = 7.4E-5) and Hyperactivity-Impulsivity (r = 0.16, p-value = 2.9E-4), and these associations were mainly due to pleiotropic genetic factors with genetic correlations [95% CIs] of rg = 0.24 [0.02, 0.43] and rg = 0.23 [0.07, 0.39].",26745144,single_stage:llama-3.1-8b-instruct,high
pubmed,32464339,Barratt Impulsiveness Scale fMRI,Investigation of structure-function correlation among the young offspring of patients with bipolar disorder.,2020,Psychiatry research. Neuroimaging,cingulum,unknown,attentional impulsivity,young offspring of patients with bipolar disorder,correlated,higher,,unclear,,MD values in the cingulum were inversely correlated with the Child and Youth Resilience Measure and positively correlated with higher scores on the Barratt Impulsiveness Scale-Attentional.,32464339,single_stage:llama-3.1-8b-instruct,
pubmed,38002468,Barratt Impulsiveness Scale resting-state fMRI,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,2023,Brain sciences,insula,functional connectivity,impulsivity (general),Chronic Heroin Use Disorder,predict,higher,functional connectivity,unclear,,"Changes in FC between the right insula and the lateral occipital cortex and the right angular gyrus were significantly positively correlated with total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity,",38002468,single_stage:llama-3.1-8b-instruct,1.0
pubmed,31401546,impulsivity fMRI functional connectivity,Functional connectivity of emotional well-being: Overconnectivity between default and attentional networks is associated with attitudes of anger and aggression.,2019,Psychiatry research. Neuroimaging,default and attentional networks,functional connectivity,unknown,,associated with,higher,impaired effortful control and decreased response inhibition,unclear,,"Additionally, functional connectivity between the default and attentional networks was positively correlated with scores of attitudes of anger and aggression.",31401546,single_stage:llama-3.1-8b-instruct,
pubmed,33304251,ADHD impulsivity resting-state fMRI connectivity,Neural Basis of Increased Cognitive Control of Impulsivity During the Mid-Luteal Phase Relative to the Late Follicular Phase of the Menstrual Cycle.,2020,Frontiers in human neuroscience,dorsal lateral prefrontal cortex (dlPFC),functional connectivity,impulsivity (general),attention deficit hyperactivity disorder,correlated,lower,estradiol levels,unclear,consistent with previous findings,"DS-dlPFC functional connectivity magnitude correlated negatively with psychometric impulsivity scores during the late FP, consistent with our behavioral data and further indicating that relative estradiol levels may play an important role in augmenting cognitive control.",33304251,single_stage:llama-3.1-8b-instruct,high
pubmed,31907881,motor impulsivity functional connectivity,Human Brain Imaging Links Dopaminergic Systems to Impulsivity.,2020,Current topics in behavioral neurosciences,dopaminergic systems,functional connectivity,impulsivity (general),,links,higher,striatal D2-type dopamine receptors and corticostriatal connectivity,unclear,strong,"Low levels of striatal and midbrain D2-type receptor availability correlate with self-reported impulsivity, whereas striatal D2-type receptor availability shows positive correlation with motor response inhibition and cognitive flexibility.",31907881,single_stage:llama-3.1-8b-instruct,
pubmed,31886611,impulsivity fMRI functional connectivity,Dorsal striatal functional connectivity changes in Internet gaming disorder: A longitudinal magnetic resonance imaging study.,2021,Addiction biology,dorsal striatum,functional connectivity,unknown,longitudinal follow-up,decreased,unclear,uncontrolled gaming,unclear,significant,They exhibited decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC) compared with controls.,31886611,single_stage:llama-3.1-8b-instruct,high
pubmed,39218589,motor impulsivity functional connectivity,[A review of functional electrical stimulation based on brain-computer interface].,2024,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,central nervous system,unknown,motor impulsivity,sequelae of neurological diseases,promotes reconstruction,unclear,electrical impulses,unclear,effective treatment,"Functional electrical stimulation (FES) based on brain-computer interface (BCI) connects the patient's intentions with muscle contraction, and helps to promote the reconstruction of nerve function by recognizing nerve signals and stimulating the moving muscle group with electrical impulses to produce muscle convulsions or limb movements.",39218589,single_stage:llama-3.1-8b-instruct,high
pubmed,37086305,Barratt Impulsiveness Scale resting-state fMRI,"Emotion dysregulation, impulsivity and anger rumination in borderline personality disorder: the role of amygdala and insula.",2024,European archives of psychiatry and clinical neuroscience,amygdala,functional connectivity,impulsivity (general),borderline personality disorder,correlation,lower,,unclear,,"Reduced functional connectivity was found in BPD between amygdala and frontal pole, precuneus and temporal pole. This functional connectivity alterations correlated with Barratt Impulsiveness Scale (p = 0.020; r = - 0.447).",37086305,single_stage:llama-3.1-8b-instruct,1.0
