id,set,method,score,native_pred
gptv_0001,s300,minicheck-bespoke-7b,0.009708,0
gptv_0002,s300,minicheck-bespoke-7b,0.009708,0
gptv_0004,s300,minicheck-bespoke-7b,0.017985,0
gptv_0005,s300,minicheck-bespoke-7b,0.095330,0
gptv_0006,s300,minicheck-bespoke-7b,0.201757,0
gptv_0007,s300,minicheck-bespoke-7b,0.067537,0
gptv_0008,s300,minicheck-bespoke-7b,0.148017,0
gptv_0009,s300,minicheck-bespoke-7b,0.182369,0
gptv_0010,s300,minicheck-bespoke-7b,0.075844,0
gptv_0011,s300,minicheck-bespoke-7b,0.320685,0
gptv_0012,s300,minicheck-bespoke-7b,0.017985,0
gptv_0013,s300,minicheck-bespoke-7b,0.119169,0
gptv_0014,s300,minicheck-bespoke-7b,0.147997,0
gptv_0015,s300,minicheck-bespoke-7b,0.075846,0
gptv_0016,s300,minicheck-bespoke-7b,0.067537,0
gptv_0017,s300,minicheck-bespoke-7b,0.201741,0
gptv_0018,s300,minicheck-bespoke-7b,0.047420,0
gptv_0019,s300,minicheck-bespoke-7b,0.294071,0
gptv_0020,s300,minicheck-bespoke-7b,0.015905,0
gptv_0021,s300,minicheck-bespoke-7b,0.164471,0
gptv_0022,s300,minicheck-bespoke-7b,0.499745,0
gptv_0023,s300,minicheck-bespoke-7b,0.164466,0
gptv_0024,s300,minicheck-bespoke-7b,0.003593,0
gptv_0025,s300,minicheck-bespoke-7b,0.015905,0
gptv_0026,s300,minicheck-bespoke-7b,0.106667,0
gptv_0028,s300,minicheck-bespoke-7b,0.004070,0
gptv_0029,s300,minicheck-bespoke-7b,0.294093,0
gptv_0030,s300,minicheck-bespoke-7b,0.009708,0
gptv_0031,s300,minicheck-bespoke-7b,0.008577,0
gptv_0033,s300,minicheck-bespoke-7b,0.075845,0
gptv_0034,s300,minicheck-bespoke-7b,0.004609,0
gptv_0035,s300,minicheck-bespoke-7b,0.025955,0
gptv_0036,s300,minicheck-bespoke-7b,0.119180,0
gptv_0037,s300,minicheck-bespoke-7b,0.009708,0
gptv_0038,s300,minicheck-bespoke-7b,0.085083,0
gptv_0039,s300,minicheck-bespoke-7b,0.222628,0
gptv_0040,s300,minicheck-bespoke-7b,0.085083,0
gptv_0041,s300,minicheck-bespoke-7b,0.005220,0
gptv_0043,s300,minicheck-bespoke-7b,0.029309,0
gptv_0044,s300,minicheck-bespoke-7b,0.754651,1
gptv_0045,s300,minicheck-bespoke-7b,0.067535,0
gptv_0046,s300,minicheck-bespoke-7b,0.164462,0
gptv_0047,s300,minicheck-bespoke-7b,0.010986,0
gptv_0048,s300,minicheck-bespoke-7b,0.033082,0
gptv_0049,s300,minicheck-bespoke-7b,0.182369,0
gptv_0050,s300,minicheck-bespoke-7b,0.008577,0
gptv_0051,s300,minicheck-bespoke-7b,0.017985,0
gptv_0052,s300,minicheck-bespoke-7b,0.437578,0
gptv_0053,s300,minicheck-bespoke-7b,0.164474,0
gptv_0054,s300,minicheck-bespoke-7b,0.132931,0
gptv_0055,s300,minicheck-bespoke-7b,0.320668,0
gptv_0056,s300,minicheck-bespoke-7b,0.022975,0
gptv_0057,s300,minicheck-bespoke-7b,0.320657,0
gptv_0058,s300,minicheck-bespoke-7b,0.015905,0
gptv_0059,s300,minicheck-bespoke-7b,0.705490,1
gptv_0061,s300,minicheck-bespoke-7b,0.037323,0
gptv_0062,s300,minicheck-bespoke-7b,0.085084,0
gptv_0063,s300,minicheck-bespoke-7b,0.047420,0
gptv_0064,s300,minicheck-bespoke-7b,0.003173,0
gptv_0065,s300,minicheck-bespoke-7b,0.004609,0
gptv_0066,s300,minicheck-bespoke-7b,0.164472,0
gptv_0067,s300,minicheck-bespoke-7b,0.797884,1
gptv_0068,s300,minicheck-bespoke-7b,0.006693,0
gptv_0069,s300,minicheck-bespoke-7b,0.004609,0
gptv_0070,s300,minicheck-bespoke-7b,0.132924,0
gptv_0071,s300,minicheck-bespoke-7b,0.020331,0
gptv_0072,s300,minicheck-bespoke-7b,0.042082,0
gptv_0073,s300,minicheck-bespoke-7b,0.164474,0
gptv_0074,s300,minicheck-bespoke-7b,0.651041,1
gptv_0075,s300,minicheck-bespoke-7b,0.244984,0
gptv_0076,s300,minicheck-bespoke-7b,0.222618,0
gptv_0077,s300,minicheck-bespoke-7b,0.119179,0
gptv_0078,s300,minicheck-bespoke-7b,0.407131,0
gptv_0079,s300,minicheck-bespoke-7b,0.244998,0
gptv_0080,s300,minicheck-bespoke-7b,0.060077,0
gptv_0081,s300,minicheck-bespoke-7b,0.005220,0
gptv_0082,s300,minicheck-bespoke-7b,0.164463,0
gptv_0083,s300,minicheck-bespoke-7b,0.067535,0
gptv_0084,s300,minicheck-bespoke-7b,0.017985,0
gptv_0085,s300,minicheck-bespoke-7b,0.003173,0
gptv_0086,s300,minicheck-bespoke-7b,0.002801,0
gptv_0087,s300,minicheck-bespoke-7b,0.148011,0
gptv_0088,s300,minicheck-bespoke-7b,0.004609,0
gptv_0089,s300,minicheck-bespoke-7b,0.320666,0
gptv_0090,s300,minicheck-bespoke-7b,0.182383,0
gptv_0091,s300,minicheck-bespoke-7b,0.377344,0
gptv_0092,s300,minicheck-bespoke-7b,0.022976,0
gptv_0093,s300,minicheck-bespoke-7b,0.037323,0
gptv_0094,s300,minicheck-bespoke-7b,0.015905,0
gptv_0095,s300,minicheck-bespoke-7b,0.003593,0
gptv_0096,s300,minicheck-bespoke-7b,0.022975,0
gptv_0097,s300,minicheck-bespoke-7b,0.268833,0
gptv_0098,s300,minicheck-bespoke-7b,0.047420,0
gptv_0099,s300,minicheck-bespoke-7b,0.651064,1
gptv_0100,s300,minicheck-bespoke-7b,0.012431,0
gptv_0101,s300,minicheck-bespoke-7b,0.004070,0
gptv_0102,s300,minicheck-bespoke-7b,0.164476,0
gptv_0103,s300,minicheck-bespoke-7b,0.348504,0
gptv_0104,s300,minicheck-bespoke-7b,0.060075,0
gptv_0105,s300,minicheck-bespoke-7b,0.017985,0
gptv_0106,s300,minicheck-bespoke-7b,0.002801,0
gptv_0107,s300,minicheck-bespoke-7b,0.095330,0
gptv_0108,s300,minicheck-bespoke-7b,0.033083,0
gptv_0109,s300,minicheck-bespoke-7b,0.222644,0
gptv_0110,s300,minicheck-bespoke-7b,0.053396,0
gptv_0111,s300,minicheck-bespoke-7b,0.245018,0
gptv_0112,s300,minicheck-bespoke-7b,0.009708,0
gptv_0113,s300,minicheck-bespoke-7b,0.320691,0
gptv_0114,s300,minicheck-bespoke-7b,0.407134,0
gptv_0115,s300,minicheck-bespoke-7b,0.037322,0
gptv_0116,s300,minicheck-bespoke-7b,0.005220,0
gptv_0117,s300,minicheck-bespoke-7b,0.014063,0
gptv_0118,s300,minicheck-bespoke-7b,0.004609,0
gptv_0119,s300,minicheck-bespoke-7b,0.348452,0
gptv_0120,s300,minicheck-bespoke-7b,0.006693,0
gptv_0122,s300,minicheck-bespoke-7b,0.651060,1
gptv_0123,s300,minicheck-bespoke-7b,0.817309,1
gptv_0124,s300,minicheck-bespoke-7b,0.053395,0
gptv_0125,s300,minicheck-bespoke-7b,0.007577,0
gptv_0126,s300,minicheck-bespoke-7b,0.067535,0
gptv_0128,s300,minicheck-bespoke-7b,0.017985,0
gptv_0130,s300,minicheck-bespoke-7b,0.022976,0
gptv_0131,s300,minicheck-bespoke-7b,0.075847,0
gptv_0132,s300,minicheck-bespoke-7b,0.003173,0
gptv_0133,s300,minicheck-bespoke-7b,0.106669,0
gptv_0134,s300,minicheck-bespoke-7b,0.042083,0
gptv_0135,s300,minicheck-bespoke-7b,0.119173,0
gptv_0136,s300,minicheck-bespoke-7b,0.182380,0
gptv_0137,s300,minicheck-bespoke-7b,0.012431,0
gptv_0138,s300,minicheck-bespoke-7b,0.017985,0
gptv_0140,s300,minicheck-bespoke-7b,0.377359,0
