pmid,raw_response,parse_error
27942448,"{""kb_record"": {""source"": ""PMID: 27942448"", ""source_id"": ""PMID: 27942448"", ""query"": ""impulsivity neuroimaging functional connectivity"", ""title"": ""Brain connectivity aberrations in anabolic-androgenic steroid users."", ""year"": 2017, ""journal"": ""NeuroImage. Clinical"", ""brain_system"": ""default-mode network (DMN)"", ""feature_type"": ""functional connectivity"", ""phenotype"": ""impulsivity"", ""diagnostic_context"": ""anabolic-androgenic steroid users"", ""relationship"": ""reduced"", ""direction"": ""between"", ""mechanism"": ""disruptions of brain networks"", ""directness"": ""direct"", ""evidence_strength"": ""strong"", ""supporting_sentence"": ""In line with the emotional and behavioral consequences of AAS, current users exhibited reduced functional connectivity between key nodes involved in emotional and cognitive regulation, in particular reduced connectivity between the amygdala and default-mode network (DMN) and between the dorsal attention network (DAN) and a frontal node encompassing the superior and inferior frontal gyri (SFG/IFG) and the anterior cingulate cortex (ACC), with further reductions as a function of dependency, lifetime exposure, and cycle state (on/off)."", ""citation_id"": ""PMID: 27942448"", ""extraction_model"": ""manual"", ""extraction_confidence"": ""high""}, ""self_verification"": {""support_score"": 1, ""decision"": ""verified"", ""phenotype_supported"": true, ""feature_supported"": true, ""relationship_supported"": true, ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": false, ""rationale"": ""The supporting sentence directly states the relationship between AAS use and reduced functional connectivity in the DMN, which is a key node involved in emotional and cognitive regulation.""}}",
35040662,"{""kb_record"": {""source"": ""PMID: 35040662"", ""source_id"": ""35040662"", ""query"": ""Barratt Impulsiveness Scale fMRI"", ""title"": ""Role of White Matter Microstructure in Impulsive Behavior"", ""year"": 2022, ""journal"": ""The Journal of neuropsychiatry and clinical neurosciences"", ""brain_system"": ""white matter"", ""feature_type"": ""microstructure"", ""phenotype"": ""impulsive behavior"", ""diagnostic_context"": ""healthy individuals"", ""relationship"": ""correlation"", ""direction"": ""inverse"", ""mechanism"": ""altered cerebral white matter microstructure"", ""directness"": ""whole-brain and regional"", ""evidence_strength"": ""significant"", ""supporting_sentence"": ""Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007) and positively correlated with nonplanning impulsiveness (r=0.29, p=0.02); these correlations were significant after correction for multiple comparisons."", ""citation_id"": ""PMID: 35040662"", ""extraction_model"": ""manual"", ""extraction_confidence"": ""high""}, ""self_verification"": {""support_score"": 1, ""decision"": ""verified"", ""phenotype_supported"": true, ""feature_supported"": true, ""relationship_supported"": true, ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": false, ""rationale"": ""The supporting sentence directly states the correlation between white matter microstructure and impulsive behavior, and the evidence is significant after correction for multiple comparisons.""}}",
22749228,"{""kb_record"": {""source"": ""PMID: 22749228"", ""source_id"": ""PMID: 22749228"", ""query"": ""Barratt Impulsiveness Scale neuroimaging"", ""title"": ""Behavioral and cognitive impulsivity in obsessive-compulsive disorder and eating disorders."", ""year"": 2012, ""journal"": ""Psychiatry research"", ""brain_system"": null, ""feature_type"": ""impulsivity"", ""phenotype"": ""obsessive-compulsive disorder"", ""diagnostic_context"": ""clinical"", ""relationship"": ""increased"", ""direction"": ""higher"", ""mechanism"": ""Barratt Impulsiveness Scale (BIS-11)"", ""directness"": ""self-reported"", ""evidence_strength"": null, ""supporting_sentence"": ""Compared to controls, both clinical groups reported higher levels of impulsivity on the BIS-11"", ""citation_id"": ""PMID: 22749228"", ""extraction_model"": null, ""extraction_confidence"": null}, ""self_verification"": {""support_score"": 1, ""decision"": ""verified"", ""phenotype_supported"": true, ""feature_supported"": true, ""relationship_supported"": true, ""direction_supported"": true, ""directness_supported"": false, ""overclaiming"": false, ""rationale"": ""The supporting sentence directly states that both clinical groups reported higher levels of impulsivity on the BIS-11, which matches the extracted relationship and direction.""}}",
26745144,"{""kb_record"": {""source"": ""PloS one"", ""source_id"": ""PMID: 26745144"", ""query"": ""trait impulsivity resting-state fMRI"", ""title"": ""Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD"", ""year"": 2016, ""journal"": ""PloS one"", ""brain_system"": null, ""feature_type"": ""head motion"", ""phenotype"": ""Inattention/Hyperactivity-Impulsivity"", ""diagnostic_context"": ""ADHD"", ""relationship"": ""shared genetic influences"", ""direction"": ""positive"", ""mechanism"": ""pleiotropic genetic factors"", ""directness"": ""mainly due to"", ""evidence_strength"": ""moderate"", ""supporting_sentence"": ""HM was moderately correlated with maternal reports of Inattention (r = 0.17, p-value = 7.4E-5) and Hyperactivity-Impulsivity (r = 0.16, p-value = 2.9E-4), and these associations were mainly due to pleiotropic genetic factors with genetic correlations [95% CIs] of rg = 0.24 [0.02, 0.43] and rg = 0.23 [0.07, 0.39]."", ""citation_id"": ""PMID: 26745144"", ""extraction_model"": ""manual"", ""extraction_confidence"": ""high""}, ""self_verification"": {""support_score"": 1, ""decision"": ""verified"", ""phenotype_supported"": true, ""feature_supported"": true, ""relationship_supported"": true, ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": false, ""rationale"": ""The abstract clearly states that head motion is moderately correlated with maternal reports of Inattention and Hyperactivity-Impulsivity, and that these associations are mainly due to pleiotropic genetic factors.""}}",
32464339,"{""kb_record"": {""source"": ""PMID: 32464339"", ""source_id"": ""32464339"", ""query"": ""Barratt Impulsiveness Scale fMRI"", ""title"": ""Investigation of structure-function correlation among the young offspring of patients with bipolar disorder"", ""year"": 2020, ""journal"": ""Psychiatry research. Neuroimaging"", ""brain_system"": ""cingulum"", ""feature_type"": ""diffusivity"", ""phenotype"": ""higher scores on the Barratt Impulsiveness Scale-Attentional"", ""diagnostic_context"": ""young offspring of patients with bipolar disorder"", ""relationship"": ""correlated"", ""direction"": ""positive"", ""mechanism"": null, ""directness"": null, ""evidence_strength"": null, ""supporting_sentence"": ""MD values in the cingulum were inversely correlated with the Child and Youth Resilience Measure and positively correlated with higher scores on the Barratt Impulsiveness Scale-Attentional."", ""citation_id"": ""PMID: 32464339"", ""extraction_model"": null, ""extraction_confidence"": null}, ""self_verification"": {""support_score"": 1, ""decision"": ""verified"", ""phenotype_supported"": true, ""feature_supported"": true, ""relationship_supported"": true, ""direction_supported"": true, ""directness_supported"": false, ""overclaiming"": false, ""rationale"": ""The supporting sentence explicitly states the relationship between MD values in the cingulum and higher scores on the Barratt Impulsiveness Scale-Attentional.""}}",
38002468,"{""kb_record"": {""source"": ""Brain sciences"", ""source_id"": ""PMID: 38002468"", ""query"": ""Barratt Impulsiveness Scale resting-state fMRI"", ""title"": ""Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study"", ""year"": 2023, ""journal"": ""Brain sciences"", ""brain_system"": ""insula"", ""feature_type"": ""connectivity"", ""phenotype"": ""impulsivity"", ""diagnostic_context"": ""Chronic Heroin Use Disorder"", ""relationship"": ""predict"", ""direction"": ""positive"", ""mechanism"": ""functional connectivity"", ""directness"": ""intrinsic"", ""evidence_strength"": null, ""supporting_sentence"": ""Changes in FC between the right insula and the lateral occipital cortex and the right angular gyrus were significantly positively correlated with total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity,"", ""citation_id"": ""PMID: 38002468"", ""extraction_model"": ""manual"", ""extraction_confidence"": 1.0}, ""self_verification"": {""support_score"": 1.0, ""decision"": ""verified"", ""phenotype_supported"": true, ""feature_supported"": true, ""relationship_supported"": true, ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": false, ""rationale"": ""The abstract clearly states that changes in FC between the right insula and the lateral occipital cortex and the right angular gyrus were significantly positively correlated with total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity.""}}",
31401546,"{""kb_record"": {""source"": ""Human Connectome Project 1200 Subjects Data Release"", ""source_id"": null, ""query"": ""impulsivity fMRI functional connectivity"", ""title"": ""Functional connectivity of emotional well-being: Overconnectivity between default and attentional networks is associated with attitudes of anger and aggression."", ""year"": 2019, ""journal"": ""Psychiatry research. Neuroimaging"", ""brain_system"": ""default and attentional networks"", ""feature_type"": ""functional connectivity"", ""phenotype"": ""attitudes of anger and aggression"", ""diagnostic_context"": null, ""relationship"": ""associated with"", ""direction"": ""positive"", ""mechanism"": ""impaired effortful control and decreased response inhibition"", ""directness"": null, ""evidence_strength"": null, ""supporting_sentence"": ""Additionally, functional connectivity between the default and attentional networks was positively correlated with scores of attitudes of anger and aggression."", ""citation_id"": ""PMID: 31401546"", ""extraction_model"": null, ""extraction_confidence"": null}, ""self_verification"": {""support_score"": 1, ""decision"": ""verified"", ""phenotype_supported"": true, ""feature_supported"": true, ""relationship_supported"": true, ""direction_supported"": true, ""directness_supported"": false, ""overclaiming"": false, ""rationale"": ""The supporting sentence directly states the relationship between the default and attentional networks and attitudes of anger and aggression.""}}",
33304251,"{""kb_record"": {""source"": ""Frontiers in human neuroscience"", ""source_id"": ""PMID: 33304251"", ""query"": ""ADHD impulsivity resting-state fMRI connectivity"", ""title"": ""Neural Basis of Increased Cognitive Control of Impulsivity During the Mid-Luteal Phase Relative to the Late Follicular Phase of the Menstrual Cycle."", ""year"": 2020, ""journal"": ""Frontiers in human neuroscience"", ""brain_system"": ""dorsal lateral prefrontal cortex (dlPFC)"", ""feature_type"": ""functional connectivity"", ""phenotype"": ""impulsivity"", ""diagnostic_context"": ""attention deficit hyperactivity disorder"", ""relationship"": ""correlated"", ""direction"": ""negative"", ""mechanism"": ""estradiol levels"", ""directness"": ""via DS-dlPFC circuitry"", ""evidence_strength"": ""consistent with previous findings"", ""supporting_sentence"": ""DS-dlPFC functional connectivity magnitude correlated negatively with psychometric impulsivity scores during the late FP, consistent with our behavioral data and further indicating that relative estradiol levels may play an important role in augmenting cognitive control."", ""citation_id"": ""PMID: 33304251"", ""extraction_model"": ""manual"", ""extraction_confidence"": ""high""}, ""self_verification"": {""support_score"": 1, ""decision"": ""verified"", ""phenotype_supported"": true, ""feature_supported"": true, ""relationship_supported"": true, ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": false, ""rationale"": ""The supporting sentence clearly states that DS-dlPFC functional connectivity magnitude correlated negatively with psychometric impulsivity scores during the late FP, which is consistent with the relationship and direction specified in the KB record.""}}",
31907881,"{""kb_record"": {""source"": ""Current topics in behavioral neurosciences"", ""source_id"": ""PMID: 31907881"", ""query"": ""motor impulsivity functional connectivity"", ""title"": ""Human Brain Imaging Links Dopaminergic Systems to Impulsivity"", ""year"": 2020, ""journal"": ""Current topics in behavioral neurosciences"", ""brain_system"": ""dopaminergic systems"", ""feature_type"": ""functional connectivity"", ""phenotype"": ""impulsivity"", ""diagnostic_context"": null, ""relationship"": ""links"", ""direction"": ""positive"", ""mechanism"": ""striatal D2-type dopamine receptors and corticostriatal connectivity"", ""directness"": ""strong evidence"", ""evidence_strength"": ""strong"", ""supporting_sentence"": ""Low levels of striatal and midbrain D2-type receptor availability correlate with self-reported impulsivity, whereas striatal D2-type receptor availability shows positive correlation with motor response inhibition and cognitive flexibility."", ""citation_id"": ""PMID: 31907881"", ""extraction_model"": null, ""extraction_confidence"": null}, ""self_verification"": {""support_score"": 1.0, ""decision"": ""verified"", ""phenotype_supported"": true, ""feature_supported"": true, ""relationship_supported"": true, ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": false, ""rationale"": ""The abstract clearly states that low levels of striatal and midbrain D2-type receptor availability correlate with self-reported impulsivity, and that striatal D2-type receptor availability shows positive correlation with motor response inhibition and cognitive flexibility.""}}",
31886611,"{""kb_record"": {""source"": ""Addiction biology"", ""source_id"": ""PMID: 31886611"", ""query"": ""impulsivity fMRI functional connectivity"", ""title"": ""Dorsal striatal functional connectivity changes in Internet gaming disorder: A longitudinal magnetic resonance imaging study."", ""year"": 2021, ""journal"": ""Addiction biology"", ""brain_system"": ""dorsal striatum"", ""feature_type"": ""functional connectivity"", ""phenotype"": ""Internet gaming disorder"", ""diagnostic_context"": ""longitudinal follow-up"", ""relationship"": ""decreased"", ""direction"": ""between the left dorsal putamen and left medial prefrontal cortex (mPFC)"", ""mechanism"": ""uncontrolled gaming"", ""directness"": ""functional neural changes"", ""evidence_strength"": ""significant"", ""supporting_sentence"": ""They exhibited decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC) compared with controls."", ""citation_id"": ""PMID: 31886611"", ""extraction_model"": ""manual"", ""extraction_confidence"": ""high""}, ""self_verification"": {""support_score"": 1, ""decision"": ""verified"", ""phenotype_supported"": true, ""feature_supported"": true, ""relationship_supported"": true, ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": false, ""rationale"": ""The supporting sentence directly states the relationship between the dorsal putamen and mPFC in individuals with IGD.""}}",
