id,set,method,score,native_pred
gptv_0001,s300,minicheck-flan-t5,0.021662,0
gptv_0002,s300,minicheck-flan-t5,0.025149,0
gptv_0004,s300,minicheck-flan-t5,0.103608,0
gptv_0005,s300,minicheck-flan-t5,0.049796,0
gptv_0006,s300,minicheck-flan-t5,0.128155,0
gptv_0007,s300,minicheck-flan-t5,0.025329,0
gptv_0008,s300,minicheck-flan-t5,0.105151,0
gptv_0009,s300,minicheck-flan-t5,0.079272,0
gptv_0010,s300,minicheck-flan-t5,0.052048,0
gptv_0011,s300,minicheck-flan-t5,0.077589,0
gptv_0012,s300,minicheck-flan-t5,0.046655,0
gptv_0013,s300,minicheck-flan-t5,0.101311,0
gptv_0014,s300,minicheck-flan-t5,0.072463,0
gptv_0015,s300,minicheck-flan-t5,0.039739,0
gptv_0016,s300,minicheck-flan-t5,0.697701,1
gptv_0017,s300,minicheck-flan-t5,0.023262,0
gptv_0018,s300,minicheck-flan-t5,0.031297,0
gptv_0019,s300,minicheck-flan-t5,0.066174,0
gptv_0020,s300,minicheck-flan-t5,0.028785,0
gptv_0021,s300,minicheck-flan-t5,0.046864,0
gptv_0022,s300,minicheck-flan-t5,0.082680,0
gptv_0023,s300,minicheck-flan-t5,0.028565,0
gptv_0024,s300,minicheck-flan-t5,0.019549,0
gptv_0025,s300,minicheck-flan-t5,0.026748,0
gptv_0026,s300,minicheck-flan-t5,0.072191,0
gptv_0028,s300,minicheck-flan-t5,0.025505,0
gptv_0029,s300,minicheck-flan-t5,0.018863,0
gptv_0030,s300,minicheck-flan-t5,0.020903,0
gptv_0031,s300,minicheck-flan-t5,0.018947,0
gptv_0033,s300,minicheck-flan-t5,0.065142,0
gptv_0034,s300,minicheck-flan-t5,0.011255,0
gptv_0035,s300,minicheck-flan-t5,0.062267,0
gptv_0036,s300,minicheck-flan-t5,0.096309,0
gptv_0037,s300,minicheck-flan-t5,0.061090,0
gptv_0038,s300,minicheck-flan-t5,0.026121,0
gptv_0039,s300,minicheck-flan-t5,0.866556,1
gptv_0040,s300,minicheck-flan-t5,0.044672,0
gptv_0041,s300,minicheck-flan-t5,0.022030,0
gptv_0043,s300,minicheck-flan-t5,0.026886,0
gptv_0044,s300,minicheck-flan-t5,0.145311,0
gptv_0045,s300,minicheck-flan-t5,0.037132,0
gptv_0046,s300,minicheck-flan-t5,0.048019,0
gptv_0047,s300,minicheck-flan-t5,0.023673,0
gptv_0048,s300,minicheck-flan-t5,0.037584,0
gptv_0049,s300,minicheck-flan-t5,0.051005,0
gptv_0050,s300,minicheck-flan-t5,0.019156,0
gptv_0051,s300,minicheck-flan-t5,0.020150,0
gptv_0052,s300,minicheck-flan-t5,0.118554,0
gptv_0053,s300,minicheck-flan-t5,0.130817,0
gptv_0054,s300,minicheck-flan-t5,0.035734,0
gptv_0055,s300,minicheck-flan-t5,0.294540,0
gptv_0056,s300,minicheck-flan-t5,0.018533,0
gptv_0057,s300,minicheck-flan-t5,0.097890,0
gptv_0058,s300,minicheck-flan-t5,0.089785,0
gptv_0059,s300,minicheck-flan-t5,0.091605,0
gptv_0061,s300,minicheck-flan-t5,0.031278,0
gptv_0062,s300,minicheck-flan-t5,0.306135,0
gptv_0063,s300,minicheck-flan-t5,0.029079,0
gptv_0064,s300,minicheck-flan-t5,0.021600,0
gptv_0065,s300,minicheck-flan-t5,0.042404,0
gptv_0066,s300,minicheck-flan-t5,0.683648,1
gptv_0067,s300,minicheck-flan-t5,0.953519,1
gptv_0068,s300,minicheck-flan-t5,0.022757,0
gptv_0069,s300,minicheck-flan-t5,0.033417,0
gptv_0070,s300,minicheck-flan-t5,0.144424,0
gptv_0071,s300,minicheck-flan-t5,0.017519,0
gptv_0072,s300,minicheck-flan-t5,0.032479,0
gptv_0073,s300,minicheck-flan-t5,0.040007,0
gptv_0074,s300,minicheck-flan-t5,0.034189,0
gptv_0075,s300,minicheck-flan-t5,0.023839,0
gptv_0076,s300,minicheck-flan-t5,0.037201,0
gptv_0077,s300,minicheck-flan-t5,0.062574,0
gptv_0078,s300,minicheck-flan-t5,0.063571,0
gptv_0079,s300,minicheck-flan-t5,0.085842,0
gptv_0080,s300,minicheck-flan-t5,0.038364,0
gptv_0081,s300,minicheck-flan-t5,0.021012,0
gptv_0082,s300,minicheck-flan-t5,0.026771,0
gptv_0083,s300,minicheck-flan-t5,0.068432,0
gptv_0084,s300,minicheck-flan-t5,0.021127,0
gptv_0085,s300,minicheck-flan-t5,0.024578,0
gptv_0086,s300,minicheck-flan-t5,0.013516,0
gptv_0087,s300,minicheck-flan-t5,0.044175,0
gptv_0088,s300,minicheck-flan-t5,0.039823,0
gptv_0089,s300,minicheck-flan-t5,0.019479,0
gptv_0090,s300,minicheck-flan-t5,0.096962,0
gptv_0091,s300,minicheck-flan-t5,0.140141,0
gptv_0092,s300,minicheck-flan-t5,0.055311,0
