source,source_id,query,title,year,journal,brain_system,feature_type,phenotype,diagnostic_context,relationship,direction,mechanism,directness,evidence_strength,supporting_sentence,citation_id,extraction_model,extraction_confidence
pubmed,27942448,impulsivity neuroimaging functional connectivity,Brain connectivity aberrations in anabolic-androgenic steroid users.,2017,NeuroImage. Clinical,"amygdala, default-mode network (DMN), dorsal attention network (DAN), frontal node encompassing the superior and inferior frontal gyri (SFG/IFG) and the anterior cingulate cortex (ACC)",functional connectivity,unknown,anabolic-androgenic steroid (AAS) users,association,lower,disruptions of brain networks with high concentrations of androgen receptors and critically involved in emotional and cognitive regulation,indirect,moderate,"In line with the emotional and behavioral consequences of AAS, current users exhibited reduced functional connectivity between key nodes involved in emotional and cognitive regulation, in particular reduced connectivity between the amygdala and default-mode network (DMN) and between the dorsal attention network (DAN) and a frontal node encompassing the superior and inferior frontal gyri (SFG/IFG) and the anterior cingulate cortex (ACC), with further reductions as a function of dependency, lifetime exposure, and cycle state (on/off).",27942448,single_stage:qwen2.5-7b-instruct,
pubmed,35040662,Barratt Impulsiveness Scale fMRI,Role of White Matter Microstructure in Impulsive Behavior.,2022,The Journal of neuropsychiatry and clinical neurosciences,white matter,unknown,impulsivity (general),healthy individuals,correlation,higher,specific white matter microstructural connectivity,indirect,moderate,"Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007) and positively correlated with nonplanning impulsiveness (r=0.29, p=0.02); these correlations were significant after correction for multiple comparisons.",35040662,single_stage:qwen2.5-7b-instruct,
pubmed,22749228,Barratt Impulsiveness Scale neuroimaging,Behavioral and cognitive impulsivity in obsessive-compulsive disorder and eating disorders.,2012,Psychiatry research,,unknown,unknown,"obsessive-compulsive disorder (OCD), eating disorder (ED), and healthy control participants",compared,higher,,indirect,moderate,"Compared to controls, both clinical groups reported higher levels of impulsivity on the BIS-11 however; only the OCD demonstrated increased stop-signal reaction time.",22749228,single_stage:qwen2.5-7b-instruct,high
pubmed,26745144,trait impulsivity resting-state fMRI,Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD.,2016,PloS one,,covariates,attentional impulsivity,ADHD,common genetic influences,unclear,,indirect,moderate,"HM was moderately correlated with maternal reports of Inattention (r = 0.17, p-value = 7.4E-5) and Hyperactivity-Impulsivity (r = 0.16, p-value = 2.9E-4), and these associations were mainly due to pleiotropic genetic factors with genetic correlations [95% CIs] of rg = 0.24 [0.02, 0.43] and rg = 0.23 [0.07, 0.39].",26745144,single_stage:qwen2.5-7b-instruct,
pubmed,32464339,Barratt Impulsiveness Scale fMRI,Investigation of structure-function correlation among the young offspring of patients with bipolar disorder.,2020,Psychiatry research. Neuroimaging,cingulum,unknown,attentional impulsivity,young offspring of patients with bipolar disorder (BDoff),correlation,higher,,indirect,moderate,MD values in the cingulum were inversely correlated with the Child and Youth Resilience Measure and positively correlated with higher scores on the Barratt Impulsiveness Scale-Attentional.,32464339,single_stage:qwen2.5-7b-instruct,
pubmed,38002468,Barratt Impulsiveness Scale resting-state fMRI,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,2023,Brain sciences,insula,functional connectivity,impulsivity (general),chronic heroin use disorder,predicts,higher,changes in FC between the insula and other brain regions,indirect,strong,"Changes in FC between the right insula and the lateral occipital cortex and the right angular gyrus were significantly positively correlated with total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity, whereas changes in the FC between the left insula and the left superior frontal gyrus and left frontopolar brain region were significantly negatively correlated with trait impulsivity.",38002468,single_stage:qwen2.5-7b-instruct,
pubmed,31401546,impulsivity fMRI functional connectivity,Functional connectivity of emotional well-being: Overconnectivity between default and attentional networks is associated with attitudes of anger and aggression.,2019,Psychiatry research. Neuroimaging,default and attentional networks,functional connectivity,unknown,,positive correlation,higher,impaired effortful control and decreased response inhibition of impulsivity,indirect,significant,"Additionally, functional connectivity between the default and attentional networks was positively correlated with scores of attitudes of anger and aggression.",31401546,single_stage:qwen2.5-7b-instruct,
pubmed,33304251,ADHD impulsivity resting-state fMRI connectivity,Neural Basis of Increased Cognitive Control of Impulsivity During the Mid-Luteal Phase Relative to the Late Follicular Phase of the Menstrual Cycle.,2020,Frontiers in human neuroscience,dorsal striatum (DS) and dorsal lateral prefrontal cortex (dlPFC),functional connectivity,impulsivity (general),"conditions characterized by hyper-impulsivity, such as obsessive compulsive disorder, Parkinson disease, and attention deficit hyperactivity disorder",correlation,lower,"cyclical gonadal hormones affect cognitive control of impulsive behavior in a periodic manner, possibly via DS-dlPFC circuitry",indirect,moderate,"Discount rate (transformed k) correlated with functional connectivity between the DS and dlPFC, consistent with previous findings indicating that DS-dlPFC circuitry may regulate impulsivity.",33304251,single_stage:qwen2.5-7b-instruct,
pubmed,31907881,motor impulsivity functional connectivity,Human Brain Imaging Links Dopaminergic Systems to Impulsivity.,2020,Current topics in behavioral neurosciences,striatal dopaminergic system,unknown,motor impulsivity,,correlation,higher,functional connectivity,indirect,strong,"Low levels of striatal and midbrain D2-type receptor availability correlate with self-reported impulsivity, whereas striatal D2-type receptor availability shows positive correlation with motor response inhibition and cognitive flexibility.",31907881,single_stage:qwen2.5-7b-instruct,
pubmed,31886611,impulsivity fMRI functional connectivity,Dorsal striatal functional connectivity changes in Internet gaming disorder: A longitudinal magnetic resonance imaging study.,2021,Addiction biology,dorsal striatum,functional connectivity,unknown,young males with IGD,decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC); increased FC strength between the right dorsal putamen and right middle occipital gyrus (MOG),higher,uncontrolled gaming may be related with functional neural changes in the dorsal striatum,indirect,moderate,They exhibited decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC) compared with controls.,31886611,single_stage:qwen2.5-7b-instruct,high
