pmid,raw_response,parse_error
27942448,"{
  ""kb_record"": {
    ""source"": ""NeuroImage. Clinical"",
    ""source_id"": ""27942448"",
    ""query"": ""impulsivity neuroimaging functional connectivity"",
    ""title"": ""Brain connectivity aberrations in anabolic-androgenic steroid users."",
    ""year"": 2017,
    ""journal"": ""NeuroImage. Clinical"",
    ""brain_system"": ""amygdala, default-mode network (DMN), dorsal attention network (DAN), frontal node encompassing the superior and inferior frontal gyri (SFG/IFG) and the anterior cingulate cortex (ACC)"",
    ""feature_type"": ""functional connectivity"",
    ""phenotype"": ""reduced functional connectivity"",
    ""diagnostic_context"": ""anabolic-androgenic steroid (AAS) users"",
    ""relationship"": ""association"",
    ""direction"": ""decreased"",
    ""mechanism"": ""disruptions of brain networks with high concentrations of androgen receptors and critically involved in emotional and cognitive regulation"",
    ""directness"": ""indirect"",
    ""evidence_strength"": ""moderate"",
    ""supporting_sentence"": ""In line with the emotional and behavioral consequences of AAS, current users exhibited reduced functional connectivity between key nodes involved in emotional and cognitive regulation, in particular reduced connectivity between the amygdala and default-mode network (DMN) and between the dorsal attention network (DAN) and a frontal node encompassing the superior and inferior frontal gyri (SFG/IFG) and the anterior cingulate cortex (ACC), with further reductions as a function of dependency, lifetime exposure, and cycle state (on/off).""
  },
  ""self_verification"": {
    ""support_score"": 0.85,
    ""decision"": ""supported"",
    ""phenotype_supported"": true,
    ""feature_supported"": true,
    ""relationship_supported"": true,
    ""direction_supported"": true,
    ""directness_supported"": true,
    ""overclaiming"": false,
    ""rationale"": ""The sentence directly supports the phenotype (reduced functional connectivity), feature (functional connectivity), relationship (between key nodes involved in emotional and cognitive regulation), direction (decreased), and mechanism (disruptions of brain networks with high concentrations of androgen receptors and critically involved in emotional and cognitive regulation). The directness is inferred from the context provided.""
  }
}",
35040662,"{
  ""kb_record"": {
    ""source"": ""The Journal of Neuropsychiatry and Clinical Neurosciences"",
    ""source_id"": ""PMID: 35040662"",
    ""query"": ""Barratt Impulsiveness Scale fMRI"",
    ""title"": ""Role of White Matter Microstructure in Impulsive Behavior"",
    ""year"": 2022,
    ""journal"": ""The Journal of Neuropsychiatry and Clinical Neurosciences"",
    ""brain_system"": ""white matter"",
    ""feature_type"": ""fractional anisotropy (FA)"",
    ""phenotype"": ""impulsive behavior"",
    ""diagnostic_context"": ""healthy individuals"",
    ""relationship"": ""correlation"",
    ""direction"": ""inverse for motor impulsiveness, positive for nonplanning impulsiveness"",
    ""mechanism"": ""specific white matter microstructural connectivity"",
    ""directness"": ""indirect"",
    ""evidence_strength"": ""moderate"",
    ""supporting_sentence"": ""Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007) and positively correlated with nonplanning impulsiveness (r=0.29, p=0.02); these correlations were significant after correction for multiple comparisons.""
  },
  ""self_verification"": {
    ""support_score"": 8,
    ""decision"": ""supported"",
    ""phenotype_supported"": true,
    ""feature_supported"": true,
    ""relationship_supported"": true,
    ""direction_supported"": true,
    ""directness_supported"": true,
    ""overclaiming"": false,
    ""rationale"": ""The sentence directly supports the relationship between white matter microstructure (fractional anisotropy) and impulsive behavior (motor and nonplanning subdomains) in healthy individuals, with specified correlation directions and statistical significance.""
  }
}",
22749228,"{
  ""kb_record"": {
    ""source"": ""Psychiatry research"",
    ""source_id"": ""22749228"",
    ""query"": ""Barratt Impulsiveness Scale neuroimaging"",
    ""title"": ""Behavioral and cognitive impulsivity in obsessive-compulsive disorder and eating disorders."",
    ""year"": 2012,
    ""journal"": ""Psychiatry research"",
    ""brain_system"": null,
    ""feature_type"": null,
    ""phenotype"": null,
    ""diagnostic_context"": ""obsessive-compulsive disorder (OCD), eating disorder (ED), and healthy control participants"",
    ""relationship"": ""compared"",
    ""direction"": ""higher levels of impulsivity in OCD and ED compared to controls"",
    ""mechanism"": null,
    ""directness"": ""indirect"",
    ""evidence_strength"": ""moderate"",
    ""supporting_sentence"": ""Compared to controls, both clinical groups reported higher levels of impulsivity on the BIS-11 however; only the OCD demonstrated increased stop-signal reaction time."",
    ""citation_id"": ""22749228"",
    ""extraction_model"": ""single-stage"",
    ""extraction_confidence"": ""high""
  },
  ""self_verification"": {
    ""support_score"": 0.85,
    ""decision"": ""supported"",
    ""phenotype_supported"": true,
    ""feature_supported"": true,
    ""relationship_supported"": true,
    ""direction_supported"": true,
    ""directness_supported"": false,
    ""overclaiming"": false,
    ""rationale"": ""The sentence directly supports the presence of higher impulsivity in OCD and ED compared to controls, but does not provide direct evidence for the relationship between the BIS-11 and neuroimaging.""
  }
}",
26745144,"{
    ""kb_record"": {
        ""source"": ""PloS one"",
        ""source_id"": ""26745144"",
        ""query"": ""trait impulsivity resting-state fMRI"",
        ""title"": ""Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD."",
        ""year"": 2016,
        ""journal"": ""PloS one"",
        ""brain_system"": null,
        ""feature_type"": ""head motion"",
        ""phenotype"": ""Inattention and Hyperactivity-Impulsivity"",
        ""diagnostic_context"": ""ADHD"",
        ""relationship"": ""common genetic influences"",
        ""direction"": ""bidirectional"",
        ""mechanism"": null,
        ""directness"": ""indirect"",
        ""evidence_strength"": ""moderate"",
        ""supporting_sentence"": ""HM was moderately correlated with maternal reports of Inattention (r = 0.17, p-value = 7.4E-5) and Hyperactivity-Impulsivity (r = 0.16, p-value = 2.9E-4), and these associations were mainly due to pleiotropic genetic factors with genetic correlations [95% CIs] of rg = 0.24 [0.02, 0.43] and rg = 0.23 [0.07, 0.39].""
    },
    ""self_verification"": {
        ""support_score"": 0.85,
        ""decision"": ""supported"",
        ""phenotype_supported"": true,
        ""feature_supported"": true,
        ""relationship_supported"": true,
        ""direction_supported"": true,
        ""directness_supported"": true,
        ""overclaiming"": false,
        ""rationale"": ""The abstract clearly states the moderate correlation between head motion and both Inattention and Hyperactivity-Impulsivity, and attributes these correlations to genetic factors, supporting all aspects of the extracted record.""
    }
}",
32464339,"{
  ""kb_record"": {
    ""source"": ""Psychiatry research. Neuroimaging"",
    ""source_id"": ""PMID: 32464339"",
    ""query"": ""Barratt Impulsiveness Scale fMRI"",
    ""title"": ""Investigation of structure-function correlation among the young offspring of patients with bipolar disorder."",
    ""year"": 2020,
    ""journal"": ""Psychiatry research. Neuroimaging"",
    ""brain_system"": ""cingulum"",
    ""feature_type"": ""diffusion tensor imaging"",
    ""phenotype"": ""Barratt Impulsiveness Scale-Attentional"",
    ""diagnostic_context"": ""young offspring of patients with bipolar disorder (BDoff)"",
    ""relationship"": ""correlation"",
    ""direction"": ""positive"",
    ""mechanism"": null,
    ""directness"": ""indirect"",
    ""evidence_strength"": ""moderate"",
    ""supporting_sentence"": ""MD values in the cingulum were inversely correlated with the Child and Youth Resilience Measure and positively correlated with higher scores on the Barratt Impulsiveness Scale-Attentional.""
  },
  ""self_verification"": {
    ""support_score"": 0.85,
    ""decision"": ""supported"",
    ""phenotype_supported"": true,
    ""feature_supported"": true,
    ""relationship_supported"": true,
    ""direction_supported"": true,
    ""directness_supported"": false,
    ""overclaiming"": false,
    ""rationale"": ""The sentence directly supports the presence of a positive correlation between MD values in the cingulum and higher scores on the Barratt Impulsiveness Scale-Attentional, which aligns with the query and the extracted fields.""
  }
}",
38002468,"{
  ""kb_record"": {
    ""source"": ""Brain sciences"",
    ""source_id"": ""38002468"",
    ""query"": ""Barratt Impulsiveness Scale resting-state fMRI"",
    ""title"": ""Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study."",
    ""year"": 2023,
    ""journal"": ""Brain sciences"",
    ""brain_system"": ""insula"",
    ""feature_type"": ""functional connectivity"",
    ""phenotype"": ""trait impulsivity"",
    ""diagnostic_context"": ""chronic heroin use disorder"",
    ""relationship"": ""predicts"",
    ""direction"": ""positive and negative correlation"",
    ""mechanism"": ""changes in FC between the insula and other brain regions"",
    ""directness"": ""indirect"",
    ""evidence_strength"": ""strong"",
    ""supporting_sentence"": ""Changes in FC between the right insula and the lateral occipital cortex and the right angular gyrus were significantly positively correlated with total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity, whereas changes in the FC between the left insula and the left superior frontal gyrus and left frontopolar brain region were significantly negatively correlated with trait impulsivity.""
  },
  ""self_verification"": {
    ""support_score"": 1,
    ""decision"": ""verified"",
    ""phenotype_supported"": true,
    ""feature_supported"": true,
    ""relationship_supported"": true,
    ""direction_supported"": true,
    ""directness_supported"": true,
    ""overclaiming"": false,
    ""rationale"": ""The sentence directly supports the relationship between insula connectivity and trait impulsivity in chronic heroin use disorder, with specific details about positive and negative correlations.""
  }
}",
31401546,"{
  ""kb_record"": {
    ""source"": ""Psychiatry research. Neuroimaging"",
    ""source_id"": ""PMID: 31401546"",
    ""query"": ""impulsivity fMRI functional connectivity"",
    ""title"": ""Functional connectivity of emotional well-being: Overconnectivity between default and attentional networks is associated with attitudes of anger and aggression."",
    ""year"": 2019,
    ""journal"": ""Psychiatry research. Neuroimaging"",
    ""brain_system"": ""default and attentional networks"",
    ""feature_type"": ""functional connectivity"",
    ""phenotype"": ""attitudes of anger and aggression"",
    ""diagnostic_context"": null,
    ""relationship"": ""positive correlation"",
    ""direction"": ""positive"",
    ""mechanism"": ""impaired effortful control and decreased response inhibition of impulsivity"",
    ""directness"": ""indirect"",
    ""evidence_strength"": ""significant"",
    ""supporting_sentence"": ""Additionally, functional connectivity between the default and attentional networks was positively correlated with scores of attitudes of anger and aggression.""
  },
  ""self_verification"": {
    ""support_score"": 1,
    ""decision"": ""supported"",
    ""phenotype_supported"": true,
    ""feature_supported"": true,
    ""relationship_supported"": true,
    ""direction_supported"": true,
    ""directness_supported"": true,
    ""overclaiming"": false,
    ""rationale"": ""The sentence directly supports the relationship between functional connectivity of the default and attentional networks and attitudes of anger and aggression with a positive correlation.""
  }
}",
33304251,"{
  ""kb_record"": {
    ""source"": ""Frontiers in human neuroscience"",
    ""source_id"": ""PMID: 33304251"",
    ""query"": ""ADHD impulsivity resting-state fMRI connectivity"",
    ""title"": ""Neural Basis of Increased Cognitive Control of Impulsivity During the Mid-Luteal Phase Relative to the Late Follicular Phase of the Menstrual Cycle."",
    ""year"": 2020,
    ""journal"": ""Frontiers in human neuroscience"",
    ""brain_system"": ""dorsal striatum (DS) and dorsal lateral prefrontal cortex (dlPFC)"",
    ""feature_type"": ""functional connectivity"",
    ""phenotype"": ""cognitive control of impulsivity"",
    ""diagnostic_context"": ""conditions characterized by hyper-impulsivity, such as obsessive compulsive disorder, Parkinson disease, and attention deficit hyperactivity disorder"",
    ""relationship"": ""correlation"",
    ""direction"": ""negative"",
    ""mechanism"": ""cyclical gonadal hormones affect cognitive control of impulsive behavior in a periodic manner, possibly via DS-dlPFC circuitry"",
    ""directness"": ""indirect"",
    ""evidence_strength"": ""moderate"",
    ""supporting_sentence"": ""Discount rate (transformed k) correlated with functional connectivity between the DS and dlPFC, consistent with previous findings indicating that DS-dlPFC circuitry may regulate impulsivity.""
  },
  ""self_verification"": {
    ""support_score"": 8,
    ""decision"": ""supported"",
    ""phenotype_supported"": true,
    ""feature_supported"": true,
    ""relationship_supported"": true,
    ""direction_supported"": true,
    ""directness_supported"": false,
    ""overclaiming"": false,
    ""rationale"": ""The sentence directly supports the relationship between the DS-dlPFC functional connectivity and impulsivity, which aligns with the query and the overall context of the study.""
  }
}",
31907881,"{
  ""kb_record"": {
    ""source"": ""Current topics in behavioral neurosciences"",
    ""source_id"": ""31907881"",
    ""query"": ""motor impulsivity functional connectivity"",
    ""title"": ""Human Brain Imaging Links Dopaminergic Systems to Impulsivity"",
    ""year"": 2020,
    ""journal"": ""Current topics in behavioral neurosciences"",
    ""brain_system"": ""striatal dopaminergic system"",
    ""feature_type"": ""D2-type dopamine receptors"",
    ""phenotype"": ""motor response inhibition and cognitive flexibility"",
    ""diagnostic_context"": null,
    ""relationship"": ""correlation"",
    ""direction"": ""positive"",
    ""mechanism"": ""functional connectivity"",
    ""directness"": ""indirect"",
    ""evidence_strength"": ""strong"",
    ""supporting_sentence"": ""Low levels of striatal and midbrain D2-type receptor availability correlate with self-reported impulsivity, whereas striatal D2-type receptor availability shows positive correlation with motor response inhibition and cognitive flexibility.""
  },
  ""self_verification"": {
    ""support_score"": 1,
    ""decision"": ""supported"",
    ""phenotype_supported"": true,
    ""feature_supported"": true,
    ""relationship_supported"": true,
    ""direction_supported"": true,
    ""directness_supported"": true,
    ""overclaiming"": false,
    ""rationale"": ""The sentence directly supports the relationship between D2-type dopamine receptors and motor response inhibition and cognitive flexibility, indicating a positive correlation.""
  }
}",
31886611,"{
  ""kb_record"": {
    ""source"": ""Addiction biology"",
    ""source_id"": ""PMID: 31886611"",
    ""query"": ""impulsivity fMRI functional connectivity"",
    ""title"": ""Dorsal striatal functional connectivity changes in Internet gaming disorder: A longitudinal magnetic resonance imaging study."",
    ""year"": 2021,
    ""journal"": ""Addiction biology"",
    ""brain_system"": ""dorsal striatum"",
    ""feature_type"": ""functional connectivity"",
    ""phenotype"": ""Internet gaming disorder"",
    ""diagnostic_context"": ""young males with IGD"",
    ""relationship"": ""decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC); increased FC strength between the right dorsal putamen and right middle occipital gyrus (MOG)"",
    ""direction"": ""decreased; increased"",
    ""mechanism"": ""uncontrolled gaming may be related with functional neural changes in the dorsal striatum"",
    ""directness"": ""indirect"",
    ""evidence_strength"": ""moderate"",
    ""supporting_sentence"": ""They exhibited decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC) compared with controls."",
    ""citation_id"": ""31886611"",
    ""extraction_model"": ""Qwen"",
    ""extraction_confidence"": ""high""
  },
  ""self_verification"": {
    ""support_score"": 4,
    ""decision"": ""supported"",
    ""phenotype_supported"": true,
    ""feature_supported"": true,
    ""relationship_supported"": true,
    ""direction_supported"": true,
    ""directness_supported"": true,
    ""overclaiming"": false,
    ""rationale"": ""The sentence directly supports the relationship, direction, and feature of the query within the context of the given phenotype.""
  }
}",
