id,set,method,score,native_pred
gptv_0001,s300,alignscore-large,0.025482,
gptv_0002,s300,alignscore-large,0.056345,
gptv_0004,s300,alignscore-large,0.001509,
gptv_0005,s300,alignscore-large,0.055618,
gptv_0006,s300,alignscore-large,0.002437,
gptv_0007,s300,alignscore-large,0.017540,
gptv_0008,s300,alignscore-large,0.063303,
gptv_0009,s300,alignscore-large,0.013397,
gptv_0010,s300,alignscore-large,0.003955,
gptv_0011,s300,alignscore-large,0.032884,
gptv_0012,s300,alignscore-large,0.008003,
gptv_0013,s300,alignscore-large,0.013325,
gptv_0014,s300,alignscore-large,0.003744,
gptv_0015,s300,alignscore-large,0.041562,
gptv_0016,s300,alignscore-large,0.024526,
gptv_0017,s300,alignscore-large,0.007010,
gptv_0018,s300,alignscore-large,0.003362,
gptv_0019,s300,alignscore-large,0.129657,
gptv_0020,s300,alignscore-large,0.019255,
gptv_0021,s300,alignscore-large,0.007287,
gptv_0022,s300,alignscore-large,0.072720,
gptv_0023,s300,alignscore-large,0.010891,
gptv_0024,s300,alignscore-large,0.001998,
gptv_0025,s300,alignscore-large,0.000885,
gptv_0026,s300,alignscore-large,0.003823,
gptv_0028,s300,alignscore-large,0.007202,
gptv_0029,s300,alignscore-large,0.038264,
gptv_0030,s300,alignscore-large,0.003138,
gptv_0031,s300,alignscore-large,0.001167,
gptv_0033,s300,alignscore-large,0.416863,
gptv_0034,s300,alignscore-large,0.086491,
gptv_0035,s300,alignscore-large,0.056792,
gptv_0036,s300,alignscore-large,0.013222,
gptv_0037,s300,alignscore-large,0.081085,
gptv_0038,s300,alignscore-large,0.019647,
gptv_0039,s300,alignscore-large,0.130760,
gptv_0040,s300,alignscore-large,0.021146,
gptv_0041,s300,alignscore-large,0.057816,
gptv_0043,s300,alignscore-large,0.035543,
gptv_0044,s300,alignscore-large,0.487108,
gptv_0045,s300,alignscore-large,0.009693,
gptv_0046,s300,alignscore-large,0.018818,
gptv_0047,s300,alignscore-large,0.005772,
gptv_0048,s300,alignscore-large,0.002569,
gptv_0049,s300,alignscore-large,0.015705,
gptv_0050,s300,alignscore-large,0.001734,
gptv_0051,s300,alignscore-large,0.000526,
gptv_0052,s300,alignscore-large,0.138894,
gptv_0053,s300,alignscore-large,0.083621,
gptv_0054,s300,alignscore-large,0.037407,
gptv_0055,s300,alignscore-large,0.001907,
gptv_0056,s300,alignscore-large,0.006509,
gptv_0057,s300,alignscore-large,0.013216,
gptv_0058,s300,alignscore-large,0.006862,
gptv_0059,s300,alignscore-large,0.072540,
gptv_0061,s300,alignscore-large,0.006213,
gptv_0062,s300,alignscore-large,0.007146,
gptv_0063,s300,alignscore-large,0.078650,
gptv_0064,s300,alignscore-large,0.000789,
gptv_0065,s300,alignscore-large,0.006776,
gptv_0066,s300,alignscore-large,0.027626,
gptv_0067,s300,alignscore-large,0.409466,
gptv_0068,s300,alignscore-large,0.006023,
gptv_0069,s300,alignscore-large,0.024676,
gptv_0070,s300,alignscore-large,0.092700,
gptv_0071,s300,alignscore-large,0.001365,
gptv_0072,s300,alignscore-large,0.001441,
gptv_0073,s300,alignscore-large,0.002948,
gptv_0074,s300,alignscore-large,0.487236,
gptv_0075,s300,alignscore-large,0.012462,
gptv_0076,s300,alignscore-large,0.002867,
gptv_0077,s300,alignscore-large,0.041393,
gptv_0078,s300,alignscore-large,0.116250,
gptv_0079,s300,alignscore-large,0.005032,
gptv_0080,s300,alignscore-large,0.018250,
gptv_0081,s300,alignscore-large,0.001836,
gptv_0082,s300,alignscore-large,0.000779,
gptv_0083,s300,alignscore-large,0.069007,
gptv_0084,s300,alignscore-large,0.007108,
gptv_0085,s300,alignscore-large,0.002047,
gptv_0086,s300,alignscore-large,0.009228,
gptv_0087,s300,alignscore-large,0.003783,
gptv_0088,s300,alignscore-large,0.020955,
gptv_0089,s300,alignscore-large,0.215319,
gptv_0090,s300,alignscore-large,0.291487,
gptv_0091,s300,alignscore-large,0.107830,
gptv_0092,s300,alignscore-large,0.141961,
gptv_0093,s300,alignscore-large,0.001364,
gptv_0094,s300,alignscore-large,0.204826,
gptv_0095,s300,alignscore-large,0.000511,
gptv_0096,s300,alignscore-large,0.034966,
gptv_0097,s300,alignscore-large,0.176964,
gptv_0098,s300,alignscore-large,0.010464,
gptv_0099,s300,alignscore-large,0.168656,
gptv_0100,s300,alignscore-large,0.001063,
gptv_0101,s300,alignscore-large,0.053141,
gptv_0102,s300,alignscore-large,0.126806,
gptv_0103,s300,alignscore-large,0.103145,
gptv_0104,s300,alignscore-large,0.008037,
gptv_0105,s300,alignscore-large,0.009862,
gptv_0106,s300,alignscore-large,0.002374,
gptv_0107,s300,alignscore-large,0.004625,
gptv_0108,s300,alignscore-large,0.003489,
gptv_0109,s300,alignscore-large,0.027405,
gptv_0110,s300,alignscore-large,0.001550,
gptv_0111,s300,alignscore-large,0.054115,
gptv_0112,s300,alignscore-large,0.071880,
gptv_0113,s300,alignscore-large,0.058772,
gptv_0114,s300,alignscore-large,0.507194,
gptv_0115,s300,alignscore-large,0.004281,
gptv_0116,s300,alignscore-large,0.029990,
gptv_0117,s300,alignscore-large,0.002032,
gptv_0118,s300,alignscore-large,0.152479,
gptv_0119,s300,alignscore-large,0.015187,
gptv_0120,s300,alignscore-large,0.015132,
gptv_0122,s300,alignscore-large,0.463100,
gptv_0123,s300,alignscore-large,0.693733,
gptv_0124,s300,alignscore-large,0.037267,
gptv_0125,s300,alignscore-large,0.005003,
gptv_0126,s300,alignscore-large,0.001468,
gptv_0128,s300,alignscore-large,0.002761,
gptv_0130,s300,alignscore-large,0.004729,
gptv_0131,s300,alignscore-large,0.012852,
gptv_0132,s300,alignscore-large,0.004411,
gptv_0133,s300,alignscore-large,0.031881,
gptv_0134,s300,alignscore-large,0.024215,
gptv_0135,s300,alignscore-large,0.024879,
gptv_0136,s300,alignscore-large,0.001466,
gptv_0137,s300,alignscore-large,0.004106,
gptv_0138,s300,alignscore-large,0.031890,
gptv_0140,s300,alignscore-large,0.036513,
gptv_0141,s300,alignscore-large,0.004485,
gptv_0142,s300,alignscore-large,0.007207,
gptv_0143,s300,alignscore-large,0.002511,
gptv_0144,s300,alignscore-large,0.009764,
gptv_0145,s300,alignscore-large,0.008607,
gptv_0146,s300,alignscore-large,0.117322,
gptv_0147,s300,alignscore-large,0.008017,
gptv_0148,s300,alignscore-large,0.002272,
gptv_0149,s300,alignscore-large,0.056495,
gptv_0150,s300,alignscore-large,0.002519,
gptv_0151,s300,alignscore-large,0.004132,
gptv_0152,s300,alignscore-large,0.014711,
gptv_0153,s300,alignscore-large,0.001190,
gptv_0154,s300,alignscore-large,0.102232,
gptv_0155,s300,alignscore-large,0.012140,
gptv_0156,s300,alignscore-large,0.059730,
gptv_0157,s300,alignscore-large,0.042560,
gptv_0158,s300,alignscore-large,0.003698,
gptv_0159,s300,alignscore-large,0.177999,
gptv_0160,s300,alignscore-large,0.001792,
gptv_0161,s300,alignscore-large,0.137970,
gptv_0162,s300,alignscore-large,0.024724,
gptv_0163,s300,alignscore-large,0.011467,
gptv_0164,s300,alignscore-large,0.833566,
gptv_0165,s300,alignscore-large,0.003574,
gptv_0166,s300,alignscore-large,0.004363,
gptv_0167,s300,alignscore-large,0.006095,
gptv_0169,s300,alignscore-large,0.005137,
gptv_0170,s300,alignscore-large,0.018364,
gptv_0171,s300,alignscore-large,0.053873,
gptv_0172,s300,alignscore-large,0.001268,
gptv_0173,s300,alignscore-large,0.008635,
gptv_0174,s300,alignscore-large,0.025911,
gptv_0175,s300,alignscore-large,0.032199,
gptv_0176,s300,alignscore-large,0.006558,
gptv_0177,s300,alignscore-large,0.015360,
gptv_0178,s300,alignscore-large,0.001156,
gptv_0179,s300,alignscore-large,0.010701,
gptv_0180,s300,alignscore-large,0.255190,
gptv_0181,s300,alignscore-large,0.073988,
gptv_0182,s300,alignscore-large,0.003465,
gptv_0183,s300,alignscore-large,0.043630,
gptv_0185,s300,alignscore-large,0.099837,
gptv_0186,s300,alignscore-large,0.180343,
gptv_0187,s300,alignscore-large,0.021386,
gptv_0188,s300,alignscore-large,0.002208,
gptv_0189,s300,alignscore-large,0.040660,
gptv_0190,s300,alignscore-large,0.031527,
gptv_0191,s300,alignscore-large,0.003739,
gptv_0192,s300,alignscore-large,0.004218,
gptv_0193,s300,alignscore-large,0.007904,
gptv_0194,s300,alignscore-large,0.003509,
gptv_0195,s300,alignscore-large,0.007555,
gptv_0196,s300,alignscore-large,0.078326,
gptv_0197,s300,alignscore-large,0.005839,
gptv_0198,s300,alignscore-large,0.007822,
gptv_0199,s300,alignscore-large,0.003371,
gptv_0200,s300,alignscore-large,0.003044,
gptv_0202,s300,alignscore-large,0.009623,
gptv_0203,s300,alignscore-large,0.005745,
gptv_0204,s300,alignscore-large,0.012331,
gptv_0205,s300,alignscore-large,0.005703,
gptv_0206,s300,alignscore-large,0.094790,
gptv_0207,s300,alignscore-large,0.056301,
gptv_0208,s300,alignscore-large,0.000601,
gptv_0211,s300,alignscore-large,0.004111,
gptv_0212,s300,alignscore-large,0.016996,
gptv_0213,s300,alignscore-large,0.004070,
gptv_0214,s300,alignscore-large,0.356762,
gptv_0215,s300,alignscore-large,0.152258,
gptv_0216,s300,alignscore-large,0.710664,
gptv_0217,s300,alignscore-large,0.045814,
gptv_0218,s300,alignscore-large,0.011656,
gptv_0219,s300,alignscore-large,0.002534,
gptv_0220,s300,alignscore-large,0.008787,
gptv_0221,s300,alignscore-large,0.001702,
gptv_0222,s300,alignscore-large,0.035635,
gptv_0223,s300,alignscore-large,0.007956,
gptv_0224,s300,alignscore-large,0.009484,
gptv_0225,s300,alignscore-large,0.003499,
gptv_0226,s300,alignscore-large,0.473943,
gptv_0227,s300,alignscore-large,0.002404,
gptv_0228,s300,alignscore-large,0.391259,
gptv_0229,s300,alignscore-large,0.004771,
gptv_0230,s300,alignscore-large,0.006743,
gptv_0231,s300,alignscore-large,0.116023,
gptv_0232,s300,alignscore-large,0.017229,
gptv_0233,s300,alignscore-large,0.007552,
gptv_0234,s300,alignscore-large,0.061595,
gptv_0235,s300,alignscore-large,0.005551,
gptv_0236,s300,alignscore-large,0.053677,
gptv_0237,s300,alignscore-large,0.003282,
gptv_0238,s300,alignscore-large,0.026532,
gptv_0240,s300,alignscore-large,0.019710,
gptv_0241,s300,alignscore-large,0.004474,
gptv_0242,s300,alignscore-large,0.000741,
gptv_0243,s300,alignscore-large,0.041078,
gptv_0244,s300,alignscore-large,0.009605,
gptv_0245,s300,alignscore-large,0.010860,
gptv_0246,s300,alignscore-large,0.016564,
gptv_0247,s300,alignscore-large,0.005402,
gptv_0248,s300,alignscore-large,0.307473,
gptv_0249,s300,alignscore-large,0.004430,
gptv_0250,s300,alignscore-large,0.114994,
gptv_0251,s300,alignscore-large,0.025457,
gptv_0252,s300,alignscore-large,0.023504,
gptv_0253,s300,alignscore-large,0.002125,
gptv_0254,s300,alignscore-large,0.001302,
gptv_0255,s300,alignscore-large,0.018836,
gptv_0256,s300,alignscore-large,0.299647,
gptv_0258,s300,alignscore-large,0.002634,
gptv_0259,s300,alignscore-large,0.006813,
gptv_0261,s300,alignscore-large,0.003777,
gptv_0262,s300,alignscore-large,0.024339,
gptv_0263,s300,alignscore-large,0.603123,
gptv_0264,s300,alignscore-large,0.002156,
gptv_0265,s300,alignscore-large,0.007632,
gptv_0266,s300,alignscore-large,0.004586,
gptv_0267,s300,alignscore-large,0.018102,
gptv_0268,s300,alignscore-large,0.001044,
gptv_0269,s300,alignscore-large,0.052798,
gptv_0270,s300,alignscore-large,0.003494,
gptv_0271,s300,alignscore-large,0.133721,
gptv_0272,s300,alignscore-large,0.025356,
gptv_0273,s300,alignscore-large,0.030120,
gptv_0274,s300,alignscore-large,0.183028,
gptv_0275,s300,alignscore-large,0.149654,
gptv_0276,s300,alignscore-large,0.323283,
gptv_0277,s300,alignscore-large,0.128281,
gptv_0278,s300,alignscore-large,0.011222,
gptv_0279,s300,alignscore-large,0.003280,
gptv_0280,s300,alignscore-large,0.006069,
gptv_0281,s300,alignscore-large,0.002627,
gptv_0282,s300,alignscore-large,0.003349,
gptv_0283,s300,alignscore-large,0.000747,
gptv_0284,s300,alignscore-large,0.013055,
gptv_0285,s300,alignscore-large,0.009062,
gptv_0286,s300,alignscore-large,0.001160,
gptv_0287,s300,alignscore-large,0.461718,
gptv_0288,s300,alignscore-large,0.015717,
gptv_0289,s300,alignscore-large,0.008331,
gptv_0290,s300,alignscore-large,0.006207,
gptv_0291,s300,alignscore-large,0.038604,
gptv_0292,s300,alignscore-large,0.037689,
gptv_0293,s300,alignscore-large,0.014564,
gptv_0294,s300,alignscore-large,0.006838,
gptv_0295,s300,alignscore-large,0.003582,
gptv_0296,s300,alignscore-large,0.002360,
gptv_0297,s300,alignscore-large,0.340097,
gptv_0298,s300,alignscore-large,0.070711,
gptv_0299,s300,alignscore-large,0.004970,
gptv_0300,s300,alignscore-large,0.008675,
HV001,s120,alignscore-large,0.007287,
HV002,s120,alignscore-large,0.312477,
HV003,s120,alignscore-large,0.023895,
HV004,s120,alignscore-large,0.003673,
HV005,s120,alignscore-large,0.002351,
HV006,s120,alignscore-large,0.085685,
HV007,s120,alignscore-large,0.008086,
HV008,s120,alignscore-large,0.008928,
HV009,s120,alignscore-large,0.001346,
HV010,s120,alignscore-large,0.012595,
HV011,s120,alignscore-large,0.060283,
HV012,s120,alignscore-large,0.059993,
HV013,s120,alignscore-large,0.005126,
HV014,s120,alignscore-large,0.002558,
HV015,s120,alignscore-large,0.004482,
HV016,s120,alignscore-large,0.085065,
HV017,s120,alignscore-large,0.011656,
HV018,s120,alignscore-large,0.005813,
HV019,s120,alignscore-large,0.026951,
HV020,s120,alignscore-large,0.004771,
HV021,s120,alignscore-large,0.050166,
HV022,s120,alignscore-large,0.015343,
HV023,s120,alignscore-large,0.008805,
HV024,s120,alignscore-large,0.003956,
HV025,s120,alignscore-large,0.002668,
HV026,s120,alignscore-large,0.066910,
HV027,s120,alignscore-large,0.000873,
HV028,s120,alignscore-large,0.006919,
HV029,s120,alignscore-large,0.002634,
HV030,s120,alignscore-large,0.001121,
HV031,s120,alignscore-large,0.001876,
HV032,s120,alignscore-large,0.025337,
HV033,s120,alignscore-large,0.055192,
HV034,s120,alignscore-large,0.003494,
HV035,s120,alignscore-large,0.143046,
HV036,s120,alignscore-large,0.003039,
HV037,s120,alignscore-large,0.051517,
HV038,s120,alignscore-large,0.040695,
HV039,s120,alignscore-large,0.032884,
HV040,s120,alignscore-large,0.003719,
HV041,s120,alignscore-large,0.034506,
HV042,s120,alignscore-large,0.212899,
HV043,s120,alignscore-large,0.006692,
HV044,s120,alignscore-large,0.045629,
HV045,s120,alignscore-large,0.204826,
HV046,s120,alignscore-large,0.050718,
HV047,s120,alignscore-large,0.001176,
HV048,s120,alignscore-large,0.005126,
HV049,s120,alignscore-large,0.009695,
HV051,s120,alignscore-large,0.025401,
HV052,s120,alignscore-large,0.044710,
HV053,s120,alignscore-large,0.044931,
HV055,s120,alignscore-large,0.010686,
HV056,s120,alignscore-large,0.008039,
HV057,s120,alignscore-large,0.380677,
HV058,s120,alignscore-large,0.002846,
HV059,s120,alignscore-large,0.400845,
HV060,s120,alignscore-large,0.010891,
HV061,s120,alignscore-large,0.010442,
HV062,s120,alignscore-large,0.009133,
HV063,s120,alignscore-large,0.003574,
HV064,s120,alignscore-large,0.002895,
HV065,s120,alignscore-large,0.008787,
HV066,s120,alignscore-large,0.024762,
HV067,s120,alignscore-large,0.056422,
HV068,s120,alignscore-large,0.280916,
HV069,s120,alignscore-large,0.002545,
HV070,s120,alignscore-large,0.023532,
HV071,s120,alignscore-large,0.057066,
HV072,s120,alignscore-large,0.003159,
HV073,s120,alignscore-large,0.011920,
HV074,s120,alignscore-large,0.015358,
HV075,s120,alignscore-large,0.002047,
HV076,s120,alignscore-large,0.087838,
HV077,s120,alignscore-large,0.007840,
HV078,s120,alignscore-large,0.409466,
HV079,s120,alignscore-large,0.009329,
HV080,s120,alignscore-large,0.001312,
HV081,s120,alignscore-large,0.004423,
HV082,s120,alignscore-large,0.004716,
HV083,s120,alignscore-large,0.008671,
HV085,s120,alignscore-large,0.009269,
HV086,s120,alignscore-large,0.002830,
HV087,s120,alignscore-large,0.115346,
HV088,s120,alignscore-large,0.340097,
HV089,s120,alignscore-large,0.124807,
HV090,s120,alignscore-large,0.027800,
HV091,s120,alignscore-large,0.010057,
HV092,s120,alignscore-large,0.017705,
HV093,s120,alignscore-large,0.056495,
HV094,s120,alignscore-large,0.016432,
HV095,s120,alignscore-large,0.002401,
HV096,s120,alignscore-large,0.054115,
HV097,s120,alignscore-large,0.006545,
HV098,s120,alignscore-large,0.012151,
HV099,s120,alignscore-large,0.011222,
HV100,s120,alignscore-large,0.007108,
HV101,s120,alignscore-large,0.025684,
HV102,s120,alignscore-large,0.085916,
HV103,s120,alignscore-large,0.001190,
HV105,s120,alignscore-large,0.016752,
HV107,s120,alignscore-large,0.005276,
HV108,s120,alignscore-large,0.773468,
HV109,s120,alignscore-large,0.024235,
HV110,s120,alignscore-large,0.025930,
HV111,s120,alignscore-large,0.007929,
HV112,s120,alignscore-large,0.007333,
HV113,s120,alignscore-large,0.062854,
HV114,s120,alignscore-large,0.138074,
HV115,s120,alignscore-large,0.047347,
HV116,s120,alignscore-large,0.002989,
HV117,s120,alignscore-large,0.004145,
HV118,s120,alignscore-large,0.003584,
HV119,s120,alignscore-large,0.004205,
HV120,s120,alignscore-large,0.030469,
gptv_0003,s300,alignscore-large,0.000000,
