pmid,title,response,mentions_pmid,has_anchored_sentence,unparseable_as_schema,error
27942448,Brain connectivity aberrations in anabolic-androgenic steroid users.,"This study, identified by PMID: 27942448, investigates the impact of anabolic-androgenic steroid (AAS) use on brain connectivity, focusing on its effects on impulsivity and related behaviors. The research utilized resting-state functional magnetic resonance imaging (fMRI) to analyze brain networks in a large cohort of 151 males engaged in heavy resistance strength training. Among these participants, 50 were confirmed AAS users based on urinary tests, while 16 were previous users and 59 served as non-users (controls).

The findings revealed reduced functional connectivity between key brain regions involved in emotional and cognitive regulation. Specifically, current AAS users showed decreased connectivity between the amygdala and the default-mode network (DMN), as well as between the dorsal attention network (DAN) and a frontal node that includes the superior and inferior frontal gyri (SFG/IFG) and the anterior cingulate cortex (ACC). These connectivity reductions were more pronounced with increased duration and frequency of AAS use.

These results suggest that AAS use may disrupt neural networks critical for emotional and cognitive control, potentially contributing to the observed behavioral consequences such as aggression and impulsivity. The study provides valuable insights into the neurobiological mechanisms underlying the adverse",True,False,True,
35040662,Role of White Matter Microstructure in Impulsive Behavior.,"This study explores the relationship between white matter microstructure and impulsivity in a group of healthy adults. The researchers used diffusion tensor imaging (DTI) to assess white matter integrity and the Barratt Impulsiveness Scale-11 to evaluate impulsivity, which includes subdomains of attentional, motor, and nonplanning impulsiveness.

The findings indicate that lower fractional anisotropy (FA), a measure of white matter microstructure, is associated with higher levels of motor impulsiveness, suggesting that reduced white matter integrity in certain tracts might contribute to increased impulsivity. Specifically, the corticospinal tract showed a significant inverse correlation with motor impulsiveness. Additionally, higher FA was found to be associated with greater nonplanning impulsiveness, as indicated by a positive correlation with regional FA values in the superior fronto-occipital fasciculus.

These results support the hypothesis that impulsivity, particularly its motor and nonplanning components, can be linked to specific white matter microstructural connectivity patterns. This study provides initial evidence that impulsivity is partly a network-based construct, involving white matter microstructural integrity even in healthy populations. The study included 74 healthy adults, with 32 women and a mean age of 36.6 years, providing a diverse sample",False,False,True,
22749228,Behavioral and cognitive impulsivity in obsessive-compulsive disorder and eating disorders.,"This study, published in 2012 in Psychiatry Research (PMID: 22749228), investigated impulsivity in individuals with obsessive-compulsive disorder (OCD) and eating disorders (ED) compared to healthy controls. The research utilized both self-report measures and neurocognitive tasks to assess impulsivity and response inhibition.

Participants completed the Barratt Impulsiveness Scale (BIS-11) for self-reported impulsivity and a stop-signal reaction time task to measure response inhibition. Additionally, they were evaluated for OCD and ED symptoms using the Yale-Brown Obsessive-Compulsive Scale and Eating Disorders Examination-Questionnaire.

The findings indicated that both OCD and ED patients reported higher levels of impulsivity compared to healthy controls, as measured by the BIS-11. However, only the OCD group showed increased stop-signal reaction times, suggesting a specific impairment in inhibitory control. The authors propose that heightened self-reported impulsivity in OCD and ED might be linked to anxiety experienced by these patient groups, while the lack of inhibitory control observed in OCD could indicate a distinct behavioral deficit.

Overall, this study highlights the importance of differentiating between self-reported impulsivity and neurocognitive measures of impulsivity, providing insights into the unique aspects",True,False,True,
26745144,Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD.,"This study explores the relationship between head motion (HM) during functional magnetic resonance imaging (fMRI) scans and inattention/hyperactivity-impulsivity (ADHD symptoms) in a sample of healthy young adult twins. The research indicates that there is a moderate genetic overlap between HM and ADHD symptoms, specifically in terms of inattention and hyperactivity-impulsivity. The genetic correlation between HM and inattention was found to be 0.24 (95% CI: 0.02, 0.43), while the correlation with hyperactivity-impulsivity was 0.23 (95% CI: 0.07, 0.39).

The findings suggest that treating HM as a nuisance covariate in neuroimaging studies of ADHD may reduce the ability to detect true group differences because HM and ADHD symptoms share common genetic influences. This implies that the assumption of independence between HM and ADHD symptoms is not valid, which can lead to an increased risk of false positives in fMRI studies of ADHD.

To address this issue, the authors propose two potential solutions: censoring the frames of the resting-state fMRI scan that are heavily affected by HM or explicitly modeling the relationship between HM and ADHD symptoms. These strategies aim to improve the",False,False,True,
32464339,Investigation of structure-function correlation among the young offspring of patients with bipolar disorder.,"This study investigates the relationship between neurocognitive performance and neuroimaging markers in young offspring of patients with bipolar disorder (BDoff), who are considered a high-risk group for developing BD. The research involved 16 participants aged between 12 and 18 years old. The participants underwent both clinical assessments and neurocognitive testing, along with structural brain MRI and diffusion tensor imaging (DTI).

The study found that fractional anisotropy (FA) values in the superior longitudinal fasciculus (SLF) were negatively correlated with scores on the Stroop Interference test, the Wisconsin Card Sorting Test, and the Trail Making Test (B-A). This suggests that lower FA in the SLF is associated with poorer executive function. Additionally, mean diffusivity (MD) values in the cingulum were inversely correlated with the Child and Youth Resilience Measure, indicating that higher MD in this tract is linked to lower resilience. Furthermore, MD values in the cingulum were positively correlated with higher scores on the Barratt Impulsiveness Scale-Attentional, suggesting a link between higher impulsivity and altered white matter integrity in this region.

These findings provide evidence for the potential use of neuroimaging markers, particularly those related to white matter integrity, as biom",False,False,True,
38002468,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,"This study, identified by PMID: 38002468, investigates the relationship between impulsivity and neural connectivity in individuals with chronic heroin use disorder (HUD). The research employs a cross-sectional design using resting-state functional magnetic resonance imaging (rs-fMRI) and the Barratt Impulsiveness Scale (BIS-11) to assess trait impulsivity, which is categorized into three components: motor, attentional, and nonplanning impulsivity.

The findings indicate that individuals with HUD exhibit higher levels of total trait impulsivity, motor impulsivity, and nonplanning impulsivity compared to healthy controls. Specifically, the study identifies significant correlations between trait impulsivity and functional connectivity (FC) patterns involving the insula. Notably, increased FC between the right insula and the lateral occipital cortex and the right angular gyrus was positively associated with total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity. Conversely, decreased FC between the left insula and the left superior frontal gyrus and left frontopolar brain regions was negatively associated with trait impulsivity.

These results suggest that the insula plays a crucial role in the neural underpinnings of impulsivity in individuals with HUD, potentially serving as a biomarker for identifying and understanding",True,False,True,
31401546,Functional connectivity of emotional well-being: Overconnectivity between default and attentional networks is associated with attitudes of anger and aggression.,"This study, identified by PMID: 31401546, explores the relationship between functional connectivity in the brain and emotional well-being, specifically focusing on attitudes of anger and aggression. Using data from the Human Connectome Project, the researchers employed two methods to assess functional connectivity. The first method involved principal component analysis of resting-state functional magnetic resonance imaging (fMRI) data, which revealed that typicality scores of functional connectivity were significantly correlated with emotional health metrics related to anger and aggression in three out of ten principal components. 

The second method examined functional connectivity between pairs of resting-state networks, finding a positive correlation between the default and attentional networks and scores of anger and aggression. This suggests that overconnectivity between these networks may be associated with increased impulsivity and difficulty in managing emotions, particularly anger and aggression. The findings support the hypothesis that impaired effortful control and decreased response inhibition could be mechanisms underlying these emotional attitudes, potentially linking them to broader issues of impulsivity.",True,False,True,
33304251,Neural Basis of Increased Cognitive Control of Impulsivity During the Mid-Luteal Phase Relative to the Late Follicular Phase of the Menstrual Cycle.,"This study, published in Frontiers in Human Neuroscience (PMID: 33304251), investigates the neural basis of increased cognitive control over impulsivity during different phases of the menstrual cycle. The research compares event-related monetary delay discounting task behavior and concurrent fMRI brain activity between women in the mid-luteal phase (LP) and those in the late follicular phase (FP).

The findings indicate that women in the late follicular phase exhibit greater responsiveness to short-term rewards, as evidenced by a higher discount rate, and show increased activity in the dorsal striatum (DS). This increased activity in the DS correlates with functional connectivity between the DS and the dorsal lateral prefrontal cortex (dlPFC), suggesting that the DS-dlPFC circuitry plays a regulatory role in impulsivity. Additionally, the right dlPFC is more active in the mid-luteal phase compared to the late follicular phase, and this effect is sensitive to estradiol levels. The study also finds that DS-dlPFC functional connectivity magnitude correlates negatively with psychometric impulsivity scores during the late follicular phase, indicating that relative estradiol levels may enhance cognitive control over impulsivity.

These results provide new insights into how hormonal changes during the menstrual cycle influence cognitive",True,False,True,
31907881,Human Brain Imaging Links Dopaminergic Systems to Impulsivity.,"This 2020 study, identified by PMID: 31907881, explores the relationship between dopamine systems and impulsivity through the use of human brain imaging techniques. The research highlights that both molecular and functional imaging methods, particularly when combined with pharmacological probes, provide strong evidence linking striatal dopaminergic function to various aspects of impulsivity. Specifically, the study indicates that striatal D2-type dopamine receptors (D2 and D3) play a crucial role in cognitive control and reward-based decision-making processes.

The findings suggest that lower levels of D2-type receptor availability in the striatum are associated with higher self-reported impulsivity and poorer motor response inhibition and cognitive flexibility. Additionally, impulsive choices in reward-based decision-making tasks are linked to deficits in striatal D2-type dopamine receptor availability, with evidence pointing to an inverted U-shaped relationship where optimal performance is achieved at a moderate level of striatal dopaminergic activity.

The study further supports these findings by examining both clinical populations with striatal dopamine D2-type receptor deficits and healthy control groups, indicating that targeting D2-type receptors could be beneficial for improving cognitive control. This research underscores the importance of dopaminergic systems in regulating impulsivity and provides a foundation for potential therapeutic interventions aimed at enhancing cognitive",True,False,True,
31886611,Dorsal striatal functional connectivity changes in Internet gaming disorder: A longitudinal magnetic resonance imaging study.,"This study, identified by PMID: 31886611, explores the neuroimaging correlates of Internet gaming disorder (IGD) through longitudinal magnetic resonance imaging (MRI) assessments. The research involved 18 young males diagnosed with IGD and 18 healthy controls, all of similar age. The participants were re-evaluated approximately one year later, allowing for the examination of both structural and functional brain changes associated with IGD.

Key findings include:

1. **Gray Matter Volume (GMV) Changes**: Individuals with IGD exhibited reduced GMV in the anterior/middle cingulate cortex compared to controls at both initial and follow-up assessments.

2. **Functional Connectivity (FC) Alterations**:
   - Reduced FC between the left dorsal putamen and left medial prefrontal cortex (mPFC) was observed in individuals with IGD relative to controls.
   - Increased FC between the right dorsal putamen and right middle occipital gyrus (MOG) was noted during the follow-up assessment in those with IGD.
   - There was a significant correlation between changes in dorsal putamen-MOG FC and daily gaming time.

The results suggest that IGD is associated with weakened prefrontal control and enhanced sensorimotor network activity,",True,False,True,
