record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,verifier_raw_response
1,27942448,Brain connectivity aberrations in anabolic-androgenic steroid users.,2017,NeuroImage. Clinical,impulsivity neuroimaging functional connectivity,"amygdala, default-mode network (DMN), dorsal attention network (DAN), frontal node encompassing the superior and inferior frontal gyri (SFG/IFG) and the anterior cingulate cortex (ACC)",functional connectivity,unknown,anabolic-androgenic steroid (AAS) users,association,lower,disruptions of brain networks with high concentrations of androgen receptors and critically involved in emotional and cognitive regulation,indirect,moderate,"In line with the emotional and behavioral consequences of AAS, current users exhibited reduced functional connectivity between key nodes involved in emotional and cognitive regulation, in particular reduced connectivity between the amygdala and default-mode network (DMN) and between the dorsal attention network (DAN) and a frontal node encompassing the superior and inferior frontal gyri (SFG/IFG) and the anterior cingulate cortex (ACC), with further reductions as a function of dependency, lifetime exposure, and cycle state (on/off).",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,2,keep,unclear,unclear,unclear,yes,no,no,anabolic-androgenic steroid (AAS) users,functional connectivity,lower,"The sentence directly states reduced functional connectivity between key brain nodes, which aligns with the claim. The direction is clearly stated as 'reduced', supporting the 'lower' direction. However, the claim does not specify the diagnostic context, making directness_supported=false.",,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": null,
  ""feature_supported"": ""functional connectivity"",
  ""relationship_supported"": ""association"",
  ""direction_supported"": true,
  ""directness_supported"": false,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""anabolic-androgenic steroid (AAS) users"",
  ""corrected_feature_type"": ""functional connectivity"",
  ""corrected_direction"": ""lower"",
  ""rationale"": ""The sentence directly states reduced functional connectivity between key brain nodes, which aligns with the claim. The direction is clearly stated as 'reduced', supporting the 'lower' direction. However, the claim does not specify the diagnostic context, making directness_supported=false.""
}"
2,35040662,Role of White Matter Microstructure in Impulsive Behavior.,2022,The Journal of neuropsychiatry and clinical neurosciences,Barratt Impulsiveness Scale fMRI,white matter,unknown,impulsivity (general),healthy individuals,correlation,higher,specific white matter microstructural connectivity,indirect,moderate,"Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007) and positively correlated with nonplanning impulsiveness (r=0.29, p=0.02); these correlations were significant after correction for multiple comparisons.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,2,keep,yes,no,yes,yes,no,no,"motor impulsiveness, nonplanning impulsiveness",fractional anisotropy (FA),"inversely, positively","The sentence directly states correlations between whole-brain total average FA and impulsiveness measures, supporting the relationship and direction. However, it does not specify that the feature is fractional anisotropy (FA), making directness_supported=false.",,"{
    ""support_score"": 2,
    ""decision"": ""keep"",
    ""phenotype_supported"": true,
    ""feature_supported"": false,
    ""relationship_supported"": true,
    ""direction_supported"": true,
    ""directness_supported"": false,
    ""overclaiming"": false,
    ""corrected_phenotype"": ""motor impulsiveness, nonplanning impulsiveness"",
    ""corrected_feature_type"": ""fractional anisotropy (FA)"",
    ""corrected_direction"": ""inversely, positively"",
    ""rationale"": ""The sentence directly states correlations between whole-brain total average FA and impulsiveness measures, supporting the relationship and direction. However, it does not specify that the feature is fractional anisotropy (FA), making directness_supported=false.""
}"
3,22749228,Behavioral and cognitive impulsivity in obsessive-compulsive disorder and eating disorders.,2012,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,,unknown,unknown,"obsessive-compulsive disorder (OCD), eating disorder (ED), and healthy control participants",compared,higher,,indirect,moderate,"Compared to controls, both clinical groups reported higher levels of impulsivity on the BIS-11 however; only the OCD demonstrated increased stop-signal reaction time.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,no,no,yes,yes,no,yes,impulsivity,stop-signal reaction time,higher,"The sentence compares impulsivity levels between clinical groups and controls, but does not specify which type of impulsivity is being measured. It also mentions an additional measure (stop-signal reaction time) that was only increased in OCD, which is not directly related to the comparison of impulsivity levels.",,"{
    ""support_score"": 1,
    ""decision"": ""revise"",
    ""phenotype_supported"": false,
    ""feature_supported"": false,
    ""relationship_supported"": true,
    ""direction_supported"": true,
    ""directness_supported"": false,
    ""overclaiming"": true,
    ""corrected_phenotype"": ""impulsivity"",
    ""corrected_feature_type"": ""stop-signal reaction time"",
    ""corrected_direction"": ""higher"",
    ""rationale"": ""The sentence compares impulsivity levels between clinical groups and controls, but does not specify which type of impulsivity is being measured. It also mentions an additional measure (stop-signal reaction time) that was only increased in OCD, which is not directly related to the comparison of impulsivity levels.""
}"
4,26745144,Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD.,2016,PloS one,trait impulsivity resting-state fMRI,,covariates,attentional impulsivity,ADHD,common genetic influences,unclear,,indirect,moderate,"HM was moderately correlated with maternal reports of Inattention (r = 0.17, p-value = 7.4E-5) and Hyperactivity-Impulsivity (r = 0.16, p-value = 2.9E-4), and these associations were mainly due to pleiotropic genetic factors with genetic correlations [95% CIs] of rg = 0.24 [0.02, 0.43] and rg = 0.23 [0.07, 0.39].",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,2,keep,yes,yes,yes,no,no,yes,attentional impulsivity,genetic covariates,unclear,"The sentence supports the phenotype 'attentional impulsivity', the feature type as genetic covariates, and the relationship through genetic influences. However, the direction and directness are not directly supported as the sentence discusses associations rather than a direct causal relationship.",,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": ""attentional impulsivity"",
  ""corrected_feature_type"": ""genetic covariates"",
  ""corrected_direction"": ""unclear"",
  ""rationale"": ""The sentence supports the phenotype 'attentional impulsivity', the feature type as genetic covariates, and the relationship through genetic influences. However, the direction and directness are not directly supported as the sentence discusses associations rather than a direct causal relationship.""
}"
5,32464339,Investigation of structure-function correlation among the young offspring of patients with bipolar disorder.,2020,Psychiatry research. Neuroimaging,Barratt Impulsiveness Scale fMRI,cingulum,unknown,attentional impulsivity,young offspring of patients with bipolar disorder (BDoff),correlation,higher,,indirect,moderate,MD values in the cingulum were inversely correlated with the Child and Youth Resilience Measure and positively correlated with higher scores on the Barratt Impulsiveness Scale-Attentional.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,yes,no,yes,no,no,yes,attentional impulsivity,MD values,inverse,"The sentence mentions a positive correlation with attentional impulsivity but does not specify MD values as the feature. It also mentions an inverse correlation with the Child and Youth Resilience Measure, which is not the phenotype of interest. The direction of the correlation is mixed.",,"{
    ""support_score"": 1,
    ""decision"": ""revise"",
    ""phenotype_supported"": true,
    ""feature_supported"": false,
    ""relationship_supported"": true,
    ""direction_supported"": false,
    ""directness_supported"": false,
    ""overclaiming"": true,
    ""corrected_phenotype"": ""attentional impulsivity"",
    ""corrected_feature_type"": ""MD values"",
    ""corrected_direction"": ""inverse"",
    ""rationale"": ""The sentence mentions a positive correlation with attentional impulsivity but does not specify MD values as the feature. It also mentions an inverse correlation with the Child and Youth Resilience Measure, which is not the phenotype of interest. The direction of the correlation is mixed.""
}"
6,38002468,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,2023,Brain sciences,Barratt Impulsiveness Scale resting-state fMRI,insula,functional connectivity,impulsivity (general),chronic heroin use disorder,predicts,higher,changes in FC between the insula and other brain regions,indirect,strong,"Changes in FC between the right insula and the lateral occipital cortex and the right angular gyrus were significantly positively correlated with total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity, whereas changes in the FC between the left insula and the left superior frontal gyrus and left frontopolar brain region were significantly negatively correlated with trait impulsivity.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,yes,yes,yes,no,no,no,trait impulsivity,functional connectivity,mixed,"The sentence mentions both positive and negative correlations, which contradicts the extracted claim's direction of 'higher'. Additionally, the directness is not supported as the sentence does not explicitly state that the functional connectivity changes predict impulsivity.",,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""trait impulsivity"",
  ""corrected_feature_type"": ""functional connectivity"",
  ""corrected_direction"": ""mixed"",
  ""rationale"": ""The sentence mentions both positive and negative correlations, which contradicts the extracted claim's direction of 'higher'. Additionally, the directness is not supported as the sentence does not explicitly state that the functional connectivity changes predict impulsivity.""
}"
7,31401546,Functional connectivity of emotional well-being: Overconnectivity between default and attentional networks is associated with attitudes of anger and aggression.,2019,Psychiatry research. Neuroimaging,impulsivity fMRI functional connectivity,default and attentional networks,functional connectivity,unknown,,positive correlation,higher,impaired effortful control and decreased response inhibition of impulsivity,indirect,significant,"Additionally, functional connectivity between the default and attentional networks was positively correlated with scores of attitudes of anger and aggression.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,2,keep,unclear,unclear,unclear,yes,no,no,anger and aggression,functional connectivity between the default and attentional networks,higher,"The sentence directly states a positive correlation between functional connectivity and attitudes of anger and aggression, supporting the claim. However, the directness is marked as false because the sentence does not explicitly state that the higher connectivity is associated with higher levels of anger and aggression.",,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": ""anger and aggression"",
  ""feature_supported"": ""functional connectivity between the default and attentional networks"",
  ""relationship_supported"": ""positive correlation"",
  ""direction_supported"": true,
  ""directness_supported"": false,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""anger and aggression"",
  ""corrected_feature_type"": ""functional connectivity between the default and attentional networks"",
  ""corrected_direction"": ""higher"",
  ""rationale"": ""The sentence directly states a positive correlation between functional connectivity and attitudes of anger and aggression, supporting the claim. However, the directness is marked as false because the sentence does not explicitly state that the higher connectivity is associated with higher levels of anger and aggression.""
}"
8,33304251,Neural Basis of Increased Cognitive Control of Impulsivity During the Mid-Luteal Phase Relative to the Late Follicular Phase of the Menstrual Cycle.,2020,Frontiers in human neuroscience,ADHD impulsivity resting-state fMRI connectivity,dorsal striatum (DS) and dorsal lateral prefrontal cortex (dlPFC),functional connectivity,impulsivity (general),"conditions characterized by hyper-impulsivity, such as obsessive compulsive disorder, Parkinson disease, and attention deficit hyperactivity disorder",correlation,lower,"cyclical gonadal hormones affect cognitive control of impulsive behavior in a periodic manner, possibly via DS-dlPFC circuitry",indirect,moderate,"Discount rate (transformed k) correlated with functional connectivity between the DS and dlPFC, consistent with previous findings indicating that DS-dlPFC circuitry may regulate impulsivity.",no,evidence_strength not a number,yes,yes,no,,,,,,,,,,qwen2.5-7b-instruct,2,keep,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,not specified,"The sentence supports the relationship between impulsivity and functional connectivity in the DS-dlPFC circuitry. However, it does not specify the direction of the relationship, and the directness is not directly stated.",,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""impulsivity (general)"",
  ""corrected_feature_type"": ""functional connectivity"",
  ""corrected_direction"": ""not specified"",
  ""rationale"": ""The sentence supports the relationship between impulsivity and functional connectivity in the DS-dlPFC circuitry. However, it does not specify the direction of the relationship, and the directness is not directly stated.""
}"
9,31907881,Human Brain Imaging Links Dopaminergic Systems to Impulsivity.,2020,Current topics in behavioral neurosciences,motor impulsivity functional connectivity,striatal dopaminergic system,unknown,motor impulsivity,,correlation,higher,functional connectivity,indirect,strong,"Low levels of striatal and midbrain D2-type receptor availability correlate with self-reported impulsivity, whereas striatal D2-type receptor availability shows positive correlation with motor response inhibition and cognitive flexibility.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,yes,no,yes,yes,no,yes,motor impulsivity,D2-type receptor availability,lower,"The sentence mentions a correlation between striatal D2-type receptor availability and motor response inhibition/cognitive flexibility, which indirectly relates to motor impulsivity. However, it does not directly state that lower D2-type receptor availability correlates with higher motor impulsivity. The feature type is not explicitly mentioned, and the directness is indirect.",,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": true,
  ""feature_supported"": false,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": ""motor impulsivity"",
  ""corrected_feature_type"": ""D2-type receptor availability"",
  ""corrected_direction"": ""lower"",
  ""rationale"": ""The sentence mentions a correlation between striatal D2-type receptor availability and motor response inhibition/cognitive flexibility, which indirectly relates to motor impulsivity. However, it does not directly state that lower D2-type receptor availability correlates with higher motor impulsivity. The feature type is not explicitly mentioned, and the directness is indirect.""
}"
10,31886611,Dorsal striatal functional connectivity changes in Internet gaming disorder: A longitudinal magnetic resonance imaging study.,2021,Addiction biology,impulsivity fMRI functional connectivity,dorsal striatum,functional connectivity,unknown,young males with IGD,decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC); increased FC strength between the right dorsal putamen and right middle occipital gyrus (MOG),higher,uncontrolled gaming may be related with functional neural changes in the dorsal striatum,indirect,moderate,They exhibited decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC) compared with controls.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,2,keep,unclear,unclear,unclear,yes,no,yes,IGD,functional connectivity,decreased,The sentence supports the relationship and direction of the claim but does not specify the phenotype or directly state the indirect nature of the evidence. It also overclaims by mentioning a control group comparison without specifying the diagnostic context.,,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": null,
  ""feature_supported"": ""functional connectivity"",
  ""relationship_supported"": ""decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC)"",
  ""direction_supported"": true,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": ""IGD"",
  ""corrected_feature_type"": ""functional connectivity"",
  ""corrected_direction"": ""decreased"",
  ""rationale"": ""The sentence supports the relationship and direction of the claim but does not specify the phenotype or directly state the indirect nature of the evidence. It also overclaims by mentioning a control group comparison without specifying the diagnostic context.""
}"
