source,source_id,query,title,year,journal,brain_system,feature_type,phenotype,diagnostic_context,relationship,direction,mechanism,directness,evidence_strength,supporting_sentence,citation_id,extraction_model,extraction_confidence
pubmed,27942448,impulsivity neuroimaging functional connectivity,Brain connectivity aberrations in anabolic-androgenic steroid users.,2017,NeuroImage. Clinical,default mode network,functional connectivity,impulsivity (general),anabolic-androgenic steroid users,associated_with,lower,disruptions of brain networks,direct,0.8,"current users exhibited reduced functional connectivity between key nodes involved in emotional and cognitive regulation, in particular reduced connectivity between the amygdala and default-mode network (DMN) and between the dorsal attention network (DAN) and a frontal node encompassing the superior and inferior frontal gyri (SFG/IFG) and the anterior cingulate cortex (ACC), with further reductions as a function of dependency, lifetime exposure, and cycle state (on/off).",27942448,vllm:llama-3.1-8b-instruct,high
pubmed,35040662,Barratt Impulsiveness Scale fMRI,Role of White Matter Microstructure in Impulsive Behavior.,2022,The Journal of neuropsychiatry and clinical neurosciences,unknown,structural connectivity,impulsivity (general),healthy individuals,correlates_with,unclear,white matter microstructural integrity,indirect,0.5,"Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007) and positively correlated with nonplanning impulsiveness (r=0.29, p=0.02); these correlations were significant after correction for multiple comparisons.",35040662,vllm:llama-3.1-8b-instruct,medium
pubmed,22749228,Barratt Impulsiveness Scale neuroimaging,Behavioral and cognitive impulsivity in obsessive-compulsive disorder and eating disorders.,2012,Psychiatry research,unknown,unknown,impulsivity (general),"obsessive-compulsive disorder, eating disorder",associated_with,higher,,background,0.8,"Compared to controls, both clinical groups reported higher levels of impulsivity on the BIS-11",22749228,vllm:llama-3.1-8b-instruct,medium
pubmed,26745144,trait impulsivity resting-state fMRI,Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD.,2016,PloS one,unknown,unknown,impulsivity (general),ADHD,associated_with,unclear,,background,0.8,"HM was moderately correlated with maternal reports of Inattention (r = 0.17, p-value = 7.4E-5) and Hyperactivity-Impulsivity (r = 0.16, p-value = 2.9E-4),",26745144,vllm:llama-3.1-8b-instruct,medium
pubmed,32464339,Barratt Impulsiveness Scale fMRI,Investigation of structure-function correlation among the young offspring of patients with bipolar disorder.,2020,Psychiatry research. Neuroimaging,unknown,unknown,impulsivity (general),bipolar disorder,correlates_with,unclear,,indirect,0.8,MD values in the cingulum were inversely correlated with the Child and Youth Resilience Measure and positively correlated with higher scores on the Barratt Impulsiveness Scale-Attentional.,32464339,vllm:llama-3.1-8b-instruct,medium
pubmed,38002468,Barratt Impulsiveness Scale resting-state fMRI,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,2023,Brain sciences,unknown,functional connectivity,impulsivity (general),Chronic Heroin Use Disorder,predicts,higher,,direct,0.9,"Changes in FC between the right insula and the lateral occipital cortex and the right angular gyrus were significantly positively correlated with total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity, whereas changes in the FC between the left insula and the left superior frontal gyrus and left frontopolar brain region were significantly negatively correlated with trait impulsivity.",38002468,vllm:llama-3.1-8b-instruct,high
pubmed,31401546,impulsivity fMRI functional connectivity,Functional connectivity of emotional well-being: Overconnectivity between default and attentional networks is associated with attitudes of anger and aggression.,2019,Psychiatry research. Neuroimaging,default mode network,functional connectivity,impulsivity (general),unknown,associated_with,higher,impaired effortful control and decreased response inhibition,direct,0.7,"Additionally, functional connectivity between the default and attentional networks was positively correlated with scores of attitudes of anger and aggression.",31401546,vllm:llama-3.1-8b-instruct,high
pubmed,33304251,ADHD impulsivity resting-state fMRI connectivity,Neural Basis of Increased Cognitive Control of Impulsivity During the Mid-Luteal Phase Relative to the Late Follicular Phase of the Menstrual Cycle.,2020,Frontiers in human neuroscience,unknown,functional connectivity,impulsivity (general),"ADHD, obsessive compulsive disorder, Parkinson disease, attention deficit hyperactivity disorder",correlates_with,lower,DS-dlPFC circuitry,indirect,0.8,"Discount rate (transformed k) correlated with functional connectivity between the DS and dorsal lateral prefrontal cortex (dlPFC), consistent with previous findings indicating that DS-dlPFC circuitry may regulate impulsivity.",33304251,vllm:llama-3.1-8b-instruct,high
pubmed,31907881,motor impulsivity functional connectivity,Human Brain Imaging Links Dopaminergic Systems to Impulsivity.,2020,Current topics in behavioral neurosciences,unknown,functional connectivity,motor impulsivity,unknown,correlates_with,higher,dopaminergic systems,direct,0.9,"Low levels of striatal and midbrain D2-type receptor availability correlate with self-reported impulsivity, whereas striatal D2-type receptor availability shows positive correlation with motor response inhibition and cognitive flexibility.",31907881,vllm:llama-3.1-8b-instruct,high
pubmed,31886611,impulsivity fMRI functional connectivity,Dorsal striatal functional connectivity changes in Internet gaming disorder: A longitudinal magnetic resonance imaging study.,2021,Addiction biology,unknown,functional connectivity,unknown,Internet gaming disorder,associated_with,unclear,,unclear,0.8,Young males with IGD showed an altered FC pattern in the dorsal striatum during follow-up. FC of the dorsal striatum in IGD increased in the mPFC and decreased in the MOG.,31886611,vllm:llama-3.1-8b-instruct,medium
pubmed,39218589,motor impulsivity functional connectivity,[A review of functional electrical stimulation based on brain-computer interface].,2024,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,unknown,unknown,impulsivity (general),unknown,unknown,unclear,,unclear,0.0,,39218589,vllm:llama-3.1-8b-instruct,low
pubmed,37086305,Barratt Impulsiveness Scale resting-state fMRI,"Emotion dysregulation, impulsivity and anger rumination in borderline personality disorder: the role of amygdala and insula.",2024,European archives of psychiatry and clinical neuroscience,unknown,functional connectivity,impulsivity (general),borderline personality disorder,correlates_with,lower,unknown,indirect,0.8,"Reduced functional connectivity was found in BPD between amygdala and frontal pole, precuneus and temporal pole. This functional connectivity alterations correlated with Anger Rumination Scale (p = .009; r = - 0.491) and Barratt Impulsiveness Scale (p = 0.020; r = - 0.447).",37086305,vllm:llama-3.1-8b-instruct,medium
pubmed,37992501,impulsivity neuroimaging functional connectivity,Testing the triple network model of psychopathology in a transdiagnostic neurodevelopmental cohort.,2023,NeuroImage. Clinical,unknown,functional connectivity,impulsivity (general),transdiagnostic neurodevelopmental cohort,associated_with,higher,altered connectivity between brain networks,direct,0.8,"Hyperactivity/impulsivity was associated with increased functional connectivity between the SN, CEN, and DMN in at-risk children, whereas it was associated with decreased functional connectivity between the CEN and DMN in comparison children.",37992501,vllm:llama-3.1-8b-instruct,high
pubmed,40297839,impulsivity resting-state fMRI functional connectivity,"Hippocampus Functional Connectivity, Impulsivity, and Subsequent Substance Use.",2025,Journal of cellular neuroscience,unknown,functional connectivity,impulsivity (general),unknown,associated_with,higher,,direct,0.8,Hippocampal functional connectivity with brain networks may influence the pathway from impulsivity to future substance use in adolescence.,40297839,vllm:llama-3.1-8b-instruct,high
pubmed,24834038,impulsivity resting-state fMRI functional connectivity,Brain functional connectivity changes in children that differ in impulsivity temperamental trait.,2014,Frontiers in behavioral neuroscience,default mode network,functional connectivity,impulsivity (general),typically developing children,correlates_with,lower,,direct,0.8,We found two DMN clusters located at the posterior cingulate cortex and the right angular gyrus which were negatively correlated with impulsivity scores.,24834038,vllm:llama-3.1-8b-instruct,high
pubmed,34993375,trait impulsivity functional connectivity,Brain Networks Associated With COVID-19 Risk: Data From 3662 Participants.,2021,"Chronic stress (Thousand Oaks, Calif.)",unknown,functional connectivity,impulsivity (general),COVID-19,associated_with,unclear,,background,0.9,"Overall, lower integration across the brain modules and increased segregation, as reflected by internal within module connectivity, were associated with higher infection rates.",34993375,vllm:llama-3.1-8b-instruct,high
pubmed,28783574,Barratt Impulsiveness Scale neuroimaging,Go/No-Go task performance predicts differences in compulsivity but not in impulsivity personality traits.,2017,Psychiatry research,unknown,unknown,impulsivity (general),unknown,predicts,higher,,indirect,0.8,The results show for the first time a relation between the execution of the Go/No-Go task and the MOCI scale.,28783574,vllm:llama-3.1-8b-instruct,medium
pubmed,29442271,impulsivity fMRI functional connectivity,Exploring variability in basal ganglia connectivity with functional MRI in healthy aging.,2018,Brain imaging and behavior,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,,background,0.5,Age was the only correlate of FC in the BGN that was consistently significant with both analyses.,29442271,vllm:llama-3.1-8b-instruct,medium
pubmed,12860356,Barratt Impulsiveness Scale neuroimaging,"Impulsivity, gender, and response to fenfluramine challenge in borderline personality disorder.",2003,Psychiatry research,unknown,unknown,impulsivity (general),borderline personality disorder,associated_with,unclear,,background,0.8,"Behavioral impulsivity in borderline personality disorder (BPD) is associated with indices of diminished central serotonergic function, independent of suicidal behavior, depression or alcohol use disorder.",12860356,vllm:llama-3.1-8b-instruct,medium
pubmed,41098388,impulsivity resting-state fMRI functional connectivity,Functional connectivity in resting-state fMRI (rs-fMRI) in opioid use disorder.,2025,The European physical journal. Special topics,unknown,functional connectivity,impulsivity (general),opioid use disorder,correlates_with,unclear,,indirect,0.8,Our preliminary rs-fMRI findings reveal significant disruptions in functional connectivity in individuals with opioid addiction within DMN and SN networks involved in cognitive functions such as decision-making and impulse control.,41098388,vllm:llama-3.1-8b-instruct,medium
pubmed,34964209,impulsivity fMRI functional connectivity,Neural processes during response inhibition in complex posttraumatic stress disorder.,2022,Depression and anxiety,unknown,unknown,impulsivity (general),complex posttraumatic stress disorder,associated_with,unclear,aberrant functioning in the neurocircuitry of inhibitory control,background,0.5,"There was reduced bilateral thalamic activation in participants with CPTSD relative to PTSD and controls during inhibition trials, but no activation differences between PTSD and controls for this brain region.",34964209,vllm:llama-3.1-8b-instruct,medium
pubmed,32699511,impulsivity fMRI functional connectivity,Neurobiological mechanisms underlying internet gaming disorder .,2020,Dialogues in clinical neuroscience,unknown,functional connectivity,impulsivity (general),internet gaming disorder,associated_with,unclear,dopamine-mediated reward mechanisms,indirect,0.8,"reduced functional connectivity in brain networks that are involved in cognitive control, executive function, motivation, and reward.",32699511,vllm:llama-3.1-8b-instruct,medium
pubmed,14572528,Barratt Impulsiveness Scale fMRI,Response inhibition and impulsivity: an fMRI study.,2003,Neuropsychologia,unknown,functional connectivity,impulsivity (general),antisocial personality disorder,associated_with,unclear,,background,0.8,Neuroimaging of brain activity during the Go/NoGo task may be useful in understanding the functional neuroanatomy and associated neurochemistry of response inhibition.,14572528,vllm:llama-3.1-8b-instruct,medium
pubmed,10570690,attentional impulsivity functional connectivity,What is attention-deficit/hyperactivity disorder?,1999,Pediatric clinics of North America,unknown,functional connectivity,attentional impulsivity,ADHD,associated_with,unclear,,background,0.5,"Neuropsychological studies suggest that individuals with ADHD may have their most salient difficulties in the areas of organizing, preparing, and inhibiting responses.",10570690,vllm:llama-3.1-8b-instruct,medium
pubmed,39424632,impulsivity resting-state fMRI functional connectivity,Enhanced ADHD classification through deep learning and dynamic resting state fMRI analysis.,2024,Scientific reports,unknown,dynamic connectivity,impulsivity (general),ADHD,associated_with,unclear,,indirect,0.9,Recent studies have highlighted dynamic changes in functional connectivity patterns among ADHD children.,39424632,vllm:llama-3.1-8b-instruct,high
pubmed,31073695,impulsivity resting state functional connectivity,Binge drinking is associated with altered resting state functional connectivity of reward-salience and top down control networks.,2020,Brain imaging and behavior,unknown,functional connectivity,unknown,binge drinking,associated_with,unclear,dysregulation of neurofunctional networks,unclear,0.8,BDs demonstrated lower connectivity between the IFC and hippocampus which was associated with higher craving.,31073695,vllm:llama-3.1-8b-instruct,medium
pubmed,27743376,Barratt Impulsiveness Scale fMRI,Cortical folding patterns are associated with impulsivity in healthy young adults.,2017,Brain imaging and behavior,unknown,structural connectivity,impulsivity (general),healthy young adults,associated_with,higher,cortical folding,direct,0.8,"BIS subscores were positively correlated with cortical folding in several distinct areas: Total and attention scores were positively correlated with LGI in the left postcentral gyrus, cingulate gyrus, precentral gyrus, pars opercularis of the inferior frontal gyrus, right middle temporal gyrus, superior parietal gyrus, pericalcarine gyrus, and lateral occipital gyrus (each p < 0.05 CWP corr.).",27743376,vllm:llama-3.1-8b-instruct,high
pubmed,35277392,motor impulsivity functional connectivity,Prefrontal Cortical Connectivity Mediates Locus Coeruleus Noradrenergic Regulation of Inhibitory Control in Older Adults.,2022,The Journal of neuroscience : the official journal of the Society for Neuroscience,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,,direct,0.8,"We confirm that better response inhibition is correlated with locus coeruleus integrity and stronger connectivity between presupplementary motor area (preSMA) and right inferior frontal gyrus (rIFG), but not volumes of the prefrontal cortical regions.",35277392,vllm:llama-3.1-8b-instruct,high
pubmed,39315326,Barratt Impulsiveness Scale resting-state fMRI,Resting-state brain networks alterations in adolescents with Internet Gaming Disorder associate with cognitive control impairments.,2024,Frontiers in psychiatry,unknown,unknown,impulsivity (general),Internet Gaming Disorder,correlates_with,higher,functional connectivity,indirect,0.9,"Decreased resting state activity of the dorsal attention network (DAN) was associated with attentional dysregulation of IGD in adolescents (r=0.4071, p=0.0017), and ECN increased functional connectivity with DAN.",39315326,vllm:llama-3.1-8b-instruct,high
pubmed,39339712,attentional impulsivity functional connectivity,Investigating the Impact of Nutrition and Oxidative Stress on Attention Deficit Hyperactivity Disorder.,2024,Nutrients,unknown,unknown,impulsivity (general),ADHD,unknown,unclear,oxidative stress,background,0.8,Oxidative stress plays a critical role in the development and manifestation of ADHD symptoms.,39339712,vllm:llama-3.1-8b-instruct,low
pubmed,27896939,trait impulsivity functional connectivity,"A multimodal study of impulsivity and body weight: Integrating behavioral, cognitive, and neuroimaging approaches.",2017,"Obesity (Silver Spring, Md.)",unknown,functional connectivity,impulsivity (general),unknown,correlates_with,higher,,direct,0.8,"Positive correlations were found between BMI and trait (ImpSS) as well as state impulsivity (continuous performance test, β).",27896939,vllm:llama-3.1-8b-instruct,high
pubmed,39592983,attentional impulsivity resting-state fMRI,Abnormal stability of dynamic functional architecture in drug-naïve children with attention-deficit/hyperactivity disorder.,2024,BMC psychiatry,default mode network,dynamic connectivity,attentional impulsivity,children with ADHD,associated_with,lower,,direct,0.8,"We found that children with ADHD exhibited (1) decreased FS in the bilateral superior frontal gyrus (SFG) and increased FS in the right middle temporal gyrus (MTG), which both belong to the default mode network (DMN);",39592983,vllm:llama-3.1-8b-instruct,high
pubmed,25944613,Barratt Impulsiveness Scale resting-state fMRI,Nature of functional links in valuation networks differentiates impulsive behaviors between abstinent heroin-dependent subjects and nondrug-using subjects.,2015,NeuroImage,unknown,functional connectivity,impulsivity (general),heroin-dependent subjects,associated_with,unclear,mutual reinforcement,indirect,0.8,"However, in abstinent heroin-dependent subjects, the link is imbalanced, with stronger β-network connectivity and weaker δ-network connectivity.",25944613,vllm:llama-3.1-8b-instruct,high
pubmed,38468374,impulsivity fMRI functional connectivity,Functional connectivity alterations in individuals with gaming disorder assessed by functional magnetic resonance imaging: a systematic review.,2025,Journal of addictive diseases,unknown,functional connectivity,unknown,Internet Gaming Disorder (IGD),associated_with,unclear,,background,0.5,The main findings reveal changes such as significant increases or decreases in functional connectivity in certain regions of the brain.,38468374,vllm:llama-3.1-8b-instruct,low
pubmed,28423021,Barratt Impulsiveness Scale fMRI,Trait impulsivity components correlate differently with proactive and reactive control.,2017,PloS one,fronto-parietal network,functional connectivity,impulsivity (general),unknown,correlates_with,higher,,direct,0.8,Higher motor impulsiveness was associated with a larger proactive control effect in the inferior parietal lobule and a smaller reactive control effect in the right dorsolateral prefrontal cortex (DLPFC) and anterior cingulate cortex.,28423021,vllm:llama-3.1-8b-instruct,high
pubmed,36963562,impulsivity resting-state fMRI functional connectivity,Youth Screen Media Activity Patterns and Associations With Behavioral Developmental Measures and Resting-state Brain Functional Connectivity.,2023,Journal of the American Academy of Child and Adolescent Psychiatry,unknown,unknown,impulsivity (general),unknown,associated_with,higher,,indirect,0.8,"The video-centric higher-frequency SMA pattern group demonstrated higher impulsivity, more sensitivity to punishment/reward, and altered resting-state brain functional connectivity among brain areas implicated previously in cognitive processes.",36963562,vllm:llama-3.1-8b-instruct,high
pubmed,36747838,attentional impulsivity resting-state fMRI,Individual Differences in Delay Discounting are Associated with Dorsal Prefrontal Cortex Connectivity in Youth.,2023,bioRxiv : the preprint server for biology,default mode network,functional connectivity,impulsivity (general),unknown,associated_with,higher,,direct,0.9,"Delay discounting was associated with greater functional connectivity between the dorsal prefrontal cortex and other parts of the default mode network, and reduced connectivity with regions in the dorsal and ventral attention networks.",36747838,vllm:llama-3.1-8b-instruct,high
pubmed,37884552,trait impulsivity functional connectivity,Neural correlates of aggression in personality disorders from the perspective of DSM-5 maladaptive traits: a systematic review.,2023,Translational psychiatry,unknown,functional connectivity,impulsivity (general),personality disorders,associated_with,unclear,alterations in the interplay between prefrontal and subcortical regions,indirect,0.8,Alterations of fronto-temporal-limbic regions and serotonergic and endocannabinoid signaling systems may link impulsivity to aggression in BPD and ASPD;,37884552,vllm:llama-3.1-8b-instruct,medium
pubmed,28040671,motor impulsivity resting-state fMRI,Decisional impulsivity and the associative-limbic subthalamic nucleus in obsessive-compulsive disorder: stimulation and connectivity.,2017,Brain : a journal of neurology,unknown,unknown,impulsivity (general),obsessive-compulsive disorder,associated_with,higher,subthalamic nucleus stimulation,direct,0.8,We show that stimulation of the subthalamic nucleus is causally implicated in increasing decisional impulsivity with less accumulation of evidence during probabilistic uncertainty and in enhancing delay discounting.,28040671,vllm:llama-3.1-8b-instruct,high
pubmed,39284401,attentional impulsivity functional connectivity,"Transcranial Magnetic Stimulation-Induced Plasticity Improving Cognitive Control in Obsessive-Compulsive Disorder, Part II: Task-Based Neural Predictors of Treatment Response.",2025,Biological psychiatry,unknown,functional connectivity,attentional impulsivity,obsessive-compulsive disorder,associated_with,unclear,,indirect,0.5,Pretreatment task-based functional magnetic resonance imaging-derived measures of activation and connectivity during planning and inhibition-related processes are associated with clinical response for specific rTMS conditions in OCD.,39284401,vllm:llama-3.1-8b-instruct,low
