record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,verifier_raw_response
1,39315326,Resting-state brain networks alterations in adolescents with Internet Gaming Disorder associate with cognitive control impairments.,2024,Frontiers in psychiatry,Barratt Impulsiveness Scale resting-state fMRI,"Executive Control Network (ECN), Salience Network (SN), Dorsal Attention Network (DAN)",functional connectivity,impulsivity (general),adolescents,correlation,higher,"impulsivity in IGD subjects shows a positive correlation with the severity of IGD, linked to impairments in the ECN and a decrease in functional connectivity between the SN and ECN",indirect,strong,"impulsivity in adolescent IGD subjects showed a positive correlation with the severity of IGD (r=0.6350, p < 0.001), linked to impairments in the Executive Control Network (ECN) and a decrease in functional connectivity between the Salience Network (SN) and ECN (r=0.4307, p=0.0021; r=-0.5147, p=0.0034).",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,2,keep,yes,yes,yes,yes,no,no,impulsivity (general),functional connectivity,higher,"The sentence directly states a positive correlation between impulsivity and the severity of IGD, which aligns with the claim. It also mentions a decrease in functional connectivity between the SN and ECN, supporting the feature type and direction.",,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": false,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""impulsivity (general)"",
  ""corrected_feature_type"": ""functional connectivity"",
  ""corrected_direction"": ""higher"",
  ""rationale"": ""The sentence directly states a positive correlation between impulsivity and the severity of IGD, which aligns with the claim. It also mentions a decrease in functional connectivity between the SN and ECN, supporting the feature type and direction.""
}"
2,35040662,Role of White Matter Microstructure in Impulsive Behavior.,2022,The Journal of neuropsychiatry and clinical neurosciences,Barratt Impulsiveness Scale fMRI,white matter,unknown,impulsivity (general),healthy individuals,correlation,higher,specific white matter microstructural connectivity,indirect,moderate,"Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007) and positively correlated with nonplanning impulsiveness (r=0.29, p=0.02); these correlations were significant after correction for multiple comparisons.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,2,keep,yes,no,yes,yes,no,no,"motor impulsiveness, nonplanning impulsiveness",fractional anisotropy (FA),"inversely, positively","The sentence directly states correlations between whole-brain total average FA and impulsiveness measures, supporting the relationship and direction. However, it does not specify that the feature is fractional anisotropy (FA), making directness_supported=false.",,"{
    ""support_score"": 2,
    ""decision"": ""keep"",
    ""phenotype_supported"": true,
    ""feature_supported"": false,
    ""relationship_supported"": true,
    ""direction_supported"": true,
    ""directness_supported"": false,
    ""overclaiming"": false,
    ""corrected_phenotype"": ""motor impulsiveness, nonplanning impulsiveness"",
    ""corrected_feature_type"": ""fractional anisotropy (FA)"",
    ""corrected_direction"": ""inversely, positively"",
    ""rationale"": ""The sentence directly states correlations between whole-brain total average FA and impulsiveness measures, supporting the relationship and direction. However, it does not specify that the feature is fractional anisotropy (FA), making directness_supported=false.""
}"
3,39796107,The Relationship Between Impulsivity Traits and In Vivo Cerebral Serotonin Transporter and Serotonin 2A Receptor Binding in Healthy Individuals: A Double-Tracer PET Study with C-11 DASB and C-11 MDL100907.,2024,International journal of molecular sciences,Barratt Impulsiveness Scale fMRI,"caudate, prefrontal cortex, ventromedial prefrontal cortex, orbitofrontal cortex, insula, amygdala, putamen, ventral striatum, thalamus",unknown,impulsivity (general),healthy individuals,correlation,higher,"serotonergic neurotransmission, particularly 5-HT2A receptor-mediated postsynaptic signaling",indirect,significant,"The region of interest (ROI)-based partial correlation analysis with age, sex, and temperament traits as covariates revealed a significant positive correlation between non-planning impulsiveness and [11C]MDL100907 BPND in the caudate (CAU) at Bonferroni-corrected p < 0.0045.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,yes,no,yes,yes,no,yes,non-planning impulsiveness,serotonin 2A receptor binding potential (BPND),positive,The sentence supports the relationship and direction but does not directly mention the feature type or brain system involved. It also overclaims by mentioning temperament traits as covariates.,,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": true,
  ""feature_supported"": false,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": ""non-planning impulsiveness"",
  ""corrected_feature_type"": ""serotonin 2A receptor binding potential (BPND)"",
  ""corrected_direction"": ""positive"",
  ""rationale"": ""The sentence supports the relationship and direction but does not directly mention the feature type or brain system involved. It also overclaims by mentioning temperament traits as covariates.""
}"
4,29337234,Electrophysiological Activity Prior to Self-initiated Movements is Related to Impulsive Personality Traits.,2018,Neuroscience,Barratt Impulsiveness Scale neuroimaging,motor system,unknown,impulsivity (general),Barratt Impulsiveness Scale (BIS-11) assessment,positive relationship,higher,less effective preparatory inhibition mechanisms,direct,strong,"In particular, the RP showed an earlier negative rising phase and a greater amplitude, with the increasing of BIS-11 scores.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,yes,no,yes,yes,no,yes,impulsivity (general),electrophysiological activity,higher,"The sentence mentions a positive relationship between impulsivity scores and electrophysiological activity, but does not specify the feature type. The direction is correct, but the directness is not supported as the feature is not named.",,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": true,
  ""feature_supported"": false,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": ""impulsivity (general)"",
  ""corrected_feature_type"": ""electrophysiological activity"",
  ""corrected_direction"": ""higher"",
  ""rationale"": ""The sentence mentions a positive relationship between impulsivity scores and electrophysiological activity, but does not specify the feature type. The direction is correct, but the directness is not supported as the feature is not named.""
}"
5,12860356,"Impulsivity, gender, and response to fenfluramine challenge in borderline personality disorder.",2003,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,central serotonergic function,unknown,unknown,BPD subjects in a community setting,predicts,lower,gender differences in central serotonergic function may contribute to variations in impulsivity in BPD,indirect,moderate,Impulsivity and aggression were inversely related to delta-prolactin and peak-prolactin responses among male but not female subjects.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,no,no,yes,yes,no,yes,impulsivity,delta-prolactin and peak-prolactin responses,lower,"The sentence mentions an inverse relationship between impulsivity and prolactin responses, which supports the relationship and direction. However, it does not specify that this relationship is direct, nor does it mention central serotonergic function or gender differences. It also overclaims by suggesting a mechanism not supported by the sentence.",,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": false,
  ""feature_supported"": false,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": ""impulsivity"",
  ""corrected_feature_type"": ""delta-prolactin and peak-prolactin responses"",
  ""corrected_direction"": ""lower"",
  ""rationale"": ""The sentence mentions an inverse relationship between impulsivity and prolactin responses, which supports the relationship and direction. However, it does not specify that this relationship is direct, nor does it mention central serotonergic function or gender differences. It also overclaims by suggesting a mechanism not supported by the sentence.""
}"
6,39424632,Enhanced ADHD classification through deep learning and dynamic resting state fMRI analysis.,2024,Scientific reports,impulsivity resting-state fMRI functional connectivity,resting-state fMRI,functional connectivity,unknown,classification of ADHD from typically developing children (TDC),Skip-Vote-Net leverages dynamic connectivity analysis to improve classification accuracy,unclear,majority voting mechanism,direct,strong,"In this study, we introduce Skip-Vote-Net, a novel deep learning-based network designed for classifying ADHD from typically developing children (TDC) by leveraging dynamic connectivity analysis on rs-fMRI data collected from 222 participants included in the NYU dataset within the ADHD-200 database.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,2,keep,no,yes,yes,no,yes,no,ADHD,dynamic connectivity analysis on rs-fMRI data,improves classification accuracy,"The sentence supports the feature type and the relationship between Skip-Vote-Net and dynamic connectivity analysis on rs-fMRI data. However, it does not explicitly mention the direction of the relationship (i.e., how Skip-Vote-Net improves classification accuracy) and does not specify the phenotype (ADHD) directly.",,"{
    ""support_score"": 2,
    ""decision"": ""keep"",
    ""phenotype_supported"": false,
    ""feature_supported"": true,
    ""relationship_supported"": true,
    ""direction_supported"": false,
    ""directness_supported"": true,
    ""overclaiming"": false,
    ""corrected_phenotype"": ""ADHD"",
    ""corrected_feature_type"": ""dynamic connectivity analysis on rs-fMRI data"",
    ""corrected_direction"": ""improves classification accuracy"",
    ""rationale"": ""The sentence supports the feature type and the relationship between Skip-Vote-Net and dynamic connectivity analysis on rs-fMRI data. However, it does not explicitly mention the direction of the relationship (i.e., how Skip-Vote-Net improves classification accuracy) and does not specify the phenotype (ADHD) directly.""
}"
7,32035425,Ventromedial prefrontal value signals and functional connectivity during decision-making in suicidal behavior and impulsivity.,2020,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,impulsivity fMRI functional connectivity,ventromedial prefrontal cortex (vmPFC),functional connectivity,impulsivity (general),depressed individuals with and without suicidal behavior,negative moderation,lower,vmPFC-frontoparietal connectivity,indirect,moderate,"In nonpsychiatric controls, vmPFC-frontoparietal connectivity was negatively moderated by impulsivity (pFWE corrected < 0.05). This effect was preserved in comparison patient groups but abolished in suicide attempters (p < 0.001).",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,2,keep,yes,yes,yes,yes,no,no,impulsivity (general),vmPFC-frontoparietal connectivity,lower,"The sentence directly states that vmPFC-frontoparietal connectivity was negatively moderated by impulsivity, which aligns with the claim. However, the sentence does not explicitly name the brain system as 'ventromedial prefrontal cortex (vmPFC)', so directness is not fully supported.",,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": false,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""impulsivity (general)"",
  ""corrected_feature_type"": ""vmPFC-frontoparietal connectivity"",
  ""corrected_direction"": ""lower"",
  ""rationale"": ""The sentence directly states that vmPFC-frontoparietal connectivity was negatively moderated by impulsivity, which aligns with the claim. However, the sentence does not explicitly name the brain system as 'ventromedial prefrontal cortex (vmPFC)', so directness is not fully supported.""
}"
8,29442271,Exploring variability in basal ganglia connectivity with functional MRI in healthy aging.,2018,Brain imaging and behavior,impulsivity fMRI functional connectivity,basal ganglia network,functional connectivity,unknown,none,association,lower,alterations of the dopaminergic system,indirect,moderate,Age was the only correlate of FC in the BGN that was consistently significant with both analyses.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,no,yes,yes,no,no,yes,age,functional connectivity,unknown,"The sentence indicates an association between age and functional connectivity in the basal ganglia network, but it does not specify the direction of the relationship or the directness of the association. It also overclaims by suggesting alterations of the dopaminergic system, which is not supported by the sentence.",,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": false,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": ""age"",
  ""corrected_feature_type"": ""functional connectivity"",
  ""corrected_direction"": ""unknown"",
  ""rationale"": ""The sentence indicates an association between age and functional connectivity in the basal ganglia network, but it does not specify the direction of the relationship or the directness of the association. It also overclaims by suggesting alterations of the dopaminergic system, which is not supported by the sentence.""
}"
9,26745144,Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD.,2016,PloS one,trait impulsivity resting-state fMRI,,covariates,attentional impulsivity,ADHD,common genetic influences,unclear,,indirect,moderate,"HM was moderately correlated with maternal reports of Inattention (r = 0.17, p-value = 7.4E-5) and Hyperactivity-Impulsivity (r = 0.16, p-value = 2.9E-4), and these associations were mainly due to pleiotropic genetic factors with genetic correlations [95% CIs] of rg = 0.24 [0.02, 0.43] and rg = 0.23 [0.07, 0.39].",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,2,keep,yes,yes,yes,no,no,yes,attentional impulsivity,genetic covariates,unclear,"The sentence supports the phenotype 'attentional impulsivity', the feature type as genetic covariates, and the relationship through genetic correlations. However, the direction and directness are not directly supported as the sentence discusses associations rather than a direct causal relationship.",,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": ""attentional impulsivity"",
  ""corrected_feature_type"": ""genetic covariates"",
  ""corrected_direction"": ""unclear"",
  ""rationale"": ""The sentence supports the phenotype 'attentional impulsivity', the feature type as genetic covariates, and the relationship through genetic correlations. However, the direction and directness are not directly supported as the sentence discusses associations rather than a direct causal relationship.""
}"
10,38018143,Converging Evidence for Frontopolar Cortex as a Target for Neuromodulation in Addiction Treatment.,2024,The American journal of psychiatry,trait impulsivity functional connectivity,frontopolar cortex,unknown,unknown,transcranial brain stimulation,promising therapeutic target,unclear,converging multimodal evidence,direct,strong,"This approach is supported by converging multimodal evidence, including lesion-based maps, functional MRI-based maps, tES studies, TMS studies, and dose-response relationships.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,no,no,no,no,no,yes,,,,"The sentence mentions converging evidence but does not specify a phenotype or feature. It also does not directly state that the frontopolar cortex is a promising therapeutic target, nor does it provide a clear direction of the relationship.",,"{
    ""support_score"": 1,
    ""decision"": ""revise"",
    ""phenotype_supported"": false,
    ""feature_supported"": false,
    ""relationship_supported"": false,
    ""direction_supported"": false,
    ""directness_supported"": false,
    ""overclaiming"": true,
    ""corrected_phenotype"": null,
    ""corrected_feature_type"": null,
    ""corrected_direction"": null,
    ""rationale"": ""The sentence mentions converging evidence but does not specify a phenotype or feature. It also does not directly state that the frontopolar cortex is a promising therapeutic target, nor does it provide a clear direction of the relationship.""
}"
