id,set,method,score,native_pred
gptv_0001,s300,deberta-nli,0.000858,revise
gptv_0002,s300,deberta-nli,0.002802,revise
gptv_0004,s300,deberta-nli,0.000419,revise
gptv_0005,s300,deberta-nli,0.000550,revise
gptv_0006,s300,deberta-nli,0.001897,revise
gptv_0007,s300,deberta-nli,0.009697,revise
gptv_0008,s300,deberta-nli,0.037689,revise
gptv_0009,s300,deberta-nli,0.000628,revise
gptv_0010,s300,deberta-nli,0.001468,revise
gptv_0011,s300,deberta-nli,0.008156,revise
gptv_0012,s300,deberta-nli,0.004002,revise
gptv_0013,s300,deberta-nli,0.003691,revise
gptv_0014,s300,deberta-nli,0.298584,revise
gptv_0015,s300,deberta-nli,0.003267,revise
gptv_0016,s300,deberta-nli,0.434326,revise
gptv_0017,s300,deberta-nli,0.405273,revise
gptv_0018,s300,deberta-nli,0.000437,revise
gptv_0019,s300,deberta-nli,0.024124,revise
gptv_0020,s300,deberta-nli,0.001291,revise
gptv_0021,s300,deberta-nli,0.000865,revise
gptv_0022,s300,deberta-nli,0.041351,revise
gptv_0023,s300,deberta-nli,0.002317,revise
gptv_0024,s300,deberta-nli,0.000293,revise
gptv_0025,s300,deberta-nli,0.001545,revise
gptv_0026,s300,deberta-nli,0.640625,keep
gptv_0028,s300,deberta-nli,0.003159,drop
gptv_0029,s300,deberta-nli,0.000640,drop
gptv_0030,s300,deberta-nli,0.003740,revise
gptv_0031,s300,deberta-nli,0.000889,revise
gptv_0033,s300,deberta-nli,0.000946,revise
gptv_0034,s300,deberta-nli,0.002083,revise
gptv_0035,s300,deberta-nli,0.777832,keep
gptv_0036,s300,deberta-nli,0.001978,revise
gptv_0037,s300,deberta-nli,0.004219,revise
gptv_0038,s300,deberta-nli,0.001675,revise
gptv_0039,s300,deberta-nli,0.873047,keep
gptv_0040,s300,deberta-nli,0.000668,revise
gptv_0041,s300,deberta-nli,0.001760,revise
gptv_0043,s300,deberta-nli,0.002810,revise
gptv_0044,s300,deberta-nli,0.039978,revise
gptv_0045,s300,deberta-nli,0.002501,revise
gptv_0046,s300,deberta-nli,0.043274,revise
gptv_0047,s300,deberta-nli,0.002657,revise
gptv_0048,s300,deberta-nli,0.001264,revise
gptv_0049,s300,deberta-nli,0.004906,drop
gptv_0050,s300,deberta-nli,0.000207,revise
gptv_0051,s300,deberta-nli,0.000556,drop
gptv_0052,s300,deberta-nli,0.446289,revise
gptv_0053,s300,deberta-nli,0.000459,revise
gptv_0054,s300,deberta-nli,0.005848,drop
gptv_0055,s300,deberta-nli,0.001870,revise
gptv_0056,s300,deberta-nli,0.006779,revise
gptv_0057,s300,deberta-nli,0.855957,keep
gptv_0058,s300,deberta-nli,0.001029,revise
gptv_0059,s300,deberta-nli,0.899902,keep
gptv_0061,s300,deberta-nli,0.007084,revise
gptv_0062,s300,deberta-nli,0.964355,keep
gptv_0063,s300,deberta-nli,0.028244,revise
gptv_0064,s300,deberta-nli,0.000600,revise
gptv_0065,s300,deberta-nli,0.002466,revise
gptv_0066,s300,deberta-nli,0.006374,revise
gptv_0067,s300,deberta-nli,0.886230,keep
gptv_0068,s300,deberta-nli,0.000805,drop
gptv_0069,s300,deberta-nli,0.003016,revise
gptv_0070,s300,deberta-nli,0.007133,drop
gptv_0071,s300,deberta-nli,0.000745,revise
gptv_0072,s300,deberta-nli,0.001009,revise
gptv_0073,s300,deberta-nli,0.001240,revise
gptv_0074,s300,deberta-nli,0.972168,keep
gptv_0075,s300,deberta-nli,0.004879,revise
gptv_0076,s300,deberta-nli,0.001493,revise
gptv_0077,s300,deberta-nli,0.000470,revise
gptv_0078,s300,deberta-nli,0.032013,revise
gptv_0079,s300,deberta-nli,0.000654,revise
gptv_0080,s300,deberta-nli,0.111511,revise
gptv_0081,s300,deberta-nli,0.001288,revise
gptv_0082,s300,deberta-nli,0.000141,revise
gptv_0083,s300,deberta-nli,0.000504,revise
gptv_0084,s300,deberta-nli,0.004826,revise
gptv_0085,s300,deberta-nli,0.000762,revise
gptv_0086,s300,deberta-nli,0.000843,drop
gptv_0087,s300,deberta-nli,0.001693,revise
gptv_0088,s300,deberta-nli,0.005203,revise
gptv_0089,s300,deberta-nli,0.762207,keep
gptv_0090,s300,deberta-nli,0.043091,revise
gptv_0091,s300,deberta-nli,0.023590,revise
gptv_0092,s300,deberta-nli,0.865234,keep
gptv_0093,s300,deberta-nli,0.000312,revise
gptv_0094,s300,deberta-nli,0.002720,revise
gptv_0095,s300,deberta-nli,0.000278,drop
