system,model,n,schema_valid_rate,citation_valid_rate,quote_anchor_rate,semantic_keep_rate,semantic_revise_rate,semantic_drop_rate,overclaim_rate,useful_evidence_retained_rate,unparseable_output_rate,errors,self_decision_counts,run_dir
full_neuroxpert_rag,llama-3.1-8b-instruct,100,1.0,1.0,0.92,0.51,0.33,0.16,0.02,0.84,0.0,0,,/home/qwe123/neuroxpert_rag/data/pilot/baseline_ablation_100/llama31_8b
baseline_a_naive_free_form_rag,llama-3.1-8b-instruct,100,0.0,0.84,0.0,,,,,,1.0,0,,/home/qwe123/neuroxpert_rag/data/pilot/baseline_ablation_100/llama31_8b
baseline_b_structured_no_mechanical_gate,llama-3.1-8b-instruct,100,1.0,1.0,0.92,0.5,0.36,0.14,0.02,0.86,0.0,0,,/home/qwe123/neuroxpert_rag/data/pilot/baseline_ablation_100/llama31_8b
baseline_c_single_stage_extract_verify,llama-3.1-8b-instruct,100,0.0,1.0,0.89,0.63,0.27,0.1,0.04,0.9,0.04,0,"{'verified': 85, 'missing': 8, 'supported': 3}",/home/qwe123/neuroxpert_rag/data/pilot/baseline_ablation_100/llama31_8b
full_neuroxpert_rag,mistral-7b-instruct-v0.3,100,1.0,1.0,0.54,0.56,0.28,0.16,0.0,0.84,0.0,0,,/home/qwe123/neuroxpert_rag/data/pilot/baseline_ablation_100/mistral7b
baseline_a_naive_free_form_rag,mistral-7b-instruct-v0.3,100,0.0,1.0,0.11,,,,,,1.0,0,,/home/qwe123/neuroxpert_rag/data/pilot/baseline_ablation_100/mistral7b
baseline_b_structured_no_mechanical_gate,mistral-7b-instruct-v0.3,100,1.0,1.0,0.55,0.49,0.46,0.05,0.01,0.95,0.0,0,,/home/qwe123/neuroxpert_rag/data/pilot/baseline_ablation_100/mistral7b
baseline_c_single_stage_extract_verify,mistral-7b-instruct-v0.3,100,0.0,1.0,0.76,0.84,0.12,0.04,0.0,0.96,0.0,0,"{'missing': 96, 'extracted evidence record is valid': 1, 'the extracted evidence record supports the relationship between trait impulsivity and driving errors, with executive functions and driving self-regulation as the mediating factors.': 1, 'extracted': 2}",/home/qwe123/neuroxpert_rag/data/pilot/baseline_ablation_100/mistral7b
full_neuroxpert_rag,qwen2.5-7b-instruct,100,0.9,1.0,0.8,0.57,0.34,0.09,0.0,0.91,0.0,0,,/home/qwe123/neuroxpert_rag/data/pilot/baseline_ablation_100/qwen25_7b
baseline_a_naive_free_form_rag,qwen2.5-7b-instruct,100,0.0,0.69,0.0,,,,,,1.0,0,,/home/qwe123/neuroxpert_rag/data/pilot/baseline_ablation_100/qwen25_7b
baseline_b_structured_no_mechanical_gate,qwen2.5-7b-instruct,100,0.9,1.0,0.79,0.18,0.53,0.29,0.79,0.71,0.0,0,,/home/qwe123/neuroxpert_rag/data/pilot/baseline_ablation_100/qwen25_7b
baseline_c_single_stage_extract_verify,qwen2.5-7b-instruct,100,0.0,1.0,0.95,0.4,0.55,0.05,0.64,0.95,0.0,0,"{'supported': 86, 'verified': 11, 'supportable': 1, 'false': 1, 'true': 1}",/home/qwe123/neuroxpert_rag/data/pilot/baseline_ablation_100/qwen25_7b
