source,source_id,query,title,year,journal,brain_system,feature_type,phenotype,diagnostic_context,relationship,direction,mechanism,directness,evidence_strength,supporting_sentence,citation_id,extraction_model,extraction_confidence
pubmed,35619620,Barratt Impulsiveness Scale resting-state fMRI,How Impulsiveness Influences Obesity: The Mediating Effect of Resting-State Brain Activity in the dlPFC.,2022,Frontiers in psychiatry,unknown,functional connectivity,nonplanning impulsivity,unknown,predicts,higher,downregulating spontaneous activity,direct,0.8,We found that the right dlPFC completely mediated the relationship between non-planning impulsiveness and BMI.,35619620,vllm:mistral-7b-instruct-v0.3,high
pubmed,34427375,Barratt Impulsiveness Scale resting-state fMRI,Changes in ALFF and ReHo values in methamphetamine abstinent individuals based on the Harvard-Oxford atlas: A longitudinal resting-state fMRI study.,2022,Addiction biology,unknown,BOLD variability,impulsivity (general),unknown,associated_with,higher,,direct,0.8,"The changes in ALFF and ReHo in the right middle frontal gyrus were significantly associated with BIS total scores, BIS attention scores, and BIS nonplanning scores.",34427375,vllm:mistral-7b-instruct-v0.3,high
pubmed,39315326,Barratt Impulsiveness Scale resting-state fMRI,Resting-state brain networks alterations in adolescents with Internet Gaming Disorder associate with cognitive control impairments.,2024,Frontiers in psychiatry,unknown,functional connectivity,attentional impulsivity,Internet Gaming Disorder,associates with,unclear,unclear,unclear,0.7,"In comparison to the control group, impulsivity in adolescent IGD subjects showed a positive correlation with the severity of IGD (r=0.6350, p < 0.001), linked to impairments in the Executive Control Network (ECN) and a decrease in functional connectivity between the Salience Network (SN) and ECN.",39315326,vllm:mistral-7b-instruct-v0.3,high
pubmed,38991286,Barratt Impulsiveness Scale resting-state fMRI,Neural correlates of impulsivity in amphetamine use disorder.,2024,Psychiatry research. Neuroimaging,unknown,functional connectivity,impulsivity (general),amphetamine use disorder,associated_with,higher,unclear,direct,0.8,"Amphetamine users had higher subjective ratings of impulsivity as compared to healthy controls, and these scores correlated positively with a wide-spread prefrontal hyperconnectivity that was found among the amphetamine users.",38991286,vllm:mistral-7b-instruct-v0.3,high
pubmed,29454934,Barratt Impulsiveness Scale resting-state fMRI,Time scale properties of task and resting-state functional connectivity: Detrended partial cross-correlation analysis.,2018,NeuroImage,unknown,functional connectivity,BIS total,unknown,associated_with,lower,unclear,direct,0.8,"In regions of interest analysis, the within-network connectivity time scale of the pre-supplementary motor area - a medial prefrontal cortical structure of the task network and critical to proactive inhibitory control - correlated inversely with Barratt impulsivity and stop signal reaction time.",29454934,vllm:mistral-7b-instruct-v0.3,high
pubmed,38002468,Barratt Impulsiveness Scale resting-state fMRI,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,2023,Brain sciences,unknown,functional connectivity,impulsivity (general),chronic heroin use disorder,predicts,higher,,direct,0.8,"The HUD group in this study exhibited higher total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity than the control group.",38002468,vllm:mistral-7b-instruct-v0.3,high
pubmed,39469891,Barratt Impulsiveness Scale resting-state fMRI,Functional Brain Network of Trait Impulsivity: Whole-Brain Functional Connectivity Predicts Self-Reported Impulsivity.,2024,Human brain mapping,unknown,functional connectivity,impulsivity (general),unknown,predicts,unclear,,unclear,0.8,Our findings revealed a widespread neural network associated with trait impulsivity and a notable correlation between predicted and observed scores.,39469891,vllm:mistral-7b-instruct-v0.3,high
pubmed,37579016,Barratt Impulsiveness Scale resting-state fMRI,"Resting-State Functional Connectivity of the Dorsal and Ventral Striatum, Impulsivity, and Severity of Use in Recently Abstinent Cocaine-Dependent Individuals.",2023,The international journal of neuropsychopharmacology,unknown,functional connectivity,impulsivity (general),cocaine-dependent individuals,associated_with,higher,,direct,0.8,These findings associate VS rsFC with impulsivity and the severity of recent cocaine use.,37579016,vllm:mistral-7b-instruct-v0.3,high
pubmed,39313561,Barratt Impulsiveness Scale resting-state fMRI,Motor impulsivity and spicy food craving: A mediation analysis of insula-based resting state functional connectivity.,2024,Brain imaging and behavior,unknown,functional connectivity,motor impulsivity,unknown,associated_with,higher,mediation,direct,0.8,"Results revealed increased insula-occipital lobe resting-state functional connectivity in individuals with spicy food cravings, and the positive correlations between insula-middle occipital gyrus rsFC, impulsivity and spicy food craving.",39313561,vllm:mistral-7b-instruct-v0.3,high
pubmed,32670033,Barratt Impulsiveness Scale resting-state fMRI,Trait Impulsivity Associated With Altered Resting-State Functional Connectivity Within the Somatomotor Network.,2020,Frontiers in behavioral neuroscience,unknown,functional connectivity,impulsivity (general),unknown,associated_with,lower,unclear,direct,0.8,Greater self-reported impulsivity was associated with decreased connectivity of the right lateral occipital cortex with the somatomotor network.,32670033,vllm:mistral-7b-instruct-v0.3,high
