record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,verifier_raw_response
1,27942448,Brain connectivity aberrations in anabolic-androgenic steroid users.,2017,NeuroImage. Clinical,impulsivity neuroimaging functional connectivity,default mode network,functional connectivity,impulsivity (general),unknown,associated_with,lower,,direct,0.8,"current users exhibited reduced functional connectivity between key nodes involved in emotional and cognitive regulation, in particular reduced connectivity between the amygdala and default-mode network (DMN) and between the dorsal attention network (DAN) and a frontal node encompassing the superior and inferior frontal gyri (SFG/IFG) and the anterior cingulate cortex (ACC), with further reductions as a function of dependency, lifetime exposure, and cycle state (on/off).",yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,no,yes,yes,no,no,yes,impulsivity (general),functional connectivity,lower,The sentence mentions reduced functional connectivity but does not directly link it to impulsivity. It also does not specify the exact direction or directness of the relationship.,,"{
    ""support_score"": 1,
    ""decision"": ""revise"",
    ""phenotype_supported"": false,
    ""feature_supported"": true,
    ""relationship_supported"": true,
    ""direction_supported"": false,
    ""directness_supported"": false,
    ""overclaiming"": true,
    ""corrected_phenotype"": ""impulsivity (general)"",
    ""corrected_feature_type"": ""functional connectivity"",
    ""corrected_direction"": ""lower"",
    ""rationale"": ""The sentence mentions reduced functional connectivity but does not directly link it to impulsivity. It also does not specify the exact direction or directness of the relationship.""
}"
2,35040662,Role of White Matter Microstructure in Impulsive Behavior.,2022,The Journal of neuropsychiatry and clinical neurosciences,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,nonplanning impulsivity,unknown,correlates_with,lower,,direct,0.85,"Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007) and positively correlated with nonplanning impulsiveness (r=0.29, p=0.02); these correlations were significant after correction for multiple comparisons.",yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,fractional anisotropy (FA),lower,"The sentence directly states that whole-brain total average FA is inversely correlated with nonplanning impulsiveness, which matches the extracted claim.",,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": true,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""nonplanning impulsivity"",
  ""corrected_feature_type"": ""fractional anisotropy (FA)"",
  ""corrected_direction"": ""lower"",
  ""rationale"": ""The sentence directly states that whole-brain total average FA is inversely correlated with nonplanning impulsiveness, which matches the extracted claim.""
}"
3,22749228,Behavioral and cognitive impulsivity in obsessive-compulsive disorder and eating disorders.,2012,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,unknown,unknown,impulsivity (general),"obsessive-compulsive disorder, eating disorder",associated_with,higher,,indirect,0.8,"Compared to controls, both clinical groups reported higher levels of impulsivity on the BIS-11 however; only the OCD demonstrated increased stop-signal reaction time.",yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,yes,no,yes,yes,no,yes,impulsivity (general),behavioral,higher,"The sentence supports the relationship between impulsivity and the clinical groups but does not specify a behavioral feature. It also indirectly supports the direction of the relationship. However, the directness is not supported as the sentence does not name a specific feature. Additionally, the sentence mentions a group difference but does not directly associate a phenotype with a feature.",,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": true,
  ""feature_supported"": false,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": ""impulsivity (general)"",
  ""corrected_feature_type"": ""behavioral"",
  ""corrected_direction"": ""higher"",
  ""rationale"": ""The sentence supports the relationship between impulsivity and the clinical groups but does not specify a behavioral feature. It also indirectly supports the direction of the relationship. However, the directness is not supported as the sentence does not name a specific feature. Additionally, the sentence mentions a group difference but does not directly associate a phenotype with a feature.""
}"
4,26745144,Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD.,2016,PloS one,trait impulsivity resting-state fMRI,unknown,covariates,impulsivity (general),ADHD,correlates_with,unclear,,indirect,0.7,"HM was moderately correlated with maternal reports of Inattention (r = 0.17, p-value = 7.4E-5) and Hyperactivity-Impulsivity (r = 0.16, p-value = 2.9E-4), and these associations were mainly due to pleiotropic genetic factors with genetic correlations [95% CIs] of rg = 0.24 [0.02, 0.43] and rg = 0.23 [0.07, 0.39].",yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,2,keep,yes,yes,yes,no,no,yes,Hyperactivity-Impulsivity,covariates,unclear,"The sentence provides a correlation between head motion (HM) and hyperactivity-impulsivity, which supports the phenotype and feature. However, the direction is unclear, and the relationship is indirect as it mentions genetic influences rather than a direct association.",,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": ""Hyperactivity-Impulsivity"",
  ""corrected_feature_type"": ""covariates"",
  ""corrected_direction"": ""unclear"",
  ""rationale"": ""The sentence provides a correlation between head motion (HM) and hyperactivity-impulsivity, which supports the phenotype and feature. However, the direction is unclear, and the relationship is indirect as it mentions genetic influences rather than a direct association.""
}"
5,32464339,Investigation of structure-function correlation among the young offspring of patients with bipolar disorder.,2020,Psychiatry research. Neuroimaging,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),young offspring of patients with bipolar disorder,correlates_with,higher,,direct,0.8,MD values in the cingulum were inversely correlated with the Child and Youth Resilience Measure and positively correlated with higher scores on the Barratt Impulsiveness Scale-Attentional.,yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,no,yes,yes,no,no,yes,Barratt Impulsiveness Scale-Attentional,MD values in the cingulum,inverse,The sentence mentions a group difference but does not directly state a phenotype-feature association. It also contains mixed directions and lacks specificity regarding the phenotype and feature.,,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": false,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": ""Barratt Impulsiveness Scale-Attentional"",
  ""corrected_feature_type"": ""MD values in the cingulum"",
  ""corrected_direction"": ""inverse"",
  ""rationale"": ""The sentence mentions a group difference but does not directly state a phenotype-feature association. It also contains mixed directions and lacks specificity regarding the phenotype and feature.""
}"
6,38002468,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,2023,Brain sciences,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),heroin use disorder,predicts,higher,,direct,0.9,"Changes in FC between the right insula and the lateral occipital cortex and the right angular gyrus were significantly positively correlated with total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity.",yes,,yes,yes,no,,,,,,,,,,qwen2.5-7b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence directly states a positive correlation between changes in functional connectivity and impulsivity scores, which aligns with the extracted claim.",,"{
  ""support_score"": 2,
  ""decision"": ""keep"",
  ""phenotype_supported"": true,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": true,
  ""overclaiming"": false,
  ""corrected_phenotype"": ""impulsivity (general)"",
  ""corrected_feature_type"": ""functional connectivity"",
  ""corrected_direction"": ""higher"",
  ""rationale"": ""The sentence directly states a positive correlation between changes in functional connectivity and impulsivity scores, which aligns with the extracted claim.""
}"
7,31401546,Functional connectivity of emotional well-being: Overconnectivity between default and attentional networks is associated with attitudes of anger and aggression.,2019,Psychiatry research. Neuroimaging,impulsivity fMRI functional connectivity,"default mode network, salience/ventral attention network",functional connectivity,impulsivity (general),unknown,associated_with,higher,impaired effortful control and decreased response inhibition,direct,0.85,functional connectivity between the default and attentional networks was positively correlated with scores of attitudes of anger and aggression,yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,no,yes,yes,yes,no,yes,anger and aggression,functional connectivity,higher,The sentence mentions a group difference in functional connectivity but does not directly state an association with impulsivity. It also does not specify the exact direction of the relationship as 'higher'. The sentence is indirect and implies a relationship with anger and aggression rather than a general phenotype of impulsivity.,,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": false,
  ""feature_supported"": true,
  ""relationship_supported"": true,
  ""direction_supported"": true,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": ""anger and aggression"",
  ""corrected_feature_type"": ""functional connectivity"",
  ""corrected_direction"": ""higher"",
  ""rationale"": ""The sentence mentions a group difference in functional connectivity but does not directly state an association with impulsivity. It also does not specify the exact direction of the relationship as 'higher'. The sentence is indirect and implies a relationship with anger and aggression rather than a general phenotype of impulsivity.""
}"
8,33304251,Neural Basis of Increased Cognitive Control of Impulsivity During the Mid-Luteal Phase Relative to the Late Follicular Phase of the Menstrual Cycle.,2020,Frontiers in human neuroscience,ADHD impulsivity resting-state fMRI connectivity,unknown,functional connectivity,nonplanning impulsivity,attention deficit hyperactivity disorder,correlates_with,lower,cyclical gonadal hormones affect cognitive control of impulsive behavior via DS-dlPFC circuitry,direct,0.8,"DS-dlPFC functional connectivity magnitude correlated negatively with psychometric impulsivity scores during the late FP, consistent with our behavioral data and further indicating that relative estradiol levels may play an important role in augmenting cognitive control.",yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,unclear,unclear,unclear,no,no,yes,psychometric impulsivity scores,DS-dlPFC functional connectivity magnitude,negative,"The sentence mentions a group difference (late FP) and a correlation, but it does not directly state that DS-dlPFC functional connectivity correlates with nonplanning impulsivity. It also does not specify the direction of the relationship as 'lower'. The sentence suggests a correlation with psychometric impulsivity scores, which is different from the extracted phenotype. The brain system is mentioned but not specified in the claim.",,"{
  ""support_score"": 1,
  ""decision"": ""revise"",
  ""phenotype_supported"": ""nonplanning impulsivity"",
  ""feature_supported"": ""functional connectivity"",
  ""relationship_supported"": ""correlates_with"",
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": ""psychometric impulsivity scores"",
  ""corrected_feature_type"": ""DS-dlPFC functional connectivity magnitude"",
  ""corrected_direction"": ""negative"",
  ""rationale"": ""The sentence mentions a group difference (late FP) and a correlation, but it does not directly state that DS-dlPFC functional connectivity correlates with nonplanning impulsivity. It also does not specify the direction of the relationship as 'lower'. The sentence suggests a correlation with psychometric impulsivity scores, which is different from the extracted phenotype. The brain system is mentioned but not specified in the claim.""
}"
9,31907881,Human Brain Imaging Links Dopaminergic Systems to Impulsivity.,2020,Current topics in behavioral neurosciences,motor impulsivity functional connectivity,unknown,functional connectivity,motor impulsivity,unknown,correlates_with,lower,,direct,0.85,striatal D2-type receptor availability shows positive correlation with motor response inhibition and cognitive flexibility.,yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,0,drop,no,no,no,no,no,yes,,,,"The sentence discusses striatal D2-type receptor availability correlating with motor response inhibition and cognitive flexibility, which are different phenotypes than the extracted claim about motor impulsivity. It also does not specify functional connectivity as the feature type, and the relationship and direction are not directly supported.",,"{
  ""support_score"": 0,
  ""decision"": ""drop"",
  ""phenotype_supported"": false,
  ""feature_supported"": false,
  ""relationship_supported"": false,
  ""direction_supported"": false,
  ""directness_supported"": false,
  ""overclaiming"": true,
  ""corrected_phenotype"": null,
  ""corrected_feature_type"": null,
  ""corrected_direction"": null,
  ""rationale"": ""The sentence discusses striatal D2-type receptor availability correlating with motor response inhibition and cognitive flexibility, which are different phenotypes than the extracted claim about motor impulsivity. It also does not specify functional connectivity as the feature type, and the relationship and direction are not directly supported.""
}"
10,31886611,Dorsal striatal functional connectivity changes in Internet gaming disorder: A longitudinal magnetic resonance imaging study.,2021,Addiction biology,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),Internet gaming disorder,correlates_with,unclear,,direct,0.75,Young males with IGD showed an altered FC pattern in the dorsal striatum during follow-up. FC of the dorsal striatum in IGD increased in the mPFC and decreased in the MOG.,yes,,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,no,yes,yes,no,no,yes,Internet gaming disorder,functional connectivity,"increased in some areas, decreased in others","The sentence mentions a group difference (IGD) and a change in functional connectivity (FC) in the dorsal striatum, but it does not directly state that impulsivity correlates with this change. The direction of the relationship is unclear and the directness is not fully supported as the sentence does not specify the exact relationship between impulsivity and the change in FC.",,"{
    ""support_score"": 1,
    ""decision"": ""revise"",
    ""phenotype_supported"": false,
    ""feature_supported"": true,
    ""relationship_supported"": true,
    ""direction_supported"": false,
    ""directness_supported"": false,
    ""overclaiming"": true,
    ""corrected_phenotype"": ""Internet gaming disorder"",
    ""corrected_feature_type"": ""functional connectivity"",
    ""corrected_direction"": ""increased in some areas, decreased in others"",
    ""rationale"": ""The sentence mentions a group difference (IGD) and a change in functional connectivity (FC) in the dorsal striatum, but it does not directly state that impulsivity correlates with this change. The direction of the relationship is unclear and the directness is not fully supported as the sentence does not specify the exact relationship between impulsivity and the change in FC.""
}"
