record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error
1,35619620,How Impulsiveness Influences Obesity: The Mediating Effect of Resting-State Brain Activity in the dlPFC.,2022,Frontiers in psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,nonplanning impulsivity,unknown,predicts,higher,downregulating spontaneous activity,direct,0.8,We found that the right dlPFC completely mediated the relationship between non-planning impulsiveness and BMI.,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,functional connectivity,higher,,
2,34427375,Changes in ALFF and ReHo values in methamphetamine abstinent individuals based on the Harvard-Oxford atlas: A longitudinal resting-state fMRI study.,2022,Addiction biology,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),unknown,associated_with,higher,,direct,0.8,"The changes in ALFF and ReHo in the right middle frontal gyrus were significantly associated with BIS total scores, BIS attention scores, and BIS nonplanning scores.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,higher,"The sentence directly supports the association between impulsivity (general) and BOLD variability, with higher impulsivity scores being associated with higher BOLD variability in the right middle frontal gyrus.",
3,39315326,Resting-state brain networks alterations in adolescents with Internet Gaming Disorder associate with cognitive control impairments.,2024,Frontiers in psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,attentional impulsivity,Internet Gaming Disorder,associates with,unclear,unclear,unclear,0.7,"In comparison to the control group, impulsivity in adolescent IGD subjects showed a positive correlation with the severity of IGD (r=0.6350, p < 0.001), linked to impairments in the Executive Control Network (ECN) and a decrease in functional connectivity between the Salience Network (SN) and ECN.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,attentional impulsivity,functional connectivity,positive,"The sentence clearly supports the claim by stating a positive correlation between impulsivity and IGD severity, which is linked to impairments in the Executive Control Network and a decrease in functional connectivity between the Salience Network and ECN.",
4,38991286,Neural correlates of impulsivity in amphetamine use disorder.,2024,Psychiatry research. Neuroimaging,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),amphetamine use disorder,associated_with,higher,unclear,direct,0.8,"Amphetamine users had higher subjective ratings of impulsivity as compared to healthy controls, and these scores correlated positively with a wide-spread prefrontal hyperconnectivity that was found among the amphetamine users.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (subjective),functional connectivity (prefrontal hyperconnectivity),positive correlation,"The sentence partially supports the claim, but the phenotype and feature need to be corrected to match the information provided in the sentence. The direction also needs to be corrected to reflect a positive correlation rather than higher impulsivity.",
5,29454934,Time scale properties of task and resting-state functional connectivity: Detrended partial cross-correlation analysis.,2018,NeuroImage,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,BIS total,unknown,associated_with,lower,unclear,direct,0.8,"In regions of interest analysis, the within-network connectivity time scale of the pre-supplementary motor area - a medial prefrontal cortical structure of the task network and critical to proactive inhibitory control - correlated inversely with Barratt impulsivity and stop signal reaction time.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,Barratt impulsivity,behavioral measure,higher,"The sentence does not directly support the claim because it mentions Barratt impulsivity, which is the phenotype, but not BIS total. The feature type is also not directly mentioned as functional connectivity, but rather as within-network connectivity time scale. The direction is also mixed, as it is described as 'correlated inversely', which implies a higher value of Barratt impulsivity is associated with a lower value of the within-network connectivity time scale.",
6,38002468,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,2023,Brain sciences,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),chronic heroin use disorder,predicts,higher,,direct,0.8,"The HUD group in this study exhibited higher total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity than the control group.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),behavioral trait,higher,"The sentence clearly supports the extracted claim by stating that the HUD group exhibited higher impulsivity scores than the control group, which directly relates to the phenotype of impulsivity and the feature of a behavioral trait. The relationship is also clearly stated as 'higher', which matches the extracted direction. The directness is also supported as the sentence names both the phenotype and feature.",
7,39469891,Functional Brain Network of Trait Impulsivity: Whole-Brain Functional Connectivity Predicts Self-Reported Impulsivity.,2024,Human brain mapping,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,predicts,unclear,,unclear,0.8,Our findings revealed a widespread neural network associated with trait impulsivity and a notable correlation between predicted and observed scores.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,,The sentence partially supports the claim but needs revision or is indirect. The direction and directness are unclear.,
8,37579016,"Resting-State Functional Connectivity of the Dorsal and Ventral Striatum, Impulsivity, and Severity of Use in Recently Abstinent Cocaine-Dependent Individuals.",2023,The international journal of neuropsychopharmacology,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),cocaine-dependent individuals,associated_with,higher,,direct,0.8,These findings associate VS rsFC with impulsivity and the severity of recent cocaine use.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,,
9,39313561,Motor impulsivity and spicy food craving: A mediation analysis of insula-based resting state functional connectivity.,2024,Brain imaging and behavior,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,motor impulsivity,unknown,associated_with,higher,mediation,direct,0.8,"Results revealed increased insula-occipital lobe resting-state functional connectivity in individuals with spicy food cravings, and the positive correlations between insula-middle occipital gyrus rsFC, impulsivity and spicy food craving.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,motor impulsivity,functional connectivity,higher,"The sentence partially supports the claim, but the direction and directness need to be revised. The sentence mentions a positive correlation, which does not directly support the 'higher' direction. Additionally, the sentence does not name both phenotype and feature explicitly, so directness is not fully supported.",
10,32670033,Trait Impulsivity Associated With Altered Resting-State Functional Connectivity Within the Somatomotor Network.,2020,Frontiers in behavioral neuroscience,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,lower,unclear,direct,0.8,Greater self-reported impulsivity was associated with decreased connectivity of the right lateral occipital cortex with the somatomotor network.,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity and altered functional connectivity within the somatomotor network.",
