id,extractor,pmid,record_id,A,B,E1,E2,track_a_failures,ipw
HV001,Llama 3.1 8B,30294823,465,pass,drop,revise,revise,,7.6
HV002,Mistral 7B,30099805,586,fail,keep,revise,revise,sentence_anchored,25.95
HV003,Llama 3.1 8B,40666274,464,pass,keep,revise,revise,,25.95
HV004,Llama 3.1 8B,40768779,357,pass,drop,drop,drop,,7.6
HV005,Qwen 2.5 7B,39424632,264,pass,drop,revise,drop,,7.6
HV006,Llama 3.1 8B,22047966,495,pass,revise,keep,keep,,18.95
HV007,Llama 3.1 8B,21259388,657,pass,revise,revise,revise,,18.95
HV008,Mistral 7B,22858213,203,pass,revise,revise,revise,,18.95
HV009,Qwen 2.5 7B,25148416,458,pass,revise,keep,revise,,18.95
HV010,Mistral 7B,36089824,243,fail,drop,revise,revise,sentence_anchored,7.6
HV011,Llama 3.1 8B,33440292,147,pass,revise,drop,drop,,18.95
HV012,Qwen 2.5 7B,32428790,119,pass,keep,revise,revise,,25.95
HV013,Qwen 2.5 7B,41556979,649,pass,revise,revise,revise,,18.95
HV014,Qwen 2.5 7B,28391138,178,fail,keep,drop,revise,sentence_anchored,25.95
HV015,Mistral 7B,39378092,404,pass,revise,drop,drop,,18.95
HV016,Llama 3.1 8B,15541779,141,pass,revise,revise,revise,,18.95
HV017,Mistral 7B,37556131,48,pass,drop,revise,revise,,7.6
HV018,Qwen 2.5 7B,34792871,63,fail,drop,drop,drop,sentence_anchored,7.6
HV019,Mistral 7B,40945612,199,fail,keep,revise,revise,sentence_anchored,25.95
HV020,Mistral 7B,38451271,483,pass,revise,drop,drop,,18.95
HV021,Mistral 7B,24878823,356,fail,keep,drop,drop,sentence_anchored,25.95
HV022,Mistral 7B,29171429,583,pass,drop,revise,revise,,7.6
HV023,Llama 3.1 8B,41148227,644,pass,keep,revise,revise,,25.95
HV024,Mistral 7B,30366001,256,pass,revise,revise,revise,,18.95
HV025,Llama 3.1 8B,36511133,582,fail,revise,revise,revise,sentence_anchored,18.95
HV026,Llama 3.1 8B,10349031,674,pass,keep,drop,drop,,25.95
HV027,Qwen 2.5 7B,12359667,400,pass,revise,revise,revise,,18.95
HV028,Llama 3.1 8B,24656768,131,pass,revise,keep,keep,,18.95
HV029,Qwen 2.5 7B,41104323,44,pass,drop,drop,drop,,7.6
HV030,Mistral 7B,26969418,340,pass,drop,revise,revise,,7.6
HV031,Llama 3.1 8B,25307575,677,fail,drop,drop,drop,schema_valid,7.6
HV032,Mistral 7B,41257054,259,fail,keep,keep,keep,sentence_anchored,25.95
HV033,Qwen 2.5 7B,40706276,138,pass,keep,drop,drop,,25.95
HV034,Llama 3.1 8B,39559854,342,pass,drop,revise,drop,,7.6
HV035,Llama 3.1 8B,9571295,607,pass,drop,drop,drop,,7.6
HV036,Mistral 7B,35831231,330,pass,revise,revise,revise,,18.95
HV037,Qwen 2.5 7B,38047402,537,pass,revise,keep,keep,,18.95
HV038,Llama 3.1 8B,40949952,459,pass,revise,drop,drop,,18.95
HV039,Mistral 7B,23223295,413,fail,revise,keep,keep,sentence_anchored,18.95
HV040,Llama 3.1 8B,37533885,487,pass,drop,drop,drop,,7.6
HV041,Mistral 7B,39054810,293,pass,keep,keep,keep,,25.95
HV042,Llama 3.1 8B,32066697,603,pass,revise,keep,keep,,18.95
HV043,Qwen 2.5 7B,30844604,325,pass,revise,revise,revise,,18.95
HV044,Mistral 7B,21665292,170,pass,revise,drop,revise,,18.95
HV045,Mistral 7B,30384282,156,pass,drop,drop,drop,,7.6
HV046,Mistral 7B,39875081,104,pass,revise,keep,keep,,18.95
HV047,Llama 3.1 8B,32948139,244,pass,drop,drop,drop,,7.6
HV048,Qwen 2.5 7B,31978743,570,pass,keep,revise,revise,,25.95
HV049,Llama 3.1 8B,34461353,88,pass,revise,keep,keep,,18.95
