record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes
1,39315326,Resting-state brain networks alterations in adolescents with Internet Gaming Disorder associate with cognitive control impairments.,2024,Frontiers in psychiatry,Barratt Impulsiveness Scale resting-state fMRI,"['Executive Control Network (ECN)', 'Salience Network (SN)', 'dorsal attention network (DAN)']",functional connectivity,unknown,,"['positive correlation', 'linked', 'decrease', 'associated with', 'increased functional connectivity']",unclear,,unclear,,"In comparison to the control group, impulsivity in adolescent IGD subjects showed a positive correlation with the severity of IGD (r=0.6350, p < 0.001), linked to impairments in the Executive Control Network (ECN) and a decrease in functional connectivity between the Salience Network (SN) and ECN (r=0.4307, p=0.0021; r=-0.5147, p=0.0034).",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
2,35040662,Role of White Matter Microstructure in Impulsive Behavior.,2022,The Journal of neuropsychiatry and clinical neurosciences,Barratt Impulsiveness Scale fMRI,,structural connectivity,motor impulsivity,,inversely correlated,unclear,,unclear,,"Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007)",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
3,39796107,The Relationship Between Impulsivity Traits and In Vivo Cerebral Serotonin Transporter and Serotonin 2A Receptor Binding in Healthy Individuals: A Double-Tracer PET Study with C-11 DASB and C-11 MDL100907.,2024,International journal of molecular sciences,Barratt Impulsiveness Scale fMRI,"['caudate', 'prefrontal cortex', 'ventromedial PFC', 'orbitofrontal cortex', 'insula', 'amygdala', 'putamen', 'ventral striatum', 'thalamus']",unknown,nonplanning impulsivity,,positive correlation,unclear,"serotonergic neurotransmission, particularly 5-HT2A receptor-mediated postsynaptic signaling",unclear,,"The region of interest (ROI)-based partial correlation analysis with age, sex, and temperament traits as covariates revealed a significant positive correlation between non-planning impulsiveness and [11C]MDL100907 BPND in the caudate (CAU) at Bonferroni-corrected p < 0.0045. Non-planning impulsiveness was also positively correlated with [11C]MDL100907 BPND in the prefrontal cortex (PFC), ventromedial PFC, orbitofrontal cortex (OFC), insula (INS), amygdala (AMYG), putamen, ventral striatum, and thalamus, and the total score of BIS-11 was positively correlated with [11C]MDL100907 BPND in the OFC, INS, AMYG, and CAU at uncorrected p < 0.05.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
4,29337234,Electrophysiological Activity Prior to Self-initiated Movements is Related to Impulsive Personality Traits.,2018,Neuroscience,Barratt Impulsiveness Scale neuroimaging,motor system,dynamic connectivity,impulsivity (general),,positive relationship,unclear,less effective preparatory inhibition mechanisms,unclear,,"We observed a positive relationship between impulsive personality trait and motor system excitability during the preparation of self-initiated movements. In particular, the RP showed an earlier negative rising phase and a greater amplitude, with the increasing of BIS-11 scores.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
5,12860356,"Impulsivity, gender, and response to fenfluramine challenge in borderline personality disorder.",2003,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,,unknown,unknown,,Associated with,unclear,Diminished central serotonergic function,unclear,,Impulsivity in borderline personality disorder (BPD) is associated with indices of diminished central serotonergic function.,no,evidence_strength not a number,yes,yes,no,,,,,,,,,
6,39424632,Enhanced ADHD classification through deep learning and dynamic resting state fMRI analysis.,2024,Scientific reports,impulsivity resting-state fMRI functional connectivity,,functional connectivity,attentional impulsivity,classification,association,unclear,deep learning-based network (Skip-Vote-Net),unclear,,"In this study, we introduce Skip-Vote-Net, a novel deep learning-based network designed for classifying ADHD from typically developing children (TDC) by leveraging dynamic connectivity analysis on rs-fMRI data collected from 222 participants included in the NYU dataset within the ADHD-200 database.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
7,32035425,Ventromedial prefrontal value signals and functional connectivity during decision-making in suicidal behavior and impulsivity.,2020,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,impulsivity fMRI functional connectivity,ventromedial prefrontal cortex (vmPFC),functional connectivity,impulsivity (general),depressed individuals with and without suicidal behavior,moderated by,lower,,unclear,,"In nonpsychiatric controls, vmPFC-frontoparietal connectivity was negatively moderated by impulsivity (pFWE corrected < 0.05). This effect was preserved in comparison patient groups but abolished in suicide attempters (p < 0.001).",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
8,29442271,Exploring variability in basal ganglia connectivity with functional MRI in healthy aging.,2018,Brain imaging and behavior,impulsivity fMRI functional connectivity,Basal Ganglia,functional connectivity,impulsivity (general),,Association,unclear,Age-related changes,unclear,,We explored the relationship between FC in the BGN and variables related to impulsive behavior in 486 participants...,no,evidence_strength not a number,yes,yes,no,,,,,,,,,
9,26745144,Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD.,2016,PloS one,trait impulsivity resting-state fMRI,,unknown,unknown,ADHD,correlated,unclear,genetic,indirect,moderate,"HM was moderately correlated with maternal reports of Inattention (r = 0.17, p-value = 7.4E-5) and Hyperactivity-Impulsivity (r = 0.16, p-value = 2.9E-4), and these associations were mainly due to pleiotropic genetic factors with genetic correlations [95% CIs] of rg = 0.24 [0.02, 0.43] and rg = 0.23 [0.07, 0.39].",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
10,38018143,Converging Evidence for Frontopolar Cortex as a Target for Neuromodulation in Addiction Treatment.,2024,The American journal of psychiatry,trait impulsivity functional connectivity,Frontopolar Cortex,functional connectivity,impulsivity (general),Substance Use Disorders,Support,unclear,Transcranial Brain Stimulation,unclear,,"This approach is supported by converging multimodal evidence, including lesion-based maps, functional MRI-based maps, tES studies, TMS studies, and dose-response relationships.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
11,36747838,Individual Differences in Delay Discounting are Associated with Dorsal Prefrontal Cortex Connectivity in Youth.,2023,bioRxiv : the preprint server for biology,attentional impulsivity resting-state fMRI,"Dorsal Prefrontal Cortex, Default Mode Network, Dorsal Attention Network, Ventral Attention Network",functional connectivity,impulsivity (general),,Associated with,unclear,,unclear,,"These analyses revealed that individual differences in delay discounting were associated with patterns of connectivity emanating from the left dorsal prefrontal cortex, a hub of the default mode network.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
12,39284401,"Transcranial Magnetic Stimulation-Induced Plasticity Improving Cognitive Control in Obsessive-Compulsive Disorder, Part II: Task-Based Neural Predictors of Treatment Response.",2025,Biological psychiatry,attentional impulsivity functional connectivity,"['dorsolateral prefrontal cortex', 'presupplementary motor area', 'precuneus', 'insular-amygdalar']",functional connectivity,unknown,Obsessive-Compulsive Disorder (OCD),"['corresponds with', 'correlated with', 'associated with']",unclear,,unclear,,"For the vertex group, but not the dorsolateral prefrontal cortex/presupplementary motor area rTMS conditions, higher activation in several task-relevant regions during planning and response inhibition and lower error-related activation corresponded with better short-term clinical improvement. Lower precuneus activation with increased planning taskload was correlated with symptom reduction in the dorsolateral prefrontal cortex group. In the presupplementary motor area group, higher error-related activation and lower inhibition-related insular-amygdalar connectivity were associated with symptom reduction.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
13,35277392,Prefrontal Cortical Connectivity Mediates Locus Coeruleus Noradrenergic Regulation of Inhibitory Control in Older Adults.,2022,The Journal of neuroscience : the official journal of the Society for Neuroscience,motor impulsivity functional connectivity,Locus Coeruleus,unknown,unknown,Healthy adults,Associated with,higher,Noradrenergic regulation,indirect,,"We confirm that better response inhibition is correlated with locus coeruleus integrity and stronger connectivity between presupplementary motor area (preSMA) and right inferior frontal gyrus (rIFG), but not volumes of the prefrontal cortical regions.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
1,29454934,Time scale properties of task and resting-state functional connectivity: Detrended partial cross-correlation analysis.,2018,NeuroImage,Barratt Impulsiveness Scale resting-state fMRI,pre-supplementary motor area,functional connectivity,impulsivity (general),,correlated inversely with,unclear,,unclear,,"In regions of interest analysis, the within-network connectivity time scale of the pre-supplementary motor area - a medial prefrontal cortical structure of the task network and critical to proactive inhibitory control - correlated inversely with Barratt impulsivity and stop signal reaction time.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
2,40630648,Identifying a Biological Signature of Trauma-Related Neurodegeneration Following Repeated Traumatic Brain Injuries Compared with Healthy Controls.,2025,Neurotrauma reports,Barratt Impulsiveness Scale fMRI,,unknown,unknown,,,unclear,,unclear,,"Surveys included the Neurobehavioral Symptom Inventory (NSI), Insomnia Severity Index (ISI), Epworth Sleepiness Severity (ESS), PTSD Checklist for DSM-5 (PCL-5), Brief Symptom Inventory-18 (BSI-18), Satisfaction with Life Scale (SWLS), Barratt Impulsivity Scale (BIS), and Buss Perry Aggression Questionnaire (BPAQ).",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
3,14572528,Response inhibition and impulsivity: an fMRI study.,2003,Neuropsychologia,Barratt Impulsiveness Scale fMRI,"right lateral orbitofrontal cortex, superior temporal gyrus, medial orbitofrontal cortex, cingulate gyrus, inferior parietal lobule",unknown,unknown,,associated with,unclear,,unclear,,Neural response during response inhibition was most prominent in the right lateral orbitofrontal cortex.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
4,33426970,Add-on repetitive transcranial magnetic stimulation in patients with opioid use disorder undergoing methadone maintenance therapy.,2021,The American journal of drug and alcohol abuse,Barratt Impulsiveness Scale neuroimaging,Left dorsolateral prefrontal cortex (DLPFC),unknown,impulsivity (general),Opioid use disorder (OUD) participants undergoing methadone maintenance therapy (MMT),Lower,unclear,,unclear,,"HDRS scores, BIS-11 attentional subscales, and CPTs commission T-scores (C-TS) were significantly lower in the active rTMS group (P = .003, 0.04, and 0.02, respectively) than in the sham group.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
5,41098388,Functional connectivity in resting-state fMRI (rs-fMRI) in opioid use disorder.,2025,The European physical journal. Special topics,impulsivity resting-state fMRI functional connectivity,"['Default mode network (DMN)', 'Salience network (SN)']",functional connectivity,unknown,,Disruption,unclear,,unclear,,Our preliminary rs-fMRI findings reveal significant disruptions in functional connectivity in individuals with opioid addiction within DMN and SN networks involved in cognitive functions such as decision-making and impulse control.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
6,24834038,Brain functional connectivity changes in children that differ in impulsivity temperamental trait.,2014,Frontiers in behavioral neuroscience,impulsivity resting-state fMRI functional connectivity,Default mode network (DMN),functional connectivity,impulsivity (general),Typically developing children,Negatively correlated,lower,,unclear,,We found two DMN clusters located at the posterior cingulate cortex and the right angular gyrus which were negatively correlated with impulsivity scores.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
7,28189592,Dissociable frontostriatal white matter connectivity underlies reward and motor impulsivity.,2017,NeuroImage,impulsivity fMRI functional connectivity,"['ventral striatum', 'dorsal striatum', 'ventromedial prefrontal cortex', 'dorsolateral prefrontal cortex', 'supplementary motor area']",functional connectivity,motor impulsivity,,associated with,unclear,structural connectivity,unclear,,"We found a double dissociation such that individual differences in white matter connectivity between the ventral striatum and the ventromedial prefrontal cortex and dorsolateral prefrontal cortex was associated with reward impulsivity, as measured by delay discounting, whereas connectivity between dorsal striatum and supplementary motor area was associated with motor impulsivity, but not vice versa.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
8,31886611,Dorsal striatal functional connectivity changes in Internet gaming disorder: A longitudinal magnetic resonance imaging study.,2021,Addiction biology,impulsivity fMRI functional connectivity,dorsal striatum,functional connectivity,unknown,,decreased,unclear,,unclear,,They exhibited decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC) compared with controls.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
9,28860514,Delay discounting is associated with the fractional amplitude of low-frequency fluctuations and resting-state functional connectivity in late adolescence.,2017,Scientific reports,trait impulsivity resting-state fMRI,dorsal anterior cingulate cortex (dACC),BOLD variability,impulsivity (general),,association,unclear,,unclear,,"At the regional level, we found an association between higher DD and greater fALFF in the dorsal anterior cingulate cortex (dACC)",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
10,34993375,Brain Networks Associated With COVID-19 Risk: Data From 3662 Participants.,2021,"Chronic stress (Thousand Oaks, Calif.)",trait impulsivity functional connectivity,"['central executive', 'ventral salience', 'dorsal salience', 'default mode', 'subcortical', 'sensorimotor']",functional connectivity,unknown,,associated with,unclear,,unclear,,"COVID-19 positive status was associated with 1) reduced connectivity between the central executive and ventral salience, as well as between the dorsal salience and default mode networks; 2) increased internal connectivity within the default mode, ventral salience, subcortical and sensorimotor networks; 3) increased connectivity between the ventral salience, subcortical and sensorimotor networks.",no,evidence_strength not a number,yes,yes,no,,,,,,,,,
