pmid,title,response,mentions_pmid,has_anchored_sentence,unparseable_as_schema,error
39315326,Resting-state brain networks alterations in adolescents with Internet Gaming Disorder associate with cognitive control impairments.,"This study, as reported in the article with PMID 39315326, investigates the neural mechanisms underlying cognitive control impairments in adolescents with Internet Gaming Disorder (IGD). The researchers used functional magnetic resonance imaging (fMRI) to analyze resting-state brain networks in a sample of 44 adolescents diagnosed with IGD and 50 healthy controls. Key findings include:

1. **Impulsivity Correlation**: Adolescents with IGD exhibited higher impulsivity scores, which were positively correlated with the severity of their condition (r = 0.6350, p < 0.001).

2. **Brain Network Alterations**: The study identified alterations in the Executive Control Network (ECN) and a decrease in functional connectivity between the Salience Network (SN) and ECN (r = -0.5147, p = 0.0034). Additionally, there was a reduction in resting-state activity of the Dorsal Attention Network (DAN), linked to attentional dysregulation in IGD (r = 0.4071, p = 0.0017).

3. **Network Interactions**: Enhanced functional connectivity was observed between the ECN and DAN, with",True,False,True,
35040662,Role of White Matter Microstructure in Impulsive Behavior.,"This study explores the relationship between white matter microstructure and impulsivity in a group of healthy adults. Using diffusion tensor imaging (DTI), the researchers measured fractional anisotropy (FA) values in various white matter tracts and correlated these with scores from the Barratt Impulsiveness Scale-11, which assesses total impulsivity as well as its subdomains: attentional, motor, and nonplanning impulsiveness.

The findings indicate that lower whole-brain average FA is associated with higher levels of motor impulsiveness (r = -0.32, p = 0.007) and higher levels of nonplanning impulsiveness (r = 0.29, p = 0.02). After adjusting for multiple comparisons, these correlations remained significant. Additionally, the study found that motor impulsiveness was negatively correlated with FA in the corticospinal tract (r = -0.29, p = 0.01), and nonplanning impulsiveness was positively correlated with FA in the superior fronto-occipital fasciculus (r = 0.32, p = 0.008).

These results suggest that specific aspects of impulsivity are linked to particular white matter microstructural connectivity patterns",False,False,True,
39796107,The Relationship Between Impulsivity Traits and In Vivo Cerebral Serotonin Transporter and Serotonin 2A Receptor Binding in Healthy Individuals: A Double-Tracer PET Study with C-11 DASB and C-11 MDL100907.,"This study, identified by the PMID 39796107, explores the relationship between impulsivity traits and serotonergic activity in healthy individuals through positron emission tomography (PET) scans using two different tracers: [11C]DASB for serotonin transporter (5-HTT) and [11C]MDL100907 for serotonin 2A (5-HT2A) receptors. The research involved 26 participants who underwent 3-Tesla MRI and PET scans. The binding potential (BPND) of the tracers was calculated using the simplified reference tissue model with cerebellar gray matter as the reference region. Impulsivity was measured using the Barratt Impulsiveness Scale-11 (BIS-11).

The findings indicate a significant positive correlation between non-planning impulsiveness and 5-HT2A receptor availability in the caudate nucleus (CAU) and other brain regions such as the prefrontal cortex (PFC), ventromedial PFC, orbitofrontal cortex (OFC), insula (INS), amygdala (AMYG), putamen, ventral striatum, and thalamus. Additionally, higher scores on the BIS-1",True,False,True,
29337234,Electrophysiological Activity Prior to Self-initiated Movements is Related to Impulsive Personality Traits.,"This study, published in the journal Neuroscience in 2018 (PMID: 29337234), explores the relationship between impulsivity and electrophysiological activity preceding self-initiated movements. The research involved nineteen healthy participants who were assessed for their trait impulsivity using the Barratt Impulsiveness Scale (BIS-11) and then performed a task based on Libet's clock paradigm while their pre-movement neural activity was recorded via EEG.

Key findings indicate a positive correlation between higher levels of trait impulsivity and earlier and more pronounced readiness potentials (RP), which are electrical brain signals that precede voluntary movements. Specifically, individuals with higher BIS-11 scores exhibited an earlier negative rising phase and a greater amplitude in their RPs. This suggests that trait impulsivity may be associated with less effective preparatory inhibition mechanisms, which play a crucial role in controlling behavior. The study proposes that the ""veto"" interval—the period between the awareness of the intention to act and the actual movement—may be shorter in impulsive individuals, potentially leading to a reduced ability to inhibit actions once they are initiated.",True,False,True,
12860356,"Impulsivity, gender, and response to fenfluramine challenge in borderline personality disorder.","This study, identified by PMID: 12860356, investigates the relationship between impulsivity and neuroimaging markers in individuals with Borderline Personality Disorder (BPD), specifically focusing on gender differences. The research involved 64 BPD subjects (20 males, 44 females) and 57 control participants (36 males, 21 females), all assessed for various psychological traits and disorders using standardized tools such as the Buss-Durkee Hostility Inventory, Barratt Impulsiveness Scale, and the Minnesota Multiphasic Personality Inventory-Psychopathic Deviate subscale.

Key findings include:
- Male BPD subjects showed significantly reduced prolactin responses to D,L-fenfluramine (FEN) compared to controls, whereas female BPD subjects did not show this difference.
- Both impulsivity and aggression levels predicted prolactin responses.
- When controlling for impulsivity, the effect of BPD diagnosis on prolactin response was no longer significant.
- Among male subjects, impulsivity and aggression were inversely related to changes in prolactin levels (delta-prolactin and peak-prolactin responses), but this relationship was not observed in female subjects.

The study suggests that gender differences in central seroton",True,False,True,
39424632,Enhanced ADHD classification through deep learning and dynamic resting state fMRI analysis.,"This study, identified by PMID: 39424632, explores the use of deep learning techniques to enhance the classification of Attention Deficit Hyperactivity Disorder (ADHD) using dynamic resting-state functional connectivity (rs-fMRI) analysis. The research employs a novel deep learning model called Skip-Vote-Net, which leverages dynamic connectivity patterns derived from rs-fMRI data. The study includes 222 participants from the NYU dataset within the ADHD-200 database, comprising both ADHD and typically developing children (TDC).

The methodology involves constructing functional connectivity matrices from overlapping segments using Pearson's correlation between mean time series of 116 regions of interest defined by the AAL 116 atlas. Skip-Vote-Net uses a majority voting mechanism to classify ADHD from TDC and further distinguishes between the inattentive subtype (ADHDI) and the predominantly combined subtype (ADHDC). The study evaluates the model across four classification scenarios: two-class classification of ADHD from TDC using both balanced and unbalanced data, two-class classification between ADHDI and ADHDC, and three-class classification among ADHDI, ADHDC, and TDC.

The results show that Skip-Vote-Net achieves high classification accur",True,False,True,
32035425,Ventromedial prefrontal value signals and functional connectivity during decision-making in suicidal behavior and impulsivity.,"This study, identified by the PMID 32035425, explores the neural basis of impulsivity and decision-making in individuals with suicidal behavior. The research involved middle-aged and older adults, including those with a history of suicide attempts, those with suicidal ideation, depressed controls without suicidal ideation, and nonpsychiatric controls. Participants underwent an fMRI scan while performing a decision-making task with varying reward probabilities.

Key findings indicate that individuals with a history of suicide attempts exhibited reduced activity in the ventromedial prefrontal cortex (vmPFC) when processing values of choices, compared to nonpsychiatric controls. Additionally, the study found that in nonpsychiatric controls, there was a negative relationship between impulsivity and functional connectivity between the vmPFC and frontoparietal regions. However, this relationship was altered in individuals with suicidal behavior, particularly those with a history of suicide attempts, where the connectivity was no longer moderated by impulsivity. This change in connectivity patterns was associated with poorer decision-making quality in the suicidal attempters.

The study highlights that disrupted vmPFC value signals and altered vmPFC-frontoparietal connectivity may contribute to the impaired decision-making and impulsivity observed in individuals with suicidal behavior. These findings suggest that both neural and behavioral aspects",True,False,True,
29442271,Exploring variability in basal ganglia connectivity with functional MRI in healthy aging.,"This study, identified by PMID: 29442271, investigates the functional connectivity (FC) within the basal ganglia network (BGN) in healthy older adults, focusing on its relationship with dopaminergic processes and other variables such as demographics, impulsive behavior, self-paced tasks, mood, and motor correlates. Using resting-state functional magnetic resonance imaging (fMRI) and both region-of-interest (ROI) and voxel-based approaches, the researchers analyzed data from 486 participants in the Whitehall-II imaging sub-study. 

The findings indicate that age is the primary factor significantly associated with changes in FC within the BGN. Specifically, the study suggests that the observed decline in FC with age might be linked to alterations in the dopaminergic system. However, it does not identify any unique dopamine-related functions that have a distinct impact on FC beyond what is already evident in the natural aging process. Impulsivity measures were not found to have a unique association with FC in the BGN, indicating that the observed changes in FC are more broadly related to aging rather than specific behavioral traits like impulsivity.",True,False,True,
26745144,Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD.,"This study explores the relationship between head motion (HM) during functional magnetic resonance imaging (fMRI) and inattention/hyperactivity-impulsivity (ADHD symptoms) in a sample of healthy young adult twins. The research indicates that HM and ADHD symptoms share common genetic influences, specifically through pleiotropic genetic factors. The genetic correlations between HM and maternal reports of inattention and hyperactivity-impulsivity were found to be 0.24 and 0.23, respectively, with confidence intervals suggesting a significant genetic overlap.

The findings suggest that treating HM as a nuisance covariate in neuroimaging studies of ADHD may reduce the power to detect between-group effects because the assumption of independence between HM and ADHD symptoms is not valid. This has implications for fMRI studies of ADHD, as failing to correct for HM can lead to an increased likelihood of false positive results. To address this issue, the authors propose two potential solutions: censoring the motion-contaminated frames of the resting-state fMRI scans or explicitly modeling the relationship between HM and ADHD symptoms.

These results highlight the importance of considering genetic factors when interpreting fMRI data in ADHD research and emphasize the need for careful handling of head motion artifacts in neuroimaging studies.",False,False,True,
38018143,Converging Evidence for Frontopolar Cortex as a Target for Neuromodulation in Addiction Treatment.,"This PubMed abstract discusses the emerging use of noninvasive brain stimulation techniques, specifically transcranial electrical stimulation (tES) and transcranial magnetic stimulation (TMS), in the treatment of substance use disorders. The review highlights the frontopolar cortex as a promising therapeutic target, supported by various types of evidence, including lesion-based maps, functional MRI-based maps, tES studies, TMS studies, and dose-response relationships. 

The frontopolar cortex has emerged as a key region due to its involvement in cognitive control and decision-making processes, which are often impaired in individuals with substance use disorders. The review emphasizes the importance of tailoring treatments based on individual differences in brain state, trait, and electric field distribution patterns. This personalized approach aims to optimize clinical outcomes in future clinical trials using transcranial brain stimulation.

The study underscores the need for further research to refine the application of these neuromodulation therapies, particularly in understanding how to best target the frontopolar cortex and other relevant regions to enhance treatment efficacy for substance use disorders.",False,False,True,
