record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,verifier_raw_response
1,39315326,Resting-state brain networks alterations in adolescents with Internet Gaming Disorder associate with cognitive control impairments.,2024,Frontiers in psychiatry,Barratt Impulsiveness Scale resting-state fMRI,"['Executive Control Network (ECN)', 'Salience Network (SN)', 'dorsal attention network (DAN)']",functional connectivity,unknown,,"['positive correlation', 'linked', 'decrease', 'associated with', 'increased functional connectivity']",unclear,,unclear,,"In comparison to the control group, impulsivity in adolescent IGD subjects showed a positive correlation with the severity of IGD (r=0.6350, p < 0.001), linked to impairments in the Executive Control Network (ECN) and a decrease in functional connectivity between the Salience Network (SN) and ECN (r=0.4307, p=0.0021; r=-0.5147, p=0.0034).",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,yes,yes,unclear,,,,"The sentence directly states a positive correlation between impulsivity and IGD severity, and a decrease in functional connectivity between the Salience Network (SN) and ECN in IGD subjects compared to the control group.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": ""IGD"", ""feature_supported"": ""functional connectivity"", ""relationship_supported"": ""['positive correlation', 'linked', 'decrease']"", ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly states a positive correlation between impulsivity and IGD severity, and a decrease in functional connectivity between the Salience Network (SN) and ECN in IGD subjects compared to the control group.""}"
2,35040662,Role of White Matter Microstructure in Impulsive Behavior.,2022,The Journal of neuropsychiatry and clinical neurosciences,Barratt Impulsiveness Scale fMRI,,structural connectivity,motor impulsivity,,inversely correlated,unclear,,unclear,,"Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007)",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,yes,yes,unclear,,,,"The sentence directly states that motor impulsiveness is inversely correlated with whole-brain total average FA, which is a measure of structural connectivity.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": ""motor impulsivity"", ""feature_supported"": ""structural connectivity (FA)"", ""relationship_supported"": ""inversely correlated"", ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly states that motor impulsiveness is inversely correlated with whole-brain total average FA, which is a measure of structural connectivity.""}"
3,39796107,The Relationship Between Impulsivity Traits and In Vivo Cerebral Serotonin Transporter and Serotonin 2A Receptor Binding in Healthy Individuals: A Double-Tracer PET Study with C-11 DASB and C-11 MDL100907.,2024,International journal of molecular sciences,Barratt Impulsiveness Scale fMRI,"['caudate', 'prefrontal cortex', 'ventromedial PFC', 'orbitofrontal cortex', 'insula', 'amygdala', 'putamen', 'ventral striatum', 'thalamus']",unknown,nonplanning impulsivity,,positive correlation,unclear,"serotonergic neurotransmission, particularly 5-HT2A receptor-mediated postsynaptic signaling",unclear,,"The region of interest (ROI)-based partial correlation analysis with age, sex, and temperament traits as covariates revealed a significant positive correlation between non-planning impulsiveness and [11C]MDL100907 BPND in the caudate (CAU) at Bonferroni-corrected p < 0.0045. Non-planning impulsiveness was also positively correlated with [11C]MDL100907 BPND in the prefrontal cortex (PFC), ventromedial PFC, orbitofrontal cortex (OFC), insula (INS), amygdala (AMYG), putamen, ventral striatum, and thalamus, and the total score of BIS-11 was positively correlated with [11C]MDL100907 BPND in the OFC, INS, AMYG, and CAU at uncorrected p < 0.05.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,yes,yes,yes,yes,yes,unclear,,,,"The sentence directly states a positive correlation between non-planning impulsiveness and [11C]MDL100907 BPND in the listed brain regions, supporting the claim of a positive correlation between nonplanning impulsivity and an unknown feature related to serotonergic neurotransmission, particularly 5-HT2A receptor-mediated postsynaptic signaling.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": true, ""feature_supported"": true, ""relationship_supported"": true, ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly states a positive correlation between non-planning impulsiveness and [11C]MDL100907 BPND in the listed brain regions, supporting the claim of a positive correlation between nonplanning impulsivity and an unknown feature related to serotonergic neurotransmission, particularly 5-HT2A receptor-mediated postsynaptic signaling.""}"
4,29337234,Electrophysiological Activity Prior to Self-initiated Movements is Related to Impulsive Personality Traits.,2018,Neuroscience,Barratt Impulsiveness Scale neuroimaging,motor system,dynamic connectivity,impulsivity (general),,positive relationship,unclear,less effective preparatory inhibition mechanisms,unclear,,"We observed a positive relationship between impulsive personality trait and motor system excitability during the preparation of self-initiated movements. In particular, the RP showed an earlier negative rising phase and a greater amplitude, with the increasing of BIS-11 scores.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,yes,yes,unclear,,,,"The sentence directly states a positive relationship between impulsive personality traits and motor system excitability during the preparation of self-initiated movements. The RP's earlier negative rising phase and greater amplitude are associated with higher BIS-11 scores, indicating a relationship between impulsivity and the specified feature of dynamic connectivity.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": ""impulsivity (general)"", ""feature_supported"": ""dynamic connectivity (RP negative rising phase and amplitude)"", ""relationship_supported"": ""positive relationship"", ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly states a positive relationship between impulsive personality traits and motor system excitability during the preparation of self-initiated movements. The RP's earlier negative rising phase and greater amplitude are associated with higher BIS-11 scores, indicating a relationship between impulsivity and the specified feature of dynamic connectivity.""}"
5,12860356,"Impulsivity, gender, and response to fenfluramine challenge in borderline personality disorder.",2003,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,,unknown,unknown,,Associated with,unclear,Diminished central serotonergic function,unclear,,Impulsivity in borderline personality disorder (BPD) is associated with indices of diminished central serotonergic function.,no,evidence_strength not a number,yes,yes,no,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,unclear,unclear,unclear,,,,The sentence directly states that impulsivity in BPD is associated with indices of diminished central serotonergic function.,," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": ""borderline personality disorder (BPD)"", ""feature_supported"": ""indices of diminished central serotonergic function"", ""relationship_supported"": ""Associated with"", ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly states that impulsivity in BPD is associated with indices of diminished central serotonergic function.""}"
6,39424632,Enhanced ADHD classification through deep learning and dynamic resting state fMRI analysis.,2024,Scientific reports,impulsivity resting-state fMRI functional connectivity,,functional connectivity,attentional impulsivity,classification,association,unclear,deep learning-based network (Skip-Vote-Net),unclear,,"In this study, we introduce Skip-Vote-Net, a novel deep learning-based network designed for classifying ADHD from typically developing children (TDC) by leveraging dynamic connectivity analysis on rs-fMRI data collected from 222 participants included in the NYU dataset within the ADHD-200 database.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,0,revise,unclear,unclear,unclear,unclear,unclear,unclear,"attentional impulsivity (implicit, as ADHD is the focus of the study)",,,"The sentence mentions the use of functional connectivity analysis, but it does not explicitly state an association with attentional impulsivity. However, since the study is about ADHD classification, it can be inferred that the functional connectivity analysis is likely related to attentional impulsivity, a common symptom of ADHD.",," {""support_score"": null, ""decision"": ""revise"", ""phenotype_supported"": null, ""feature_supported"": ""functional connectivity"", ""relationship_supported"": ""association"", ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": ""attentional impulsivity (implicit, as ADHD is the focus of the study)"", ""corrected_feature_type"": null, ""rationale"": ""The sentence mentions the use of functional connectivity analysis, but it does not explicitly state an association with attentional impulsivity. However, since the study is about ADHD classification, it can be inferred that the functional connectivity analysis is likely related to attentional impulsivity, a common symptom of ADHD.""}"
7,32035425,Ventromedial prefrontal value signals and functional connectivity during decision-making in suicidal behavior and impulsivity.,2020,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,impulsivity fMRI functional connectivity,ventromedial prefrontal cortex (vmPFC),functional connectivity,impulsivity (general),depressed individuals with and without suicidal behavior,moderated by,lower,,unclear,,"In nonpsychiatric controls, vmPFC-frontoparietal connectivity was negatively moderated by impulsivity (pFWE corrected < 0.05). This effect was preserved in comparison patient groups but abolished in suicide attempters (p < 0.001).",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,unclear,unclear,unclear,impulsivity (general),,,"The sentence directly states that impulsivity moderates vmPFC-frontoparietal connectivity in a negative manner, and this effect is abolished in suicide attempters, which aligns with the direction and relationship in the claim.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": null, ""feature_supported"": ""functional connectivity"", ""relationship_supported"": ""moderated by"", ""direction_supported"": ""lower"", ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": ""impulsivity (general)"", ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly states that impulsivity moderates vmPFC-frontoparietal connectivity in a negative manner, and this effect is abolished in suicide attempters, which aligns with the direction and relationship in the claim.""}"
8,29442271,Exploring variability in basal ganglia connectivity with functional MRI in healthy aging.,2018,Brain imaging and behavior,impulsivity fMRI functional connectivity,Basal Ganglia,functional connectivity,impulsivity (general),,Association,unclear,Age-related changes,unclear,,We explored the relationship between FC in the BGN and variables related to impulsive behavior in 486 participants...,no,evidence_strength not a number,yes,yes,no,,,,,,,,,,mistral-7b-instruct-v0.3,1,revise,unclear,unclear,unclear,unclear,unclear,unclear,impulsivity (specific behavior),,,"The sentence mentions a relationship between functional connectivity and impulsive behavior, but it does not specify a particular behavior related to impulsivity. To support the claim, it would be beneficial to revise the phenotype to a more specific behavior.",," {""support_score"": 1, ""decision"": ""revise"", ""phenotype_supported"": null, ""feature_supported"": ""functional connectivity"", ""relationship_supported"": ""Association"", ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": ""impulsivity (specific behavior)"", ""corrected_feature_type"": null, ""rationale"": ""The sentence mentions a relationship between functional connectivity and impulsive behavior, but it does not specify a particular behavior related to impulsivity. To support the claim, it would be beneficial to revise the phenotype to a more specific behavior.""}"
9,26745144,Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD.,2016,PloS one,trait impulsivity resting-state fMRI,,unknown,unknown,ADHD,correlated,unclear,genetic,indirect,moderate,"HM was moderately correlated with maternal reports of Inattention (r = 0.17, p-value = 7.4E-5) and Hyperactivity-Impulsivity (r = 0.16, p-value = 2.9E-4), and these associations were mainly due to pleiotropic genetic factors with genetic correlations [95% CIs] of rg = 0.24 [0.02, 0.43] and rg = 0.23 [0.07, 0.39].",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,yes,yes,unclear,,,,"The sentence directly states a correlation between head motion (HM) and maternal reports of Inattention and Hyperactivity-Impulsivity, and further specifies that this correlation is mainly due to pleiotropic genetic factors. The direction is supported as the correlation is positive, and the directness is supported as both phenotype and feature are named.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": ""Inattention"", ""feature_supported"": ""maternal reports"", ""relationship_supported"": ""correlated"", ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly states a correlation between head motion (HM) and maternal reports of Inattention and Hyperactivity-Impulsivity, and further specifies that this correlation is mainly due to pleiotropic genetic factors. The direction is supported as the correlation is positive, and the directness is supported as both phenotype and feature are named.""}"
10,38018143,Converging Evidence for Frontopolar Cortex as a Target for Neuromodulation in Addiction Treatment.,2024,The American journal of psychiatry,trait impulsivity functional connectivity,Frontopolar Cortex,functional connectivity,impulsivity (general),Substance Use Disorders,Support,unclear,Transcranial Brain Stimulation,unclear,,"This approach is supported by converging multimodal evidence, including lesion-based maps, functional MRI-based maps, tES studies, TMS studies, and dose-response relationships.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,0,revise,unclear,unclear,unclear,unclear,unclear,unclear,"impulsivity (general, related to Substance Use Disorders)",functional connectivity (specifically related to Frontopolar Cortex),,"The sentence mentions various types of evidence related to the Frontopolar Cortex, but it does not explicitly state a specific phenotype-feature association for impulsivity in the context of Substance Use Disorders. However, the evidence types mentioned (lesion-based maps, functional MRI-based maps, tES studies, TMS studies, and dose-response relationships) are relevant to the extracted claim.",," {""support_score"": null, ""decision"": ""revise"", ""phenotype_supported"": null, ""feature_supported"": ""partially"", ""relationship_supported"": ""partially"", ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": ""impulsivity (general, related to Substance Use Disorders)"", ""corrected_feature_type"": ""functional connectivity (specifically related to Frontopolar Cortex)"", ""rationale"": ""The sentence mentions various types of evidence related to the Frontopolar Cortex, but it does not explicitly state a specific phenotype-feature association for impulsivity in the context of Substance Use Disorders. However, the evidence types mentioned (lesion-based maps, functional MRI-based maps, tES studies, TMS studies, and dose-response relationships) are relevant to the extracted claim.""}"
