pmid,title,response,mentions_pmid,has_anchored_sentence,unparseable_as_schema,error
39315326,Resting-state brain networks alterations in adolescents with Internet Gaming Disorder associate with cognitive control impairments.," Evidence Summary:

The study published in Frontiers in Psychiatry (PMID: 39315326, Year: 2024) investigates the relationship between impulsivity, internet gaming disorder (IGD), and neuroimaging in adolescents. The research involved 44 adolescent IGD subjects and 50 healthy controls. The results indicate a positive correlation between impulsivity and the severity of IGD, which is associated with impairments in the Executive Control Network (ECN) and a decrease in functional connectivity between the Salience Network (SN) and ECN. Additionally, decreased resting state activity of the dorsal attention network (DAN) was associated with attentional dysregulation in IGD adolescents, and ECN increased functional connectivity with DAN. The degree of IGD was positively correlated with enhanced functional connectivity between the ECN and DAN. This research suggests that changes in the ECN and DAN correlate with heightened impulsivity and attentional deficits in adolescents with IGD, and the interaction between cognitive control disorders and resting-state brain networks in adolescent IGD is related.",True,False,True,
35040662,Role of White Matter Microstructure in Impulsive Behavior.," Evidence Summary:

The study published in The Journal of neuropsychiatry and clinical neurosciences (PMID: 35040662) investigates the relationship between white matter microstructure and impulsivity in a group of 74 healthy adults. The researchers used the Barratt Impulsiveness Scale-11 to measure impulsivity and diffusion tensor imaging (DTI) to assess white matter microstructure. They found that whole-brain total average fractional anisotropy (FA), a measure of white matter integrity, was inversely correlated with motor impulsiveness and positively correlated with nonplanning impulsiveness. Significant regional correlations were also observed for motor impulsiveness with the corticospinal tract and for nonplanning impulsiveness with the superior fronto-occipital fasciculus. These findings suggest that specific white matter microstructural connectivity may be linked to the motor and nonplanning subdomains of impulsive behavior, supporting the notion that impulsivity is a network-based construct involving white matter microstructural integrity among healthy populations.",True,False,True,
39796107,The Relationship Between Impulsivity Traits and In Vivo Cerebral Serotonin Transporter and Serotonin 2A Receptor Binding in Healthy Individuals: A Double-Tracer PET Study with C-11 DASB and C-11 MDL100907.," Evidence Summary:

In the study with PMID: 39796107, published in the International Journal of Molecular Sciences in 2024, the authors investigated the relationship between impulsivity traits and serotonin transporter (5-HTT) and 5-HT2A receptors in healthy individuals using positron emission tomography (PET) and magnetic resonance imaging (MRI). The results showed a significant positive correlation between non-planning impulsiveness and 5-HT2A receptor availability, as measured by [11C]MDL100907 binding potential (BPND), in several brain regions, including the caudate, prefrontal cortex, ventromedial prefrontal cortex, orbitofrontal cortex, insula, amygdala, putamen, ventral striatum, and thalamus. The total score of the Barratt Impulsiveness Scale-11 (BIS-11) was also positively correlated with 5-HT2A receptor availability in the orbitofrontal cortex, insula, amygdala, and caudate.",True,False,True,
29337234,Electrophysiological Activity Prior to Self-initiated Movements is Related to Impulsive Personality Traits.," Evidence Summary:

The study published in Neuroscience (PMID: 29337234) investigates the relationship between impulsivity and the readiness potential (RP), a measure of the brain's electrical activity prior to self-initiated movements. The research involved 19 healthy participants who underwent an impulsivity trait assessment using the Barratt Impulsiveness Scale (BIS-11) and performed a task based on Libet's clock paradigm while EEG recordings were taken.

The results suggest a positive correlation between impulsive personality traits and motor system excitability during the preparation of self-initiated movements. Specifically, the RP showed an earlier negative rising phase and a greater amplitude as BIS-11 scores increased, indicating a heightened readiness to act in impulsive individuals. This evidence supports the hypothesis that trait impulsivity might be characterized by less effective preparatory inhibition mechanisms, which could have a significant role in the control of behavior.",True,False,True,
12860356,"Impulsivity, gender, and response to fenfluramine challenge in borderline personality disorder."," Evidence Summary: The study published in Psychiatry Research (PMID: 12860356) investigates the relationship between impulsivity, gender, and the response to fenfluramine challenge in individuals with Borderline Personality Disorder (BPD). The research found that male BPD subjects exhibited diminished prolactin responses to fenfluramine compared to controls, which was predicted by higher levels of impulsivity and aggression. In contrast, no such differences were observed in female BPD subjects. The study suggests that gender differences in central serotonergic function may contribute to variations in impulsivity in BPD. However, it's important to note that this study was conducted in a community setting and the findings may not be generalizable to all populations. Further research is needed to confirm these findings and understand the role of gender in impulsivity and central serotonergic function in BPD.",True,False,True,
39424632,Enhanced ADHD classification through deep learning and dynamic resting state fMRI analysis.," In the study with PMID: 39424632, published in Scientific Reports in 2024, the authors used deep learning and dynamic resting-state fMRI analysis to classify Attention Deficit Hyperactivity Disorder (ADHD) from typically developing children (TDC). The research focused on the subtypes of ADHD: the inattentive subtype (ADHDI) and the predominantly combined subtype (ADHDC).

The study employed a novel deep learning network called Skip-Vote-Net, which was designed to classify ADHD based on dynamic connectivity analysis of rs-fMRI data from 222 participants. The functional connectivity matrices were constructed from overlapping segments using Pearson's correlation between mean time series of 116 regions of interest defined by the Automated Anatomical Labeling (AAL) 116 atlas.

The results showed that Skip-Vote-Net achieved mean classification accuracies of 97% ± 1.87 and 97.7% ± 2.2 for the balanced and unbalanced classification cases, respectively. The method also demonstrated a high accuracy of ",True,False,True,
32035425,Ventromedial prefrontal value signals and functional connectivity during decision-making in suicidal behavior and impulsivity.," In the study with PMID: 32035425, published in Neuropsychopharmacology, the authors investigated the neural underpinnings of impulsivity and its relationship with suicidal behavior. They found that individuals with a history of suicide attempts had reduced ventromedial prefrontal cortex (vmPFC) value activation compared to non-psychiatric controls. Additionally, in non-psychiatric controls, impulsivity was found to negatively moderate vmPFC-frontoparietal connectivity. This effect was preserved in comparison patient groups but was abolished in suicide attempters. The altered pattern of vmPFC-frontoparietal connectivity in impulsive individuals with suicidal behavior was found to affect choice processes, specifically in a suicidal crisis. These findings suggest that disrupted vmPFC value signals may play a significant role in suicidal behavior, and altered vmPFC-frontoparietal connectivity patterns may underlie disrupted choice processes in individuals with suicidal behavior and impulsivity.",True,False,True,
29442271,Exploring variability in basal ganglia connectivity with functional MRI in healthy aging.," Evidence Summary:

The study published in Brain Imaging and Behavior (PMID: 29442271) investigates the relationship between functional connectivity within the basal ganglia network (BGN) and various factors in healthy older adults, including impulsive behavior. The research found that age was the only significant correlate of BGN functional connectivity, suggesting that the adverse effect of aging on connectivity may be related to alterations in the dopaminergic system. However, no unique dopamine-related function was found to have a link with BGN functional connectivity beyond those detectable in the context of healthy aging. This study provides insights into the impact of aging on BGN connectivity but does not directly establish a strong link between impulsivity and BGN connectivity in healthy older adults.",True,False,True,
26745144,Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD.," Evidence Summary: The study published in PloS One (PMID: 26745144) investigates the shared genetic influences between head motion (HM) during functional MRI (fMRI) and traits related to inattention and hyperactivity-impulsivity, particularly in the context of Attention Deficit Hyperactivity Disorder (ADHD). The research used a twin sample of healthy young adults and found a moderate correlation between HM and maternal reports of inattention and hyperactivity-impulsivity. This correlation was primarily attributed to pleiotropic genetic factors, suggesting a genetic link between HM and these traits. The study highlights that treating HM as a nuisance covariate in neuroimaging studies of ADHD may reduce power to detect between-group effects, as the assumption of independence between HM and inattention or hyperactivity-impulsivity is not valid. The authors propose two potential solutions to this issue: censoring motion-contaminated frames in the RS-fMRI scan or explicitly modeling the relationship between HM and inattention or hyperactivity-impulsivity. This research underscores the importance of considering HM as a potential confound in neuro",True,False,True,
38018143,Converging Evidence for Frontopolar Cortex as a Target for Neuromodulation in Addiction Treatment.," Evidence Summary: The review published in The American Journal of Psychiatry (PMID: 38018143, year 2024) discusses the potential of non-invasive brain stimulation technologies, such as transcranial electrical stimulation (tES) and transcranial magnetic stimulation (TMS), in treating substance use disorders. While previous clinical trials primarily focused on the dorsolateral prefrontal cortex, the latest research suggests the frontopolar cortex as a more promising therapeutic target. This conclusion is based on converging multimodal evidence from lesion-based maps, functional MRI-based maps, tES studies, TMS studies, and dose-response relationships. The review emphasizes the importance of personalizing treatment based on interindividual variations in brain state and trait, as well as electric field distribution patterns, to optimize the clinical outcomes of transcranial brain stimulation in people with substance use disorders. Future clinical trials are expected to improve outcomes by considering context, target, dose, and timing dimensions.",True,False,True,
