record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,model_label
1,35619620,How Impulsiveness Influences Obesity: The Mediating Effect of Resting-State Brain Activity in the dlPFC.,2022,Frontiers in psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,nonplanning impulsivity,unknown,predicts,higher,downregulating spontaneous activity,direct,0.8,We found that the right dlPFC completely mediated the relationship between non-planning impulsiveness and BMI.,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,functional connectivity,higher,,,Mistral 7B
2,34427375,Changes in ALFF and ReHo values in methamphetamine abstinent individuals based on the Harvard-Oxford atlas: A longitudinal resting-state fMRI study.,2022,Addiction biology,Barratt Impulsiveness Scale resting-state fMRI,unknown,BOLD variability,impulsivity (general),unknown,associated_with,higher,,direct,0.8,"The changes in ALFF and ReHo in the right middle frontal gyrus were significantly associated with BIS total scores, BIS attention scores, and BIS nonplanning scores.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,higher,"The sentence directly supports the association between impulsivity (general) and BOLD variability, with higher impulsivity scores being associated with higher BOLD variability in the right middle frontal gyrus.",,Mistral 7B
3,39315326,Resting-state brain networks alterations in adolescents with Internet Gaming Disorder associate with cognitive control impairments.,2024,Frontiers in psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,attentional impulsivity,Internet Gaming Disorder,associates with,unclear,unclear,unclear,0.7,"In comparison to the control group, impulsivity in adolescent IGD subjects showed a positive correlation with the severity of IGD (r=0.6350, p < 0.001), linked to impairments in the Executive Control Network (ECN) and a decrease in functional connectivity between the Salience Network (SN) and ECN.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,attentional impulsivity,functional connectivity,positive,"The sentence clearly supports the claim by stating a positive correlation between impulsivity and IGD severity, which is linked to impairments in the Executive Control Network and a decrease in functional connectivity between the Salience Network and ECN.",,Mistral 7B
6,38002468,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,2023,Brain sciences,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),chronic heroin use disorder,predicts,higher,,direct,0.8,"The HUD group in this study exhibited higher total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity than the control group.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),behavioral trait,higher,"The sentence clearly supports the extracted claim by stating that the HUD group exhibited higher impulsivity scores than the control group, which directly relates to the phenotype of impulsivity and the feature of a behavioral trait. The relationship is also clearly stated as 'higher', which matches the extracted direction. The directness is also supported as the sentence names both the phenotype and feature.",,Mistral 7B
8,37579016,"Resting-State Functional Connectivity of the Dorsal and Ventral Striatum, Impulsivity, and Severity of Use in Recently Abstinent Cocaine-Dependent Individuals.",2023,The international journal of neuropsychopharmacology,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),cocaine-dependent individuals,associated_with,higher,,direct,0.8,These findings associate VS rsFC with impulsivity and the severity of recent cocaine use.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,,,Mistral 7B
10,32670033,Trait Impulsivity Associated With Altered Resting-State Functional Connectivity Within the Somatomotor Network.,2020,Frontiers in behavioral neuroscience,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,lower,unclear,direct,0.8,Greater self-reported impulsivity was associated with decreased connectivity of the right lateral occipital cortex with the somatomotor network.,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence clearly supports the extracted claim, mentioning a direct association between impulsivity and altered functional connectivity within the somatomotor network.",,Mistral 7B
12,23555827,Altered default network resting-state functional connectivity in adolescents with Internet gaming addiction.,2013,PloS one,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Internet gaming addiction,associated_with,unclear,,unclear,0.7,Subjects with IGA exhibited increased functional connectivity in the bilateral cerebellum posterior lobe and middle temporal gyrus. The bilateral inferior parietal lobule and right inferior temporal gyrus exhibited decreased connectivity.,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,increased,"The sentence clearly supports the extracted claim by stating a specific association between impulsivity and functional connectivity in the context of Internet gaming addiction. The direction of the association is clear, as the subjects with IGA exhibited increased functional connectivity in certain brain regions.",,Mistral 7B
14,30178423,Sex differences in resting-state cerebral activity alterations in internet gaming disorder.,2019,Brain imaging and behavior,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,nonplanning impulsivity,Internet gaming disorder,associated_with,lower,unclear,direct,0.8,"IGDm also demonstrated lower connectivity between the orbital part of the left SFG and the posterior cingulate cortex (PCC), the right angular gyrus, and the right dorsolateral prefrontal cortex than HCm.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,functional connectivity,lower,The sentence directly supports the association between nonplanning impulsivity and lower functional connectivity in individuals with Internet gaming disorder.,,Mistral 7B
15,26040546,Model-free functional connectivity and impulsivity correlates of alcohol dependence: a resting-state study.,2017,Addiction biology,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),alcohol dependence,correlates_with,unclear,,unclear,0.7,"Compared with HC, AD exhibited increased within-network FC in salience (SN), default mode (DMN), orbitofrontal cortex (OFCN), left executive control (LECN) and amygdala-striatum (ASN) networks.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,increased,"The sentence clearly supports the claim by stating that AD (alcohol dependence) exhibited increased within-network FC (functional connectivity) in various brain networks, which correlates with impulsivity. The direction is supported as 'increased', and the directness is supported as 'direct' since both phenotype (impulsivity) and feature (functional connectivity) are named.",,Mistral 7B
16,33519558,Impulsivity and Response Inhibition Related Brain Networks in Adolescents With Internet Gaming Disorder: A Preliminary Study Utilizing Resting-State fMRI.,2020,Frontiers in psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Internet Gaming Disorder,associated_with,higher,unclear,unclear,0.7,"We found significant differences in impulsivity between the IGD group and RGU group, with members of the IGD group exhibiting higher impulsivity.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),behavioral trait,higher,"The sentence clearly supports the extracted claim by stating a significant difference in impulsivity between the IGD and RGU groups, with the IGD group exhibiting higher impulsivity. The phenotype, feature type, relationship, direction, and directness are all supported by the sentence.",,Mistral 7B
17,31264888,Striatal functional connectivity in chronic ketamine users: a pilot study.,2020,The American journal of drug and alcohol abuse,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,higher,,direct,0.7,"Compared to controls, ketamine users showed higher connectivity between caudate and dorsal anterior cingulate cortex and between pallidum and bilateral cerebellum.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence directly supports the association between impulsivity and functional connectivity, specifically higher connectivity in ketamine users compared to controls.",,Mistral 7B
