source,source_id,query,title,year,journal,brain_system,feature_type,phenotype,diagnostic_context,relationship,direction,mechanism,directness,evidence_strength,supporting_sentence,citation_id,extraction_model,extraction_confidence
pubmed,27942448,impulsivity neuroimaging functional connectivity,Brain connectivity aberrations in anabolic-androgenic steroid users.,2017,NeuroImage. Clinical,unknown,functional connectivity,impulsivity (general),unknown,associated_with,lower,disruptions,direct,0.8,current users exhibited reduced functional connectivity between key nodes involved in emotional and cognitive regulation,27942448,vllm:mistral-7b-instruct-v0.3,high
pubmed,35040662,Barratt Impulsiveness Scale fMRI,Role of White Matter Microstructure in Impulsive Behavior.,2022,The Journal of neuropsychiatry and clinical neurosciences,unknown,structural connectivity,impulsivity (general),unknown,associated_with,lower,unclear,direct,0.32,"Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007)",35040662,vllm:mistral-7b-instruct-v0.3,high
pubmed,22749228,Barratt Impulsiveness Scale neuroimaging,Behavioral and cognitive impulsivity in obsessive-compulsive disorder and eating disorders.,2012,Psychiatry research,unknown,unknown,impulsivity (general),"obsessive-compulsive disorder, eating disorder",associated_with,unclear,,unclear,0.5,"Compared to controls, both clinical groups reported higher levels of impulsivity on the BIS-11",22749228,vllm:mistral-7b-instruct-v0.3,medium
pubmed,26745144,trait impulsivity resting-state fMRI,Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD.,2016,PloS one,unknown,unknown,impulsivity (general),ADHD,associated_with,unclear,genetic,background,0.7,"Head motion is a well known confound in analyses of functional MRI data. Neuroimaging researchers therefore typically treat HM as a nuisance covariate in their analyses. Even so, it is possible that HM shares a common genetic influence with the trait of interest.",26745144,vllm:mistral-7b-instruct-v0.3,high
pubmed,32464339,Barratt Impulsiveness Scale fMRI,Investigation of structure-function correlation among the young offspring of patients with bipolar disorder.,2020,Psychiatry research. Neuroimaging,unknown,structural connectivity,impulsivity (general),bipolar disorder,associated_with,unclear,,unclear,0.7,"FA values in the SLF were negatively correlated with Stroop interference, the Wisconsin Card Sorting Test, and the Trail Making Test (B-A) scores. MD values in the cingulum were inversely correlated with the Child and Youth Resilience Measure and positively correlated with higher scores on the Barratt Impulsiveness Scale-Attentional.",32464339,vllm:mistral-7b-instruct-v0.3,high
pubmed,38002468,Barratt Impulsiveness Scale resting-state fMRI,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,2023,Brain sciences,unknown,functional connectivity,impulsivity (general),chronic heroin use disorder,predicts,higher,,direct,0.8,"The HUD group in this study exhibited higher total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity than the control group.",38002468,vllm:mistral-7b-instruct-v0.3,high
pubmed,31401546,impulsivity fMRI functional connectivity,Functional connectivity of emotional well-being: Overconnectivity between default and attentional networks is associated with attitudes of anger and aggression.,2019,Psychiatry research. Neuroimaging,unknown,functional connectivity,impulsivity (general),unknown,associated_with,higher,decreased response inhibition,direct,0.8,Functional connectivity between the default and attentional networks was positively correlated with scores of attitudes of anger and aggression.,31401546,vllm:mistral-7b-instruct-v0.3,high
pubmed,33304251,ADHD impulsivity resting-state fMRI connectivity,Neural Basis of Increased Cognitive Control of Impulsivity During the Mid-Luteal Phase Relative to the Late Follicular Phase of the Menstrual Cycle.,2020,Frontiers in human neuroscience,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,regulation,unclear,0.7,"Discount rate (transformed k) correlated with functional connectivity between the DS and dorsal lateral prefrontal cortex (dlPFC), consistent with previous findings indicating that DS-dlPFC circuitry may regulate impulsivity.",33304251,vllm:mistral-7b-instruct-v0.3,high
pubmed,31907881,motor impulsivity functional connectivity,Human Brain Imaging Links Dopaminergic Systems to Impulsivity.,2020,Current topics in behavioral neurosciences,unknown,functional connectivity,motor impulsivity,unknown,associated_with,higher,dopaminergic,direct,0.9,"Strong evidence links striatal dopaminergic function with impulsivity, measured by self-reports and laboratory tests of cognitive control and reward-based decision-making.",31907881,vllm:mistral-7b-instruct-v0.3,high
pubmed,31886611,impulsivity fMRI functional connectivity,Dorsal striatal functional connectivity changes in Internet gaming disorder: A longitudinal magnetic resonance imaging study.,2021,Addiction biology,unknown,functional connectivity,impulsivity (general),Internet gaming disorder,associated_with,unclear,,direct,0.8,Subjects with IGD exhibited decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC) compared with controls.,31886611,vllm:mistral-7b-instruct-v0.3,high
