source,source_id,query,title,year,journal,brain_system,feature_type,phenotype,diagnostic_context,relationship,direction,mechanism,directness,evidence_strength,supporting_sentence,citation_id,extraction_model,extraction_confidence
pubmed,35619620,Barratt Impulsiveness Scale resting-state fMRI,How Impulsiveness Influences Obesity: The Mediating Effect of Resting-State Brain Activity in the dlPFC.,2022,Frontiers in psychiatry,unknown,BOLD variability,impulsivity (general),obesity,correlates_with,higher,downregulating spontaneous activity,direct,0.8,"In addition, non-planning impulsiveness was positively correlated with BMI.",35619620,vllm:llama-3.1-8b-instruct,high
pubmed,34427375,Barratt Impulsiveness Scale resting-state fMRI,Changes in ALFF and ReHo values in methamphetamine abstinent individuals based on the Harvard-Oxford atlas: A longitudinal resting-state fMRI study.,2022,Addiction biology,unknown,BOLD variability,impulsivity (general),methamphetamine abstinent individuals,associated_with,unclear,,indirect,0.8,"The changes in ALFF and ReHo in the right middle frontal gyrus were significantly associated with BIS total scores, BIS attention scores, and BIS nonplanning scores.",34427375,vllm:llama-3.1-8b-instruct,medium
pubmed,39315326,Barratt Impulsiveness Scale resting-state fMRI,Resting-state brain networks alterations in adolescents with Internet Gaming Disorder associate with cognitive control impairments.,2024,Frontiers in psychiatry,unknown,unknown,impulsivity (general),Internet Gaming Disorder,correlates_with,higher,functional connectivity,indirect,0.9,"Decreased resting state activity of the dorsal attention network (DAN) was associated with attentional dysregulation of IGD in adolescents (r=0.4071, p=0.0017), and ECN increased functional connectivity with DAN.",39315326,vllm:llama-3.1-8b-instruct,high
pubmed,38991286,Barratt Impulsiveness Scale resting-state fMRI,Neural correlates of impulsivity in amphetamine use disorder.,2024,Psychiatry research. Neuroimaging,unknown,unknown,impulsivity (general),amphetamine use disorder,associated_with,higher,aberrant prefrontal function,indirect,0.8,"Amphetamine users had higher subjective ratings of impulsivity as compared to healthy controls, and these scores correlated positively with a wide-spread prefrontal hyperconnectivity that was found among the amphetamine users.",38991286,vllm:llama-3.1-8b-instruct,high
pubmed,29454934,Barratt Impulsiveness Scale resting-state fMRI,Time scale properties of task and resting-state functional connectivity: Detrended partial cross-correlation analysis.,2018,NeuroImage,default mode network,functional connectivity,impulsivity (general),Barratt Impulsiveness Scale,correlates_with,lower,,direct,0.8,"In regions of interest analysis, the within-network connectivity time scale of the pre-supplementary motor area - a medial prefrontal cortical structure of the task network and critical to proactive inhibitory control - correlated inversely with Barratt impulsivity and stop signal reaction time.",29454934,vllm:llama-3.1-8b-instruct,high
pubmed,38002468,Barratt Impulsiveness Scale resting-state fMRI,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,2023,Brain sciences,unknown,functional connectivity,impulsivity (general),Chronic Heroin Use Disorder,predicts,higher,insula connectivity abnormalities,direct,0.8,"Changes in FC between the right insula and the lateral occipital cortex and the right angular gyrus were significantly positively correlated with total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity, whereas changes in the FC between the left insula and the left superior frontal gyrus and left frontopolar brain region were significantly negatively correlated with trait impulsivity.",38002468,vllm:llama-3.1-8b-instruct,high
pubmed,39469891,Barratt Impulsiveness Scale resting-state fMRI,Functional Brain Network of Trait Impulsivity: Whole-Brain Functional Connectivity Predicts Self-Reported Impulsivity.,2024,Human brain mapping,unknown,functional connectivity,impulsivity (general),healthy,predicts,higher,unknown,direct,0.8,Our findings revealed a widespread neural network associated with trait impulsivity and a notable correlation between predicted and observed scores.,39469891,vllm:llama-3.1-8b-instruct,high
pubmed,37579016,Barratt Impulsiveness Scale resting-state fMRI,"Resting-State Functional Connectivity of the Dorsal and Ventral Striatum, Impulsivity, and Severity of Use in Recently Abstinent Cocaine-Dependent Individuals.",2023,The international journal of neuropsychopharmacology,unknown,functional connectivity,impulsivity (general),cocaine dependence,associated_with,higher,functional connectivity,direct,0.8,"In CDs, VS-left IFC and VS-hippocampus connectivity was positively and negatively correlated with average monthly cocaine use in the prior year, respectively.",37579016,vllm:llama-3.1-8b-instruct,high
pubmed,39313561,Barratt Impulsiveness Scale resting-state fMRI,Motor impulsivity and spicy food craving: A mediation analysis of insula-based resting state functional connectivity.,2024,Brain imaging and behavior,unknown,functional connectivity,motor impulsivity,unknown,correlates_with,higher,mediation,direct,0.8,"Results revealed increased insula-occipital lobe resting-state functional connectivity in individuals with spicy food cravings, and the positive correlations between insula-middle occipital gyrus rsFC, impulsivity and spicy food craving.",39313561,vllm:llama-3.1-8b-instruct,high
pubmed,32670033,Barratt Impulsiveness Scale resting-state fMRI,Trait Impulsivity Associated With Altered Resting-State Functional Connectivity Within the Somatomotor Network.,2020,Frontiers in behavioral neuroscience,unknown,functional connectivity,impulsivity (general),healthy individuals,associated_with,lower,altered resting-state functional connectivity,direct,0.8,"Across participants, we observed that greater self-reported impulsivity was associated with decreased connectivity of the right lateral occipital cortex (peak mm 46/-70/16, FWE 1-p = 0.981) with the somatomotor network.",32670033,vllm:llama-3.1-8b-instruct,high
