record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error
1,27942448,Brain connectivity aberrations in anabolic-androgenic steroid users.,2017,NeuroImage. Clinical,impulsivity neuroimaging functional connectivity,"amygdala, default-mode network (DMN), dorsal attention network (DAN), frontal node encompassing the superior and inferior frontal gyri (SFG/IFG) and the anterior cingulate cortex (ACC)",functional connectivity,unknown,anabolic-androgenic steroid (AAS) users,association,lower,disruptions of brain networks with high concentrations of androgen receptors and critically involved in emotional and cognitive regulation,indirect,moderate,"In line with the emotional and behavioral consequences of AAS, current users exhibited reduced functional connectivity between key nodes involved in emotional and cognitive regulation, in particular reduced connectivity between the amygdala and default-mode network (DMN) and between the dorsal attention network (DAN) and a frontal node encompassing the superior and inferior frontal gyri (SFG/IFG) and the anterior cingulate cortex (ACC), with further reductions as a function of dependency, lifetime exposure, and cycle state (on/off).",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,2,keep,unclear,unclear,unclear,yes,no,no,anabolic-androgenic steroid (AAS) users,functional connectivity,lower,"The sentence directly states that AAS users exhibit reduced functional connectivity, which supports the claim. The direction is clearly stated as 'reduced', and the feature type is correctly identified as functional connectivity. However, the directness is marked as false because the sentence does not explicitly name the phenotype (AAS users) in the context of the claim.",
2,35040662,Role of White Matter Microstructure in Impulsive Behavior.,2022,The Journal of neuropsychiatry and clinical neurosciences,Barratt Impulsiveness Scale fMRI,white matter,unknown,impulsivity (general),healthy individuals,correlation,higher,specific white matter microstructural connectivity,indirect,moderate,"Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007) and positively correlated with nonplanning impulsiveness (r=0.29, p=0.02); these correlations were significant after correction for multiple comparisons.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,2,keep,yes,no,yes,yes,no,no,"motor impulsiveness, nonplanning impulsiveness",fractional anisotropy (FA),"inversely, positively","The sentence directly states correlations between whole-brain total average FA and impulsiveness measures, which supports the relationship and direction. However, it does not specify that the feature is fractional anisotropy (FA), making directness_supported=false.",
3,22749228,Behavioral and cognitive impulsivity in obsessive-compulsive disorder and eating disorders.,2012,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,,unknown,unknown,"obsessive-compulsive disorder (OCD), eating disorder (ED), and healthy control participants",compared,higher,,indirect,moderate,"Compared to controls, both clinical groups reported higher levels of impulsivity on the BIS-11 however; only the OCD demonstrated increased stop-signal reaction time.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,no,no,yes,yes,no,yes,impulsivity,stop-signal reaction time,higher,"The sentence mentions a comparison between clinical groups and controls, indicating a relationship supported. However, it does not directly state the phenotype and feature being compared, and the direction is only partially supported as it mentions higher levels of impulsivity but also includes another measure (stop-signal reaction time) which is not directly compared.",
4,26745144,Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD.,2016,PloS one,trait impulsivity resting-state fMRI,,covariates,attentional impulsivity,ADHD,common genetic influences,unclear,,indirect,moderate,"HM was moderately correlated with maternal reports of Inattention (r = 0.17, p-value = 7.4E-5) and Hyperactivity-Impulsivity (r = 0.16, p-value = 2.9E-4), and these associations were mainly due to pleiotropic genetic factors with genetic correlations [95% CIs] of rg = 0.24 [0.02, 0.43] and rg = 0.23 [0.07, 0.39].",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,2,keep,yes,yes,yes,no,no,yes,attentional impulsivity,maternal reports of inattention/hyperactivity,unclear,"The sentence provides evidence of a correlation between head motion and maternal reports of inattention and hyperactivity, which are related to attentional impulsivity. However, the direction of influence is unclear, and the relationship is described as indirect through maternal reports rather than directly with the phenotype.",
5,32464339,Investigation of structure-function correlation among the young offspring of patients with bipolar disorder.,2020,Psychiatry research. Neuroimaging,Barratt Impulsiveness Scale fMRI,cingulum,unknown,attentional impulsivity,young offspring of patients with bipolar disorder (BDoff),correlation,higher,,indirect,moderate,MD values in the cingulum were inversely correlated with the Child and Youth Resilience Measure and positively correlated with higher scores on the Barratt Impulsiveness Scale-Attentional.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,yes,no,yes,no,no,yes,attentional impulsivity,MD values,inverse,"The sentence mentions a correlation with attentional impulsivity but does not specify MD values as the feature. The relationship is inverse, not positive. The directness is indirect, and there is an overclaim as the sentence does not directly state a correlation between MD values and attentional impulsivity.",
6,38002468,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,2023,Brain sciences,Barratt Impulsiveness Scale resting-state fMRI,insula,functional connectivity,impulsivity (general),chronic heroin use disorder,predicts,higher,changes in FC between the insula and other brain regions,indirect,strong,"Changes in FC between the right insula and the lateral occipital cortex and the right angular gyrus were significantly positively correlated with total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity, whereas changes in the FC between the left insula and the left superior frontal gyrus and left frontopolar brain region were significantly negatively correlated with trait impulsivity.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,yes,yes,yes,no,no,no,trait impulsivity,functional connectivity,mixed,"The sentence mentions both positive and negative correlations, which contradicts the extracted claim's 'higher' direction. Additionally, the relationship is not directly stated as prediction but rather as correlation.",
7,31401546,Functional connectivity of emotional well-being: Overconnectivity between default and attentional networks is associated with attitudes of anger and aggression.,2019,Psychiatry research. Neuroimaging,impulsivity fMRI functional connectivity,default and attentional networks,functional connectivity,unknown,,positive correlation,higher,impaired effortful control and decreased response inhibition of impulsivity,indirect,significant,"Additionally, functional connectivity between the default and attentional networks was positively correlated with scores of attitudes of anger and aggression.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,2,keep,unclear,unclear,unclear,yes,no,yes,attitudes of anger and aggression,functional connectivity between the default and attentional networks,higher,"The sentence directly states a positive correlation between functional connectivity and attitudes of anger and aggression, but it does not explicitly state that the direction is 'higher'. The sentence also implies an indirect relationship rather than a direct one.",
8,33304251,Neural Basis of Increased Cognitive Control of Impulsivity During the Mid-Luteal Phase Relative to the Late Follicular Phase of the Menstrual Cycle.,2020,Frontiers in human neuroscience,ADHD impulsivity resting-state fMRI connectivity,dorsal striatum (DS) and dorsal lateral prefrontal cortex (dlPFC),functional connectivity,impulsivity (general),"conditions characterized by hyper-impulsivity, such as obsessive compulsive disorder, Parkinson disease, and attention deficit hyperactivity disorder",correlation,lower,"cyclical gonadal hormones affect cognitive control of impulsive behavior in a periodic manner, possibly via DS-dlPFC circuitry",indirect,moderate,"Discount rate (transformed k) correlated with functional connectivity between the DS and dlPFC, consistent with previous findings indicating that DS-dlPFC circuitry may regulate impulsivity.",no,evidence_strength not a number,yes,yes,no,,,,,,,,,,qwen2.5-7b-instruct,2,keep,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,not specified,"The sentence supports the relationship between impulsivity and functional connectivity in the DS-dlPFC circuitry. However, it does not specify the direction of the correlation, and the directness is not directly stated.",
9,31907881,Human Brain Imaging Links Dopaminergic Systems to Impulsivity.,2020,Current topics in behavioral neurosciences,motor impulsivity functional connectivity,striatal dopaminergic system,unknown,motor impulsivity,,correlation,higher,functional connectivity,indirect,strong,"Low levels of striatal and midbrain D2-type receptor availability correlate with self-reported impulsivity, whereas striatal D2-type receptor availability shows positive correlation with motor response inhibition and cognitive flexibility.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,1,revise,yes,no,yes,yes,no,yes,motor impulsivity,D2-type receptor availability,higher,"The sentence mentions a correlation between striatal D2-type receptor availability and motor response inhibition/cognitive flexibility, which indirectly relates to motor impulsivity. However, the feature type is not explicitly named, and the directness is not supported as the sentence does not directly state the relationship.",
10,31886611,Dorsal striatal functional connectivity changes in Internet gaming disorder: A longitudinal magnetic resonance imaging study.,2021,Addiction biology,impulsivity fMRI functional connectivity,dorsal striatum,functional connectivity,unknown,young males with IGD,decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC); increased FC strength between the right dorsal putamen and right middle occipital gyrus (MOG),higher,uncontrolled gaming may be related with functional neural changes in the dorsal striatum,indirect,moderate,They exhibited decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC) compared with controls.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,qwen2.5-7b-instruct,2,keep,unclear,unclear,unclear,yes,no,yes,IGD,functional connectivity,decreased,The sentence supports the relationship and direction of the claim but does not specify the phenotype or directly state the indirect nature of the evidence. It also overclaims by mentioning a group difference without explicitly stating the phenotype-feature association.,
