extractor,record_id,pmid,fault_type,expected,track_a_pass,schema_valid,citation_valid,sentence_present,sentence_anchored
Llama 3.1 8B,1,35619620,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,1,35619620,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,1,35619620,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,1,35619620,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,1,35619620,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,1,35619620,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,1,35619620,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,1,35619620,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,1,35619620,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,1,35619620,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,1,35619620,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,1,35619620,unicode_dash_quote_variant,surface,False,True,True,True,False
Llama 3.1 8B,2,34427375,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,2,34427375,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,2,34427375,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,2,34427375,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,2,34427375,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,2,34427375,schema_missing_field,reject,False,False,True,True,True
Llama 3.1 8B,2,34427375,schema_strength_out_of_range,reject,False,False,True,True,True
Llama 3.1 8B,2,34427375,whitespace_variant,retain,True,True,True,True,True
Llama 3.1 8B,2,34427375,nbsp_variant,retain,True,True,True,True,True
Llama 3.1 8B,2,34427375,trailing_period_removed,retain,True,True,True,True,True
Llama 3.1 8B,2,34427375,case_variant,surface,False,True,True,True,False
Llama 3.1 8B,2,34427375,truncated_quote,surface,True,True,True,True,True
Llama 3.1 8B,3,39315326,wrong_pmid_in_corpus,reject,False,True,True,True,False
Llama 3.1 8B,3,39315326,wrong_pmid_not_in_corpus,reject,False,True,False,True,False
Llama 3.1 8B,3,39315326,sentence_from_other_pmid,reject,False,True,True,True,False
Llama 3.1 8B,3,39315326,number_changed,reject,False,True,True,True,False
Llama 3.1 8B,3,39315326,direction_word_changed,reject,False,True,True,True,False
Llama 3.1 8B,3,39315326,sentence_composed_two_abstracts,reject,False,True,True,True,False
Llama 3.1 8B,3,39315326,word_dropped,reject,False,True,True,True,False
Llama 3.1 8B,3,39315326,schema_missing_field,reject,False,False,True,True,True
