record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,verifier_raw_response
1,27942448,Brain connectivity aberrations in anabolic-androgenic steroid users.,2017,NeuroImage. Clinical,impulsivity neuroimaging functional connectivity,"['amygdala', 'default-mode network (DMN)', 'dorsal attention network (DAN)', 'superior and inferior frontal gyri (SFG/IFG)', 'anterior cingulate cortex (ACC)']",functional connectivity,impulsivity (general),sustained anabolic-androgenic steroid (AAS) use,reduced,unclear,,unclear,,"In line with the emotional and behavioral consequences of AAS, current users exhibited reduced functional connectivity between key nodes involved in emotional and cognitive regulation, in particular reduced connectivity between the amygdala and default-mode network (DMN) and between the dorsal attention network (DAN) and a frontal node encompassing the superior and inferior frontal gyri (SFG/IFG) and the anterior cingulate cortex (ACC), with further reductions as a function of dependency, lifetime exposure, and cycle state (on/off).",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,unclear,unclear,unclear,impulsivity (general),,,"The sentence clearly supports the reduced functional connectivity between the specified brain regions in AAS users, which aligns with the general impulsivity phenotype.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": null, ""feature_supported"": ""functional connectivity"", ""relationship_supported"": ""reduced"", ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": ""impulsivity (general)"", ""corrected_feature_type"": null, ""rationale"": ""The sentence clearly supports the reduced functional connectivity between the specified brain regions in AAS users, which aligns with the general impulsivity phenotype.""}"
2,35040662,Role of White Matter Microstructure in Impulsive Behavior.,2022,The Journal of neuropsychiatry and clinical neurosciences,Barratt Impulsiveness Scale fMRI,,structural connectivity,motor impulsivity,,inversely correlated,unclear,,unclear,,"Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007)",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,yes,yes,unclear,,,,"The sentence directly states that motor impulsiveness is inversely correlated with whole-brain total average FA, which is a measure of structural connectivity.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": ""motor impulsivity"", ""feature_supported"": ""structural connectivity (FA)"", ""relationship_supported"": ""inversely correlated"", ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly states that motor impulsiveness is inversely correlated with whole-brain total average FA, which is a measure of structural connectivity.""}"
3,22749228,Behavioral and cognitive impulsivity in obsessive-compulsive disorder and eating disorders.,2012,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,,unknown,unknown,,Higher self-reported impulsivity,unclear,,unclear,,"Compared to controls, both clinical groups reported higher levels of impulsivity on the BIS-11",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,unclear,unclear,unclear,,,,"The sentence compares the impulsivity levels of two clinical groups (Obsessive-Compulsive Disorder and Eating Disorders) to controls, and finds that both clinical groups report higher levels of impulsivity on the BIS-11, which supports the claim of Higher self-reported impulsivity.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": ""controls, both clinical groups"", ""feature_supported"": ""impulsivity on the BIS-11"", ""relationship_supported"": ""Higher self-reported impulsivity"", ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence compares the impulsivity levels of two clinical groups (Obsessive-Compulsive Disorder and Eating Disorders) to controls, and finds that both clinical groups report higher levels of impulsivity on the BIS-11, which supports the claim of Higher self-reported impulsivity.""}"
4,26745144,Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD.,2016,PloS one,trait impulsivity resting-state fMRI,,unknown,unknown,ADHD,correlated,unclear,genetic,unclear,,"HM was moderately correlated with maternal reports of Inattention (r = 0.17, p-value = 7.4E-5) and Hyperactivity-Impulsivity (r = 0.16, p-value = 2.9E-4), and these associations were mainly due to pleiotropic genetic factors with genetic correlations [95% CIs] of rg = 0.24 [0.02, 0.43] and rg = 0.23 [0.07, 0.39].",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,yes,yes,unclear,,,,"The sentence directly states a correlation between head motion (HM) and maternal reports of Inattention and Hyperactivity-Impulsivity, and further specifies that this correlation is mainly due to pleiotropic genetic factors. The direction is supported as the correlation is positive, and the directness is supported as both phenotype and feature are named.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": ""Inattention"", ""feature_supported"": ""maternal reports"", ""relationship_supported"": ""correlated"", ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly states a correlation between head motion (HM) and maternal reports of Inattention and Hyperactivity-Impulsivity, and further specifies that this correlation is mainly due to pleiotropic genetic factors. The direction is supported as the correlation is positive, and the directness is supported as both phenotype and feature are named.""}"
5,32464339,Investigation of structure-function correlation among the young offspring of patients with bipolar disorder.,2020,Psychiatry research. Neuroimaging,Barratt Impulsiveness Scale fMRI,cingulum,unknown,attentional impulsivity,young offspring of patients with Bipolar Disorder (BDoff),positively correlated,unclear,,unclear,,MD values in the cingulum were inversely correlated with the Child and Youth Resilience Measure and positively correlated with higher scores on the Barratt Impulsiveness Scale-Attentional.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,yes,yes,yes,yes,yes,unclear,attentional impulsivity,Barratt Impulsiveness Scale-Attentional,,"The sentence mentions a positive correlation between MD values in the cingulum and higher scores on the Barratt Impulsiveness Scale-Attentional, which aligns with the 'attentional impulsivity' phenotype.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": true, ""feature_supported"": true, ""relationship_supported"": true, ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": null, ""corrected_phenotype"": ""attentional impulsivity"", ""corrected_feature_type"": ""Barratt Impulsiveness Scale-Attentional"", ""rationale"": ""The sentence mentions a positive correlation between MD values in the cingulum and higher scores on the Barratt Impulsiveness Scale-Attentional, which aligns with the 'attentional impulsivity' phenotype.""}"
6,38002468,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,2023,Brain sciences,Barratt Impulsiveness Scale resting-state fMRI,insula,functional connectivity,impulsivity (general),Heroin Use Disorder (HUD),correlation,higher,,unclear,,"Changes in FC between the right insula and the lateral occipital cortex and the right angular gyrus were significantly positively correlated with total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,yes,unclear,unclear,,,,"The sentence directly states a significant positive correlation between changes in functional connectivity (FC) and total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity. The brain regions involved are the right insula, lateral occipital cortex, and right angular gyrus, which are all located in the brain system mentioned in the claim (insula).",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": ""general impulsivity"", ""feature_supported"": ""functional connectivity"", ""relationship_supported"": ""correlation"", ""direction_supported"": true, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly states a significant positive correlation between changes in functional connectivity (FC) and total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity. The brain regions involved are the right insula, lateral occipital cortex, and right angular gyrus, which are all located in the brain system mentioned in the claim (insula).""}"
7,31401546,Functional connectivity of emotional well-being: Overconnectivity between default and attentional networks is associated with attitudes of anger and aggression.,2019,Psychiatry research. Neuroimaging,impulsivity fMRI functional connectivity,"default network, attentional network",functional connectivity,unknown,,positively correlated,unclear,impaired effortful control and decreased response inhibition of impulsivity,unclear,,Functional connectivity between the default and attentional networks was positively correlated with scores of attitudes of anger and aggression.,no,evidence_strength not a number,yes,yes,no,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,unclear,unclear,unclear,,,,"The sentence directly states a positive correlation between functional connectivity between the default and attentional networks and scores of attitudes of anger and aggression, which aligns with the extracted claim's relationship and feature.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": null, ""feature_supported"": ""functional connectivity"", ""relationship_supported"": ""positively correlated"", ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly states a positive correlation between functional connectivity between the default and attentional networks and scores of attitudes of anger and aggression, which aligns with the extracted claim's relationship and feature.""}"
8,33304251,Neural Basis of Increased Cognitive Control of Impulsivity During the Mid-Luteal Phase Relative to the Late Follicular Phase of the Menstrual Cycle.,2020,Frontiers in human neuroscience,ADHD impulsivity resting-state fMRI connectivity,"['dorsal striatum (DS)', 'dorsal lateral prefrontal cortex (dlPFC)']",functional connectivity,impulsivity (general),,regulates,unclear,,unclear,,"Discount rate (transformed k) correlated with functional connectivity between the DS and dlPFC, consistent with previous findings indicating that DS-dlPFC circuitry may regulate impulsivity.",no,evidence_strength not a number,yes,yes,no,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,unclear,unclear,unclear,,,,"The sentence directly mentions the regulation of impulsivity by the DS-dlPFC circuitry, which aligns with the extracted claim's phenotype and relationship.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": null, ""feature_supported"": ""functional connectivity between the DS and dlPFC"", ""relationship_supported"": ""regulates"", ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly mentions the regulation of impulsivity by the DS-dlPFC circuitry, which aligns with the extracted claim's phenotype and relationship.""}"
9,31907881,Human Brain Imaging Links Dopaminergic Systems to Impulsivity.,2020,Current topics in behavioral neurosciences,motor impulsivity functional connectivity,striatal,unknown,motor impulsivity,,correlation,unclear,,unclear,,"Low levels of striatal and midbrain D2-type receptor availability correlate with self-reported impulsivity, whereas striatal D2-type receptor availability shows positive correlation with motor response inhibition and cognitive flexibility.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,yes,yes,yes,yes,yes,unclear,motor impulsivity,D2-type receptor availability,,"The sentence directly states a correlation between striatal D2-type receptor availability and self-reported impulsivity, and also mentions a positive correlation between striatal D2-type receptor availability and motor response inhibition and cognitive flexibility. Therefore, the claim is supported.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": true, ""feature_supported"": true, ""relationship_supported"": true, ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": null, ""corrected_phenotype"": ""motor impulsivity"", ""corrected_feature_type"": ""D2-type receptor availability"", ""rationale"": ""The sentence directly states a correlation between striatal D2-type receptor availability and self-reported impulsivity, and also mentions a positive correlation between striatal D2-type receptor availability and motor response inhibition and cognitive flexibility. Therefore, the claim is supported.""}"
10,31886611,Dorsal striatal functional connectivity changes in Internet gaming disorder: A longitudinal magnetic resonance imaging study.,2021,Addiction biology,impulsivity fMRI functional connectivity,dorsal striatum,functional connectivity,unknown,,decreased,unclear,,unclear,,They exhibited decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC) compared with controls.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,unclear,unclear,unclear,,,,"The sentence clearly states a decreased functional connectivity between the left dorsal putamen and left medial prefrontal cortex in the group compared to controls, which aligns with the extracted claim's feature, relationship, and brain system.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": null, ""feature_supported"": ""functional connectivity"", ""relationship_supported"": ""decreased"", ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence clearly states a decreased functional connectivity between the left dorsal putamen and left medial prefrontal cortex in the group compared to controls, which aligns with the extracted claim's feature, relationship, and brain system.""}"
