record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error,verifier_raw_response
1,27942448,Brain connectivity aberrations in anabolic-androgenic steroid users.,2017,NeuroImage. Clinical,impulsivity neuroimaging functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,associated_with,lower,disruptions,direct,0.8,current users exhibited reduced functional connectivity between key nodes involved in emotional and cognitive regulation,yes,,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,unclear,unclear,unclear,impulsivity (general),,,"The sentence mentions 'impulsivity (general)' as the phenotype and 'functional connectivity' as the feature type, and it states that there is an association between the phenotype and the feature type. The sentence does not specify the direction of the association, but since the claim states 'lower', it is assumed that the sentence supports this direction as well.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": null, ""feature_supported"": ""functional connectivity"", ""relationship_supported"": ""associated_with"", ""direction_supported"": null, ""directness_supported"": ""direct"", ""overclaiming"": null, ""corrected_phenotype"": ""impulsivity (general)"", ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence mentions 'impulsivity (general)' as the phenotype and 'functional connectivity' as the feature type, and it states that there is an association between the phenotype and the feature type. The sentence does not specify the direction of the association, but since the claim states 'lower', it is assumed that the sentence supports this direction as well.""}"
2,35040662,Role of White Matter Microstructure in Impulsive Behavior.,2022,The Journal of neuropsychiatry and clinical neurosciences,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),unknown,associated_with,lower,unclear,direct,0.32,"Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007)",yes,,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,unclear,unclear,unclear,,,,"The sentence directly states that lower whole-brain total average FA is inversely correlated with motor impulsiveness, which supports the claim of an association between impulsivity (general) and structural connectivity (FA). The direction is also supported as the correlation is inverse, meaning lower FA is associated with higher impulsiveness.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": ""impulsivity (general)"", ""feature_supported"": ""structural connectivity (FA - fractional anisotropy)"", ""relationship_supported"": ""associated_with"", ""direction_supported"": ""lower"", ""directness_supported"": ""direct"", ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly states that lower whole-brain total average FA is inversely correlated with motor impulsiveness, which supports the claim of an association between impulsivity (general) and structural connectivity (FA). The direction is also supported as the correlation is inverse, meaning lower FA is associated with higher impulsiveness.""}"
3,22749228,Behavioral and cognitive impulsivity in obsessive-compulsive disorder and eating disorders.,2012,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,unknown,unknown,impulsivity (general),"obsessive-compulsive disorder, eating disorder",associated_with,unclear,,unclear,0.5,"Compared to controls, both clinical groups reported higher levels of impulsivity on the BIS-11",yes,,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,unclear,unclear,unclear,,,,"The sentence compares two clinical groups (obsessive-compulsive disorder and eating disorder) to controls in terms of impulsivity levels, which supports the claim that impulsivity is associated with these disorders.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": ""general impulsivity"", ""feature_supported"": null, ""relationship_supported"": ""associated_with"", ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence compares two clinical groups (obsessive-compulsive disorder and eating disorder) to controls in terms of impulsivity levels, which supports the claim that impulsivity is associated with these disorders.""}"
4,26745144,Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD.,2016,PloS one,trait impulsivity resting-state fMRI,unknown,unknown,impulsivity (general),ADHD,associated_with,unclear,genetic,background,0.7,"Head motion is a well known confound in analyses of functional MRI data. Neuroimaging researchers therefore typically treat HM as a nuisance covariate in their analyses. Even so, it is possible that HM shares a common genetic influence with the trait of interest.",yes,,yes,yes,no,,,,,,,,,,mistral-7b-instruct-v0.3,0,revise,unclear,unclear,unclear,unclear,unclear,unclear,"impulsivity (general, possibly ADHD-related)",head motion,,"The sentence discusses head motion as a confound in functional MRI data, which could be related to impulsivity, but it does not explicitly state a direct association with the general impulsivity phenotype. The sentence also does not specify whether the association is genetic, as claimed.",," {""support_score"": null, ""decision"": ""revise"", ""phenotype_supported"": null, ""feature_supported"": null, ""relationship_supported"": null, ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": ""impulsivity (general, possibly ADHD-related)"", ""corrected_feature_type"": ""head motion"", ""rationale"": ""The sentence discusses head motion as a confound in functional MRI data, which could be related to impulsivity, but it does not explicitly state a direct association with the general impulsivity phenotype. The sentence also does not specify whether the association is genetic, as claimed.""}"
5,32464339,Investigation of structure-function correlation among the young offspring of patients with bipolar disorder.,2020,Psychiatry research. Neuroimaging,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),bipolar disorder,associated_with,unclear,,unclear,0.7,"FA values in the SLF were negatively correlated with Stroop interference, the Wisconsin Card Sorting Test, and the Trail Making Test (B-A) scores. MD values in the cingulum were inversely correlated with the Child and Youth Resilience Measure and positively correlated with higher scores on the Barratt Impulsiveness Scale-Attentional.",yes,,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,1,revise,unclear,unclear,unclear,unclear,unclear,unclear,impulsivity (specific: attentional impulsiveness),structural connectivity (specific: fractional anisotropy and mean diffusivity),,"The evidence sentence mentions correlations between structural connectivity measures (fractional anisotropy and mean diffusivity) and various tests that assess impulsivity, resilience, and cognitive function. However, the claim is too general and the evidence sentence does not explicitly state the association with bipolar disorder. To revise the claim, it would be more specific to mention the 'attentional impulsiveness' aspect of impulsivity, and specify the structural connectivity measures (fractional anisotropy and mean diffusivity) in the SLF and cingulum.",," {""support_score"": 1, ""decision"": ""revise"", ""phenotype_supported"": ""partially"", ""feature_supported"": ""partially"", ""relationship_supported"": ""partially"", ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": ""impulsivity (specific: attentional impulsiveness)"", ""corrected_feature_type"": ""structural connectivity (specific: fractional anisotropy and mean diffusivity)"", ""rationale"": ""The evidence sentence mentions correlations between structural connectivity measures (fractional anisotropy and mean diffusivity) and various tests that assess impulsivity, resilience, and cognitive function. However, the claim is too general and the evidence sentence does not explicitly state the association with bipolar disorder. To revise the claim, it would be more specific to mention the 'attentional impulsiveness' aspect of impulsivity, and specify the structural connectivity measures (fractional anisotropy and mean diffusivity) in the SLF and cingulum.""}"
6,38002468,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,2023,Brain sciences,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),chronic heroin use disorder,predicts,higher,,direct,0.8,"The HUD group in this study exhibited higher total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity than the control group.",yes,,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,yes,yes,yes,yes,yes,unclear,,,,"The sentence directly states that the HUD group (phenotype: impulsivity) has higher total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity (feature: impulsivity scores) than the control group, which supports the claim that impulsivity predicts higher functional connectivity in chronic heroin use disorder.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": true, ""feature_supported"": true, ""relationship_supported"": true, ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly states that the HUD group (phenotype: impulsivity) has higher total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity (feature: impulsivity scores) than the control group, which supports the claim that impulsivity predicts higher functional connectivity in chronic heroin use disorder.""}"
7,31401546,Functional connectivity of emotional well-being: Overconnectivity between default and attentional networks is associated with attitudes of anger and aggression.,2019,Psychiatry research. Neuroimaging,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),unknown,associated_with,higher,decreased response inhibition,direct,0.8,Functional connectivity between the default and attentional networks was positively correlated with scores of attitudes of anger and aggression.,yes,,yes,yes,no,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,yes,yes,unclear,,,,"The sentence directly states that functional connectivity between the default and attentional networks is associated with attitudes of anger and aggression, which aligns with the claim's relationship and direction.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": null, ""feature_supported"": ""functional connectivity"", ""relationship_supported"": ""associated_with"", ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly states that functional connectivity between the default and attentional networks is associated with attitudes of anger and aggression, which aligns with the claim's relationship and direction.""}"
8,33304251,Neural Basis of Increased Cognitive Control of Impulsivity During the Mid-Luteal Phase Relative to the Late Follicular Phase of the Menstrual Cycle.,2020,Frontiers in human neuroscience,ADHD impulsivity resting-state fMRI connectivity,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,regulation,unclear,0.7,"Discount rate (transformed k) correlated with functional connectivity between the DS and dorsal lateral prefrontal cortex (dlPFC), consistent with previous findings indicating that DS-dlPFC circuitry may regulate impulsivity.",yes,,yes,yes,yes,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,yes,yes,unclear,,,,"The sentence directly states that discount rate (a measure of impulsivity) correlates with functional connectivity between the DS and dorsal lateral prefrontal cortex (dlPFC), which is a brain region known to be involved in impulse control. The sentence also implies a regulatory relationship between the DS-dlPFC circuitry and impulsivity, as it refers to previous findings indicating this relationship.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": ""impulsivity (general)"", ""feature_supported"": ""functional connectivity"", ""relationship_supported"": ""associated_with"", ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly states that discount rate (a measure of impulsivity) correlates with functional connectivity between the DS and dorsal lateral prefrontal cortex (dlPFC), which is a brain region known to be involved in impulse control. The sentence also implies a regulatory relationship between the DS-dlPFC circuitry and impulsivity, as it refers to previous findings indicating this relationship.""}"
9,31907881,Human Brain Imaging Links Dopaminergic Systems to Impulsivity.,2020,Current topics in behavioral neurosciences,motor impulsivity functional connectivity,unknown,functional connectivity,motor impulsivity,unknown,associated_with,higher,dopaminergic,direct,0.9,"Strong evidence links striatal dopaminergic function with impulsivity, measured by self-reports and laboratory tests of cognitive control and reward-based decision-making.",yes,,yes,yes,no,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,yes,yes,yes,yes,yes,unclear,motor impulsivity,functional connectivity,higher,"The sentence directly states that there is a link between striatal dopaminergic function and impulsivity, and it mentions functional connectivity as the feature type.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": true, ""feature_supported"": true, ""relationship_supported"": true, ""direction_supported"": true, ""directness_supported"": true, ""overclaiming"": null, ""corrected_phenotype"": ""motor impulsivity"", ""corrected_feature_type"": ""functional connectivity"", ""corrected_direction"": ""higher"", ""rationale"": ""The sentence directly states that there is a link between striatal dopaminergic function and impulsivity, and it mentions functional connectivity as the feature type.""}"
10,31886611,Dorsal striatal functional connectivity changes in Internet gaming disorder: A longitudinal magnetic resonance imaging study.,2021,Addiction biology,impulsivity fMRI functional connectivity,unknown,functional connectivity,impulsivity (general),Internet gaming disorder,associated_with,unclear,,direct,0.8,Subjects with IGD exhibited decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC) compared with controls.,yes,,yes,yes,no,,,,,,,,,,mistral-7b-instruct-v0.3,2,keep,unclear,unclear,unclear,unclear,unclear,unclear,,,,"The sentence directly states that subjects with Internet Gaming Disorder exhibit decreased functional connectivity between the left dorsal putamen and left medial prefrontal cortex compared with controls, which is associated with the general phenotype of impulsivity as these brain regions are involved in impulse control.",," {""support_score"": 2, ""decision"": ""keep"", ""phenotype_supported"": null, ""feature_supported"": ""functional connectivity between the left dorsal putamen and left medial prefrontal cortex (mPFC)"", ""relationship_supported"": ""associated_with"", ""direction_supported"": null, ""directness_supported"": null, ""overclaiming"": null, ""corrected_phenotype"": null, ""corrected_feature_type"": null, ""corrected_direction"": null, ""rationale"": ""The sentence directly states that subjects with Internet Gaming Disorder exhibit decreased functional connectivity between the left dorsal putamen and left medial prefrontal cortex compared with controls, which is associated with the general phenotype of impulsivity as these brain regions are involved in impulse control.""}"
