record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error
3,39315326,Resting-state brain networks alterations in adolescents with Internet Gaming Disorder associate with cognitive control impairments.,2024,Frontiers in psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,attentional impulsivity,Internet Gaming Disorder,associates with,unclear,unclear,unclear,0.7,"In comparison to the control group, impulsivity in adolescent IGD subjects showed a positive correlation with the severity of IGD (r=0.6350, p < 0.001), linked to impairments in the Executive Control Network (ECN) and a decrease in functional connectivity between the Salience Network (SN) and ECN.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,attentional impulsivity,functional connectivity,positive,"The sentence clearly supports the claim by stating a positive correlation between impulsivity and IGD severity, which is linked to impairments in the Executive Control Network and a decrease in functional connectivity between the Salience Network and ECN.",
5,29454934,Time scale properties of task and resting-state functional connectivity: Detrended partial cross-correlation analysis.,2018,NeuroImage,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,BIS total,unknown,associated_with,lower,unclear,direct,0.8,"In regions of interest analysis, the within-network connectivity time scale of the pre-supplementary motor area - a medial prefrontal cortical structure of the task network and critical to proactive inhibitory control - correlated inversely with Barratt impulsivity and stop signal reaction time.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,Barratt impulsivity,behavioral measure,higher,"The sentence does not directly support the claim because it mentions Barratt impulsivity, which is the phenotype, but not BIS total. The feature type is also not directly mentioned as functional connectivity, but rather as within-network connectivity time scale. The direction is also mixed, as it is described as 'correlated inversely', which implies a higher value of Barratt impulsivity is associated with a lower value of the within-network connectivity time scale.",
6,38002468,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,2023,Brain sciences,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),chronic heroin use disorder,predicts,higher,,direct,0.8,"The HUD group in this study exhibited higher total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity than the control group.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),behavioral trait,higher,"The sentence clearly supports the extracted claim by stating that the HUD group exhibited higher impulsivity scores than the control group, which directly relates to the phenotype of impulsivity and the feature of a behavioral trait. The relationship is also clearly stated as 'higher', which matches the extracted direction. The directness is also supported as the sentence names both the phenotype and feature.",
23,37086305,"Emotion dysregulation, impulsivity and anger rumination in borderline personality disorder: the role of amygdala and insula.",2024,European archives of psychiatry and clinical neuroscience,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Borderline Personality Disorder,associated_with,unclear,,indirect,0.7,"Reduced functional connectivity was found in BPD between amygdala and frontal pole, precuneus and temporal pole.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,decreased,"The sentence partially supports the claim as it mentions a group difference (BPD) and a phenotype-feature association (functional connectivity between amygdala and other brain regions). However, the direction of the association is not explicitly stated, and the directness of the association is not clear as it does not name both phenotype and feature. The corrected phenotype, feature type, and direction are based on the extracted claim.",
28,25944613,Nature of functional links in valuation networks differentiates impulsive behaviors between abstinent heroin-dependent subjects and nondrug-using subjects.,2015,NeuroImage,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),unknown,associated_with,unclear,influence,direct,0.8,"Through functional connectivity with the ventral medial prefrontal cortex, the δ-network (regions of the executive control system, such as the dorsolateral prefrontal cortex) and the β-network (regions of the reward system involved in the mesocorticolimbic pathway), jointly influence impulsivity measured by the Barratt impulsiveness scale scores.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,influences,"The sentence clearly supports the phenotype, feature, relationship, and direction when stated.",
31,26830141,Midbrain functional connectivity and ventral striatal dopamine D2-type receptors: link to impulsivity in methamphetamine users.,2016,Molecular psychiatry,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),methamphetamine-dependent,associated_with,unclear,unknown,unclear,0.8,"Impulsivity is correlated negatively with striatal D2-type receptor availability, and mesocorticolimbic RSFC is stronger than that in controls.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,negative,"The sentence partially supports the claim, but the direction and directness are unclear. The corrected phenotype, feature type, and direction are provided.",
37,39756804,Altered Functional Connectivity of Prefrontal Cortex-Related Circuitry and Trait Impulsivity in Patients With Bipolar Disorder and History of Suicide Attempts.,2025,Acta psychiatrica Scandinavica,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),Bipolar Disorder,associated_with,unclear,,unclear,0.8,BDSA had higher trait impulsivity than BDNS and the controls. BDSA exhibited reduced FC between the PFC and sensorimotor (postcentral and precentral gyri) and thalamic regions compared to BDNS.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,higher,"The sentence clearly supports the phenotype (impulsivity), feature (functional connectivity), relationship (associated_with), direction (higher), and directness (direct) when stated. The phenotype and feature are directly mentioned in the sentence, and the direction is clearly stated as 'higher'.",
41,26908392,Association of ventral striatum monoamine oxidase-A binding and functional connectivity in antisocial personality disorder with high impulsivity: A positron emission tomography and functional magnetic resonance imaging study.,2016,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,Barratt Impulsiveness Scale resting-state fMRI,unknown,functional connectivity,impulsivity (general),antisocial personality disorder,associated_with,unclear,,direct,0.7,"Results revealed functional coupling of the VSs with bilateral dorsomedial prefrontal cortex (DMPFC) that was correlated with VS MAO-A VT, and functional coupling of the VSi with right hippocampus that was anti-correlated with VS MAO-A VT.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,unclear,"The sentence clearly supports the phenotype (impulsivity), feature (functional connectivity), relationship (associated_with), and direction (unclear) when stated. The directness is also supported as the sentence names both phenotype and feature. There is no overclaiming as the sentence mentions a group difference and a phenotype-feature association.",
45,35040662,Role of White Matter Microstructure in Impulsive Behavior.,2022,The Journal of neuropsychiatry and clinical neurosciences,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),unknown,associated_with,lower,,direct,0.32,"Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007)",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,lower,"The sentence directly supports the association between impulsivity and structural connectivity, with a clear direction of lower structural connectivity being associated with impulsivity.",
50,40630648,Identifying a Biological Signature of Trauma-Related Neurodegeneration Following Repeated Traumatic Brain Injuries Compared with Healthy Controls.,2025,Neurotrauma reports,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),unknown,associated_with,unclear,,background,0.5,The Barratt Impulsivity Scale (BIS) was among the surveys included in the study.,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,unclear,unclear,unclear,,,,"The sentence does not mention impulsivity or any association with it, therefore it does not support the extracted claim.",
