set,row_id,extractor,supporting_sentence,canonical_claim_text,trackb_original_decision,trackb_support_score,human_eval1,human_eval2,minicheck-bespoke-7b_score,minicheck-bespoke-7b_native_pred,minicheck-flan-t5_score,minicheck-flan-t5_native_pred,alignscore-large-official_score,alignscore-large-official_native_pred,deberta-nli_score,deberta-nli_native_pred
s120,HV001,Llama 3.1 8B,"Differences in impulsivity, neuroticism, conscientiousness, facial perception accuracy, and rs-fMRI connectivity exist between moderate and severe groups.","In bipolar disorder, impulsivity (general) is associated with the neural feature.",drop,0,revise,revise,0.164471,0,0.046864,0,0.007288,,0.000863,revise
s120,HV002,Mistral 7B,Higher binge drinking was associated with attenuated frontal and parietal activation during successful response inhibition within a fearful context.,attentional impulsivity is associated with lower functional connectivity.,keep,2,revise,revise,0.037323,0,0.039004,0,0.312477,,0.959961,keep
s120,HV003,Llama 3.1 8B,"Specifically, the higher the BPT, the higher the temporal variability inside the SN, and the lower the temporal variability in a network that includes DMN and mentalization regions.","In borderline personality traits, impulsivity (general) is predictive of the neural feature.",keep,2,revise,revise,0.075846,0,0.028273,0,0.023895,,0.001479,revise
s120,HV004,Llama 3.1 8B,"The AUC values of DC, FC and the combined analysis for distinguishing IGD patients from HCs were 0.738, 0.850 and 0.864, respectively.","In internet gaming disorder, impulsivity (general) is associated with higher functional connectivity.",drop,0,drop,drop,0.014063,0,0.028910,0,0.003673,,0.001598,revise
s120,HV005,Qwen 2.5 7B,"Resting-state functional connectivity analysis has emerged as a promising approach for ADHD classification using resting-state functional magnetic resonance imaging (rs-fMRI), although with limited accuracy.","In ADHD classification, impulsivity (general) is associated with functional connectivity.",drop,0,revise,drop,0.060078,0,0.026206,0,0.002351,,0.000936,revise
s120,HV006,Llama 3.1 8B,This increased cross-network connectivity was associated with increased self-reported measures of impulsivity and inattention traits.,impulsivity (general) is associated with higher functional connectivity.,revise,1,keep,keep,0.468552,0,0.102980,0,0.085685,,0.149292,revise
s120,HV007,Llama 3.1 8B,"In addition, performance-related functional connectivity of lower- and higher-order motor networks differed between patients and controls.","In adult Tourette's syndrome, motor impulsivity is associated with functional connectivity.",revise,1,revise,revise,0.033083,0,0.075996,0,0.008086,,0.002699,revise
s120,HV008,Mistral 7B,Impulsivity is a characteristic of bipolar disorder (BD) that can contribute to the risk for suicidal behavior.,"In bipolar disorder, impulsivity (general) is associated with the neural feature.",revise,1,revise,revise,0.042083,0,0.024177,0,0.008928,,0.004814,revise
s120,HV009,Qwen 2.5 7B,"In the first two studies, we demonstrated in both children (N  =  245) and adults (N  =  581) that head motion, estimated from resting-state functional MRI and diffusion tensor imaging, was reliably correlated with impulsivity scores.",impulsivity (general) is predictive of higher covariates.,revise,1,keep,revise,0.095334,0,0.084118,0,0.001346,,0.009956,revise
s120,HV010,Mistral 7B,Two groups of subjects with IGD were identified and defined by distinct patterns of connectivity in brain networks previously implicated in addictions.,"In internet gaming disorder, impulsivity (general) is associated with functional connectivity.",drop,0,revise,revise,0.132936,0,0.089874,0,0.012595,,0.004066,revise
s120,HV011,Llama 3.1 8B,We report a strong association between suicidal behaviour and CT (in particular childhood physical neglect) in a TRD population.,"In treatment-resistant depression, impulsivity (general) is associated with the neural feature.",revise,1,drop,drop,0.017985,0,0.030232,0,0.060283,,0.004841,revise
s120,HV012,Qwen 2.5 7B,We observed significantly higher BIS-11 impulsivity scores and lower GMV in the bilateral superior frontal cortex of SMUD-A individuals than in those of control subjects.,"In severe methamphetamine use disorder, impulsivity (general) is correlated with lower BOLD variability.",keep,2,revise,revise,0.014063,0,0.028615,0,0.059993,,0.019257,revise
s120,HV013,Qwen 2.5 7B,"Predictive networks involved several connections within and between canonical networks implicated in visual processing (visual area 2 and visual association networks), cognitive control and executive functioning (frontoparietal and medial frontal networks), and relevance and motor response (salience and sensorimotor networks).",nonplanning impulsivity is predictive of functional connectivity.,revise,1,revise,revise,0.033082,0,0.014105,0,0.005126,,0.008400,revise
s120,HV014,Qwen 2.5 7B,"High (but not low)-risk offspring with two risk (short, s) alleles had higher impulsivity (+13%).",impulsivity (general) is associated with the neural feature.,keep,2,drop,revise,0.010986,0,0.079331,0,0.002558,,0.003139,revise
s120,HV015,Mistral 7B,"Alcohol consumption during adolescence has been associated with neuroanatomical abnormalities and the appearance of future disorders. However, the latest advances in this field point to the existence of risk profiles which may lead to some individuals into an early consumption. To date, some studies have established predictive models of consumption based on sociodemographic, behavioral, and anatomical-functional variables using MRI. However, the neuroimaging variables employed are usually restricted to local and hemodynamic phenomena. Given the potential of connectome approaches, and the high temporal dynamics of electrophysiology, we decided to explore the relationship between future alcohol consumption and electrophysiological connectivity measured by MEG in a cohort of 83 individuals aged 14 to 16.",the phenotype is predictive of higher functional connectivity.,revise,1,drop,drop,0.037323,0,0.128395,0,0.004482,,0.000260,revise
s120,HV016,Llama 3.1 8B,Cigarette smoking could influence disinhibition and possibly help to normalize inhibition in schizophrenic patients.,"In schizophrenia, impulsivity (general) is associated with the neural feature.",revise,1,revise,revise,0.075847,0,0.051275,0,0.085065,,0.004768,revise
s120,HV017,Mistral 7B,The findings of this study suggest conceptualizing reward dysfunction in BD + AUD by the potential interaction between blunted reward responsivity and deficient inhibitory control may help guide treatment development strategies.,"In co-occurring bipolar disorder and alcohol use disorder, impulsivity (general) is associated with functional connectivity.",drop,0,revise,revise,0.022976,0,0.042379,0,0.011656,,0.099426,revise
s120,HV018,Qwen 2.5 7B,A significant between-subject effect was found in favor of the IPT-BPD-R-treated group (BIS-11: P = .033).,"In Borderline Personality Disorder (BPD), impulsivity (general) is correlated with the neural feature.",drop,0,drop,drop,0.009708,0,0.043060,0,0.005813,,0.003017,revise
s120,HV019,Mistral 7B,"SZ patients showed significant reductions in FA and elevations in MD and RD in the right inferior fronto-occipital fasciculus, left optic radiation, and left posterior thalamic radiation, implicating both demyelination and generalized microstructural disorganization.","In schizophrenia, impulsivity (general) is associated with structural connectivity.",keep,2,revise,revise,0.085083,0,0.022074,0,0.026951,,0.015762,revise
s120,HV020,Mistral 7B,The results of mediation demonstrated that stressful life events and correlated functional connectivity mediated the association between TA and IA.,impulsivity (general) is predictive of functional connectivity.,revise,1,drop,drop,0.017985,0,0.036638,0,0.004771,,0.000626,revise
s120,HV021,Mistral 7B,Card-sorting performance correlated positively with FC between bilateral anterior insula and midcingulate cortex/supplementary motor area.,impulsivity (general) is associated with functional connectivity.,keep,2,drop,drop,0.148000,0,0.119255,0,0.050166,,0.001685,drop
s120,HV022,Mistral 7B,"We explored age-related brain network differences between ADHD patients and typically developing (TD) subjects using resting state fMRI (rs-fMRI) for three age groups of children, adolescents, and adults.","In Attention deficit and hyperactivity disorder (ADHD), attentional impulsivity is associated with functional connectivity.",drop,0,revise,revise,0.025955,0,0.188281,0,0.015343,,0.002502,revise
s120,HV023,Llama 3.1 8B,"Rs-fMRI revealed increased functional connectivity in the precuneus cortex, left postcentral gyrus, and right superior frontal gyrus in the dorsal attention network (DAN) in the IGD group in contrast to HC group.","In internet gaming disorder and tobacco use disorder, the phenotype is associated with higher functional connectivity in the dorsal attention network.",keep,2,revise,revise,0.053396,0,0.010266,0,0.008805,,0.004894,revise
s120,HV024,Mistral 7B,"In a pilot study, we used resting-state functional magnetic resonance imaging to investigate the effects of pronounced reactive aggression in men, exemplified by IED, on the functional organization of resting-state brain networks including subcortical nodes such as the habenula previously implicated in aggression in preclinical models.","In intermittent-explosive disorder (IED), impulsivity (general) is associated with functional connectivity.",revise,1,revise,revise,0.268843,0,0.578428,1,0.003956,,0.003344,revise
s120,HV025,Llama 3.1 8B,"The GG homozygotes showed lower brain activity, weaker brain network connectivity, and non-significant brain-attention association compared to the A allele carriers.","In healthy individuals, impulsivity (general) is associated with the neural feature.",revise,1,revise,revise,0.053396,0,0.035055,0,0.002668,,0.000159,revise
s120,HV026,Llama 3.1 8B,These findings support a parallel distributed processing model for word-color interference in which portions of the anterior cingulate cortex modify the strengths of multiple neural pathways used to read and name colors.,the phenotype is associated with functional connectivity.,keep,2,drop,drop,0.164483,0,0.134507,0,0.066910,,0.187500,revise
s120,HV027,Qwen 2.5 7B,"These regions are also involved in higher-order cognitive and motivational functions, such as the ability to track, update, and modulate the salience of a reinforcer as a function of context and expectation and the ability to control and inhibit prepotent responses.","In drug addiction, impulsivity (general) is associated with functional connectivity in the frontoparietal/control network.",revise,1,revise,revise,0.085086,0,0.053095,0,0.000873,,0.001089,revise
s120,HV028,Llama 3.1 8B,"They are associated with structural and functional abnormalities in brain networks involved in regulation of mood, impulse and behavior.","In borderline personality disorder, impulsivity (general) is associated with the neural feature.",revise,1,keep,keep,0.499721,0,0.168720,0,0.006919,,0.003057,revise
s120,HV029,Qwen 2.5 7B,"By correlating perturbation-induced changes in cortical inhibition paradigms and functional connectivity of cerebral circuits, we aim to introduce a more objective measure of therapeutic efficacy and response, as opposed to relying solely on subjective clinical scales.","In young-onset mania, impulsivity (general) is correlated with the neural feature.",drop,0,drop,drop,0.010986,0,0.104755,0,0.002634,,0.000778,revise
s120,HV030,Mistral 7B,"We observed significant reduction of VMHC in a number of regions, particularly the striatum/limbic system regions, and significant decrease in splenium and genu sub-regions of CC in HDI.","In heroin-dependent individuals, impulsivity (general) is associated with functional connectivity.",drop,0,revise,revise,0.047420,0,0.036295,0,0.001121,,0.004482,revise
s120,HV031,Llama 3.1 8B,"Enhanced spatial and temporal resolution in brain imaging modalities has led to refined visualization and quantification of the brain's substructures, microstructural integrity, and functional connectivity of neural networks.",motor impulsivity is associated with functional connectivity.,drop,0,drop,drop,0.022975,0,0.020923,0,0.001876,,0.000129,revise
s120,HV032,Mistral 7B,Greater VAN connectivity was negatively associated with impulsive reward-driven trait (drive).,impulsivity (general) is correlated with functional connectivity.,keep,2,keep,keep,0.148002,0,0.057060,0,0.025337,,0.078369,revise
s120,HV033,Qwen 2.5 7B,"Among the adolescents with ADHD, 16 (18.2 %) were categorized into the low-grade inflammation group. Generalized linear models, adjusted for age, sex, and SNAP-IV scores, revealed that adolescents with ADHD and low-grade inflammation had the highest self-reported overall impulsiveness (BIS total scores; p = 0.006), inattention (BIS-attention subscale scores; p = 0.005), and poor self-control (BIS-self-control subscale scores; p = 0.006).","In ADHD, impulsivity (general) is associated with the neural feature.",keep,2,drop,drop,0.012431,0,0.044158,0,0.055192,,0.005844,revise
s120,HV034,Llama 3.1 8B,"Target network connectivity was increased during regulation blocks compared to rest blocks, however, the experimental and sham groups could regulate to a similar degree.","In nicotine use, impulsivity (general) is correlated with functional connectivity.",drop,0,revise,drop,0.005220,0,0.022518,0,0.003494,,0.001103,revise
s120,HV035,Llama 3.1 8B,"The prefrontal cortex is also involved in motor action: in its initiation, planning, designing and sequencing rather than its mere execution.",impulsivity (general) is associated with the neural feature.,drop,0,drop,drop,0.182365,0,0.032265,0,0.143046,,0.000531,revise
s120,HV036,Mistral 7B,"We found increased fc between left inferior frontal gyrus and right planum temporale and polare, right and left insula, right Supplementary Motor Cortex (SMA), right parietal operculum, and also between left supramarginal gyrus and right planum polare, and between left orbitofrontal cortex and left insula when compared CSBD and HC.","In Compulsive Sexual Behavior Disorder, impulsivity (general) is associated with functional connectivity.",revise,1,revise,revise,0.182364,0,0.224834,0,0.003039,,0.003956,revise
s120,HV037,Qwen 2.5 7B,"The common rs-FC alterations in BA and SUD exhibited the relationship with consistent aberrant behaviors in both addiction groups, such as impaired inhibition control and salience attribution.","In behavioral addictions and substance use disorder, nonplanning impulsivity is associated with functional connectivity.",revise,1,keep,keep,0.201752,0,0.063649,0,0.051517,,0.975586,keep
s120,HV038,Llama 3.1 8B,"These findings suggest that the neurobiological correlates of substance are dynamic across adolescence, possibly reflecting changing phenotype.",impulsivity (general) is associated with the neural feature.,revise,1,drop,drop,0.132935,0,0.029082,0,0.040695,,0.000254,revise
s120,HV039,Mistral 7B,Results from this study show that the diagnosis and the two main symptom dimensions of ADHD are related to altered intrinsic connectivity in orbitofrontal-temporal-occipital and fronto-amygdala-occipital networks.,"In attention-deficit/hyperactivity disorder, impulsivity (general) is associated with functional connectivity.",revise,1,keep,keep,0.320685,0,0.077589,0,0.032884,,0.008209,revise
s120,HV040,Llama 3.1 8B,"Biological factors (n = 8) included reward, self-concept, brain structure, and functional connectivity.","In gaming disorder, impulsivity (general) is associated with the neural feature.",drop,0,drop,drop,0.037323,0,0.062235,0,0.003719,,0.001121,revise
s120,HV041,Mistral 7B,High left anterior insula and left middle frontal gyrus connectivity was associated with increased impulsivity 1 year later.,impulsivity (general) is associated with higher functional connectivity.,keep,2,keep,keep,0.561891,1,0.075118,0,0.034506,,0.067871,revise
s120,HV042,Llama 3.1 8B,"The ADHD-discriminative FCs shared in children and adults lie in the intra-network within default mode network (DMN) and the inter-network between DMN and ventral attention network, positively correlated with total scores of ADHD symptoms.","In ADHD, attentional impulsivity is associated with higher functional connectivity in the default mode network.",revise,1,keep,keep,0.148012,0,0.062772,0,0.212898,,0.002626,revise
s120,HV043,Qwen 2.5 7B,Correlation analysis demonstrated that the observed regional alterations were significantly correlated with the severity of IA.,"In internet addiction, impulsivity (general) is correlated with functional connectivity.",revise,1,revise,revise,0.010986,0,0.027353,0,0.006692,,0.004845,revise
s120,HV044,Mistral 7B,"Impulsivity was related to measures of anxiety, depression and aggressive behavior, and showed higher relationships with measures of internalizing symptoms than with aggression.",impulsivity (general) is correlated with the neural feature.,revise,1,drop,revise,0.009708,0,0.027231,0,0.045629,,0.013832,revise
