source,source_id,query,title,year,journal,brain_system,feature_type,phenotype,diagnostic_context,relationship,direction,mechanism,directness,evidence_strength,supporting_sentence,citation_id,extraction_model,extraction_confidence
pubmed,35619620,Barratt Impulsiveness Scale resting-state fMRI,How Impulsiveness Influences Obesity: The Mediating Effect of Resting-State Brain Activity in the dlPFC.,2022,Frontiers in psychiatry,dlPFC,BOLD variability,nonplanning impulsivity,obesity,correlates_with,higher,downregulates spontaneous activity,direct,0.8,"In addition, non-planning impulsiveness was positively correlated with BMI.",35619620,vllm:qwen2.5-7b-instruct,high
pubmed,34427375,Barratt Impulsiveness Scale resting-state fMRI,Changes in ALFF and ReHo values in methamphetamine abstinent individuals based on the Harvard-Oxford atlas: A longitudinal resting-state fMRI study.,2022,Addiction biology,unknown,BOLD variability,impulsivity (general),methamphetamine abstinent individuals,associated_with,higher,,direct,0.85,"The changes in ALFF and ReHo in the right middle frontal gyrus were significantly associated with BIS total scores, BIS attention scores, and BIS nonplanning scores.",34427375,vllm:qwen2.5-7b-instruct,high
pubmed,39315326,Barratt Impulsiveness Scale resting-state fMRI,Resting-state brain networks alterations in adolescents with Internet Gaming Disorder associate with cognitive control impairments.,2024,Frontiers in psychiatry,"Salience Network, Executive Control Network, Dorsal Attention Network",functional connectivity,impulsivity (general),Internet Gaming Disorder,correlates_with,higher,alterations in resting-state brain networks,direct,0.8,"impulsivity in adolescent IGD subjects showed a positive correlation with the severity of IGD (r=0.6350, p < 0.001), linked to impairments in the Executive Control Network (ECN) and a decrease in functional connectivity between the Salience Network (SN) and ECN (r=0.4307, p=0.0021; r=-0.5147, p=0.0034).",39315326,vllm:qwen2.5-7b-instruct,high
pubmed,38991286,Barratt Impulsiveness Scale resting-state fMRI,Neural correlates of impulsivity in amphetamine use disorder.,2024,Psychiatry research. Neuroimaging,unknown,functional connectivity,impulsivity (general),amphetamine use disorder,correlates_with,higher,,direct,0.85,These findings highlight the importance of aberrant prefrontal function in severe addiction.,38991286,vllm:qwen2.5-7b-instruct,high
pubmed,29454934,Barratt Impulsiveness Scale resting-state fMRI,Time scale properties of task and resting-state functional connectivity: Detrended partial cross-correlation analysis.,2018,NeuroImage,default mode network,functional connectivity,impulsivity (general),unknown,correlates_with,higher,,direct,0.8,the within-network connectivity time scale of the pre-supplementary motor area - a medial prefrontal cortical structure of the task network and critical to proactive inhibitory control - correlated inversely with Barratt impulsivity and stop signal reaction time.,29454934,vllm:qwen2.5-7b-instruct,high
pubmed,38002468,Barratt Impulsiveness Scale resting-state fMRI,Insula Connectivity Abnormalities Predict Impulsivity in Chronic Heroin Use Disorder: A Cross-Sectional Resting-State fMRI Study.,2023,Brain sciences,unknown,functional connectivity,impulsivity (general),heroin use disorder,predicts,higher,,direct,0.9,"Changes in FC between the right insula and the lateral occipital cortex and the right angular gyrus were significantly positively correlated with total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity.",38002468,vllm:qwen2.5-7b-instruct,high
pubmed,39469891,Barratt Impulsiveness Scale resting-state fMRI,Functional Brain Network of Trait Impulsivity: Whole-Brain Functional Connectivity Predicts Self-Reported Impulsivity.,2024,Human brain mapping,unknown,functional connectivity,impulsivity (general),unknown,predicts,unclear,,direct,0.7,Our findings revealed a widespread neural network associated with trait impulsivity and a notable correlation between predicted and observed scores.,39469891,vllm:qwen2.5-7b-instruct,high
pubmed,37579016,Barratt Impulsiveness Scale resting-state fMRI,"Resting-State Functional Connectivity of the Dorsal and Ventral Striatum, Impulsivity, and Severity of Use in Recently Abstinent Cocaine-Dependent Individuals.",2023,The international journal of neuropsychopharmacology,unknown,functional connectivity,impulsivity (general),cocaine-dependent individuals,correlates_with,higher,,direct,0.85,"In CDs, VS-left IFC and VS-hippocampus connectivity was positively and negatively correlated with average monthly cocaine use in the prior year, respectively.",37579016,vllm:qwen2.5-7b-instruct,high
pubmed,39313561,Barratt Impulsiveness Scale resting-state fMRI,Motor impulsivity and spicy food craving: A mediation analysis of insula-based resting state functional connectivity.,2024,Brain imaging and behavior,unknown,functional connectivity,motor impulsivity,unknown,mediated_by,higher,insula-middle occipital gyrus rsFC strength,direct,0.85,"Specifically, the insula-middle occipital gyrus rsFC strength mediated the relationship between the motor impulsivity and spicy food craving.",39313561,vllm:qwen2.5-7b-instruct,high
pubmed,32670033,Barratt Impulsiveness Scale resting-state fMRI,Trait Impulsivity Associated With Altered Resting-State Functional Connectivity Within the Somatomotor Network.,2020,Frontiers in behavioral neuroscience,somatomotor network,functional connectivity,impulsivity (general),unknown,associated_with,lower,,direct,0.85,"greater self-reported impulsivity was associated with decreased connectivity of the right lateral occipital cortex (peak mm 46/-70/16, FWE 1-p = 0.981) with the somatomotor network.",32670033,vllm:qwen2.5-7b-instruct,high
