run_name,model,llm_backend,max_papers,recommendation,gate1_pass,gate2_grounded_pass,gate2_llm_pass,n_attempted,n_failures,schema_valid_rate,citation_valid_rate,evidence_present_rate,evidence_anchored_rate,strict_grounded_n,strict_grounded_rate,grounded_any_evidence_rate,grounded_quote_anchor_rate,llm_ok_rate,llm_refusal_rate,llm_pmid_violation_rate,llm_quote_violation_rate,report_path
feasibility_connectome_mac,llama3.2:3b,ollama,5,GO_TO_GPU_SCALE_UP,True,True,True,5,0,1.000000,1.000000,0.800000,1.000000,4,0.800000,1.000000,1.000000,0.800000,0.000000,0.000000,0.200000,/home/qwe123/neuroxpert_rag/data/pilot/feasibility_connectome_mac/feasibility_report.json
feasibility_connectome_mac_20,llama3.2:3b,ollama,20,GO_TO_GPU_SCALE_UP,True,True,False,20,0,1.000000,1.000000,0.900000,0.833333,15,0.750000,1.000000,1.000000,0.000000,0.000000,0.000000,0.800000,/home/qwe123/neuroxpert_rag/data/pilot/feasibility_connectome_mac_20/feasibility_report.json
feasibility_connectome_mac_50,llama3.2:3b,ollama,50,GO_TO_GPU_SCALE_UP,True,True,True,50,0,1.000000,1.000000,0.940000,0.893617,42,0.840000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/feasibility_connectome_mac_50/feasibility_report.json
feasibility_connectome_mac_50_strict_prompt,llama3.2:3b,ollama,50,NO_GO_UNTIL_EXTRACTION_IMPROVES,False,False,False,50,50,1.000000,1.000000,0.000000,,0,0.000000,1.000000,,0.000000,1.000000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/feasibility_connectome_mac_50_strict_prompt/feasibility_report.json
feasibility_connectome_mac_50_strict_prompt_rerun,llama3.2:3b,ollama,50,GO_TO_GPU_SCALE_UP,True,True,True,50,0,1.000000,1.000000,0.980000,0.877551,43,0.860000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/feasibility_connectome_mac_50_strict_prompt_rerun/feasibility_report.json
feasibility_connectome_mac_strict,llama3.2:3b,ollama,5,GO_TO_GPU_SCALE_UP,True,True,False,5,0,1.000000,1.000000,0.800000,1.000000,4,0.800000,1.000000,1.000000,0.200000,0.000000,0.000000,0.400000,/home/qwe123/neuroxpert_rag/data/pilot/feasibility_connectome_mac_strict/feasibility_report.json
feasibility_mac_smoke,llama3.2:3b,ollama,3,GO_TO_GPU_SCALE_UP,True,True,False,3,0,1.000000,1.000000,1.000000,1.000000,3,1.000000,1.000000,1.000000,0.333333,0.000000,0.333333,0.666667,/home/qwe123/neuroxpert_rag/data/pilot/feasibility_mac_smoke/feasibility_report.json
feasibility_mac_smoke_json,llama3.2:3b,ollama,3,GO_TO_GPU_SCALE_UP,True,True,True,3,0,1.000000,1.000000,1.000000,1.000000,3,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/feasibility_mac_smoke_json/feasibility_report.json
feasibility_server_llama31_8b_50,llama-3.1-8b-instruct,vllm,50,GO_TO_GPU_SCALE_UP,True,True,False,50,0,1.000000,1.000000,1.000000,0.920000,46,0.920000,1.000000,1.000000,0.800000,0.000000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/feasibility_server_llama31_8b_50/feasibility_report.json
feasibility_server_qwen7b_50,qwen2.5-7b-instruct,vllm,50,TUNE_PROMPTS_THEN_REPEAT_MAC_PILOT,True,False,True,50,0,1.000000,1.000000,0.960000,0.854167,41,0.820000,1.000000,0.720000,0.000000,1.000000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/feasibility_server_qwen7b_50/feasibility_report.json
feasibility_server_qwen7b_scale,qwen2.5-7b-instruct,vllm,200,GO_TO_GPU_SCALE_UP,True,True,True,200,0,1.000000,1.000000,0.940000,0.888298,167,0.835000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/feasibility_server_qwen7b_scale/feasibility_report.json
final_llama31_8b_378,llama-3.1-8b-instruct,vllm,378,GO_TO_GPU_SCALE_UP,True,True,True,376,0,1.000000,1.000000,0.994681,0.914439,342,0.909574,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/final_llama31_8b_378/feasibility_report.json
final_llama31_8b_700,llama-3.1-8b-instruct,vllm,700,GO_TO_GPU_SCALE_UP,True,True,True,700,0,1.000000,1.000000,0.981429,0.925764,636,0.908571,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/final_llama31_8b_700/feasibility_report.json
final_mistral7b_378,mistral-7b-instruct-v0.3,vllm,378,GO_TO_GPU_SCALE_UP,True,True,False,376,0,1.000000,1.000000,1.000000,0.632979,238,0.632979,1.000000,1.000000,0.800000,0.000000,0.000000,0.200000,/home/qwe123/neuroxpert_rag/data/pilot/final_mistral7b_378/feasibility_report.json
final_mistral7b_700,mistral-7b-instruct-v0.3,vllm,700,GO_TO_GPU_SCALE_UP,True,True,False,700,0,1.000000,1.000000,0.997143,0.595989,416,0.594286,1.000000,1.000000,0.600000,0.000000,0.000000,0.400000,/home/qwe123/neuroxpert_rag/data/pilot/final_mistral7b_700/feasibility_report.json
final_qwen25_7b_378,qwen2.5-7b-instruct,vllm,378,GO_TO_GPU_SCALE_UP,True,True,True,376,0,1.000000,1.000000,0.944149,0.904225,321,0.853723,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/final_qwen25_7b_378/feasibility_report.json
final_qwen25_7b_700,qwen2.5-7b-instruct,vllm,700,GO_TO_GPU_SCALE_UP,True,True,True,700,0,1.000000,1.000000,0.890000,0.916533,571,0.815714,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/final_qwen25_7b_700/feasibility_report.json
generalization_motor_llama31_8b,llama-3.1-8b-instruct,vllm,306,GO_TO_GPU_SCALE_UP,True,True,True,306,0,1.000000,1.000000,0.960784,0.908163,267,0.872549,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/generalization_motor_llama31_8b/feasibility_report.json
generalization_motor_mistral7b,mistral-7b-instruct-v0.3,vllm,306,GO_TO_GPU_SCALE_UP,True,True,True,306,0,1.000000,1.000000,0.993464,0.592105,180,0.588235,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,/home/qwe123/neuroxpert_rag/data/pilot/generalization_motor_mistral7b/feasibility_report.json
