pmid,raw_response,parse_error
27942448," Here is the structured biomedical evidence record extracted from the given abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""impulsivity neuroimaging functional connectivity"",
    ""title"": ""Brain connectivity aberrations in anabolic-androgenic steroid users"",
    ""year"": ""2017"",
    ""journal"": ""NeuroImage. Clinical"",
    ""brain_system"": [""amygdala"", ""default-mode network (DMN)"", ""dorsal attention network (DAN)"", ""superior and inferior frontal gyri (SFG/IFG)"", ""anterior cingulate cortex (ACC)""],
    ""feature_type"": ""functional connectivity"",
    ""phenotype"": ""impulsivity"",
    ""diagnostic_context"": ""sustained anabolic-androgenic steroid (AAS) use"",
    ""relationship"": ""reduced"",
    ""direction"": null,
    ""mechanism"": null,
    ""directness"": null,
    ""evidence_strength"": null,
    ""supporting_sentence"": ""In line with the emotional and behavioral consequences of AAS, current users exhibited reduced functional connectivity between key nodes involved in emotional and cognitive regulation, in particular reduced connectivity between the amygdala and default-mode network (DMN) and between the dorsal attention network (DAN) and a frontal node encompassing the superior and inferior frontal gyri (SFG/IFG) and the anterior cingulate cortex (ACC), with further reductions as a function of dependency, lifetime exposure, and cycle state (on/off)."",
    ""citation_id"": ""27942448"",
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": true,
    ""feature_supported"": true,
    ""relationship_supported"": true,
    ""direction_supported"": null,
    ""directness_supported"": null,
    ""overclaiming"": null,
    ""rationale"": ""The abstract mentions 'impulsivity' as a behavioral consequence of AAS use and 'reduced functional connectivity' between specific brain regions involved in emotional and cognitive regulation, which aligns with the extracted features and relationship.""
  }
}
```

This JSON object represents the structured biomedical evidence record extracted from the given abstract. The `self_verification` section provides a rationale for the extraction.",
35040662," Here is the structured biomedical evidence record extracted from the given abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""Barratt Impulsiveness Scale fMRI"",
    ""title"": ""Role of White Matter Microstructure in Impulsive Behavior"",
    ""year"": 2022,
    ""journal"": ""The Journal of neuropsychiatry and clinical neurosciences"",
    ""brain_system"": null,
    ""feature_type"": ""white matter fractional anisotropy (FA)"",
    ""phenotype"": ""motor impulsiveness"",
    ""diagnostic_context"": null,
    ""relationship"": ""inversely correlated"",
    ""direction"": null,
    ""mechanism"": null,
    ""directness"": null,
    ""evidence_strength"": null,
    ""supporting_sentence"": ""Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007)"",
    ""citation_id"": null,
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": ""motor impulsiveness"",
    ""feature_supported"": ""white matter fractional anisotropy (FA)"",
    ""relationship_supported"": ""inversely correlated"",
    ""direction_supported"": null,
    ""directness_supported"": null,
    ""overclaiming"": null,
    ""rationale"": ""The supporting sentence directly states that whole-brain total average FA is inversely correlated with motor impulsiveness.""
  }
}
```

This record indicates that there is an inverse correlation between whole-brain total average white matter fractional anisotropy (FA) and motor impulsiveness in healthy adults. The correlation was significant after correction for multiple comparisons. The evidence is derived from the results section of the given abstract.",
22749228," Here is the structured biomedical evidence record extracted from the given abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""Barratt Impulsiveness Scale neuroimaging"",
    ""title"": ""Behavioral and cognitive impulsivity in obsessive-compulsive disorder and eating disorders"",
    ""year"": 2012,
    ""journal"": ""Psychiatry research"",
    ""brain_system"": null,
    ""feature_type"": ""Impulsivity"",
    ""phenotype"": [""Obsessive-Compulsive Disorder (OCD)"", ""Eating Disorder (ED)""],
    ""diagnostic_context"": null,
    ""relationship"": ""Higher self-reported impulsivity"",
    ""direction"": null,
    ""mechanism"": null,
    ""directness"": null,
    ""evidence_strength"": null,
    ""supporting_sentence"": ""Compared to controls, both clinical groups reported higher levels of impulsivity on the BIS-11"",
    ""citation_id"": ""22749228"",
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": true,
    ""feature_supported"": true,
    ""relationship_supported"": true,
    ""direction_supported"": null,
    ""directness_supported"": null,
    ""overclaiming"": null,
    ""rationale"": ""The abstract mentions self-reported impulsivity in both OCD and ED groups, which supports the presence of the feature in these phenotypes. The abstract also states that both groups reported higher levels of impulsivity on the BIS-11, which indicates a relationship between the feature and the phenotypes.""
  }
}
```

In this record, we have extracted the information about the study comparing self-reported impulsivity and neurocognitively assessed response inhibition in OCD, ED, and healthy control participants. The record includes the title, year, journal, feature type (Impulsivity), phenotypes (OCD and ED), and the relationship between the feature and the phenotypes (Higher self-reported impulsivity). The supporting sentence is also provided.

For self-verification, we have checked if the phenotype, feature, and relationship are supported by the provided abstract. The record also includes a rationale for the extraction.",
26745144," Here is the structured biomedical evidence record extracted from the given abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""trait impulsivity resting-state fMRI"",
    ""title"": null,
    ""year"": ""2016"",
    ""journal"": ""PloS one"",
    ""brain_system"": null,
    ""feature_type"": ""trait impulsivity"",
    ""phenotype"": ""Head Motion"",
    ""diagnostic_context"": ""ADHD"",
    ""relationship"": ""correlated"",
    ""direction"": null,
    ""mechanism"": ""genetic"",
    ""directness"": null,
    ""evidence_strength"": null,
    ""supporting_sentence"": ""HM was moderately correlated with maternal reports of Inattention (r = 0.17, p-value = 7.4E-5) and Hyperactivity-Impulsivity (r = 0.16, p-value = 2.9E-4), and these associations were mainly due to pleiotropic genetic factors with genetic correlations [95% CIs] of rg = 0.24 [0.02, 0.43] and rg = 0.23 [0.07, 0.39]."",
    ""citation_id"": ""26745144"",
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": ""Head Motion"",
    ""feature_supported"": ""trait impulsivity"",
    ""relationship_supported"": ""correlated"",
    ""direction_supported"": null,
    ""directness_supported"": null,
    ""overclaiming"": null,
    ""rationale"": ""The abstract states that Head Motion is moderately correlated with maternal reports of Inattention and Hyperactivity-Impulsivity, and these associations are mainly due to pleiotropic genetic factors. This implies a relationship between Head Motion and the trait impulsivity.""
  }
}
```

In this record, we have extracted the evidence that Head Motion (Phenotype) is correlated with the trait impulsivity (Feature Type) in the context of ADHD (Diagnostic Context). The correlation is mainly due to pleiotropic genetic factors (Mechanism). The supporting sentence is quoted directly from the abstract. The record also includes the citation ID for verification purposes. The self-verification section provides a rationale for the extraction.",
32464339," Here is the structured biomedical evidence record extracted from the provided abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""Barratt Impulsiveness Scale fMRI"",
    ""title"": null,
    ""year"": ""2020"",
    ""journal"": ""Psychiatry research. Neuroimaging"",
    ""brain_system"": ""cingulum"",
    ""feature_type"": ""mean diffusivity (MD)"",
    ""phenotype"": ""higher scores on the Barratt Impulsiveness Scale-Attentional"",
    ""diagnostic_context"": ""young offspring of patients with Bipolar Disorder (BDoff)"",
    ""relationship"": ""positively correlated"",
    ""direction"": null,
    ""mechanism"": null,
    ""directness"": null,
    ""evidence_strength"": null,
    ""supporting_sentence"": ""MD values in the cingulum were inversely correlated with the Child and Youth Resilience Measure and positively correlated with higher scores on the Barratt Impulsiveness Scale-Attentional."",
    ""citation_id"": ""32464339"",
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": ""higher scores on the Barratt Impulsiveness Scale-Attentional"",
    ""feature_supported"": ""mean diffusivity (MD) in the cingulum"",
    ""relationship_supported"": ""positively correlated"",
    ""direction_supported"": null,
    ""directness_supported"": null,
    ""overclaiming"": null,
    ""rationale"": ""The supporting sentence clearly states a positive correlation between mean diffusivity (MD) in the cingulum and higher scores on the Barratt Impulsiveness Scale-Attentional in young offspring of patients with Bipolar Disorder.""
  }
}
```

This record indicates that higher scores on the Barratt Impulsiveness Scale-Attentional are positively correlated with mean diffusivity (MD) in the cingulum in young offspring of patients with Bipolar Disorder. The source of this evidence is the abstract of the article with PMID 32464339.",
38002468," Here is the structured biomedical evidence record extracted from the provided abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""Barratt Impulsiveness Scale resting-state fMRI"",
    ""title"": null,
    ""year"": ""2023"",
    ""journal"": ""Brain sciences"",
    ""brain_system"": ""insula"",
    ""feature_type"": ""functional connectivity (FC)"",
    ""phenotype"": ""trait impulsivity"",
    ""diagnostic_context"": ""Heroin Use Disorder (HUD)"",
    ""relationship"": ""correlation"",
    ""direction"": ""positive"",
    ""mechanism"": null,
    ""directness"": null,
    ""evidence_strength"": null,
    ""supporting_sentence"": ""Changes in FC between the right insula and the lateral occipital cortex and the right angular gyrus were significantly positively correlated with total trait impulsivity scores, motor impulsivity, and nonplanning impulsivity"",
    ""citation_id"": ""38002468"",
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": ""trait impulsivity"",
    ""feature_supported"": ""functional connectivity (FC)"",
    ""relationship_supported"": ""correlation"",
    ""direction_supported"": ""positive"",
    ""overclaiming"": null,
    ""rationale"": ""The abstract mentions a correlation between changes in FC between the right insula and certain brain regions and trait impulsivity scores, motor impulsivity, and nonplanning impulsivity.""
  }
}
```

In this record, we can see that the study found a positive correlation between changes in functional connectivity (FC) between the right insula and certain brain regions (lateral occipital cortex and right angular gyrus) and trait impulsivity, motor impulsivity, and nonplanning impulsivity in patients with Heroin Use Disorder (HUD). The study used the Barratt Impulsiveness Scale (BIS-11) and resting-state functional magnetic resonance imaging (rs-fMRI) with the insula as a seed point.",
31401546," Here is the structured biomedical evidence record extracted from the provided abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""impulsivity fMRI functional connectivity"",
    ""title"": null,
    ""year"": ""2019"",
    ""journal"": ""Psychiatry research. Neuroimaging"",
    ""brain_system"": ""default network, attentional network"",
    ""feature_type"": ""functional connectivity"",
    ""phenotype"": ""attitudes of anger and aggression"",
    ""diagnostic_context"": null,
    ""relationship"": ""positively correlated"",
    ""direction"": ""from default network to attentional network"",
    ""mechanism"": ""impaired effortful control and decreased response inhibition of impulsivity"",
    ""directness"": null,
    ""evidence_strength"": null,
    ""supporting_sentence"": ""Functional connectivity between the default and attentional networks was positively correlated with scores of attitudes of anger and aggression."",
    ""citation_id"": ""31401546"",
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": ""attitudes of anger and aggression"",
    ""feature_supported"": ""functional connectivity"",
    ""relationship_supported"": ""positively correlated"",
    ""direction_supported"": ""from default network to attentional network"",
    ""directness_supported"": null,
    ""overclaiming"": null,
    ""rationale"": ""The abstract mentions a positive correlation between functional connectivity between the default and attentional networks and attitudes of anger and aggression. The direction of the correlation is also specified.""
  }
}
```

This record indicates that there is a positive correlation between the functional connectivity between the default and attentional networks and attitudes of anger and aggression, as supported by the findings in the provided abstract. The direction of the correlation is from the default network to the attentional network. The mechanism suggested is impaired effortful control and decreased response inhibition of impulsivity.",
33304251," Here is the structured biomedical evidence record extracted from the provided abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""ADHD impulsivity resting-state fMRI connectivity"",
    ""title"": ""Neural Basis of Increased Cognitive Control of Impulsivity During the Mid-Luteal Phase Relative to the Late Follicular Phase of the Menstrual Cycle."",
    ""year"": ""2020"",
    ""journal"": ""Frontiers in human neuroscience"",
    ""brain_system"": [""dorsal striatum (DS)"", ""dorsal lateral prefrontal cortex (dlPFC)""],
    ""feature_type"": ""functional connectivity"",
    ""phenotype"": ""impulsivity"",
    ""diagnostic_context"": null,
    ""relationship"": ""regulates"",
    ""direction"": null,
    ""mechanism"": null,
    ""directness"": null,
    ""evidence_strength"": null,
    ""supporting_sentence"": ""Discount rate (transformed k) correlated with functional connectivity between the DS and dlPFC, consistent with previous findings indicating that DS-dlPFC circuitry may regulate impulsivity."",
    ""citation_id"": ""33304251"",
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": ""impulsivity"",
    ""feature_supported"": ""functional connectivity"",
    ""relationship_supported"": ""regulates"",
    ""direction_supported"": null,
    ""directness_supported"": null,
    ""overclaiming"": null,
    ""rationale"": ""The abstract discusses the correlation between functional connectivity between the dorsal striatum (DS) and dorsal lateral prefrontal cortex (dlPFC) and impulsivity. This correlation is described as consistent with previous findings indicating that DS-dlPFC circuitry may regulate impulsivity.""
  }
}
```

This record indicates that there is a correlation between the functional connectivity between the dorsal striatum (DS) and dorsal lateral prefrontal cortex (dlPFC) and impulsivity, as described in the study titled ""Neural Basis of Increased Cognitive Control of Impulsivity During the Mid-Luteal Phase Relative to the Late Follicular Phase of the Menstrual Cycle."" This correlation is consistent with previous findings suggesting that DS-dlPFC circuitry may regulate impulsivity. The study was published in 2020 in the journal Frontiers in human neuroscience.",
31907881," Here is the structured biomedical evidence record extracted from the given abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""motor impulsivity functional connectivity"",
    ""title"": ""Human Brain Imaging Links Dopaminergic Systems to Impulsivity"",
    ""year"": 2020,
    ""journal"": ""Current topics in behavioral neurosciences"",
    ""brain_system"": ""striatal"",
    ""feature_type"": ""D2-type dopamine receptors"",
    ""phenotype"": ""motor response inhibition, cognitive flexibility"",
    ""diagnostic_context"": null,
    ""relationship"": ""correlation"",
    ""direction"": null,
    ""mechanism"": null,
    ""directness"": null,
    ""evidence_strength"": null,
    ""supporting_sentence"": ""Low levels of striatal and midbrain D2-type receptor availability correlate with self-reported impulsivity, whereas striatal D2-type receptor availability shows positive correlation with motor response inhibition and cognitive flexibility."",
    ""citation_id"": ""31907881"",
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": ""motor response inhibition, cognitive flexibility"",
    ""feature_supported"": ""D2-type dopamine receptors"",
    ""relationship_supported"": ""correlation"",
    ""direction_supported"": null,
    ""directness_supported"": null,
    ""overclaiming"": null,
    ""rationale"": ""The abstract mentions a correlation between striatal D2-type receptor availability and motor response inhibition and cognitive flexibility, which are forms of motor impulsivity. The correlation is stated as 'Low levels of striatal and midbrain D2-type receptor availability correlate with self-reported impulsivity, whereas striatal D2-type receptor availability shows positive correlation with motor response inhibition and cognitive flexibility.'""
  }
}
```

This record indicates that there is a correlation between striatal D2-type dopamine receptors and motor response inhibition and cognitive flexibility, which are forms of motor impulsivity. The evidence for this correlation comes from human brain imaging studies using positron emission tomography (PET) and functional magnetic resonance imaging (fMRI).",
31886611," Here is the structured biomedical evidence record extracted from the given abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""impulsivity fMRI functional connectivity"",
    ""title"": null,
    ""year"": ""2021"",
    ""journal"": ""Addiction biology"",
    ""brain_system"": ""dorsal striatum"",
    ""feature_type"": ""functional connectivity"",
    ""phenotype"": ""Internet gaming disorder"",
    ""diagnostic_context"": null,
    ""relationship"": ""decreased"",
    ""direction"": ""from"",
    ""mechanism"": null,
    ""directness"": null,
    ""evidence_strength"": null,
    ""supporting_sentence"": ""They exhibited decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC) compared with controls."",
    ""citation_id"": ""31886611"",
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": ""Internet gaming disorder"",
    ""feature_supported"": ""functional connectivity"",
    ""relationship_supported"": ""decreased"",
    ""direction_supported"": ""from"",
    ""directness_supported"": null,
    ""overclaiming"": null,
    ""rationale"": ""The abstract mentions a decrease in functional connectivity between the left dorsal putamen and left medial prefrontal cortex in individuals with Internet gaming disorder compared to controls.""
  }
}
```

The evidence record indicates that individuals with Internet gaming disorder have decreased functional connectivity from the left dorsal putamen to the left medial prefrontal cortex, as compared to controls. This is supported by the sentence: ""They exhibited decreased FC between the left dorsal putamen and left medial prefrontal cortex (mPFC) compared with controls."" The record also includes the relevant query terms, the year, journal, brain system, feature type, and phenotype.",
