pmid,raw_response,parse_error
39315326," Here is the structured biomedical evidence record extracted from the abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""Barratt Impulsiveness Scale resting-state fMRI"",
    ""title"": null,
    ""year"": ""2024"",
    ""journal"": ""Frontiers in psychiatry"",
    ""brain_system"": [""Executive Control Network (ECN)"", ""Salience Network (SN)"", ""dorsal attention network (DAN)""],
    ""feature_type"": [""impulsivity"", ""functional connectivity""],
    ""phenotype"": [""Internet Gaming Disorder (IGD)""],
    ""diagnostic_context"": null,
    ""relationship"": [""positive correlation"", ""linked"", ""decrease"", ""associated with"", ""increased functional connectivity""],
    ""direction"": [""in comparison to"", ""show"", ""correlated with""],
    ""mechanism"": null,
    ""directness"": null,
    ""evidence_strength"": null,
    ""supporting_sentence"": ""In comparison to the control group, impulsivity in adolescent IGD subjects showed a positive correlation with the severity of IGD (r=0.6350, p < 0.001), linked to impairments in the Executive Control Network (ECN) and a decrease in functional connectivity between the Salience Network (SN) and ECN (r=0.4307, p=0.0021; r=-0.5147, p=0.0034)."",
    ""citation_id"": ""39315326"",
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": ""Internet Gaming Disorder (IGD)"",
    ""feature_supported"": [""impulsivity"", ""functional connectivity""],
    ""relationship_supported"": [""positive correlation"", ""linked"", ""decrease"", ""associated with"", ""increased functional connectivity""],
    ""direction_supported"": [""in comparison to"", ""show"", ""correlated with""],
    ""overclaiming"": null,
    ""rationale"": ""The abstract discusses the correlation between impulsivity in adolescents with Internet Gaming Disorder and the Executive Control Network (ECN) and Salience Network (SN), as well as the decrease in functional connectivity between these networks. It also mentions the correlation between impulsivity and the severity of IGD, and the increased functional connectivity between the ECN and dorsal attention network (DAN).""
  }
}
```

This record indicates that in adolescents with Internet Gaming Disorder, impulsivity is positively correlated with the severity of the disorder, and this correlation is linked to impairments in the Executive Control Network (ECN) and a decrease in functional connectivity between the Salience Network (SN) and ECN. Additionally, there is increased functional connectivity between the ECN and dorsal attention network (DAN) in adolescents with IGD.",
35040662," Here is the structured biomedical evidence record extracted from the given abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""Barratt Impulsiveness Scale fMRI"",
    ""title"": ""Role of White Matter Microstructure in Impulsive Behavior"",
    ""year"": 2022,
    ""journal"": ""The Journal of neuropsychiatry and clinical neurosciences"",
    ""brain_system"": null,
    ""feature_type"": ""white matter fractional anisotropy (FA)"",
    ""phenotype"": ""motor impulsiveness"",
    ""diagnostic_context"": null,
    ""relationship"": ""inversely correlated"",
    ""direction"": null,
    ""mechanism"": null,
    ""directness"": null,
    ""evidence_strength"": null,
    ""supporting_sentence"": ""Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007)"",
    ""citation_id"": null,
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": ""motor impulsiveness"",
    ""feature_supported"": ""white matter fractional anisotropy (FA)"",
    ""relationship_supported"": ""inversely correlated"",
    ""direction_supported"": null,
    ""directness_supported"": null,
    ""overclaiming"": null,
    ""rationale"": ""The supporting sentence directly states that whole-brain total average FA is inversely correlated with motor impulsiveness.""
  }
}
```

This record indicates that there is an inverse correlation between whole-brain total average white matter fractional anisotropy (FA) and motor impulsiveness in healthy adults. The correlation was significant after correction for multiple comparisons. The evidence is derived from the results section of the given abstract.",
39796107," Here is the structured biomedical evidence record extracted from the provided abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""Barratt Impulsiveness Scale fMRI"",
    ""title"": null,
    ""year"": ""2024"",
    ""journal"": ""International journal of molecular sciences"",
    ""brain_system"": [""caudate"", ""prefrontal cortex"", ""ventromedial PFC"", ""orbitofrontal cortex"", ""insula"", ""amygdala"", ""putamen"", ""ventral striatum"", ""thalamus""],
    ""feature_type"": [""5-HTT"", ""5-HT2A receptors""],
    ""phenotype"": [""non-planning impulsiveness"", ""motor impulsiveness""],
    ""diagnostic_context"": null,
    ""relationship"": ""positive correlation"",
    ""direction"": null,
    ""mechanism"": ""serotonergic neurotransmission, particularly 5-HT2A receptor-mediated postsynaptic signaling"",
    ""directness"": null,
    ""evidence_strength"": null,
    ""supporting_sentence"": ""The region of interest (ROI)-based partial correlation analysis with age, sex, and temperament traits as covariates revealed a significant positive correlation between non-planning impulsiveness and [11C]MDL100907 BPND in the caudate (CAU) at Bonferroni-corrected p < 0.0045. Non-planning impulsiveness was also positively correlated with [11C]MDL100907 BPND in the prefrontal cortex (PFC), ventromedial PFC, orbitofrontal cortex (OFC), insula (INS), amygdala (AMYG), putamen, ventral striatum, and thalamus, and the total score of BIS-11 was positively correlated with [11C]MDL100907 BPND in the OFC, INS, AMYG, and CAU at uncorrected p < 0.05."",
    ""citation_id"": ""39796107"",
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": [""non-planning impulsiveness"", ""motor impulsiveness""],
    ""feature_supported"": [""5-HTT"", ""5-HT2A receptors""],
    ""relationship_supported"": ""positive correlation"",
    ""direction_supported"": null,
    ""directness_supported"": null,
    ""overclaiming"": null,
    ""rationale"": ""The abstract mentions a positive correlation between impulsivity traits and the binding potential (BPND) of [11C]MDL100907, which is a tracer for 5-HT2A receptors. The correlation is found in several brain regions, including the caudate, prefrontal cortex, ventromedial PFC, orbitofrontal cortex, insula, amygdala, putamen, ventral striatum, and thalamus. The impulsivity traits are assessed using the Barratt Impulsiveness Scale-11 (BIS-11), which supports the query.""
  }
}
```

This JSON object represents the structured biomedical evidence record extracted from the provided abstract. The `self_verification` section provides a rationale for the extraction.",
29337234," Here is the structured biomedical evidence record extracted from the provided abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""Barratt Impulsiveness Scale neuroimaging"",
    ""title"": null,
    ""year"": ""2018"",
    ""journal"": ""Neuroscience"",
    ""brain_system"": ""motor system"",
    ""feature_type"": ""readiness potential (RP) dynamics"",
    ""phenotype"": ""impulsive personality traits"",
    ""diagnostic_context"": null,
    ""relationship"": ""positive relationship"",
    ""direction"": null,
    ""mechanism"": ""less effective preparatory inhibition mechanisms"",
    ""directness"": null,
    ""evidence_strength"": null,
    ""supporting_sentence"": ""We observed a positive relationship between impulsive personality trait and motor system excitability during the preparation of self-initiated movements. In particular, the RP showed an earlier negative rising phase and a greater amplitude, with the increasing of BIS-11 scores."",
    ""citation_id"": ""29337234"",
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": ""impulsive personality traits"",
    ""feature_supported"": ""readiness potential (RP) dynamics"",
    ""relationship_supported"": ""positive relationship"",
    ""direction_supported"": null,
    ""directness_supported"": null,
    ""overclaiming"": null,
    ""rationale"": ""The abstract mentions a positive relationship between impulsive personality traits and readiness potential dynamics, which is the relationship being queried.""
  }
}
```

This JSON object represents the extracted structured biomedical evidence record from the provided abstract. The ""self_verification"" section provides a rationale for the extraction.",
12860356," Here is the structured biomedical evidence record extracted from the given abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""Barratt Impulsiveness Scale neuroimaging"",
    ""title"": ""Impulsivity, gender, and response to fenfluramine challenge in borderline personality disorder"",
    ""year"": 2003,
    ""journal"": ""Psychiatry research"",
    ""brain_system"": null,
    ""feature_type"": ""Impulsivity"",
    ""phenotype"": ""Borderline Personality Disorder"",
    ""diagnostic_context"": null,
    ""relationship"": ""Associated with"",
    ""direction"": null,
    ""mechanism"": ""Diminished central serotonergic function"",
    ""directness"": null,
    ""evidence_strength"": null,
    ""supporting_sentence"": ""Impulsivity in borderline personality disorder (BPD) is associated with indices of diminished central serotonergic function."",
    ""citation_id"": null,
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": ""Borderline Personality Disorder"",
    ""feature_supported"": ""Impulsivity"",
    ""relationship_supported"": ""Associated with"",
    ""direction_supported"": null,
    ""directness_supported"": null,
    ""overclaiming"": null,
    ""rationale"": ""The abstract mentions that impulsivity in BPD is associated with indices of diminished central serotonergic function, which implies a relationship between the two.""
  }
}
```

This record indicates that impulsivity (feature) is associated with Borderline Personality Disorder (phenotype) in the context of a study published in 2003 in the journal ""Psychiatry research"". The relationship is supported by the finding that impulsivity in BPD is associated with indices of diminished central serotonergic function. The record does not specify the direction or directness of the relationship, and the evidence strength is not provided in the abstract.",
39424632," Here is the structured biomedical evidence record extracted from the provided abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""impulsivity resting-state fMRI functional connectivity"",
    ""title"": ""Enhanced ADHD classification through deep learning and dynamic resting state fMRI analysis"",
    ""year"": ""2024"",
    ""journal"": ""Scientific reports"",
    ""brain_system"": null,
    ""feature_type"": ""resting-state fMRI functional connectivity"",
    ""phenotype"": ""Attention Deficit Hyperactivity Disorder (ADHD)"",
    ""diagnostic_context"": ""classification"",
    ""relationship"": ""association"",
    ""direction"": null,
    ""mechanism"": ""deep learning-based network (Skip-Vote-Net)"",
    ""directness"": null,
    ""evidence_strength"": null,
    ""supporting_sentence"": ""In this study, we introduce Skip-Vote-Net, a novel deep learning-based network designed for classifying ADHD from typically developing children (TDC) by leveraging dynamic connectivity analysis on rs-fMRI data collected from 222 participants included in the NYU dataset within the ADHD-200 database."",
    ""citation_id"": ""39424632"",
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": true,
    ""feature_supported"": true,
    ""relationship_supported"": true,
    ""direction_supported"": null,
    ""directness_supported"": null,
    ""overclaiming"": null,
    ""rationale"": ""The abstract mentions 'ADHD classification' (diagnostic context), 'resting-state fMRI functional connectivity' (feature type), and 'Attention Deficit Hyperactivity Disorder' (phenotype). The study introduces a method for classifying ADHD using dynamic connectivity analysis on rs-fMRI data, which supports the relationship between the feature and the phenotype.""
  }
}
```

This record indicates that there is an association between the feature ""resting-state fMRI functional connectivity"" and the phenotype ""Attention Deficit Hyperactivity Disorder (ADHD)"" as supported by the study that introduces a deep learning-based network for classifying ADHD using dynamic connectivity analysis on rs-fMRI data.",
32035425," Here is the structured biomedical evidence record extracted from the abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""impulsivity fMRI functional connectivity"",
    ""title"": ""Ventromedial prefrontal value signals and functional connectivity during decision-making in suicidal behavior and impulsivity"",
    ""year"": ""2020"",
    ""journal"": ""Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology"",
    ""brain_system"": ""ventromedial prefrontal cortex (vmPFC)"",
    ""feature_type"": ""functional connectivity"",
    ""phenotype"": ""impulsivity"",
    ""diagnostic_context"": ""depressed individuals with and without suicidal behavior"",
    ""relationship"": ""moderated by"",
    ""direction"": ""negative"",
    ""mechanism"": null,
    ""directness"": null,
    ""evidence_strength"": null,
    ""supporting_sentence"": ""In nonpsychiatric controls, vmPFC-frontoparietal connectivity was negatively moderated by impulsivity (pFWE corrected < 0.05). This effect was preserved in comparison patient groups but abolished in suicide attempters (p < 0.001)."",
    ""citation_id"": ""32035425"",
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": ""impulsivity"",
    ""feature_supported"": ""functional connectivity"",
    ""relationship_supported"": ""moderated by"",
    ""direction_supported"": ""negative"",
    ""directness_supported"": null,
    ""overclaiming"": null,
    ""rationale"": ""The abstract discusses the moderating effect of impulsivity on vmPFC-frontoparietal connectivity, which aligns with the feature, relationship, and direction specified in the query.""
  }
}
```

This JSON object represents the structured biomedical evidence record extracted from the abstract. The ""self_verification"" section provides a rationale for the extraction.",
29442271," Here is the structured biomedical evidence record extracted from the provided abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""impulsivity fMRI functional connectivity"",
    ""title"": ""Exploring variability in basal ganglia connectivity with functional MRI in healthy aging"",
    ""year"": 2018,
    ""journal"": ""Brain imaging and behavior"",
    ""brain_system"": ""Basal Ganglia"",
    ""feature_type"": ""Functional Connectivity"",
    ""phenotype"": ""Impulsive behavior"",
    ""diagnostic_context"": null,
    ""relationship"": ""Association"",
    ""direction"": null,
    ""mechanism"": ""Age-related changes"",
    ""directness"": null,
    ""evidence_strength"": null,
    ""supporting_sentence"": ""We explored the relationship between FC in the BGN and variables related to impulsive behavior in 486 participants..."",
    ""citation_id"": ""29442271"",
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": ""Impulsive behavior"",
    ""feature_supported"": ""Functional Connectivity"",
    ""relationship_supported"": ""Association"",
    ""direction_supported"": null,
    ""directness_supported"": null,
    ""overclaiming"": null,
    ""rationale"": ""The abstract mentions exploring the relationship between functional connectivity in the basal ganglia and variables related to impulsive behavior.""
  }
}
```

In this record, the relationship between functional connectivity in the basal ganglia and impulsive behavior in healthy older adults is established. The supporting sentence is ""We explored the relationship between FC in the BGN and variables related to impulsive behavior in 486 participants..."". The record also indicates that age is a correlate of this functional connectivity. However, it does not find a unique dopamine-related function linked with functional connectivity beyond those detectable in healthy aging.",
26745144," Here is the structured biomedical evidence record extracted from the given abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""trait impulsivity resting-state fMRI"",
    ""title"": null,
    ""year"": ""2016"",
    ""journal"": ""PloS one"",
    ""brain_system"": null,
    ""feature_type"": ""trait impulsivity"",
    ""phenotype"": ""Head Motion"",
    ""diagnostic_context"": ""ADHD"",
    ""relationship"": ""correlated"",
    ""direction"": null,
    ""mechanism"": ""genetic"",
    ""directness"": ""indirect"",
    ""evidence_strength"": ""moderate"",
    ""supporting_sentence"": ""HM was moderately correlated with maternal reports of Inattention (r = 0.17, p-value = 7.4E-5) and Hyperactivity-Impulsivity (r = 0.16, p-value = 2.9E-4), and these associations were mainly due to pleiotropic genetic factors with genetic correlations [95% CIs] of rg = 0.24 [0.02, 0.43] and rg = 0.23 [0.07, 0.39]."",
    ""citation_id"": ""26745144"",
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": ""Head Motion"",
    ""feature_supported"": ""trait impulsivity"",
    ""relationship_supported"": ""correlated"",
    ""direction_supported"": null,
    ""directness_supported"": ""indirect"",
    ""overclaiming"": null,
    ""rationale"": ""The abstract states that Head Motion is moderately correlated with maternal reports of Inattention and Hyperactivity-Impulsivity, and these associations are mainly due to pleiotropic genetic factors. This implies a relationship between Head Motion and the trait impulsivity.""
  }
}
```

In this record, we have identified that Head Motion (phenotype) is correlated with the trait impulsivity (feature type) in a genetic manner (mechanism). The correlation is moderate (evidence_strength) and indirect (directness). The supporting sentence is directly quoted from the abstract. The record also includes the source (journal), year, and citation_id. The self_verification section provides a rationale for the extraction.",
38018143," Here is the structured biomedical evidence record extracted from the given abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""trait impulsivity functional connectivity"",
    ""title"": null,
    ""year"": ""2024"",
    ""journal"": ""The American journal of psychiatry"",
    ""brain_system"": ""Frontopolar Cortex"",
    ""feature_type"": ""Functional Connectivity"",
    ""phenotype"": ""Impulsivity (trait)"",
    ""diagnostic_context"": ""Substance Use Disorders"",
    ""relationship"": ""Support"",
    ""direction"": null,
    ""mechanism"": ""Transcranial Brain Stimulation"",
    ""directness"": null,
    ""evidence_strength"": null,
    ""supporting_sentence"": ""This approach is supported by converging multimodal evidence, including lesion-based maps, functional MRI-based maps, tES studies, TMS studies, and dose-response relationships."",
    ""citation_id"": ""38018143"",
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": ""Impulsivity (trait)"",
    ""feature_supported"": ""Functional Connectivity"",
    ""relationship_supported"": ""Support"",
    ""direction_supported"": null,
    ""directness_supported"": null,
    ""overclaiming"": null,
    ""rationale"": ""The abstract mentions 'impulsivity' and 'functional connectivity' in relation to the 'Frontopolar Cortex', which is a brain system. The context suggests that this connection is supported by 'converging multimodal evidence'. The evidence type is not explicitly stated but can be inferred as 'support' based on the context.""
  }
}
```

This record indicates that there is converging multimodal evidence supporting the functional connectivity of the trait impulsivity in the Frontopolar Cortex, which is a promising therapeutic target for transcranial brain stimulation in substance use disorders. The evidence is found in a 2024 publication from The American journal of psychiatry.",
36747838," Here is the structured biomedical evidence record extracted from the provided abstract:

```json
{
  ""kb_record"": {
    ""source"": null,
    ""source_id"": null,
    ""query"": ""attentional impulsivity resting-state fMRI"",
    ""title"": ""Individual Differences in Delay Discounting are Associated with Dorsal Prefrontal Cortex Connectivity in Youth"",
    ""year"": ""2023"",
    ""journal"": ""bioRxiv : the preprint server for biology"",
    ""brain_system"": ""Dorsal Prefrontal Cortex, Default Mode Network, Dorsal Attention Network, Ventral Attention Network"",
    ""feature_type"": ""Functional Connectivity"",
    ""phenotype"": ""Delay Discounting"",
    ""diagnostic_context"": null,
    ""relationship"": ""Associated with"",
    ""direction"": null,
    ""mechanism"": null,
    ""directness"": null,
    ""evidence_strength"": null,
    ""supporting_sentence"": ""These analyses revealed that individual differences in delay discounting were associated with patterns of connectivity emanating from the left dorsal prefrontal cortex, a hub of the default mode network."",
    ""citation_id"": ""36747838"",
    ""extraction_model"": null,
    ""extraction_confidence"": null
  },
  ""self_verification"": {
    ""support_score"": null,
    ""decision"": null,
    ""phenotype_supported"": ""Delay Discounting"",
    ""feature_supported"": ""Functional Connectivity"",
    ""relationship_supported"": ""Associated with"",
    ""direction_supported"": null,
    ""directness_supported"": null,
    ""overclaiming"": null,
    ""rationale"": ""The abstract mentions a correlation between delay discounting and patterns of functional connectivity emanating from the dorsal prefrontal cortex, which implies a relationship between the two.""
  }
}
```

In this record, we have extracted the relationship between the feature ""Functional Connectivity"" and the phenotype ""Delay Discounting"" in the brain system ""Dorsal Prefrontal Cortex, Default Mode Network, Dorsal Attention Network, Ventral Attention Network."" The relationship is described as ""Associated with."" The supporting sentence is taken directly from the abstract.

For self-verification, we have checked that the phenotype, feature, and relationship are mentioned in the abstract, and the direction and directness are not explicitly stated, so they are marked as null. Overclaiming is not applicable in this case. The rationale explains why we consider the relationship to be supported by the abstract.",
