pmid,title,response,mentions_pmid,has_anchored_sentence,unparseable_as_schema,error
39315326,Resting-state brain networks alterations in adolescents with Internet Gaming Disorder associate with cognitive control impairments.,"This study (PMID: 39315326) investigated the neural mechanisms underlying cognitive control impairments in adolescents with Internet Gaming Disorder (IGD). The researchers found that impulsivity in adolescent IGD subjects was positively correlated with the severity of IGD, and was associated with alterations in the Executive Control Network (ECN) and the Salience Network (SN). Specifically, decreased functional connectivity between the SN and ECN, as well as decreased resting state activity of the dorsal attention network (DAN), were linked to attentional dysregulation and impulsivity in adolescents with IGD. Notably, the degree of IGD was positively correlated with enhanced functional connectivity between the ECN and DAN. These findings suggest that changes in the ECN and DAN may contribute to the development of impulsivity and attentional deficits in adolescents with IGD. The study's results provide new insights into the neurobiological mechanisms underlying cognitive control impairments in IGD, and highlight the importance of examining the relationship between cognitive control disorders and resting-state brain networks in this population.",True,False,True,
35040662,Role of White Matter Microstructure in Impulsive Behavior.,"A recent study (PMID: 35040662) investigated the relationship between white matter microstructure and impulsivity in healthy individuals. The researchers used diffusion tensor imaging (DTI) to examine the association between impulsivity and white matter fractional anisotropy (FA) values in 74 healthy adults. 

The results showed that whole-brain FA was inversely correlated with motor impulsiveness and positively correlated with nonplanning impulsiveness. Specifically, motor impulsiveness was associated with lower FA values in the corticospinal tract, while nonplanning impulsiveness was linked to higher FA values in the superior fronto-occipital fasciculus. These findings suggest that impulsivity is a network-based construct involving white matter microstructural integrity, and that specific white matter tracts may be involved in different aspects of impulsivity.

This study provides evidence that altered white matter microstructure may underlie normal individual variability in impulsive behaviors, and highlights the importance of considering the neural basis of impulsivity in both healthy and clinical populations. The findings have implications for the development of novel treatments targeting white matter microstructure to reduce impulsivity in individuals with neuropsychiatric illnesses.",True,False,True,
39796107,The Relationship Between Impulsivity Traits and In Vivo Cerebral Serotonin Transporter and Serotonin 2A Receptor Binding in Healthy Individuals: A Double-Tracer PET Study with C-11 DASB and C-11 MDL100907.,"A recent study (PMID: 39796107) investigated the relationship between impulsivity traits and serotonergic activity in healthy individuals using positron emission tomography (PET) with two tracers: [11C]DASB and [11C]MDL100907. The study found that non-planning impulsiveness was positively correlated with 5-HT2A receptor binding potential (BPND) in several brain regions, including the caudate, prefrontal cortex, and amygdala. These findings suggest that impulsivity traits may be associated with serotonergic neurotransmission, particularly 5-HT2A receptor-mediated postsynaptic signaling. The study's results also indicate that motor impulsiveness was positively correlated with serotonin transporter binding potential in the caudate. Overall, this study provides evidence that impulsivity is linked to altered serotonergic activity in key brain regions involved in executive function, judgment, and inhibitory control.",True,False,True,
29337234,Electrophysiological Activity Prior to Self-initiated Movements is Related to Impulsive Personality Traits.,"A recent neuroimaging study (PMID: 29337234) investigated the relationship between impulsivity and neural activity prior to self-initiated movements. The study found a positive correlation between impulsivity, as measured by the Barratt Impulsiveness Scale (BIS-11), and motor system excitability during movement preparation. Specifically, individuals with higher impulsivity scores showed an earlier negative rising phase and greater amplitude of the readiness potential (RP), a neural signal associated with motor preparation. These findings suggest that trait impulsivity may be characterized by less effective preparatory inhibition mechanisms, which could contribute to the control of behavior. This study provides evidence that impulsivity is related to differences in neural activity prior to movement onset, and highlights the potential role of neuroimaging in understanding the neural mechanisms underlying impulsive behavior.",True,False,True,
12860356,"Impulsivity, gender, and response to fenfluramine challenge in borderline personality disorder.","A PubMed abstract (PMID: 12860356) suggests that impulsivity in borderline personality disorder (BPD) is linked to reduced central serotonergic function. A study of 64 BPD subjects (20 males, 44 females) and 57 controls found that male BPD subjects had lower prolactin responses to a fenfluramine challenge compared to male controls. 

The study also found that impulsivity and aggression predicted prolactin responses, and that when impulsivity was accounted for, the effect of BPD diagnosis on prolactin response was eliminated. Furthermore, impulsivity and aggression were inversely related to prolactin responses in male but not female subjects. 

These findings suggest that impulsivity may be a key factor in the relationship between BPD and central serotonergic function, and that gender differences in this relationship may exist. The study's results have implications for understanding the neurobiological basis of impulsivity in BPD and for developing targeted treatments for this population.",True,False,True,
39424632,Enhanced ADHD classification through deep learning and dynamic resting state fMRI analysis.,"This study (PMID: 39424632) investigated the use of deep learning and dynamic resting-state functional magnetic resonance imaging (rs-fMRI) analysis to classify Attention Deficit Hyperactivity Disorder (ADHD) from typically developing children (TDC). The researchers developed a novel deep learning-based network, Skip-Vote-Net, which leveraged dynamic connectivity analysis on rs-fMRI data to classify ADHD subtypes.

The study found that Skip-Vote-Net achieved high classification accuracies for ADHD, particularly in distinguishing between the inattentive subtype (ADHDI) and the predominantly combined subtype (ADHDC). The results suggest that dynamic changes in functional connectivity patterns among ADHD children can be effectively captured using Skip-Vote-Net, which may have potential as an effective diagnostic tool for identifying ADHD subtypes and distinguishing ADHD from TDC.

Notably, the study highlights the importance of impulsivity in ADHD, as it is a core symptom of the disorder. The use of rs-fMRI analysis and deep learning-based networks like Skip-Vote-Net may provide valuable insights into the neural mechanisms underlying impulsivity in ADHD, which could inform the development of more effective treatments.

Overall, this study contributes to the growing body of evidence on the use of neuroimaging techniques, such as rs",True,False,True,
32035425,Ventromedial prefrontal value signals and functional connectivity during decision-making in suicidal behavior and impulsivity.,"This study (PMID: 32035425) investigated the neural underpinnings of impulsivity and suicidal behavior using neuroimaging techniques. The researchers found that individuals with a history of suicide attempts showed reduced ventromedial prefrontal cortex (vmPFC) value activation during decision-making tasks compared to nonpsychiatric controls. 

The study also explored the relationship between impulsivity and vmPFC-frontoparietal connectivity in nonpsychiatric controls and compared it among patient groups. The results showed that impulsivity negatively moderated vmPFC-frontoparietal connectivity in nonpsychiatric controls, but this effect was abolished in individuals with a history of suicide attempts. 

These findings suggest that disrupted vmPFC value signals and altered vmPFC-frontoparietal connectivity patterns may contribute to the development of suicidal behavior in individuals with impulsivity. The study's results highlight the importance of considering the neural mechanisms underlying impulsivity and suicidal behavior in the development of effective treatments. 

The study's findings also suggest that the relationship between impulsivity and vmPFC-frontoparietal connectivity is specific to the vmPFC and not the striatum, which may have implications for the development of targeted interventions for individuals with suicidal behavior and impulsivity.",True,False,True,
29442271,Exploring variability in basal ganglia connectivity with functional MRI in healthy aging.,"A recent study (PMID: 29442271) investigated the relationship between functional connectivity within the basal ganglia network (BGN) and various factors in healthy older adults. The study found that age was the only consistent correlate of BGN functional connectivity, with older adults showing reduced connectivity. 

Interestingly, the study also explored the relationship between BGN functional connectivity and impulsivity, but found no significant association. This suggests that impulsivity may not be directly linked to changes in BGN functional connectivity in healthy aging. 

The study's findings are in line with previous research suggesting that changes in BGN functional connectivity are more closely related to age-related alterations in the dopaminergic system rather than other factors such as impulsivity. 

This study's results have implications for our understanding of the neural mechanisms underlying healthy aging and the potential impact of age-related changes on brain function. However, further research is needed to fully understand the relationship between BGN functional connectivity and impulsivity in both healthy and diseased populations.",True,False,True,
26745144,Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD.,"This study (PMID: 26745144) investigated the relationship between head motion (HM) and impulsivity/hyperactivity in individuals with Attention Deficit Hyperactivity Disorder (ADHD). The researchers used neuroimaging data from resting-state functional MRI (fMRI) and maternal and self-report measures of impulsivity/hyperactivity from the Strengths and Weaknesses of ADHD Symptoms and Normal Behaviour (SWAN) scales. 

The study found that HM was moderately correlated with maternal reports of impulsivity/hyperactivity, suggesting a shared genetic influence. Specifically, the genetic correlations between HM and impulsivity/hyperactivity were 0.24 and 0.23, indicating that a significant portion of the association between HM and impulsivity/hyperactivity can be attributed to pleiotropic genetic factors. 

The study's findings have important implications for fMRI studies of ADHD, as treating HM as a nuisance covariate may reduce power to detect between-group effects and increase the likelihood of false positives. To address this issue, the researchers suggest two potential solutions: censoring motion-contaminated frames of the RS-fMRI scan or explicitly modeling the relationship between HM and impulsivity/hyperactivity. 

Overall, this study highlights the need to consider the relationship between HM and impulsivity/hyperactivity",True,False,True,
38018143,Converging Evidence for Frontopolar Cortex as a Target for Neuromodulation in Addiction Treatment.,"Evidence Summary: Impulsivity and Neuroimaging

Recent neuroimaging studies suggest that the frontopolar cortex may be a key region for targeting in addiction treatment. This area has been identified as a promising therapeutic target for transcranial brain stimulation in substance use disorders, supported by converging multimodal evidence from lesion-based maps, functional MRI-based maps, tES studies, TMS studies, and dose-response relationships (PMID: 38018143). 

The frontopolar cortex has been implicated in impulsivity, a common trait among individuals with substance use disorders. By targeting this region with transcranial brain stimulation, clinicians may be able to improve clinical outcomes in individuals with substance use disorders. The review highlights the importance of considering interindividual variations in brain state and trait, as well as electric field distribution patterns, when tailoring treatment. This approach may lead to improved treatment outcomes through optimization of treatment dimensions such as context, target, dose, and timing.",True,False,True,
36747838,Individual Differences in Delay Discounting are Associated with Dorsal Prefrontal Cortex Connectivity in Youth.,"This study investigated the neural basis of impulsivity in youth, specifically examining the relationship between delay discounting and functional connectivity in the brain. 

The researchers found that individual differences in delay discounting, a measure of impulsive choice, were associated with patterns of connectivity emanating from the left dorsal prefrontal cortex (DPC), a key region of the default mode network. 

Notably, delay discounting was linked to increased connectivity between the DPC and other parts of the default mode network, as well as reduced connectivity with regions involved in attentional and cognitive control, such as the dorsal and ventral attention networks. 

These findings suggest that impulsivity in youth may be related to altered functional connectivity within and between key brain networks, including the default mode network and attentional networks. 

This study contributes to our understanding of the neural mechanisms underlying impulsivity and may have implications for the development of targeted interventions to reduce impulsive behavior in youth. 

The study's use of resting-state fMRI and multivariate analysis techniques provides a comprehensive and nuanced understanding of the complex relationships between brain function and behavior. 

Overall, this research highlights the importance of considering individual differences in brain function when studying impulsivity and suggests that a more detailed understanding of the neural basis of impulsivity may be critical for the development",False,False,True,
39284401,"Transcranial Magnetic Stimulation-Induced Plasticity Improving Cognitive Control in Obsessive-Compulsive Disorder, Part II: Task-Based Neural Predictors of Treatment Response.","This study (39284401) investigated the use of task-based functional magnetic resonance imaging (fMRI) to predict clinical outcomes in obsessive-compulsive disorder (OCD) patients undergoing repetitive transcranial magnetic stimulation (rTMS) combined with exposure with response prevention psychotherapy. 

The study found that pretreatment fMRI-derived measures of task-related brain activation and connectivity during planning and inhibitory control tasks were associated with clinical response to rTMS in OCD patients. Specifically, higher activation in task-relevant regions and lower error-related activation were correlated with better short-term clinical improvement in the vertex group. In contrast, lower precuneus activation with increased planning taskload was associated with symptom reduction in the dorsolateral prefrontal cortex group, while higher error-related activation and lower inhibition-related insular-amygdalar connectivity were linked to symptom reduction in the presupplementary motor area group.

These findings suggest that neuroimaging measures of impulsivity and cognitive control, such as task-related brain activation and connectivity, may be useful in predicting treatment response to rTMS in OCD patients. However, the study's results also highlight the importance of considering individual differences in brain function and the need for larger sample sizes and placebo-controlled trials to further validate these findings.",True,False,True,
35277392,Prefrontal Cortical Connectivity Mediates Locus Coeruleus Noradrenergic Regulation of Inhibitory Control in Older Adults.,"This study (35277392) investigated the relationship between impulsivity and neuroimaging in older adults. The researchers used magnetic resonance imaging (MRI) to examine the integrity of the locus coeruleus noradrenergic system, which is responsible for regulating inhibitory control. They found that better response inhibition was correlated with locus coeruleus integrity and stronger connectivity between the presupplementary motor area (preSMA) and right inferior frontal gyrus (rIFG). 

The study's results suggest that the locus coeruleus noradrenergic system plays a significant role in regulating inhibitory control, and that this effect is mediated by prefrontal cortical connectivity. The researchers also found that age moderated the relationship between locus coeruleus integrity and inhibitory control, indicating that the effect of the locus coeruleus on behavior changes with age.

These findings provide evidence that impulsivity is associated with differences in brain structure and function, specifically in the locus coeruleus and prefrontal cortex. The study's results have implications for the development of treatment strategies for impulsive clinical populations, and suggest that age and locus coeruleus integrity may be important factors to consider when designing these interventions.",True,False,True,
