record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes
1,39315326,Resting-state brain networks alterations in adolescents with Internet Gaming Disorder associate with cognitive control impairments.,2024,Frontiers in psychiatry,Barratt Impulsiveness Scale resting-state fMRI,Executive Control Network (ECN),functional connectivity,impulsivity (general),Internet Gaming Disorder (IGD),correlation,higher,decrease in functional connectivity between the Salience Network (SN) and ECN,direct,strong,"impulsivity in adolescent IGD subjects showed a positive correlation with the severity of IGD (r=0.6350, p < 0.001), linked to impairments in the Executive Control Network (ECN) and a decrease in functional connectivity between the Salience Network (SN) and ECN (r=0.4307, p=0.0021; r=-0.5147, p=0.0034).",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
2,35040662,Role of White Matter Microstructure in Impulsive Behavior.,2022,The Journal of neuropsychiatry and clinical neurosciences,Barratt Impulsiveness Scale fMRI,white matter,unknown,impulsivity (general),healthy individuals,correlation,lower,altered cerebral white matter microstructure,unclear,significant,"Whole-brain total average FA was inversely correlated with motor impulsiveness (r=-0.32, p=0.007) and positively correlated with nonplanning impulsiveness (r=0.29, p=0.02); these correlations were significant after correction for multiple comparisons.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
3,39796107,The Relationship Between Impulsivity Traits and In Vivo Cerebral Serotonin Transporter and Serotonin 2A Receptor Binding in Healthy Individuals: A Double-Tracer PET Study with C-11 DASB and C-11 MDL100907.,2024,International journal of molecular sciences,Barratt Impulsiveness Scale fMRI,Caudate,unknown,nonplanning impulsivity,Healthy individuals,Positive correlation,higher,Serotonin 2A receptor-mediated postsynaptic signaling,direct,Significant,"The region of interest (ROI)-based partial correlation analysis with age, sex, and temperament traits as covariates revealed a significant positive correlation between non-planning impulsiveness and [11C]MDL100907 BPND in the caudate (CAU) at Bonferroni-corrected p < 0.0045.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
4,29337234,Electrophysiological Activity Prior to Self-initiated Movements is Related to Impulsive Personality Traits.,2018,Neuroscience,Barratt Impulsiveness Scale neuroimaging,motor system,dynamic connectivity,impulsivity (general),healthy participants,positive relationship,unclear,less effective preparatory inhibition mechanisms,unclear,,We observed a positive relationship between impulsive personality trait and motor system excitability during the preparation of self-initiated movements.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
5,12860356,"Impulsivity, gender, and response to fenfluramine challenge in borderline personality disorder.",2003,Psychiatry research,Barratt Impulsiveness Scale neuroimaging,central serotonergic function,unknown,impulsivity (general),borderline personality disorder,associated with,unclear,"independent of suicidal behavior, depression or alcohol use disorder",unclear,strong,"Behavioral impulsivity in borderline personality disorder (BPD) is associated with indices of diminished central serotonergic function, independent of suicidal behavior, depression or alcohol use disorder.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
6,39424632,Enhanced ADHD classification through deep learning and dynamic resting state fMRI analysis.,2024,Scientific reports,impulsivity resting-state fMRI functional connectivity,functional connectivity,dynamic connectivity,unknown,classification,classification,higher,deep learning-based network,direct,high,Recent studies have highlighted dynamic changes in functional connectivity patterns among ADHD children.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
7,32035425,Ventromedial prefrontal value signals and functional connectivity during decision-making in suicidal behavior and impulsivity.,2020,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,impulsivity fMRI functional connectivity,ventromedial prefrontal cortex (vmPFC),unknown,unknown,depressed individuals,negatively moderated,unclear,functional connectivity,unclear,pFWE corrected < 0.05,"In nonpsychiatric controls, vmPFC-frontoparietal connectivity was negatively moderated by impulsivity (pFWE corrected < 0.05).",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
8,29442271,Exploring variability in basal ganglia connectivity with functional MRI in healthy aging.,2018,Brain imaging and behavior,impulsivity fMRI functional connectivity,basal ganglia network (BGN),functional connectivity,impulsivity (general),healthy aging,association,higher,dopaminergic processes,unclear,significant,Age was the only correlate of FC in the BGN that was consistently significant with both analyses.,no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
9,26745144,Head Motion and Inattention/Hyperactivity Share Common Genetic Influences: Implications for fMRI Studies of ADHD.,2016,PloS one,trait impulsivity resting-state fMRI,,covariates,attentional impulsivity,ADHD,shared genetic influences,higher,pleiotropic genetic factors,unclear,,"HM was moderately correlated with maternal reports of Inattention (r = 0.17, p-value = 7.4E-5) and Hyperactivity-Impulsivity (r = 0.16, p-value = 2.9E-4), and these associations were mainly due to pleiotropic genetic factors with genetic correlations [95% CIs] of rg = 0.24 [0.02, 0.43] and rg = 0.23 [0.07, 0.39].",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
10,38018143,Converging Evidence for Frontopolar Cortex as a Target for Neuromodulation in Addiction Treatment.,2024,The American journal of psychiatry,trait impulsivity functional connectivity,frontopolar cortex,unknown,unknown,addiction treatment,promising therapeutic target,higher,transcranial brain stimulation,unclear,converging multimodal evidence,"Whereas most previous clinical trials targeted the dorsolateral prefrontal cortex, accumulating data highlight the frontopolar cortex as a promising therapeutic target for transcranial brain stimulation in substance use disorders.",no,evidence_strength not a number,yes,yes,yes,,,,,,,,,
